Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,3429.75,3431.34,3401.3,3425.55,2979300.0,ATX,-4.199999999999818,-0.122,Monday,January,2024
2024-01-05,3417.14,3436.37,3383.76,3430.08,3009000.0,ATX,12.940000000000055,0.379,Friday,January,2024
2024-01-04,3377.98,3420.17,3376.72,3420.17,2388200.0,ATX,42.190000000000055,1.249,Thursday,January,2024
2024-01-03,3411.06,3411.06,3368.52,3377.58,2783600.0,ATX,-33.48000000000002,-0.982,Wednesday,January,2024
2024-01-02,3435.68,3448.16,3406.45,3412.02,3043900.0,ATX,-23.659999999999854,-0.689,Tuesday,January,2024
2023-12-29,3413.62,3436.24,3408.97,3434.97,2142800.0,ATX,21.34999999999991,0.625,Friday,December,2023
2023-12-28,3438.17,3440.83,3411.64,3414.06,2475300.0,ATX,-24.110000000000127,-0.701,Thursday,December,2023
2023-12-27,3407.58,3438.58,3405.85,3438.58,2511300.0,ATX,31.0,0.91,Wednesday,December,2023
2023-12-22,3400.74,3412.57,3395.73,3407.66,2081200.0,ATX,6.920000000000073,0.203,Friday,December,2023
2023-12-21,3397.62,3402.63,3367.16,3400.56,3000400.0,ATX,2.9400000000000546,0.087,Thursday,December,2023
2023-12-20,3381.88,3407.99,3369.43,3397.62,5557300.0,ATX,15.739999999999782,0.465,Wednesday,December,2023
2023-12-19,3363.95,3384.23,3356.62,3382.32,2991500.0,ATX,18.370000000000346,0.546,Tuesday,December,2023
2023-12-18,3371.77,3379.25,3355.26,3364.36,2830300.0,ATX,-7.4099999999998545,-0.22,Monday,December,2023
2023-12-15,3354.71,3379.8,3354.4,3371.39,9071300.0,ATX,16.679999999999836,0.497,Friday,December,2023
2023-12-14,3298.53,3376.1,3298.41,3356.14,5681300.0,ATX,57.60999999999967,1.747,Thursday,December,2023
2023-12-13,3299.23,3319.17,3295.22,3297.85,3520300.0,ATX,-1.3800000000001091,-0.042,Wednesday,December,2023
2023-12-12,3304.39,3316.4,3290.72,3299.08,3722200.0,ATX,-5.309999999999945,-0.161,Tuesday,December,2023
2023-12-11,3322.0,3323.12,3298.01,3305.35,3480200.0,ATX,-16.65000000000009,-0.501,Monday,December,2023
2023-12-08,3290.54,3329.44,3287.35,3321.76,2880700.0,ATX,31.220000000000255,0.949,Friday,December,2023
2023-12-07,3306.73,3307.22,3275.35,3290.19,3166500.0,ATX,-16.539999999999964,-0.5,Thursday,December,2023
2023-12-06,3312.56,3318.26,3297.93,3306.51,2523100.0,ATX,-6.049999999999727,-0.183,Wednesday,December,2023
2023-12-05,3312.62,3324.66,3291.29,3312.78,2940600.0,ATX,0.16000000000030923,0.005,Tuesday,December,2023
2023-12-04,3316.68,3329.9,3306.62,3312.72,2378200.0,ATX,-3.9600000000000364,-0.119,Monday,December,2023
2023-12-01,3290.66,3319.21,3285.4,3316.68,2451400.0,ATX,26.019999999999982,0.791,Friday,December,2023
2023-11-30,3279.89,3296.38,3274.49,3290.78,7599900.0,ATX,10.890000000000327,0.332,Thursday,November,2023
2023-11-29,3265.1,3291.15,3252.07,3279.25,3239700.0,ATX,14.150000000000091,0.433,Wednesday,November,2023
2023-11-28,3248.77,3270.13,3240.89,3267.55,2814400.0,ATX,18.7800000000002,0.578,Tuesday,November,2023
2023-11-27,3253.39,3257.94,3233.66,3247.23,3202100.0,ATX,-6.1599999999998545,-0.189,Monday,November,2023
2023-11-24,3249.58,3261.36,3236.47,3253.65,2556300.0,ATX,4.070000000000164,0.125,Friday,November,2023
2023-11-23,3252.93,3260.23,3243.03,3251.33,2224300.0,ATX,-1.599999999999909,-0.049,Thursday,November,2023
2023-11-22,3252.41,3269.78,3244.42,3252.74,3010900.0,ATX,0.32999999999992724,0.01,Wednesday,November,2023
2023-11-21,3276.91,3277.86,3247.48,3252.76,3441200.0,ATX,-24.149999999999636,-0.737,Tuesday,November,2023
2023-11-20,3274.87,3282.67,3263.67,3276.96,3231300.0,ATX,2.0900000000001455,0.064,Monday,November,2023
2023-11-17,3261.42,3283.55,3261.32,3274.22,3137700.0,ATX,12.799999999999727,0.392,Friday,November,2023
2023-11-16,3285.52,3287.83,3261.84,3261.95,3253500.0,ATX,-23.570000000000164,-0.717,Thursday,November,2023
2023-11-15,3259.77,3293.71,3259.63,3285.52,3378300.0,ATX,25.75,0.79,Wednesday,November,2023
2023-11-14,3226.78,3260.13,3207.48,3259.71,4054200.0,ATX,32.929999999999836,1.021,Tuesday,November,2023
2023-11-13,3205.43,3231.28,3204.3,3228.34,2731500.0,ATX,22.91000000000031,0.715,Monday,November,2023
2023-11-10,3201.78,3203.66,3180.21,3203.66,2496700.0,ATX,1.8799999999996544,0.059,Friday,November,2023
2023-11-09,3162.69,3204.23,3154.13,3202.05,2997600.0,ATX,39.36000000000013,1.245,Thursday,November,2023
2023-11-08,3159.91,3178.48,3137.3,3163.0,3844200.0,ATX,3.0900000000001455,0.098,Wednesday,November,2023
2023-11-07,3197.52,3198.52,3147.46,3161.22,3139400.0,ATX,-36.30000000000018,-1.135,Tuesday,November,2023
