Fecha,  Apertura,   Max,    Min,    Cierre, Volumen,    Indice, Cambio,   Cambio%,   weekday,     month,      year
2024-01-08,  53.6,   54.25,  53.25,  54.15,   48160.0,  ATX,    0.549,     1.026,     Monday,    January,    2024
2024-01-05,  53.65,  53.65,  52.75,  53.5,    70981.0,  ATX,    -0.149,    -0.28,     Friday,    January,    2024
2024-01-04,  53.3,   53.85,  53.2,   53.85,   59921.0,  ATX,    0.55,      1.032,     Thursday,    January,    2024
2024-01-03,  54.75,  54.8,   53.4,   53.6,    97078.0,  ATX,    -1.14,    -2.1,       Wednesday,    January,    2024
2024-01-02,  56.0,   56.4,   54.75,  54.95,   88457.0,  ATX,    -1.049,   -1.875,     Tuesday,    January,    2024
2023-12-29,  55.9,   56.4,   55.9,   56.4,    57913.0,  ATX,    0.5,       0.894,     Friday,    December,    2023
2023-12-28,  55.95,  56.35,  55.6,   56.0,    89244.0,  ATX,    0.049,     0.089,     Thursday,    December,    2023
2023-12-27,  55.15,  56.1,   54.9,   56.0,    109216.0,  ATX,    0.850,    1.541,     Wednesday,    December,    2023
2023-12-22,  54.35,  55.05,  54.35,  55.0,    60910.0,  ATX,    0.64,      1.196,     Friday,    December,    2023
2023-12-21,  54.35,  54.5,   53.9,   54.35,   82546.0,  ATX,    0.0,       0.0,       Thursday,    December,    2023
2023-12-20,  54.6,   54.7,   53.75,  54.5,    97281.0,  ATX,    -0.1,     -0.183,     Wednesday,    December,    2023
2023-12-19,  54.0,   54.45,  53.9,   54.4,    63963.0,  ATX,    0.399,     0.741,     Tuesday,    December,    2023
2023-12-18,  54.0,   54.4,   53.75,  54.2,    72819.0,  ATX,    0.2,       0.37,      Monday,    December,    2023
2023-12-15,  53.4,   54.2,   53.4,   54.2,    257125.0,  ATX,    0.8,      1.498,     Friday,    December,    2023
2023-12-14,  52.75,  54.05,  52.75,  53.45,   120214.0,  ATX,    0.7,      1.327,     Thursday,    December,    2023
2023-12-13,  52.4,   52.75,  51.9,   52.3,    91231.0,  ATX,    -0.1,      -0.191,    Wednesday,    December,    2023
2023-12-12,  52.5,   52.5,   51.9,   52.35,   105105.0,  ATX,   -0.149,   -0.286,     Tuesday,    December,    2023
2023-12-11,  52.2,   52.55,  51.95,  52.2,    69546.0,  ATX,    0.0,      0.0,        Monday,    December,    2023
2023-12-08,  51.6,   52.25,  51.3,   52.15,   98727.0,  ATX,    0.549,    1.066,      Friday,    December,    2023
2023-12-07,  50.6,   51.3,   50.6,   51.2,    51819.0,  ATX,    0.6,    1.186,        Thursday,    December,    2023
2023-12-06,  51.0,   51.7,   50.45,  51.5,    77440.0,  ATX,    0.5,    0.98,        Wednesday,    December,    2023
2023-12-05,  50.2,   50.8,   50.0,   50.75,   78154.0,  ATX,    0.549,    1.096,     Tuesday,    December,    2023
2023-12-04,  50.65,  51.05,  50.45,  50.7,    97048.0,  ATX,    0.05,    0.099,     Monday,    December,    2023
2023-12-01,  49.8,   50.5,   49.56,  50.3,    85280.0,  ATX,    0.5,    1.004,       Friday,    December,    2023
2023-11-30,  49.8,   49.94,  49.42,  49.76,   170787.0,  ATX,   -0.03,    -0.08,     Thursday,    November,    2023
