Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,24.9,25.02,24.56,24.88,56962.0,ATX,-0.019999999999999574,-0.08,Monday,January,2024
2024-01-05,24.94,24.98,24.44,24.72,55465.0,ATX,-0.22000000000000242,-0.882,Friday,January,2024
2024-01-04,25.12,25.2,24.68,25.02,44149.0,ATX,-0.10000000000000142,-0.398,Thursday,January,2024
2024-01-03,25.48,25.48,24.64,24.84,122748.0,ATX,-0.6400000000000006,-2.512,Wednesday,January,2024
2024-01-02,26.7,26.86,25.32,25.32,141208.0,ATX,-1.379999999999999,-5.169,Tuesday,January,2024
2023-12-29,25.9,26.48,25.9,26.3,54572.0,ATX,0.40000000000000213,1.544,Friday,December,2023
2023-12-28,26.0,26.2,25.66,26.02,86576.0,ATX,0.019999999999999574,0.077,Thursday,December,2023
2023-12-27,26.3,26.64,26.0,26.16,71975.0,ATX,-0.14000000000000057,-0.532,Wednesday,December,2023
2023-12-22,26.02,26.24,25.8,26.0,41878.0,ATX,-0.019999999999999574,-0.077,Friday,December,2023
2023-12-21,25.72,26.34,25.48,26.22,91852.0,ATX,0.5,1.944,Thursday,December,2023
2023-12-20,26.0,26.32,25.72,26.02,73236.0,ATX,0.019999999999999574,0.077,Wednesday,December,2023
2023-12-19,25.4,26.3,25.2,25.82,50167.0,ATX,0.4200000000000017,1.654,Tuesday,December,2023
2023-12-18,26.04,26.36,25.5,25.52,72678.0,ATX,-0.5199999999999996,-1.997,Monday,December,2023
2023-12-15,26.18,26.28,25.92,26.2,104850.0,ATX,0.019999999999999574,0.076,Friday,December,2023
2023-12-14,25.48,26.18,25.42,26.0,138905.0,ATX,0.5199999999999996,2.041,Thursday,December,2023
2023-12-13,25.2,25.48,25.02,25.06,104663.0,ATX,-0.14000000000000057,-0.556,Wednesday,December,2023
2023-12-12,25.16,25.32,24.94,25.22,84082.0,ATX,0.05999999999999872,0.238,Tuesday,December,2023
2023-12-11,25.58,25.58,24.56,24.82,112996.0,ATX,-0.759999999999998,-2.971,Monday,December,2023
2023-12-08,24.9,25.5,24.7,25.5,56564.0,ATX,0.6000000000000014,2.41,Friday,December,2023
2023-12-07,25.54,25.54,24.6,24.68,92016.0,ATX,-0.8599999999999994,-3.367,Thursday,December,2023
2023-12-06,25.62,25.7,25.14,25.58,100276.0,ATX,-0.0400000000000027,-0.156,Wednesday,December,2023
2023-12-05,25.4,25.74,25.28,25.48,61401.0,ATX,0.08000000000000185,0.315,Tuesday,December,2023
2023-12-04,25.9,26.14,25.34,25.34,94317.0,ATX,-0.5599999999999987,-2.162,Monday,December,2023
2023-12-01,24.62,25.78,24.52,25.78,109565.0,ATX,1.1600000000000001,4.712,Friday,December,2023
2023-11-30,25.4,25.5,24.7,24.72,133380.0,ATX,-0.6799999999999997,-2.677,Thursday,November,2023
2023-11-29,24.32,25.36,24.3,25.2,150582.0,ATX,0.879999999999999,3.618,Wednesday,November,2023
2023-11-28,23.6,24.34,23.4,24.3,101761.0,ATX,0.6999999999999993,2.966,Tuesday,November,2023
2023-11-27,24.5,24.88,23.5,23.5,178266.0,ATX,-1.0,-4.082,Monday,November,2023
2023-11-24,24.4,24.44,24.0,24.04,94174.0,ATX,-0.35999999999999943,-1.475,Friday,November,2023
2023-11-23,24.64,24.92,24.06,24.22,82258.0,ATX,-0.4200000000000017,-1.705,Thursday,November,2023
2023-11-22,25.5,25.74,24.76,24.76,98039.0,ATX,-0.7399999999999984,-2.902,Wednesday,November,2023
2023-11-21,27.0,27.1,25.36,25.36,140821.0,ATX,-1.6400000000000006,-6.074,Tuesday,November,2023
2023-11-20,26.8,26.88,26.34,26.76,85757.0,ATX,-0.03999999999999915,-0.149,Monday,November,2023
2023-11-17,26.22,26.76,26.06,26.06,96071.0,ATX,-0.16000000000000014,-0.61,Friday,November,2023
2023-11-16,26.6,26.6,25.98,25.98,92316.0,ATX,-0.620000000000001,-2.331,Thursday,November,2023
2023-11-15,25.0,26.4,25.0,26.16,208613.0,ATX,1.1600000000000001,4.64,Wednesday,November,2023
2023-11-14,23.2,25.38,23.1,24.24,646574.0,ATX,1.0399999999999991,4.483,Tuesday,November,2023
2023-11-13,28.5,28.78,28.14,28.28,57034.0,ATX,-0.21999999999999886,-0.772,Monday,November,2023
2023-11-10,28.74,28.74,28.04,28.42,88333.0,ATX,-0.31999999999999673,-1.113,Friday,November,2023
2023-11-09,28.3,29.1,28.04,28.84,90319.0,ATX,0.5399999999999991,1.908,Thursday,November,2023
2023-11-08,27.5,28.4,27.14,28.1,186541.0,ATX,0.6000000000000014,2.182,Wednesday,November,2023
2023-11-07,26.9,27.34,26.46,27.24,102704.0,ATX,0.33999999999999986,1.264,Tuesday,November,2023
2023-11-06,27.1,27.1,26.44,26.84,71024.0,ATX,-0.26000000000000156,-0.959,Monday,November,2023
2023-11-03,25.34,26.78,25.32,26.66,151416.0,ATX,1.3200000000000003,5.209,Friday,November,2023
2023-11-02,24.5,26.9,24.5,25.12,277701.0,ATX,0.620000000000001,2.531,Thursday,November,2023
2023-11-01,23.94,23.94,22.74,23.64,104317.0,ATX,-0.3000000000000007,-1.253,Wednesday,November,2023
2023-10-31,23.46,23.68,23.04,23.68,79572.0,ATX,0.21999999999999886,0.938,Tuesday,October,2023
2023-10-30,23.66,23.74,23.24,23.34,81234.0,ATX,-0.3200000000000003,-1.352,Monday,October,2023
2023-10-27,22.88,23.62,22.74,23.44,115139.0,ATX,0.5600000000000023,2.448,Friday,October,2023
