Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,48.46,48.7,47.98,48.7,67849.0,ATX,0.240000000000002,0.495,Monday,January,2024
2024-01-05,47.68,48.46,47.18,48.46,128006.0,ATX,0.7800000000000011,1.636,Friday,January,2024
2024-01-04,46.9,47.88,46.9,47.88,102610.0,ATX,0.980000000000004,2.09,Thursday,January,2024
2024-01-03,48.12,48.2,46.72,46.92,106362.0,ATX,-1.1999999999999957,-2.494,Wednesday,January,2024
2024-01-02,48.0,48.56,47.68,48.12,93532.0,ATX,0.11999999999999744,0.25,Tuesday,January,2024
2023-12-29,47.84,48.16,47.68,47.98,63459.0,ATX,0.13999999999999346,0.293,Friday,December,2023
2023-12-28,48.0,48.0,47.36,47.72,111000.0,ATX,-0.28000000000000114,-0.583,Thursday,December,2023
2023-12-27,47.22,47.98,47.22,47.94,110976.0,ATX,0.7199999999999989,1.525,Wednesday,December,2023
2023-12-22,47.0,47.46,46.94,47.4,77244.0,ATX,0.3999999999999986,0.851,Friday,December,2023
2023-12-21,46.3,46.98,46.3,46.9,100935.0,ATX,0.6000000000000014,1.296,Thursday,December,2023
2023-12-20,45.96,46.72,45.7,46.6,211949.0,ATX,0.6400000000000006,1.393,Wednesday,December,2023
2023-12-19,46.44,46.44,45.84,46.22,204992.0,ATX,-0.21999999999999886,-0.474,Tuesday,December,2023
2023-12-18,46.2,46.8,46.04,46.38,148088.0,ATX,0.17999999999999972,0.39,Monday,December,2023
2023-12-15,47.8,47.84,46.2,46.34,413647.0,ATX,-1.4599999999999937,-3.054,Friday,December,2023
2023-12-14,46.72,47.54,46.38,47.48,233670.0,ATX,0.759999999999998,1.627,Thursday,December,2023
2023-12-13,46.9,46.9,46.06,46.08,228203.0,ATX,-0.8200000000000003,-1.748,Wednesday,December,2023
2023-12-12,48.0,48.02,46.9,46.9,205886.0,ATX,-1.1000000000000014,-2.292,Tuesday,December,2023
2023-12-11,47.98,48.3,47.58,47.96,161148.0,ATX,-0.01999999999999602,-0.042,Monday,December,2023
2023-12-08,47.14,48.04,46.8,47.98,273234.0,ATX,0.8399999999999963,1.782,Friday,December,2023
2023-12-07,48.04,48.26,47.22,47.24,466151.0,ATX,-0.7999999999999972,-1.665,Thursday,December,2023
2023-12-06,48.48,48.76,48.04,48.32,270192.0,ATX,-0.1599999999999966,-0.33,Wednesday,December,2023
2023-12-05,48.4,49.04,48.4,48.64,221627.0,ATX,0.240000000000002,0.496,Tuesday,December,2023
2023-12-04,48.24,49.2,48.24,48.56,200315.0,ATX,0.3200000000000003,0.663,Monday,December,2023
2023-12-01,48.08,48.5,47.78,48.42,118496.0,ATX,0.3400000000000034,0.707,Friday,December,2023
2023-11-30,47.82,48.16,47.74,47.8,275056.0,ATX,-0.020000000000003126,-0.042,Thursday,November,2023
2023-11-29,48.06,48.68,48.04,48.16,156845.0,ATX,0.09999999999999432,0.208,Wednesday,November,2023
