Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,31.5,32.25,31.45,31.65,294285.0,ATX,0.14999999999999858,0.476,Monday,January,2024
2024-01-05,32.0,32.35,31.55,32.1,482804.0,ATX,0.10000000000000142,0.313,Friday,January,2024
2024-01-04,32.3,32.3,31.8,32.1,96042.0,ATX,-0.19999999999999574,-0.619,Thursday,January,2024
2024-01-03,32.5,32.65,31.9,32.0,233466.0,ATX,-0.5,-1.538,Wednesday,January,2024
2024-01-02,32.3,32.65,32.15,32.55,399549.0,ATX,0.25,0.774,Tuesday,January,2024
2023-12-29,32.75,32.8,32.4,32.45,94722.0,ATX,-0.29999999999999716,-0.916,Friday,December,2023
2023-12-28,32.55,32.75,32.5,32.7,190369.0,ATX,0.15000000000000568,0.461,Thursday,December,2023
2023-12-27,32.45,32.8,32.45,32.65,190537.0,ATX,0.19999999999999574,0.616,Wednesday,December,2023
2023-12-22,32.35,32.7,32.25,32.65,90066.0,ATX,0.29999999999999716,0.927,Friday,December,2023
2023-12-21,32.45,32.6,32.2,32.4,143537.0,ATX,-0.05000000000000426,-0.154,Thursday,December,2023
2023-12-20,32.4,32.4,32.15,32.4,165944.0,ATX,0.0,0.0,Wednesday,December,2023
2023-12-19,31.9,32.4,31.9,32.25,365329.0,ATX,0.3500000000000014,1.097,Tuesday,December,2023
2023-12-18,31.45,32.05,31.45,32.0,179077.0,ATX,0.5500000000000007,1.749,Monday,December,2023
2023-12-15,31.95,32.15,31.45,31.8,822831.0,ATX,-0.14999999999999858,-0.469,Friday,December,2023
2023-12-14,31.45,32.1,31.4,32.05,315337.0,ATX,0.5999999999999979,1.908,Thursday,December,2023
2023-12-13,31.35,31.45,31.05,31.3,246040.0,ATX,-0.05000000000000071,-0.159,Wednesday,December,2023
2023-12-12,30.8,31.4,30.8,31.25,588935.0,ATX,0.4499999999999993,1.461,Tuesday,December,2023
2023-12-11,30.95,31.2,30.75,31.15,283061.0,ATX,0.1999999999999993,0.646,Monday,December,2023
2023-12-08,30.7,31.3,30.7,31.0,167709.0,ATX,0.3000000000000007,0.977,Friday,December,2023
2023-12-07,31.1,31.1,30.7,30.95,147975.0,ATX,-0.15000000000000213,-0.482,Thursday,December,2023
2023-12-06,30.7,31.05,30.65,30.85,112724.0,ATX,0.15000000000000213,0.489,Wednesday,December,2023
2023-12-05,30.45,31.0,30.45,30.8,164423.0,ATX,0.3500000000000014,1.149,Tuesday,December,2023
2023-12-04,30.25,30.65,30.25,30.65,119420.0,ATX,0.3999999999999986,1.322,Monday,December,2023
2023-12-01,30.0,30.55,29.85,30.5,314842.0,ATX,0.5,1.667,Friday,December,2023
2023-11-30,29.7,30.4,29.7,30.0,327543.0,ATX,0.3000000000000007,1.01,Thursday,November,2023
2023-11-29,29.25,30.1,29.25,29.8,240363.0,ATX,0.5500000000000007,1.88,Wednesday,November,2023
2023-11-28,29.4,29.75,29.4,29.5,286832.0,ATX,0.10000000000000142,0.34,Tuesday,November,2023
2023-11-27,29.4,29.8,29.3,29.75,167589.0,ATX,0.3500000000000014,1.19,Monday,November,2023
2023-11-24,29.55,29.9,29.4,29.5,209176.0,ATX,-0.05000000000000071,-0.169,Friday,November,2023
2023-11-23,29.15,29.55,29.1,29.4,147260.0,ATX,0.25,0.858,Thursday,November,2023
2023-11-22,28.35,29.5,28.35,29.15,382269.0,ATX,0.7999999999999972,2.822,Wednesday,November,2023
2023-11-21,28.5,29.0,28.4,28.7,366474.0,ATX,0.1999999999999993,0.702,Tuesday,November,2023
2023-11-20,27.45,28.45,27.1,28.45,722777.0,ATX,1.0,3.643,Monday,November,2023
2023-11-17,31.7,31.7,29.7,30.0,645880.0,ATX,-1.6999999999999993,-5.363,Friday,November,2023
2023-11-16,32.65,32.8,31.65,31.7,480143.0,ATX,-0.9499999999999993,-2.91,Thursday,November,2023
2023-11-15,32.75,32.85,32.5,32.85,436621.0,ATX,0.10000000000000142,0.305,Wednesday,November,2023
2023-11-14,32.55,32.85,32.2,32.75,302537.0,ATX,0.20000000000000284,0.614,Tuesday,November,2023
2023-11-13,32.55,32.7,32.1,32.45,337781.0,ATX,-0.09999999999999432,-0.307,Monday,November,2023
2023-11-10,32.45,32.55,32.2,32.45,181672.0,ATX,0.0,0.0,Friday,November,2023
2023-11-09,32.3,32.65,32.3,32.55,92874.0,ATX,0.25,0.774,Thursday,November,2023
2023-11-08,32.7,32.75,32.45,32.55,168014.0,ATX,-0.15000000000000568,-0.459,Wednesday,November,2023
2023-11-07,32.5,32.75,32.35,32.65,134058.0,ATX,0.14999999999999858,0.462,Tuesday,November,2023
2023-11-06,33.05,33.05,32.55,32.65,320525.0,ATX,-0.3999999999999986,-1.21,Monday,November,2023
2023-11-03,32.85,33.05,32.65,32.95,237129.0,ATX,0.10000000000000142,0.304,Friday,November,2023
2023-11-02,32.5,32.95,32.35,32.85,242437.0,ATX,0.3500000000000014,1.077,Thursday,November,2023
2023-11-01,32.0,32.5,31.85,32.35,262931.0,ATX,0.3500000000000014,1.094,Wednesday,November,2023
2023-10-31,31.0,31.95,30.95,31.9,649298.0,ATX,0.8999999999999986,2.903,Tuesday,October,2023
2023-10-30,30.2,31.15,30.15,30.8,711054.0,ATX,0.6000000000000014,1.987,Monday,October,2023
2023-10-27,29.9,30.25,29.8,30.15,171025.0,ATX,0.25,0.836,Friday,October,2023
2023-10-25,29.75,30.15,29.6,30.1,450899.0,ATX,0.3500000000000014,1.176,Wednesday,October,2023
2023-10-24,30.15,30.2,29.85,29.95,278601.0,ATX,-0.1999999999999993,-0.663,Tuesday,October,2023
2023-10-23,30.2,30.2,29.9,30.1,170898.0,ATX,-0.09999999999999787,-0.331,Monday,October,2023
2023-10-20,30.75,30.75,29.4,30.2,430844.0,ATX,-0.5500000000000007,-1.789,Friday,October,2023
2023-10-19,31.3,31.3,30.3,30.4,307301.0,ATX,-0.9000000000000021,-2.875,Thursday,October,2023
2023-10-18,31.15,31.35,30.95,31.05,246028.0,ATX,-0.09999999999999787,-0.321,Wednesday,October,2023
2023-10-17,31.5,31.55,31.2,31.35,127801.0,ATX,-0.14999999999999858,-0.476,Tuesday,October,2023
2023-10-16,31.35,31.55,31.3,31.5,104671.0,ATX,0.14999999999999858,0.478,Monday,October,2023
2023-10-13,31.45,31.65,31.4,31.55,77732.0,ATX,0.10000000000000142,0.318,Friday,October,2023
2023-10-12,31.55,31.75,31.45,31.5,198075.0,ATX,-0.05000000000000071,-0.158,Thursday,October,2023
2023-10-11,31.25,31.5,30.95,31.5,439491.0,ATX,0.25,0.8,Wednesday,October,2023
2023-10-10,31.0,31.3,30.9,31.25,137748.0,ATX,0.25,0.806,Tuesday,October,2023
2023-10-09,31.1,31.15,30.9,30.95,159584.0,ATX,-0.15000000000000213,-0.482,Monday,October,2023
2023-10-06,30.95,31.2,30.8,31.15,219576.0,ATX,0.1999999999999993,0.646,Friday,October,2023
2023-10-05,31.0,31.25,30.8,31.1,214894.0,ATX,0.10000000000000142,0.323,Thursday,October,2023
2023-10-04,30.95,31.4,30.85,31.15,237277.0,ATX,0.1999999999999993,0.646,Wednesday,October,2023
2023-10-03,31.25,31.4,30.95,31.15,240188.0,ATX,-0.10000000000000142,-0.32,Tuesday,October,2023
2023-10-02,31.4,31.7,31.3,31.35,108391.0,ATX,-0.04999999999999716,-0.159,Monday,October,2023
2023-09-29,31.0,31.45,31.0,31.4,199238.0,ATX,0.3999999999999986,1.29,Friday,September,2023
2023-09-28,30.65,31.0,30.65,30.9,89897.0,ATX,0.25,0.816,Thursday,September,2023
2023-09-27,31.1,31.1,30.65,30.8,143715.0,ATX,-0.3000000000000007,-0.965,Wednesday,September,2023
2023-09-26,31.0,31.1,30.8,30.85,184396.0,ATX,-0.14999999999999858,-0.484,Tuesday,September,2023
2023-09-25,30.55,31.0,30.55,30.95,106874.0,ATX,0.3999999999999986,1.309,Monday,September,2023
2023-09-22,30.55,30.85,30.5,30.85,92948.0,ATX,0.3000000000000007,0.982,Friday,September,2023
2023-09-21,30.55,31.0,30.55,30.7,101536.0,ATX,0.14999999999999858,0.491,Thursday,September,2023
2023-09-20,30.5,30.9,30.35,30.8,160069.0,ATX,0.3000000000000007,0.984,Wednesday,September,2023
2023-09-19,30.7,30.75,30.4,30.45,88717.0,ATX,-0.25,-0.814,Tuesday,September,2023
2023-09-18,30.2,30.7,30.15,30.3,161522.0,ATX,0.10000000000000142,0.331,Monday,September,2023
2023-09-15,30.7,30.8,30.4,30.45,170010.0,ATX,-0.25,-0.814,Friday,September,2023
2023-09-14,30.4,30.7,30.3,30.6,131773.0,ATX,0.20000000000000284,0.658,Thursday,September,2023
2023-09-13,30.2,30.5,30.2,30.4,97311.0,ATX,0.1999999999999993,0.662,Wednesday,September,2023
