Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,128.6,129.8,128.4,129.4,3713.0,ATX,0.8000000000000114,0.622,Monday,January,2024
2024-01-05,129.4,129.6,127.2,128.6,5777.0,ATX,-0.8000000000000114,-0.618,Friday,January,2024
2024-01-04,129.0,130.4,128.2,130.0,7174.0,ATX,1.0,0.775,Thursday,January,2024
2024-01-03,131.6,131.6,129.0,129.0,6867.0,ATX,-2.5999999999999943,-1.976,Wednesday,January,2024
2024-01-02,136.2,137.0,132.0,132.0,5688.0,ATX,-4.199999999999989,-3.084,Tuesday,January,2024
2023-12-29,132.0,134.4,130.4,134.4,10667.0,ATX,2.4000000000000057,1.818,Friday,December,2023
2023-12-28,132.2,132.2,129.4,132.0,15201.0,ATX,-0.19999999999998863,-0.151,Thursday,December,2023
2023-12-27,133.0,133.0,129.0,131.8,10169.0,ATX,-1.1999999999999886,-0.902,Wednesday,December,2023
2023-12-22,133.0,136.0,132.8,133.4,9776.0,ATX,0.4000000000000057,0.301,Friday,December,2023
2023-12-21,131.8,133.2,130.8,133.2,7369.0,ATX,1.3999999999999773,1.062,Thursday,December,2023
2023-12-20,129.0,132.0,129.0,131.0,5852.0,ATX,2.0,1.55,Wednesday,December,2023
2023-12-19,128.8,131.0,128.8,130.0,6094.0,ATX,1.1999999999999886,0.932,Tuesday,December,2023
2023-12-18,131.0,132.6,128.6,129.0,14133.0,ATX,-2.0,-1.527,Monday,December,2023
2023-12-15,132.2,133.2,131.0,132.0,24238.0,ATX,-0.19999999999998863,-0.151,Friday,December,2023
2023-12-14,131.2,135.0,131.2,132.8,16249.0,ATX,1.6000000000000227,1.22,Thursday,December,2023
2023-12-13,130.0,132.6,128.0,131.2,16375.0,ATX,1.1999999999999886,0.923,Wednesday,December,2023
2023-12-12,127.0,130.4,126.2,129.8,8483.0,ATX,2.8000000000000114,2.205,Tuesday,December,2023
2023-12-11,129.6,129.6,127.2,128.2,7772.0,ATX,-1.4000000000000057,-1.08,Monday,December,2023
2023-12-08,125.2,129.8,125.2,128.8,12536.0,ATX,3.6000000000000085,2.875,Friday,December,2023
2023-12-07,123.8,126.0,123.4,126.0,8020.0,ATX,2.200000000000003,1.777,Thursday,December,2023
2023-12-06,125.0,125.8,123.6,123.8,7724.0,ATX,-1.2000000000000028,-0.96,Wednesday,December,2023
2023-12-05,126.0,126.8,125.4,125.4,11553.0,ATX,-0.5999999999999943,-0.476,Tuesday,December,2023
2023-12-04,126.2,128.0,125.0,126.6,16055.0,ATX,0.3999999999999915,0.317,Monday,December,2023
2023-12-01,125.8,128.2,125.8,128.0,13798.0,ATX,2.200000000000003,1.749,Friday,December,2023
2023-11-30,127.2,127.2,124.0,126.0,16410.0,ATX,-1.2000000000000028,-0.943,Thursday,November,2023
2023-11-29,126.0,129.2,126.0,126.2,19019.0,ATX,0.20000000000000284,0.159,Wednesday,November,2023
