Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,28.4,28.7,28.3,28.65,52069.0,ATX,0.25,0.88,Monday,January,2024
2024-01-05,28.45,28.6,28.2,28.5,34587.0,ATX,0.05000000000000071,0.176,Friday,January,2024
2024-01-04,28.6,28.6,28.25,28.55,56222.0,ATX,-0.05000000000000071,-0.175,Thursday,January,2024
2024-01-03,28.4,28.55,28.15,28.45,69809.0,ATX,0.05000000000000071,0.176,Wednesday,January,2024
2024-01-02,28.5,28.6,28.1,28.4,69400.0,ATX,-0.10000000000000142,-0.351,Tuesday,January,2024
2023-12-29,28.4,28.5,28.1,28.45,58282.0,ATX,0.05000000000000071,0.176,Friday,December,2023
2023-12-28,28.25,28.5,28.0,28.3,71126.0,ATX,0.05000000000000071,0.177,Thursday,December,2023
2023-12-27,28.35,28.45,28.2,28.45,49962.0,ATX,0.09999999999999787,0.353,Wednesday,December,2023
2023-12-22,28.4,28.45,27.95,28.4,63298.0,ATX,0.0,0.0,Friday,December,2023
2023-12-21,27.95,28.35,27.75,28.35,63301.0,ATX,0.40000000000000213,1.431,Thursday,December,2023
2023-12-20,28.0,28.25,27.9,28.2,46798.0,ATX,0.1999999999999993,0.714,Wednesday,December,2023
2023-12-19,28.0,28.2,27.6,28.05,61783.0,ATX,0.05000000000000071,0.179,Tuesday,December,2023
2023-12-18,28.1,28.15,27.75,27.95,55542.0,ATX,-0.15000000000000213,-0.534,Monday,December,2023
2023-12-15,27.5,28.15,27.3,27.95,204555.0,ATX,0.4499999999999993,1.636,Friday,December,2023
2023-12-14,27.0,27.5,26.9,27.5,108016.0,ATX,0.5,1.852,Thursday,December,2023
2023-12-13,26.5,26.8,26.45,26.6,70668.0,ATX,0.10000000000000142,0.377,Wednesday,December,2023
2023-12-12,26.8,27.3,26.35,26.55,146691.0,ATX,-0.25,-0.933,Tuesday,December,2023
2023-12-11,26.95,27.25,26.8,26.9,107072.0,ATX,-0.05000000000000071,-0.186,Monday,December,2023
2023-12-08,27.2,27.25,26.9,27.15,42642.0,ATX,-0.05000000000000071,-0.184,Friday,December,2023
2023-12-07,27.1,27.3,26.85,27.1,46402.0,ATX,0.0,0.0,Thursday,December,2023
2023-12-06,27.2,27.4,27.1,27.15,50347.0,ATX,-0.05000000000000071,-0.184,Wednesday,December,2023
2023-12-05,27.0,27.4,26.95,27.25,55994.0,ATX,0.25,0.926,Tuesday,December,2023
2023-12-04,27.2,27.45,27.05,27.2,63480.0,ATX,0.0,0.0,Monday,December,2023
2023-12-01,26.95,27.25,26.95,27.25,52590.0,ATX,0.3000000000000007,1.113,Friday,December,2023
2023-11-30,26.85,27.1,26.8,27.0,60199.0,ATX,0.14999999999999858,0.559,Thursday,November,2023
2023-11-29,27.05,27.25,26.85,26.85,59480.0,ATX,-0.1999999999999993,-0.739,Wednesday,November,2023
2023-11-28,27.0,27.25,27.0,27.2,39507.0,ATX,0.1999999999999993,0.741,Tuesday,November,2023
2023-11-27,27.0,27.15,26.8,27.05,44406.0,ATX,0.05000000000000071,0.185,Monday,November,2023
2023-11-24,26.85,27.1,26.65,27.05,63757.0,ATX,0.1999999999999993,0.745,Friday,November,2023
2023-11-23,26.9,26.9,26.4,26.85,41422.0,ATX,-0.04999999999999716,-0.186,Thursday,November,2023
2023-11-22,26.65,27.0,26.65,26.85,47860.0,ATX,0.20000000000000284,0.75,Wednesday,November,2023
2023-11-21,26.8,26.95,26.45,26.75,57265.0,ATX,-0.05000000000000071,-0.187,Tuesday,November,2023
2023-11-20,27.35,27.35,26.8,26.95,72987.0,ATX,-0.40000000000000213,-1.463,Monday,November,2023
2023-11-17,27.25,27.5,27.2,27.35,59981.0,ATX,0.10000000000000142,0.367,Friday,November,2023
2023-11-16,27.0,27.35,27.0,27.1,45805.0,ATX,0.10000000000000142,0.37,Thursday,November,2023
2023-11-15,26.7,27.15,26.7,27.05,83206.0,ATX,0.3500000000000014,1.311,Wednesday,November,2023
2023-11-14,26.25,26.6,26.05,26.55,103373.0,ATX,0.3000000000000007,1.143,Tuesday,November,2023
2023-11-13,26.4,26.5,26.05,26.25,57122.0,ATX,-0.14999999999999858,-0.568,Monday,November,2023
2023-11-10,26.1,26.3,26.1,26.3,33126.0,ATX,0.1999999999999993,0.766,Friday,November,2023
2023-11-09,25.9,26.3,25.7,26.3,61664.0,ATX,0.40000000000000213,1.544,Thursday,November,2023
2023-11-08,26.0,26.0,25.65,25.85,85772.0,ATX,-0.14999999999999858,-0.577,Wednesday,November,2023
2023-11-07,26.0,26.05,25.5,25.95,48286.0,ATX,-0.05000000000000071,-0.192,Tuesday,November,2023
2023-11-06,26.2,26.35,25.8,25.95,90727.0,ATX,-0.25,-0.954,Monday,November,2023
2023-11-03,26.0,26.4,25.95,26.25,55961.0,ATX,0.25,0.962,Friday,November,2023
2023-11-02,25.8,26.2,25.75,26.1,178688.0,ATX,0.3000000000000007,1.163,Thursday,November,2023
2023-11-01,25.65,25.9,25.45,25.85,94382.0,ATX,0.20000000000000284,0.78,Wednesday,November,2023
2023-10-31,25.6,25.75,25.35,25.65,95471.0,ATX,0.04999999999999716,0.195,Tuesday,October,2023
2023-10-30,25.2,25.7,25.2,25.6,93239.0,ATX,0.40000000000000213,1.587,Monday,October,2023
2023-10-27,24.8,25.3,24.8,25.15,81671.0,ATX,0.34999999999999787,1.411,Friday,October,2023
2023-10-25,24.8,24.95,24.4,24.95,78773.0,ATX,0.14999999999999858,0.605,Wednesday,October,2023
2023-10-24,24.7,24.9,24.65,24.85,59251.0,ATX,0.15000000000000213,0.607,Tuesday,October,2023
2023-10-23,24.65,24.8,24.4,24.8,90031.0,ATX,0.15000000000000213,0.609,Monday,October,2023
2023-10-20,24.65,24.9,24.5,24.75,107168.0,ATX,0.10000000000000142,0.406,Friday,October,2023
2023-10-19,24.6,24.95,24.6,24.9,84363.0,ATX,0.29999999999999716,1.22,Thursday,October,2023
2023-10-18,24.8,24.95,24.7,24.75,109356.0,ATX,-0.05000000000000071,-0.202,Wednesday,October,2023
2023-10-17,25.05,25.1,24.5,24.85,158018.0,ATX,-0.1999999999999993,-0.798,Tuesday,October,2023
2023-10-16,25.1,25.1,24.65,24.85,75224.0,ATX,-0.25,-0.996,Monday,October,2023
2023-10-13,24.8,25.1,24.75,24.95,222195.0,ATX,0.14999999999999858,0.605,Friday,October,2023
2023-10-12,24.95,25.15,24.8,24.9,111225.0,ATX,-0.05000000000000071,-0.2,Thursday,October,2023
2023-10-11,24.6,25.05,24.6,24.85,247831.0,ATX,0.25,1.016,Wednesday,October,2023
2023-10-10,24.5,24.8,24.3,24.7,133825.0,ATX,0.1999999999999993,0.816,Tuesday,October,2023
2023-10-09,24.0,24.7,24.0,24.55,126800.0,ATX,0.5500000000000007,2.292,Monday,October,2023
2023-10-06,24.45,24.7,24.35,24.6,106305.0,ATX,0.15000000000000213,0.613,Friday,October,2023
2023-10-05,24.7,24.85,24.3,24.55,194374.0,ATX,-0.14999999999999858,-0.607,Thursday,October,2023
2023-10-04,24.65,24.85,24.45,24.7,114845.0,ATX,0.05000000000000071,0.203,Wednesday,October,2023
2023-10-03,24.7,25.0,24.45,24.65,148640.0,ATX,-0.05000000000000071,-0.202,Tuesday,October,2023
2023-10-02,25.5,25.5,24.7,24.9,159445.0,ATX,-0.6000000000000014,-2.353,Monday,October,2023
2023-09-29,25.0,25.5,25.0,25.3,113678.0,ATX,0.3000000000000007,1.2,Friday,September,2023
2023-09-28,24.9,25.05,24.65,25.0,67209.0,ATX,0.10000000000000142,0.402,Thursday,September,2023
2023-09-27,24.95,25.0,24.4,24.8,179277.0,ATX,-0.14999999999999858,-0.601,Wednesday,September,2023
2023-09-26,24.7,25.1,24.65,24.95,93786.0,ATX,0.25,1.012,Tuesday,September,2023
2023-09-25,24.5,24.95,24.5,24.95,88041.0,ATX,0.4499999999999993,1.837,Monday,September,2023
2023-09-22,24.5,24.9,24.2,24.75,122238.0,ATX,0.25,1.02,Friday,September,2023
2023-09-21,24.5,24.8,24.5,24.7,56576.0,ATX,0.1999999999999993,0.816,Thursday,September,2023
2023-09-20,24.3,24.8,24.25,24.7,70620.0,ATX,0.3999999999999986,1.646,Wednesday,September,2023
2023-09-19,23.9,24.4,23.9,24.3,48857.0,ATX,0.40000000000000213,1.674,Tuesday,September,2023
