Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,21.2,21.45,20.6,20.95,606830.0,ATX,-0.25,-1.179,Monday,January,2024
2024-01-05,21.0,21.45,20.9,21.35,478151.0,ATX,0.3500000000000014,1.667,Friday,January,2024
2024-01-04,21.0,21.25,20.85,21.1,66149.0,ATX,0.10000000000000142,0.476,Thursday,January,2024
2024-01-03,21.0,21.3,20.85,21.1,206495.0,ATX,0.10000000000000142,0.476,Wednesday,January,2024
2024-01-02,20.95,21.2,20.9,21.05,121067.0,ATX,0.10000000000000142,0.477,Tuesday,January,2024
2023-12-29,21.0,21.3,20.8,21.05,299833.0,ATX,0.05000000000000071,0.238,Friday,December,2023
2023-12-28,20.8,21.2,20.8,21.15,103485.0,ATX,0.34999999999999787,1.683,Thursday,December,2023
2023-12-27,20.8,21.0,20.7,20.95,77200.0,ATX,0.14999999999999858,0.721,Wednesday,December,2023
2023-12-22,20.3,20.8,20.3,20.8,204041.0,ATX,0.5,2.463,Friday,December,2023
2023-12-21,20.2,20.45,20.15,20.45,167701.0,ATX,0.25,1.238,Thursday,December,2023
2023-12-20,20.1,20.25,20.0,20.25,105914.0,ATX,0.14999999999999858,0.746,Wednesday,December,2023
2023-12-19,19.94,20.2,19.94,20.15,72883.0,ATX,0.2099999999999973,1.053,Tuesday,December,2023
2023-12-18,19.84,20.1,19.84,20.05,84182.0,ATX,0.21000000000000085,1.058,Monday,December,2023
2023-12-15,19.84,20.35,19.84,20.05,414293.0,ATX,0.21000000000000085,1.058,Friday,December,2023
2023-12-14,19.42,19.96,19.42,19.96,192731.0,ATX,0.5399999999999991,2.781,Thursday,December,2023
2023-12-13,19.06,19.5,19.06,19.46,227730.0,ATX,0.40000000000000213,2.099,Wednesday,December,2023
2023-12-12,18.84,19.3,18.84,19.18,148459.0,ATX,0.33999999999999986,1.805,Tuesday,December,2023
2023-12-11,18.86,19.02,18.76,18.94,77524.0,ATX,0.08000000000000185,0.424,Monday,December,2023
2023-12-08,18.94,19.04,18.92,18.92,57664.0,ATX,-0.019999999999999574,-0.106,Friday,December,2023
2023-12-07,19.12,19.14,18.9,18.92,154614.0,ATX,-0.1999999999999993,-1.046,Thursday,December,2023
2023-12-06,18.9,19.2,18.9,19.14,78596.0,ATX,0.240000000000002,1.27,Wednesday,December,2023
2023-12-05,18.8,19.2,18.8,19.0,67748.0,ATX,0.1999999999999993,1.064,Tuesday,December,2023
2023-12-04,19.0,19.04,18.86,19.0,58220.0,ATX,0.0,0.0,Monday,December,2023
2023-12-01,18.82,19.14,18.76,18.94,108116.0,ATX,0.120000000000001,0.638,Friday,December,2023
2023-11-30,18.78,19.1,18.76,18.94,277174.0,ATX,0.16000000000000014,0.852,Thursday,November,2023
2023-11-29,18.5,19.04,18.5,18.96,98490.0,ATX,0.46000000000000085,2.486,Wednesday,November,2023
2023-11-28,18.5,18.84,18.4,18.72,214981.0,ATX,0.21999999999999886,1.189,Tuesday,November,2023
2023-11-27,18.7,18.88,17.86,18.66,575214.0,ATX,-0.03999999999999915,-0.214,Monday,November,2023
2023-11-24,19.3,19.6,18.84,18.84,161110.0,ATX,-0.46000000000000085,-2.383,Friday,November,2023
2023-11-23,18.9,19.4,18.9,19.4,191897.0,ATX,0.5,2.646,Thursday,November,2023
2023-11-22,18.2,19.1,18.16,19.1,304624.0,ATX,0.9000000000000021,4.945,Wednesday,November,2023
2023-11-21,18.36,18.56,17.94,18.22,387336.0,ATX,-0.14000000000000057,-0.763,Tuesday,November,2023
