Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,35.2,35.25,34.2,34.7,38204.0,ATX,-0.5,-1.42,Monday,January,2024
2024-01-05,34.65,35.0,34.1,34.85,36303.0,ATX,0.20000000000000284,0.577,Friday,January,2024
2024-01-04,34.35,34.85,34.0,34.65,46634.0,ATX,0.29999999999999716,0.873,Thursday,January,2024
2024-01-03,36.2,36.2,33.6,33.6,107153.0,ATX,-2.6000000000000014,-7.182,Wednesday,January,2024
2024-01-02,35.7,36.35,35.3,35.65,59900.0,ATX,-0.05000000000000426,-0.14,Tuesday,January,2024
2023-12-29,34.3,35.7,34.3,35.55,78349.0,ATX,1.25,3.644,Friday,December,2023
2023-12-28,36.1,36.1,34.25,34.25,138124.0,ATX,-1.8500000000000014,-5.125,Thursday,December,2023
2023-12-27,36.1,36.75,36.0,36.2,46761.0,ATX,0.10000000000000142,0.277,Wednesday,December,2023
2023-12-22,36.6,36.6,35.65,36.4,46462.0,ATX,-0.20000000000000284,-0.546,Friday,December,2023
2023-12-21,36.5,36.6,35.8,36.6,48309.0,ATX,0.10000000000000142,0.274,Thursday,December,2023
2023-12-20,36.95,37.65,36.35,36.9,65633.0,ATX,-0.05000000000000426,-0.135,Wednesday,December,2023
2023-12-19,37.0,37.9,36.05,37.3,72387.0,ATX,0.29999999999999716,0.811,Tuesday,December,2023
2023-12-18,36.7,37.25,36.15,37.25,66762.0,ATX,0.5499999999999972,1.499,Monday,December,2023
2023-12-15,37.0,37.15,36.2,36.75,100064.0,ATX,-0.25,-0.676,Friday,December,2023
2023-12-14,33.9,37.4,33.8,36.25,224576.0,ATX,2.3500000000000014,6.932,Thursday,December,2023
2023-12-13,33.5,34.45,33.3,33.35,70865.0,ATX,-0.14999999999999858,-0.448,Wednesday,December,2023
2023-12-12,33.05,34.05,32.45,33.6,136135.0,ATX,0.5500000000000043,1.664,Tuesday,December,2023
2023-12-11,33.5,33.6,33.0,33.1,67950.0,ATX,-0.3999999999999986,-1.194,Monday,December,2023
2023-12-08,34.05,34.65,33.35,33.95,43421.0,ATX,-0.09999999999999432,-0.294,Friday,December,2023
2023-12-07,34.1,34.7,33.75,34.45,73444.0,ATX,0.3500000000000014,1.026,Thursday,December,2023
2023-12-06,34.2,34.2,33.0,33.7,154817.0,ATX,-0.5,-1.462,Wednesday,December,2023
2023-12-05,34.4,34.4,33.5,33.9,89441.0,ATX,-0.5,-1.453,Tuesday,December,2023
2023-12-04,34.35,35.35,34.0,34.0,50686.0,ATX,-0.3500000000000014,-1.019,Monday,December,2023
2023-12-01,34.8,35.05,34.1,34.35,32277.0,ATX,-0.44999999999999574,-1.293,Friday,December,2023
2023-11-30,35.2,35.2,34.2,34.95,69883.0,ATX,-0.25,-0.71,Thursday,November,2023
2023-11-29,35.0,36.05,34.6,35.1,44835.0,ATX,0.10000000000000142,0.286,Wednesday,November,2023
2023-11-28,34.75,35.15,34.1,35.05,59167.0,ATX,0.29999999999999716,0.863,Tuesday,November,2023
2023-11-27,35.8,36.0,34.5,34.5,50939.0,ATX,-1.2999999999999972,-3.631,Monday,November,2023
2023-11-24,36.0,36.2,35.0,35.7,78496.0,ATX,-0.29999999999999716,-0.833,Friday,November,2023
2023-11-23,37.6,37.65,36.15,36.15,62684.0,ATX,-1.4500000000000028,-3.856,Thursday,November,2023
2023-11-22,38.0,38.7,37.3,37.55,39818.0,ATX,-0.45000000000000284,-1.184,Wednesday,November,2023
2023-11-21,39.9,40.0,37.85,37.85,38807.0,ATX,-2.049999999999997,-5.138,Tuesday,November,2023
2023-11-20,38.9,39.7,38.4,39.7,25582.0,ATX,0.8000000000000043,2.057,Monday,November,2023
2023-11-17,38.5,39.95,38.5,38.75,55159.0,ATX,0.25,0.649,Friday,November,2023
2023-11-16,39.45,39.45,38.35,38.85,32901.0,ATX,-0.6000000000000014,-1.521,Thursday,November,2023
2023-11-15,38.2,39.4,38.15,39.4,56709.0,ATX,1.1999999999999957,3.141,Wednesday,November,2023
2023-11-14,36.55,38.15,36.4,38.15,52183.0,ATX,1.6000000000000014,4.378,Tuesday,November,2023
2023-11-13,36.4,36.8,36.05,36.8,28303.0,ATX,0.3999999999999986,1.099,Monday,November,2023
2023-11-10,36.45,36.5,35.75,36.5,27367.0,ATX,0.04999999999999716,0.137,Friday,November,2023
2023-11-09,37.1,37.1,36.0,36.7,55955.0,ATX,-0.3999999999999986,-1.078,Thursday,November,2023
2023-11-08,36.6,37.0,35.8,36.85,27745.0,ATX,0.25,0.683,Wednesday,November,2023
2023-11-07,38.3,38.3,35.6,36.3,88076.0,ATX,-2.0,-5.222,Tuesday,November,2023
2023-11-06,36.8,38.4,36.5,38.2,76702.0,ATX,1.4000000000000057,3.804,Monday,November,2023
2023-11-03,38.0,38.75,34.55,36.35,134825.0,ATX,-1.6499999999999986,-4.342,Friday,November,2023
2023-11-02,36.75,38.5,36.75,38.35,71246.0,ATX,1.6000000000000014,4.354,Thursday,November,2023
2023-11-01,36.8,36.95,36.25,36.65,18361.0,ATX,-0.14999999999999858,-0.408,Wednesday,November,2023
2023-10-31,36.2,36.75,36.0,36.75,29585.0,ATX,0.5499999999999972,1.519,Tuesday,October,2023
2023-10-30,35.4,36.4,35.4,35.7,32384.0,ATX,0.30000000000000426,0.847,Monday,October,2023
2023-10-27,34.95,35.45,34.15,35.2,40174.0,ATX,0.25,0.715,Friday,October,2023
2023-10-25,34.8,34.95,33.5,34.8,74732.0,ATX,0.0,0.0,Wednesday,October,2023
2023-10-24,34.35,35.2,34.35,34.8,26769.0,ATX,0.44999999999999574,1.31,Tuesday,October,2023
2023-10-23,34.55,34.55,33.45,34.35,68235.0,ATX,-0.19999999999999574,-0.579,Monday,October,2023
2023-10-20,35.15,35.25,34.15,34.3,83456.0,ATX,-0.8500000000000014,-2.418,Friday,October,2023
2023-10-19,35.65,35.75,35.1,35.1,51593.0,ATX,-0.5499999999999972,-1.543,Thursday,October,2023
2023-10-18,36.95,36.95,35.3,35.45,81181.0,ATX,-1.5,-4.06,Wednesday,October,2023
2023-10-17,37.4,37.4,36.05,36.85,43194.0,ATX,-0.5499999999999972,-1.471,Tuesday,October,2023
2023-10-16,37.5,37.65,36.95,37.1,25441.0,ATX,-0.3999999999999986,-1.067,Monday,October,2023
2023-10-13,38.6,38.6,37.15,37.2,32071.0,ATX,-1.3999999999999986,-3.627,Friday,October,2023
2023-10-12,39.0,39.65,38.05,38.05,35680.0,ATX,-0.9500000000000028,-2.436,Thursday,October,2023
2023-10-11,38.0,39.1,38.0,38.65,34615.0,ATX,0.6499999999999986,1.711,Wednesday,October,2023
2023-10-10,36.2,38.45,36.2,38.15,50870.0,ATX,1.9499999999999957,5.387,Tuesday,October,2023
2023-10-09,37.2,37.35,35.9,36.1,41262.0,ATX,-1.1000000000000014,-2.957,Monday,October,2023
2023-10-06,37.3,37.35,36.35,37.25,36207.0,ATX,-0.04999999999999716,-0.134,Friday,October,2023
