Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,125.6,126.6,122.8,124.8,5504.0,ATX,-0.7999999999999972,-0.637,Monday,January,2024
2024-01-05,124.6,125.8,123.4,125.0,5785.0,ATX,0.4000000000000057,0.321,Friday,January,2024
2024-01-04,123.8,125.4,123.2,123.6,12322.0,ATX,-0.20000000000000284,-0.162,Thursday,January,2024
2024-01-03,123.6,124.2,122.2,123.8,3464.0,ATX,0.20000000000000284,0.162,Wednesday,January,2024
2024-01-02,124.6,127.2,122.6,122.6,3655.0,ATX,-2.0,-1.605,Tuesday,January,2024
2023-12-29,124.6,126.6,124.2,126.6,4995.0,ATX,2.0,1.605,Friday,December,2023
2023-12-28,127.6,128.2,124.4,125.2,7639.0,ATX,-2.3999999999999915,-1.881,Thursday,December,2023
2023-12-27,125.4,127.6,125.2,127.0,2913.0,ATX,1.5999999999999943,1.276,Wednesday,December,2023
2023-12-22,125.8,127.0,125.8,125.8,2240.0,ATX,0.0,0.0,Friday,December,2023
2023-12-21,124.8,126.4,124.8,126.4,5327.0,ATX,1.6000000000000085,1.282,Thursday,December,2023
2023-12-20,122.6,125.4,122.6,124.8,7944.0,ATX,2.200000000000003,1.794,Wednesday,December,2023
2023-12-19,122.6,124.0,122.6,123.6,7376.0,ATX,1.0,0.816,Tuesday,December,2023
2023-12-18,121.0,123.2,120.4,122.6,5127.0,ATX,1.5999999999999943,1.322,Monday,December,2023
2023-12-15,122.2,123.4,120.8,122.6,20108.0,ATX,0.3999999999999915,0.327,Friday,December,2023
2023-12-14,118.4,124.0,118.4,122.4,12682.0,ATX,4.0,3.378,Thursday,December,2023
2023-12-13,116.0,119.6,115.6,118.6,9142.0,ATX,2.5999999999999943,2.241,Wednesday,December,2023
2023-12-12,113.4,115.8,113.0,115.2,9486.0,ATX,1.7999999999999972,1.587,Tuesday,December,2023
2023-12-11,115.0,115.0,113.4,114.8,3930.0,ATX,-0.20000000000000284,-0.174,Monday,December,2023
2023-12-08,114.6,115.8,113.6,114.4,5467.0,ATX,-0.19999999999998863,-0.175,Friday,December,2023
2023-12-07,113.0,114.6,112.0,113.8,3557.0,ATX,0.7999999999999972,0.708,Thursday,December,2023
2023-12-06,112.8,113.8,111.2,113.2,9220.0,ATX,0.4000000000000057,0.355,Wednesday,December,2023
2023-12-05,111.8,112.4,110.4,111.6,9455.0,ATX,-0.20000000000000284,-0.179,Tuesday,December,2023
2023-12-04,113.0,113.0,111.0,111.6,6174.0,ATX,-1.4000000000000057,-1.239,Monday,December,2023
2023-12-01,112.4,114.2,111.8,112.8,6344.0,ATX,0.3999999999999915,0.356,Friday,December,2023
2023-11-30,114.6,114.6,112.2,112.6,3206.0,ATX,-2.0,-1.745,Thursday,November,2023
2023-11-29,112.8,114.6,112.0,112.6,6869.0,ATX,-0.20000000000000284,-0.177,Wednesday,November,2023
2023-11-28,113.2,114.0,112.4,113.0,2862.0,ATX,-0.20000000000000284,-0.177,Tuesday,November,2023
2023-11-27,110.6,114.8,110.6,114.2,6197.0,ATX,3.6000000000000085,3.255,Monday,November,2023
2023-11-24,116.0,116.2,111.0,111.8,14169.0,ATX,-4.200000000000003,-3.621,Friday,November,2023
2023-11-23,118.2,118.2,116.0,116.0,3050.0,ATX,-2.200000000000003,-1.861,Thursday,November,2023
2023-11-22,114.4,118.0,114.4,118.0,5522.0,ATX,3.5999999999999943,3.147,Wednesday,November,2023
2023-11-21,117.4,117.8,114.2,114.4,6494.0,ATX,-3.0,-2.555,Tuesday,November,2023
2023-11-20,117.0,118.4,115.8,118.0,5799.0,ATX,1.0,0.855,Monday,November,2023
2023-11-17,120.0,120.0,115.4,116.0,8132.0,ATX,-4.0,-3.333,Friday,November,2023
2023-11-16,118.2,120.0,118.0,118.0,3604.0,ATX,-0.20000000000000284,-0.169,Thursday,November,2023
2023-11-15,122.2,124.2,118.6,119.2,8828.0,ATX,-3.0,-2.455,Wednesday,November,2023
