Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,32.65,32.8,32.35,32.65,21968.0,ATX,0.0,0.0,Monday,January,2024
2024-01-05,32.5,32.8,32.45,32.5,21595.0,ATX,0.0,0.0,Friday,January,2024
2024-01-04,32.4,32.85,32.3,32.75,29894.0,ATX,0.3500000000000014,1.08,Thursday,January,2024
2024-01-03,32.65,32.65,32.3,32.45,18302.0,ATX,-0.19999999999999574,-0.613,Wednesday,January,2024
2024-01-02,32.8,33.0,32.45,32.45,28739.0,ATX,-0.3499999999999943,-1.067,Tuesday,January,2024
2023-12-29,32.05,32.75,32.05,32.7,36741.0,ATX,0.6500000000000057,2.028,Friday,December,2023
2023-12-28,32.35,32.4,32.15,32.25,24960.0,ATX,-0.10000000000000142,-0.309,Thursday,December,2023
2023-12-27,32.65,32.75,32.35,32.45,40745.0,ATX,-0.19999999999999574,-0.613,Wednesday,December,2023
2023-12-22,32.35,32.8,32.35,32.75,11160.0,ATX,0.3999999999999986,1.236,Friday,December,2023
2023-12-21,33.1,33.4,32.55,32.65,51532.0,ATX,-0.45000000000000284,-1.36,Thursday,December,2023
2023-12-20,32.4,33.25,32.15,33.2,170853.0,ATX,0.8000000000000043,2.469,Wednesday,December,2023
2023-12-19,32.3,32.5,32.1,32.2,36880.0,ATX,-0.09999999999999432,-0.31,Tuesday,December,2023
2023-12-18,31.4,32.2,31.4,32.1,69997.0,ATX,0.7000000000000028,2.229,Monday,December,2023
2023-12-15,31.4,32.1,31.35,31.9,156970.0,ATX,0.5,1.592,Friday,December,2023
2023-12-14,31.5,31.8,31.35,31.55,34938.0,ATX,0.05000000000000071,0.159,Thursday,December,2023
2023-12-13,31.7,31.7,31.5,31.55,22162.0,ATX,-0.14999999999999858,-0.473,Wednesday,December,2023
2023-12-12,31.35,31.65,31.35,31.6,38081.0,ATX,0.25,0.797,Tuesday,December,2023
2023-12-11,31.3,31.7,31.3,31.7,39712.0,ATX,0.3999999999999986,1.278,Monday,December,2023
2023-12-08,31.8,31.8,31.5,31.75,12488.0,ATX,-0.05000000000000071,-0.157,Friday,December,2023
2023-12-07,31.4,31.7,31.4,31.45,19724.0,ATX,0.05000000000000071,0.159,Thursday,December,2023
2023-12-06,31.5,31.9,31.5,31.75,35343.0,ATX,0.25,0.794,Wednesday,December,2023
2023-12-05,31.4,31.8,31.35,31.6,40463.0,ATX,0.20000000000000284,0.637,Tuesday,December,2023
2023-12-04,31.5,32.0,31.4,31.5,38827.0,ATX,0.0,0.0,Monday,December,2023
2023-12-01,31.75,31.75,31.5,31.5,25342.0,ATX,-0.25,-0.787,Friday,December,2023
2023-11-30,31.75,32.0,31.4,31.45,60364.0,ATX,-0.3000000000000007,-0.945,Thursday,November,2023
2023-11-29,31.8,32.1,31.8,31.9,21907.0,ATX,0.09999999999999787,0.314,Wednesday,November,2023
2023-11-28,32.2,32.2,31.6,31.85,35240.0,ATX,-0.3500000000000014,-1.087,Tuesday,November,2023
2023-11-27,31.8,32.45,31.8,32.0,37361.0,ATX,0.1999999999999993,0.629,Monday,November,2023
2023-11-24,32.2,32.2,31.9,32.0,20082.0,ATX,-0.20000000000000284,-0.621,Friday,November,2023
2023-11-23,32.25,32.25,31.75,31.9,23123.0,ATX,-0.3500000000000014,-1.085,Thursday,November,2023
2023-11-22,31.75,32.2,31.75,32.05,21086.0,ATX,0.29999999999999716,0.945,Wednesday,November,2023
2023-11-21,32.25,32.3,31.6,31.85,40799.0,ATX,-0.3999999999999986,-1.24,Tuesday,November,2023
2023-11-20,32.55,32.55,31.9,32.05,43157.0,ATX,-0.5,-1.536,Monday,November,2023
2023-11-17,32.45,32.65,32.1,32.25,38609.0,ATX,-0.20000000000000284,-0.616,Friday,November,2023
2023-11-16,32.15,32.8,32.15,32.45,44746.0,ATX,0.30000000000000426,0.933,Thursday,November,2023
2023-11-15,32.0,32.45,32.0,32.2,36628.0,ATX,0.20000000000000284,0.625,Wednesday,November,2023
2023-11-14,31.4,32.45,31.25,31.9,65562.0,ATX,0.5,1.592,Tuesday,November,2023
2023-11-13,31.2,31.3,30.7,31.1,44496.0,ATX,-0.09999999999999787,-0.321,Monday,November,2023
2023-11-10,30.8,31.3,30.75,30.95,43164.0,ATX,0.14999999999999858,0.487,Friday,November,2023
2023-11-09,30.6,31.05,30.6,30.95,23684.0,ATX,0.34999999999999787,1.144,Thursday,November,2023
2023-11-08,30.25,30.8,30.25,30.75,244218.0,ATX,0.5,1.653,Wednesday,November,2023
2023-11-07,30.3,30.65,30.3,30.55,30704.0,ATX,0.25,0.825,Tuesday,November,2023
2023-11-06,30.2,30.4,30.1,30.3,20154.0,ATX,0.10000000000000142,0.331,Monday,November,2023
2023-11-03,30.5,30.7,30.25,30.3,32685.0,ATX,-0.1999999999999993,-0.656,Friday,November,2023
2023-11-02,30.0,30.7,30.0,30.55,42371.0,ATX,0.5500000000000007,1.833,Thursday,November,2023
2023-11-01,30.4,30.4,29.8,29.95,29770.0,ATX,-0.4499999999999993,-1.48,Wednesday,November,2023
2023-10-31,29.9,30.25,29.9,30.15,46135.0,ATX,0.25,0.836,Tuesday,October,2023
2023-10-30,30.05,30.45,29.75,29.95,49702.0,ATX,-0.10000000000000142,-0.333,Monday,October,2023
2023-10-27,30.5,30.85,30.1,30.25,53412.0,ATX,-0.25,-0.82,Friday,October,2023
2023-10-25,31.25,31.25,30.8,30.9,30237.0,ATX,-0.3500000000000014,-1.12,Wednesday,October,2023
2023-10-24,31.2,31.4,31.05,31.1,20721.0,ATX,-0.09999999999999787,-0.321,Tuesday,October,2023
2023-10-23,31.3,31.45,31.05,31.15,33187.0,ATX,-0.15000000000000213,-0.479,Monday,October,2023
2023-10-20,31.25,31.3,31.05,31.15,19518.0,ATX,-0.10000000000000142,-0.32,Friday,October,2023
2023-10-19,31.0,31.3,31.0,31.2,19785.0,ATX,0.1999999999999993,0.645,Thursday,October,2023
2023-10-18,31.1,31.35,30.95,31.1,31727.0,ATX,0.0,0.0,Wednesday,October,2023
2023-10-17,31.5,31.5,31.0,31.15,15434.0,ATX,-0.3500000000000014,-1.111,Tuesday,October,2023
2023-10-16,31.0,31.4,31.0,31.4,25471.0,ATX,0.3999999999999986,1.29,Monday,October,2023
2023-10-13,31.45,31.45,31.05,31.35,19902.0,ATX,-0.09999999999999787,-0.318,Friday,October,2023
2023-10-12,31.5,31.55,31.1,31.25,10774.0,ATX,-0.25,-0.794,Thursday,October,2023
2023-10-11,30.75,31.3,30.75,31.3,50180.0,ATX,0.5500000000000007,1.789,Wednesday,October,2023
