Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,18.5,18.74,18.39,18.74,255140.0,ATX,0.23999999999999844,1.297,Monday,January,2024
2024-01-05,18.24,18.6,18.18,18.57,261276.0,ATX,0.33000000000000185,1.809,Friday,January,2024
2024-01-04,18.3,18.52,18.21,18.52,309781.0,ATX,0.21999999999999886,1.202,Thursday,January,2024
2024-01-03,18.34,18.49,18.18,18.38,339217.0,ATX,0.03999999999999915,0.218,Wednesday,January,2024
2024-01-02,18.52,18.69,18.41,18.63,307668.0,ATX,0.10999999999999943,0.594,Tuesday,January,2024
2023-12-29,18.5,18.68,18.48,18.67,250855.0,ATX,0.1700000000000017,0.919,Friday,December,2023
2023-12-28,18.5,18.65,18.46,18.63,303180.0,ATX,0.129999999999999,0.703,Thursday,December,2023
2023-12-27,18.71,18.79,18.48,18.75,450482.0,ATX,0.03999999999999915,0.214,Wednesday,December,2023
2023-12-22,18.51,18.76,18.51,18.73,606161.0,ATX,0.21999999999999886,1.189,Friday,December,2023
2023-12-21,18.5,18.65,17.79,18.65,963189.0,ATX,0.14999999999999858,0.811,Thursday,December,2023
2023-12-20,18.2,18.67,17.8,18.67,2739652.0,ATX,0.4700000000000024,2.582,Wednesday,December,2023
2023-12-19,16.11,16.78,16.11,16.55,468720.0,ATX,0.4400000000000013,2.731,Tuesday,December,2023
2023-12-18,16.66,16.7,16.49,16.55,380003.0,ATX,-0.10999999999999943,-0.66,Monday,December,2023
2023-12-15,16.37,16.67,16.33,16.43,707694.0,ATX,0.05999999999999872,0.367,Friday,December,2023
2023-12-14,16.23,16.6,16.2,16.37,602225.0,ATX,0.14000000000000057,0.863,Thursday,December,2023
2023-12-13,15.86,16.25,15.86,16.15,510471.0,ATX,0.28999999999999915,1.828,Wednesday,December,2023
2023-12-12,15.76,15.96,15.76,15.96,454784.0,ATX,0.20000000000000107,1.269,Tuesday,December,2023
2023-12-11,15.63,15.84,15.62,15.77,468719.0,ATX,0.1399999999999988,0.896,Monday,December,2023
2023-12-08,15.38,15.64,15.38,15.62,295507.0,ATX,0.23999999999999844,1.56,Friday,December,2023
2023-12-07,15.5,15.55,15.39,15.5,319702.0,ATX,0.0,0.0,Thursday,December,2023
2023-12-06,15.46,15.64,15.46,15.59,210958.0,ATX,0.129999999999999,0.841,Wednesday,December,2023
2023-12-05,15.35,15.56,15.3,15.5,401398.0,ATX,0.15000000000000036,0.977,Tuesday,December,2023
2023-12-04,15.3,15.49,15.28,15.41,281154.0,ATX,0.10999999999999943,0.719,Monday,December,2023
2023-12-01,15.35,15.52,15.35,15.46,327217.0,ATX,0.11000000000000121,0.717,Friday,December,2023
2023-11-30,15.18,15.36,14.95,15.3,753688.0,ATX,0.120000000000001,0.791,Thursday,November,2023
2023-11-29,15.21,15.49,15.21,15.41,726793.0,ATX,0.1999999999999993,1.315,Wednesday,November,2023
2023-11-28,15.08,15.35,15.08,15.31,414413.0,ATX,0.23000000000000043,1.525,Tuesday,November,2023
2023-11-27,15.1,15.27,14.97,15.25,670299.0,ATX,0.15000000000000036,0.993,Monday,November,2023
2023-11-24,15.1,15.35,15.02,15.17,806269.0,ATX,0.07000000000000028,0.464,Friday,November,2023
2023-11-23,15.77,15.9,15.55,15.78,588211.0,ATX,0.009999999999999787,0.063,Thursday,November,2023
2023-11-22,15.81,15.95,15.76,15.83,508993.0,ATX,0.019999999999999574,0.127,Wednesday,November,2023
2023-11-21,15.83,16.0,15.81,15.83,494635.0,ATX,0.0,0.0,Tuesday,November,2023
2023-11-20,15.7,15.85,15.53,15.79,369094.0,ATX,0.08999999999999986,0.573,Monday,November,2023
