Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,43.9,44.2,43.25,43.45,18885.0,ATX,-0.44999999999999574,-1.025,Monday,January,2024
2024-01-05,43.45,44.15,42.95,44.0,26053.0,ATX,0.5499999999999972,1.266,Friday,January,2024
2024-01-04,43.0,43.45,42.75,43.2,25034.0,ATX,0.20000000000000284,0.465,Thursday,January,2024
2024-01-03,43.35,43.45,42.25,42.45,21262.0,ATX,-0.8999999999999986,-2.076,Wednesday,January,2024
2024-01-02,44.5,44.9,43.0,43.0,33073.0,ATX,-1.5,-3.371,Tuesday,January,2024
2023-12-29,44.0,44.4,43.55,44.2,18918.0,ATX,0.20000000000000284,0.455,Friday,December,2023
2023-12-28,43.85,44.05,43.45,43.55,33954.0,ATX,-0.30000000000000426,-0.684,Thursday,December,2023
2023-12-27,43.0,44.2,43.0,43.8,24715.0,ATX,0.7999999999999972,1.86,Wednesday,December,2023
2023-12-22,43.3,43.3,42.55,42.8,11979.0,ATX,-0.5,-1.155,Friday,December,2023
2023-12-21,42.9,43.15,42.35,43.15,20056.0,ATX,0.25,0.583,Thursday,December,2023
2023-12-20,42.9,43.4,42.55,42.8,18324.0,ATX,-0.10000000000000142,-0.233,Wednesday,December,2023
2023-12-19,43.1,43.15,41.75,42.4,30698.0,ATX,-0.7000000000000028,-1.624,Tuesday,December,2023
2023-12-18,42.0,42.75,42.0,42.7,25148.0,ATX,0.7000000000000028,1.667,Monday,December,2023
2023-12-15,42.0,42.85,42.0,42.25,72392.0,ATX,0.25,0.595,Friday,December,2023
2023-12-14,41.4,42.15,41.0,42.0,44783.0,ATX,0.6000000000000014,1.449,Thursday,December,2023
2023-12-13,40.4,41.1,40.1,41.0,28327.0,ATX,0.6000000000000014,1.485,Wednesday,December,2023
2023-12-12,41.45,41.45,40.3,40.4,28639.0,ATX,-1.0500000000000043,-2.533,Tuesday,December,2023
2023-12-11,41.2,41.35,40.6,41.2,39071.0,ATX,0.0,0.0,Monday,December,2023
2023-12-08,41.35,41.5,41.0,41.3,12566.0,ATX,-0.05000000000000426,-0.121,Friday,December,2023
2023-12-07,41.0,41.5,40.7,41.0,38272.0,ATX,0.0,0.0,Thursday,December,2023
2023-12-06,41.55,41.55,40.55,40.7,33729.0,ATX,-0.8499999999999943,-2.046,Wednesday,December,2023
2023-12-05,40.4,41.35,40.1,41.3,63390.0,ATX,0.8999999999999986,2.228,Tuesday,December,2023
2023-12-04,41.4,41.4,40.0,40.55,44267.0,ATX,-0.8500000000000014,-2.053,Monday,December,2023
2023-12-01,41.6,41.6,40.7,41.35,23460.0,ATX,-0.25,-0.601,Friday,December,2023
2023-11-30,41.6,42.05,40.2,41.3,83210.0,ATX,-0.30000000000000426,-0.721,Thursday,November,2023
2023-11-29,42.0,42.55,41.25,41.5,41128.0,ATX,-0.5,-1.19,Wednesday,November,2023
2023-11-28,41.6,41.7,40.8,41.7,42264.0,ATX,0.10000000000000142,0.24,Tuesday,November,2023
2023-11-27,42.3,42.3,41.55,41.6,25064.0,ATX,-0.6999999999999957,-1.655,Monday,November,2023
2023-11-24,42.05,42.2,41.45,42.0,44710.0,ATX,-0.04999999999999716,-0.119,Friday,November,2023
2023-11-23,41.6,42.55,40.75,42.15,68830.0,ATX,0.5499999999999972,1.322,Thursday,November,2023
2023-11-22,44.5,44.8,41.2,41.35,102888.0,ATX,-3.1499999999999986,-7.079,Wednesday,November,2023
2023-11-21,46.25,46.3,42.1,42.5,136833.0,ATX,-3.75,-8.108,Tuesday,November,2023
2023-11-20,46.0,46.45,45.35,45.8,42669.0,ATX,-0.20000000000000284,-0.435,Monday,November,2023
2023-11-17,46.8,46.8,45.05,46.0,77142.0,ATX,-0.7999999999999972,-1.709,Friday,November,2023
2023-11-16,48.2,48.2,46.05,46.45,32900.0,ATX,-1.75,-3.631,Thursday,November,2023
2023-11-15,47.6,48.05,47.45,47.75,13831.0,ATX,0.14999999999999858,0.315,Wednesday,November,2023
2023-11-14,47.8,48.3,47.0,47.5,23181.0,ATX,-0.29999999999999716,-0.628,Tuesday,November,2023
2023-11-13,48.0,48.1,46.95,47.75,13999.0,ATX,-0.25,-0.521,Monday,November,2023
2023-11-10,46.8,47.6,46.55,47.6,11755.0,ATX,0.8000000000000043,1.709,Friday,November,2023
2023-11-09,46.55,47.05,46.05,46.8,24990.0,ATX,0.25,0.537,Thursday,November,2023
2023-11-08,47.55,47.55,46.8,47.05,33691.0,ATX,-0.5,-1.052,Wednesday,November,2023
2023-11-07,49.4,49.4,47.15,47.15,19889.0,ATX,-2.25,-4.555,Tuesday,November,2023
2023-11-06,48.4,49.15,48.4,48.95,12152.0,ATX,0.5500000000000043,1.136,Monday,November,2023
2023-11-03,49.05,49.25,48.15,48.15,14380.0,ATX,-0.8999999999999986,-1.835,Friday,November,2023
2023-11-02,47.8,49.15,47.7,48.7,19142.0,ATX,0.9000000000000057,1.883,Thursday,November,2023
2023-11-01,47.5,47.7,46.95,47.5,7653.0,ATX,0.0,0.0,Wednesday,November,2023
2023-10-31,48.15,48.15,47.35,47.7,13298.0,ATX,-0.44999999999999574,-0.935,Tuesday,October,2023
2023-10-30,47.0,48.4,47.0,47.55,16579.0,ATX,0.5499999999999972,1.17,Monday,October,2023
2023-10-27,47.15,47.8,46.6,47.1,21241.0,ATX,-0.04999999999999716,-0.106,Friday,October,2023
