Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,7.78,7.88,7.77,7.85,67719.0,ATX,0.0699999999999994,0.9,Monday,January,2024
2024-01-05,7.87,7.92,7.74,7.82,76347.0,ATX,-0.04999999999999982,-0.635,Friday,January,2024
2024-01-04,7.94,7.95,7.78,7.95,101746.0,ATX,0.009999999999999787,0.126,Thursday,January,2024
2024-01-03,7.75,7.88,7.75,7.88,143097.0,ATX,0.1299999999999999,1.677,Wednesday,January,2024
2024-01-02,7.75,7.84,7.68,7.83,76970.0,ATX,0.08000000000000007,1.032,Tuesday,January,2024
2023-12-29,7.6,7.7,7.6,7.65,130807.0,ATX,0.05000000000000071,0.658,Friday,December,2023
2023-12-28,7.53,7.65,7.53,7.62,124216.0,ATX,0.08999999999999986,1.195,Thursday,December,2023
2023-12-27,7.63,7.64,7.38,7.59,155435.0,ATX,-0.040000000000000036,-0.524,Wednesday,December,2023
2023-12-22,7.54,7.67,7.54,7.64,35352.0,ATX,0.09999999999999964,1.326,Friday,December,2023
2023-12-21,7.6,7.63,7.56,7.6,74383.0,ATX,0.0,0.0,Thursday,December,2023
2023-12-20,7.47,7.59,7.45,7.55,110953.0,ATX,0.08000000000000007,1.071,Wednesday,December,2023
2023-12-19,7.46,7.5,7.38,7.48,117731.0,ATX,0.020000000000000462,0.268,Tuesday,December,2023
2023-12-18,7.55,7.57,7.44,7.5,60817.0,ATX,-0.04999999999999982,-0.662,Monday,December,2023
2023-12-15,7.45,7.68,7.45,7.59,276282.0,ATX,0.13999999999999968,1.879,Friday,December,2023
2023-12-14,7.68,7.68,7.48,7.53,161816.0,ATX,-0.14999999999999947,-1.953,Thursday,December,2023
2023-12-13,7.7,7.7,7.63,7.63,84083.0,ATX,-0.07000000000000028,-0.909,Wednesday,December,2023
2023-12-12,7.6,7.7,7.55,7.67,82212.0,ATX,0.07000000000000028,0.921,Tuesday,December,2023
2023-12-11,7.61,7.77,7.54,7.66,351737.0,ATX,0.04999999999999982,0.657,Monday,December,2023
