Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,7.41,7.5,7.4,7.5,66163.0,ATX,0.08999999999999986,1.215,Monday,January,2024
2024-01-05,7.5,7.51,7.41,7.42,128632.0,ATX,-0.08000000000000007,-1.067,Friday,January,2024
2024-01-04,7.41,7.51,7.41,7.5,109310.0,ATX,0.08999999999999986,1.215,Thursday,January,2024
2024-01-03,7.45,7.54,7.42,7.44,110364.0,ATX,-0.009999999999999787,-0.134,Wednesday,January,2024
2024-01-02,7.54,7.54,7.35,7.41,318593.0,ATX,-0.1299999999999999,-1.724,Tuesday,January,2024
2023-12-29,7.43,7.48,7.4,7.46,101036.0,ATX,0.03000000000000025,0.404,Friday,December,2023
2023-12-28,7.36,7.42,7.33,7.39,263223.0,ATX,0.02999999999999936,0.408,Thursday,December,2023
2023-12-27,7.37,7.4,7.3,7.4,131484.0,ATX,0.03000000000000025,0.407,Wednesday,December,2023
2023-12-22,7.38,7.38,7.32,7.35,99203.0,ATX,-0.03000000000000025,-0.407,Friday,December,2023
2023-12-21,7.38,7.38,7.3,7.35,135767.0,ATX,-0.03000000000000025,-0.407,Thursday,December,2023
2023-12-20,7.34,7.42,7.33,7.4,253657.0,ATX,0.0600000000000005,0.817,Wednesday,December,2023
2023-12-19,7.3,7.34,7.26,7.31,178309.0,ATX,0.009999999999999787,0.137,Tuesday,December,2023
2023-12-18,7.34,7.37,7.3,7.35,201028.0,ATX,0.009999999999999787,0.136,Monday,December,2023
2023-12-15,7.45,7.49,7.34,7.34,360273.0,ATX,-0.11000000000000032,-1.477,Friday,December,2023
2023-12-14,7.45,7.5,7.37,7.43,234259.0,ATX,-0.020000000000000462,-0.268,Thursday,December,2023
2023-12-13,7.54,7.56,7.4,7.44,173446.0,ATX,-0.09999999999999964,-1.326,Wednesday,December,2023
2023-12-12,7.57,7.58,7.5,7.54,84514.0,ATX,-0.03000000000000025,-0.396,Tuesday,December,2023
2023-12-11,7.56,7.59,7.51,7.55,157879.0,ATX,-0.009999999999999787,-0.132,Monday,December,2023
2023-12-08,7.52,7.59,7.51,7.56,143084.0,ATX,0.040000000000000036,0.532,Friday,December,2023
2023-12-07,7.59,7.61,7.52,7.58,137508.0,ATX,-0.009999999999999787,-0.132,Thursday,December,2023
2023-12-06,7.64,7.65,7.58,7.58,92187.0,ATX,-0.05999999999999961,-0.785,Wednesday,December,2023
2023-12-05,7.62,7.63,7.57,7.6,105819.0,ATX,-0.020000000000000462,-0.262,Tuesday,December,2023
2023-12-04,7.64,7.64,7.5,7.6,237163.0,ATX,-0.040000000000000036,-0.524,Monday,December,2023
2023-12-01,7.59,7.69,7.57,7.62,120678.0,ATX,0.03000000000000025,0.395,Friday,December,2023
2023-11-30,7.61,7.65,7.56,7.56,491412.0,ATX,-0.05000000000000071,-0.657,Thursday,November,2023
2023-11-29,7.67,7.75,7.61,7.63,101963.0,ATX,-0.040000000000000036,-0.522,Wednesday,November,2023
2023-11-28,7.68,7.9,7.6,7.71,330268.0,ATX,0.03000000000000025,0.391,Tuesday,November,2023
2023-11-27,7.72,7.72,7.6,7.67,166829.0,ATX,-0.04999999999999982,-0.648,Monday,November,2023
2023-11-24,7.8,7.82,7.71,7.72,143918.0,ATX,-0.08000000000000007,-1.026,Friday,November,2023
2023-11-23,7.79,7.84,7.71,7.77,147376.0,ATX,-0.020000000000000462,-0.257,Thursday,November,2023
2023-11-22,7.75,7.85,7.75,7.8,132573.0,ATX,0.04999999999999982,0.645,Wednesday,November,2023
2023-11-21,7.77,7.8,7.71,7.78,114226.0,ATX,0.010000000000000675,0.129,Tuesday,November,2023
2023-11-20,7.77,7.79,7.72,7.75,92847.0,ATX,-0.019999999999999574,-0.257,Monday,November,2023
2023-11-17,7.77,7.82,7.75,7.77,79668.0,ATX,0.0,0.0,Friday,November,2023
2023-11-16,7.8,7.83,7.78,7.79,116378.0,ATX,-0.009999999999999787,-0.128,Thursday,November,2023
2023-11-15,7.8,7.84,7.77,7.8,254750.0,ATX,0.0,0.0,Wednesday,November,2023
2023-11-14,7.82,7.83,7.65,7.79,402972.0,ATX,-0.03000000000000025,-0.384,Tuesday,November,2023
2023-11-13,7.78,7.83,7.76,7.81,228710.0,ATX,0.02999999999999936,0.386,Monday,November,2023
2023-11-10,7.76,7.86,7.76,7.8,95559.0,ATX,0.040000000000000036,0.515,Friday,November,2023
2023-11-09,7.77,7.84,7.75,7.83,126772.0,ATX,0.0600000000000005,0.772,Thursday,November,2023
2023-11-08,7.74,7.78,7.58,7.78,738902.0,ATX,0.040000000000000036,0.517,Wednesday,November,2023
2023-11-07,7.73,7.74,7.66,7.74,164366.0,ATX,0.009999999999999787,0.129,Tuesday,November,2023
