Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,26.8,27.35,26.8,26.95,69882.0,ATX,0.14999999999999858,0.56,Monday,January,2024
2024-01-05,26.75,26.75,26.5,26.55,19696.0,ATX,-0.1999999999999993,-0.748,Friday,January,2024
2024-01-04,26.3,26.85,26.3,26.65,27620.0,ATX,0.34999999999999787,1.331,Thursday,January,2024
2024-01-03,26.9,26.9,26.35,26.5,22254.0,ATX,-0.3999999999999986,-1.487,Wednesday,January,2024
2024-01-02,26.5,26.65,26.45,26.45,37425.0,ATX,-0.05000000000000071,-0.189,Tuesday,January,2024
2023-12-29,26.3,26.5,26.3,26.5,21840.0,ATX,0.1999999999999993,0.76,Friday,December,2023
2023-12-28,26.2,26.5,26.15,26.3,31372.0,ATX,0.10000000000000142,0.382,Thursday,December,2023
2023-12-27,26.05,26.35,26.05,26.35,18044.0,ATX,0.3000000000000007,1.152,Wednesday,December,2023
2023-12-22,26.0,26.45,26.0,26.3,26732.0,ATX,0.3000000000000007,1.154,Friday,December,2023
2023-12-21,26.3,26.35,26.1,26.1,30511.0,ATX,-0.1999999999999993,-0.76,Thursday,December,2023
2023-12-20,26.3,26.35,26.1,26.25,45459.0,ATX,-0.05000000000000071,-0.19,Wednesday,December,2023
2023-12-19,25.9,26.25,25.7,26.05,47439.0,ATX,0.15000000000000213,0.579,Tuesday,December,2023
2023-12-18,26.2,26.2,25.65,25.65,57772.0,ATX,-0.5500000000000007,-2.099,Monday,December,2023
2023-12-15,26.35,26.35,26.05,26.05,64570.0,ATX,-0.3000000000000007,-1.139,Friday,December,2023
2023-12-14,26.35,26.35,26.1,26.2,37014.0,ATX,-0.15000000000000213,-0.569,Thursday,December,2023
2023-12-13,26.25,26.35,26.1,26.1,22198.0,ATX,-0.14999999999999858,-0.571,Wednesday,December,2023
2023-12-12,26.35,26.35,26.0,26.2,24126.0,ATX,-0.15000000000000213,-0.569,Tuesday,December,2023
2023-12-11,26.2,26.3,26.05,26.2,14734.0,ATX,0.0,0.0,Monday,December,2023
2023-12-08,26.3,26.3,25.95,26.15,18550.0,ATX,-0.15000000000000213,-0.57,Friday,December,2023
2023-12-07,26.3,26.35,26.15,26.15,28688.0,ATX,-0.15000000000000213,-0.57,Thursday,December,2023
2023-12-06,26.25,26.4,26.05,26.1,43330.0,ATX,-0.14999999999999858,-0.571,Wednesday,December,2023
2023-12-05,25.6,26.2,25.6,26.0,30298.0,ATX,0.3999999999999986,1.562,Tuesday,December,2023
2023-12-04,26.2,26.2,25.65,25.85,31321.0,ATX,-0.34999999999999787,-1.336,Monday,December,2023
2023-12-01,26.2,26.45,26.05,26.1,26285.0,ATX,-0.09999999999999787,-0.382,Friday,December,2023
2023-11-30,25.45,26.4,25.45,26.25,92622.0,ATX,0.8000000000000007,3.143,Thursday,November,2023
2023-11-29,25.9,26.1,25.5,25.5,52466.0,ATX,-0.3999999999999986,-1.544,Wednesday,November,2023
2023-11-28,26.1,26.25,26.0,26.0,34559.0,ATX,-0.10000000000000142,-0.383,Tuesday,November,2023
2023-11-27,26.05,26.15,25.9,26.05,24006.0,ATX,0.0,0.0,Monday,November,2023
2023-11-24,25.95,26.2,25.95,26.15,8805.0,ATX,0.1999999999999993,0.771,Friday,November,2023
2023-11-23,25.8,26.1,25.8,26.1,19589.0,ATX,0.3000000000000007,1.163,Thursday,November,2023
2023-11-22,26.2,26.2,26.0,26.05,14913.0,ATX,-0.14999999999999858,-0.573,Wednesday,November,2023
2023-11-21,25.9,26.3,25.9,26.3,28196.0,ATX,0.40000000000000213,1.544,Tuesday,November,2023
2023-11-20,26.05,26.1,25.8,26.05,43844.0,ATX,0.0,0.0,Monday,November,2023
2023-11-17,25.35,26.05,25.35,26.05,16533.0,ATX,0.6999999999999993,2.761,Friday,November,2023
2023-11-16,25.95,26.0,25.3,25.6,29719.0,ATX,-0.34999999999999787,-1.349,Thursday,November,2023
2023-11-15,26.25,26.25,25.7,25.7,26450.0,ATX,-0.5500000000000007,-2.095,Wednesday,November,2023
2023-11-14,25.95,26.1,25.6,26.1,25380.0,ATX,0.15000000000000213,0.578,Tuesday,November,2023
2023-11-13,25.8,25.9,25.6,25.8,19398.0,ATX,0.0,0.0,Monday,November,2023
2023-11-10,25.35,25.85,25.35,25.7,27001.0,ATX,0.34999999999999787,1.381,Friday,November,2023
2023-11-09,25.8,25.8,25.4,25.65,24659.0,ATX,-0.15000000000000213,-0.581,Thursday,November,2023
2023-11-08,25.4,25.7,25.0,25.65,23458.0,ATX,0.25,0.984,Wednesday,November,2023
2023-11-07,25.95,25.95,25.2,25.4,17287.0,ATX,-0.5500000000000007,-2.119,Tuesday,November,2023
2023-11-06,25.1,25.75,25.1,25.6,27211.0,ATX,0.5,1.992,Monday,November,2023
2023-11-03,25.8,25.85,25.5,25.8,32515.0,ATX,0.0,0.0,Friday,November,2023
2023-11-02,25.4,25.65,25.05,25.55,26703.0,ATX,0.15000000000000213,0.591,Thursday,November,2023
2023-11-01,25.4,25.45,25.1,25.15,15264.0,ATX,-0.25,-0.984,Wednesday,November,2023
2023-10-31,24.8,25.4,24.8,25.35,31959.0,ATX,0.5500000000000007,2.218,Tuesday,October,2023
2023-10-30,24.8,24.95,24.65,24.7,19333.0,ATX,-0.10000000000000142,-0.403,Monday,October,2023
2023-10-27,24.8,24.95,24.35,24.6,21942.0,ATX,-0.1999999999999993,-0.806,Friday,October,2023
2023-10-25,24.8,24.85,24.4,24.8,31750.0,ATX,0.0,0.0,Wednesday,October,2023
