Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,29.0,29.62,28.76,29.58,261756.0,ATX,0.5799999999999983,2.0,Monday,January,2024
2024-01-05,29.28,29.58,28.8,29.14,248203.0,ATX,-0.14000000000000057,-0.478,Friday,January,2024
2024-01-04,29.54,29.54,29.2,29.46,140974.0,ATX,-0.0799999999999983,-0.271,Thursday,January,2024
2024-01-03,29.6,29.96,29.12,29.28,460568.0,ATX,-0.3200000000000003,-1.081,Wednesday,January,2024
2024-01-02,30.04,30.38,29.66,29.86,339531.0,ATX,-0.17999999999999972,-0.599,Tuesday,January,2024
2023-12-29,29.94,30.22,29.8,30.22,208667.0,ATX,0.2799999999999976,0.935,Friday,December,2023
2023-12-28,30.34,30.34,29.66,29.9,234912.0,ATX,-0.4400000000000013,-1.45,Thursday,December,2023
2023-12-27,30.0,30.3,29.9,30.02,159627.0,ATX,0.019999999999999574,0.067,Wednesday,December,2023
2023-12-22,29.7,30.14,29.7,29.98,166426.0,ATX,0.28000000000000114,0.943,Friday,December,2023
2023-12-21,29.6,30.04,29.5,29.84,181874.0,ATX,0.23999999999999844,0.811,Thursday,December,2023
2023-12-20,30.04,30.68,29.66,29.84,278971.0,ATX,-0.1999999999999993,-0.666,Wednesday,December,2023
2023-12-19,29.62,30.22,29.62,30.0,192355.0,ATX,0.379999999999999,1.283,Tuesday,December,2023
2023-12-18,29.62,30.6,29.58,30.0,283211.0,ATX,0.379999999999999,1.283,Monday,December,2023
2023-12-15,30.0,30.58,29.8,30.26,996292.0,ATX,0.26000000000000156,0.867,Friday,December,2023
2023-12-14,28.0,30.2,27.98,30.2,793526.0,ATX,2.1999999999999993,7.857,Thursday,December,2023
2023-12-13,27.78,28.0,27.64,27.7,217640.0,ATX,-0.08000000000000185,-0.288,Wednesday,December,2023
2023-12-12,27.5,27.88,27.5,27.76,160941.0,ATX,0.26000000000000156,0.945,Tuesday,December,2023
2023-12-11,27.32,27.7,27.32,27.64,192335.0,ATX,0.3200000000000003,1.171,Monday,December,2023
2023-12-08,26.98,27.7,26.98,27.5,431030.0,ATX,0.5199999999999996,1.927,Friday,December,2023
2023-12-07,26.36,27.82,26.36,27.08,421581.0,ATX,0.7199999999999989,2.731,Thursday,December,2023
2023-12-06,26.72,26.82,26.54,26.66,184323.0,ATX,-0.05999999999999872,-0.225,Wednesday,December,2023
2023-12-05,26.36,26.7,26.36,26.56,137009.0,ATX,0.1999999999999993,0.759,Tuesday,December,2023
2023-12-04,26.4,26.7,26.36,26.36,168584.0,ATX,-0.03999999999999915,-0.152,Monday,December,2023
2023-12-01,26.2,26.58,26.0,26.38,166677.0,ATX,0.17999999999999972,0.687,Friday,December,2023
2023-11-30,26.5,26.78,26.1,26.18,300364.0,ATX,-0.3200000000000003,-1.208,Thursday,November,2023
2023-11-29,25.92,26.52,25.92,26.38,138299.0,ATX,0.4599999999999973,1.775,Wednesday,November,2023
2023-11-28,25.7,26.38,25.7,26.26,124641.0,ATX,0.5600000000000023,2.179,Tuesday,November,2023
2023-11-27,25.58,26.02,25.58,25.94,167815.0,ATX,0.360000000000003,1.407,Monday,November,2023
2023-11-24,25.7,26.02,25.52,25.96,129595.0,ATX,0.26000000000000156,1.012,Friday,November,2023
2023-11-23,25.7,26.02,25.64,25.64,133130.0,ATX,-0.05999999999999872,-0.233,Thursday,November,2023
2023-11-22,25.7,25.74,25.3,25.7,158731.0,ATX,0.0,0.0,Wednesday,November,2023
2023-11-21,25.44,25.6,25.26,25.38,160671.0,ATX,-0.060000000000002274,-0.236,Tuesday,November,2023
2023-11-20,25.48,25.48,25.02,25.16,208367.0,ATX,-0.3200000000000003,-1.256,Monday,November,2023
2023-11-17,25.24,25.32,25.06,25.24,96651.0,ATX,0.0,0.0,Friday,November,2023
2023-11-16,25.8,25.8,25.06,25.1,331939.0,ATX,-0.6999999999999993,-2.713,Thursday,November,2023
2023-11-15,25.28,26.0,25.28,25.8,366483.0,ATX,0.5199999999999996,2.057,Wednesday,November,2023
2023-11-14,24.7,25.4,24.62,25.36,232825.0,ATX,0.6600000000000001,2.672,Tuesday,November,2023
2023-11-13,24.42,24.72,24.36,24.7,236398.0,ATX,0.2799999999999976,1.147,Monday,November,2023
2023-11-10,24.22,24.54,24.22,24.5,204712.0,ATX,0.28000000000000114,1.156,Friday,November,2023
2023-11-09,23.4,24.6,23.34,24.6,448662.0,ATX,1.2000000000000028,5.128,Thursday,November,2023
2023-11-08,23.94,23.94,23.5,23.78,352312.0,ATX,-0.16000000000000014,-0.668,Wednesday,November,2023
2023-11-07,23.96,24.0,23.66,23.78,153185.0,ATX,-0.17999999999999972,-0.751,Tuesday,November,2023
2023-11-06,24.3,24.3,23.82,23.82,151830.0,ATX,-0.4800000000000004,-1.975,Monday,November,2023
2023-11-03,23.88,24.16,23.78,24.04,225830.0,ATX,0.16000000000000014,0.67,Friday,November,2023
2023-11-02,23.16,24.02,23.16,23.72,246706.0,ATX,0.5599999999999987,2.418,Thursday,November,2023
2023-11-01,22.82,23.1,22.74,22.94,274947.0,ATX,0.120000000000001,0.526,Wednesday,November,2023
2023-10-31,22.72,23.0,22.64,22.94,203830.0,ATX,0.22000000000000242,0.968,Tuesday,October,2023
2023-10-30,22.6,22.84,22.6,22.72,243933.0,ATX,0.11999999999999744,0.531,Monday,October,2023
2023-10-27,22.88,22.88,22.08,22.56,271590.0,ATX,-0.3200000000000003,-1.399,Friday,October,2023
2023-10-25,22.62,22.62,22.28,22.3,264006.0,ATX,-0.3200000000000003,-1.415,Wednesday,October,2023
2023-10-24,22.46,22.66,22.22,22.44,128869.0,ATX,-0.019999999999999574,-0.089,Tuesday,October,2023
2023-10-23,22.74,22.86,22.4,22.54,201807.0,ATX,-0.1999999999999993,-0.88,Monday,October,2023
2023-10-20,23.1,23.1,22.66,22.66,507097.0,ATX,-0.4400000000000013,-1.905,Friday,October,2023
2023-10-19,23.2,23.48,23.08,23.18,169469.0,ATX,-0.019999999999999574,-0.086,Thursday,October,2023
2023-10-18,23.74,23.74,23.28,23.28,210964.0,ATX,-0.4599999999999973,-1.938,Wednesday,October,2023
2023-10-17,23.6,23.98,23.54,23.74,113180.0,ATX,0.13999999999999702,0.593,Tuesday,October,2023
2023-10-16,23.6,24.06,23.6,23.72,171417.0,ATX,0.11999999999999744,0.508,Monday,October,2023
2023-10-13,23.82,23.88,23.42,23.56,252161.0,ATX,-0.26000000000000156,-1.092,Friday,October,2023
2023-10-12,24.1,24.22,23.84,23.9,201655.0,ATX,-0.20000000000000284,-0.83,Thursday,October,2023
2023-10-11,23.72,23.92,23.46,23.9,276930.0,ATX,0.17999999999999972,0.759,Wednesday,October,2023
2023-10-10,23.46,23.82,23.46,23.82,222173.0,ATX,0.35999999999999943,1.535,Tuesday,October,2023
2023-10-09,23.32,23.64,23.26,23.36,197675.0,ATX,0.03999999999999915,0.172,Monday,October,2023
2023-10-06,23.26,23.72,23.26,23.62,229841.0,ATX,0.35999999999999943,1.548,Friday,October,2023
2023-10-05,23.5,23.64,23.22,23.4,253286.0,ATX,-0.10000000000000142,-0.426,Thursday,October,2023
2023-10-04,23.16,23.66,23.12,23.46,174770.0,ATX,0.3000000000000007,1.295,Wednesday,October,2023
2023-10-03,23.82,23.82,23.42,23.54,241321.0,ATX,-0.28000000000000114,-1.175,Tuesday,October,2023
2023-10-02,24.1,24.22,23.7,23.7,212279.0,ATX,-0.40000000000000213,-1.66,Monday,October,2023
2023-09-29,24.02,24.36,24.02,24.04,194997.0,ATX,0.019999999999999574,0.083,Friday,September,2023
2023-09-28,23.74,24.04,23.66,24.0,195463.0,ATX,0.26000000000000156,1.095,Thursday,September,2023
2023-09-27,23.9,24.22,23.7,23.78,291453.0,ATX,-0.11999999999999744,-0.502,Wednesday,September,2023
2023-09-26,23.94,23.94,23.4,23.58,213594.0,ATX,-0.360000000000003,-1.504,Tuesday,September,2023
2023-09-25,23.6,23.98,23.6,23.76,115387.0,ATX,0.16000000000000014,0.678,Monday,September,2023
2023-09-22,24.24,24.24,23.68,23.84,187453.0,ATX,-0.3999999999999986,-1.65,Friday,September,2023
2023-09-21,24.12,24.46,24.02,24.02,148601.0,ATX,-0.10000000000000142,-0.415,Thursday,September,2023
2023-09-20,24.2,24.54,24.2,24.4,137165.0,ATX,0.1999999999999993,0.826,Wednesday,September,2023
2023-09-19,24.62,24.78,24.22,24.26,142598.0,ATX,-0.35999999999999943,-1.462,Tuesday,September,2023
2023-09-18,24.7,24.84,24.4,24.42,128144.0,ATX,-0.2799999999999976,-1.134,Monday,September,2023
2023-09-15,24.44,25.04,24.44,24.72,534166.0,ATX,0.2799999999999976,1.146,Friday,September,2023
2023-09-14,24.3,24.5,24.1,24.44,167964.0,ATX,0.14000000000000057,0.576,Thursday,September,2023
2023-09-13,24.5,24.54,24.24,24.32,186193.0,ATX,-0.17999999999999972,-0.735,Wednesday,September,2023
2023-09-12,24.7,24.7,24.22,24.52,131135.0,ATX,-0.17999999999999972,-0.729,Tuesday,September,2023
2023-09-11,24.5,24.64,24.4,24.5,132317.0,ATX,0.0,0.0,Monday,September,2023
2023-09-08,24.6,24.7,24.3,24.46,178227.0,ATX,-0.14000000000000057,-0.569,Friday,September,2023
2023-09-07,25.2,25.2,24.56,24.56,169883.0,ATX,-0.6400000000000006,-2.54,Thursday,September,2023
2023-09-06,25.0,25.08,24.68,24.76,270510.0,ATX,-0.23999999999999844,-0.96,Wednesday,September,2023
2023-09-05,25.46,25.48,25.04,25.08,161900.0,ATX,-0.38000000000000256,-1.493,Tuesday,September,2023
2023-09-04,25.3,25.58,25.24,25.42,142151.0,ATX,0.120000000000001,0.474,Monday,September,2023
2023-09-01,25.26,25.58,25.1,25.36,137687.0,ATX,0.09999999999999787,0.396,Friday,September,2023
2023-08-31,25.26,25.74,25.26,25.44,367279.0,ATX,0.17999999999999972,0.713,Thursday,August,2023
2023-08-30,25.6,25.68,25.38,25.52,105193.0,ATX,-0.08000000000000185,-0.313,Wednesday,August,2023
2023-08-29,25.0,25.62,25.0,25.52,185948.0,ATX,0.5199999999999996,2.08,Tuesday,August,2023
2023-08-28,25.56,25.58,25.0,25.1,148594.0,ATX,-0.4599999999999973,-1.8,Monday,August,2023
2023-08-25,25.2,25.4,25.12,25.16,180590.0,ATX,-0.03999999999999915,-0.159,Friday,August,2023
2023-08-24,25.72,25.76,25.2,25.28,125237.0,ATX,-0.4399999999999977,-1.711,Thursday,August,2023
2023-08-23,25.66,25.78,25.36,25.5,216963.0,ATX,-0.16000000000000014,-0.624,Wednesday,August,2023
2023-08-22,25.72,26.0,25.68,25.82,190716.0,ATX,0.10000000000000142,0.389,Tuesday,August,2023
2023-08-21,25.98,26.02,25.66,25.66,214354.0,ATX,-0.3200000000000003,-1.232,Monday,August,2023
2023-08-18,26.08,26.12,25.6,26.08,191674.0,ATX,0.0,0.0,Friday,August,2023
2023-08-17,26.62,26.62,25.98,26.1,292696.0,ATX,-0.5199999999999996,-1.953,Thursday,August,2023
2023-08-16,26.2,26.9,26.06,26.68,298967.0,ATX,0.4800000000000004,1.832,Wednesday,August,2023
2023-08-15,26.06,26.26,25.92,26.14,151827.0,ATX,0.08000000000000185,0.307,Tuesday,August,2023
2023-08-14,25.66,26.04,25.36,26.0,185480.0,ATX,0.33999999999999986,1.325,Monday,August,2023
2023-08-11,26.44,26.44,24.92,25.64,677289.0,ATX,-0.8000000000000007,-3.026,Friday,August,2023
2023-08-10,28.5,28.76,25.06,26.06,1245735.0,ATX,-2.4400000000000013,-8.561,Thursday,August,2023
2023-08-09,29.56,29.62,29.16,29.34,211984.0,ATX,-0.21999999999999886,-0.744,Wednesday,August,2023
2023-08-08,29.26,29.78,29.26,29.56,180923.0,ATX,0.29999999999999716,1.025,Tuesday,August,2023
2023-08-07,29.2,29.66,29.18,29.6,179498.0,ATX,0.40000000000000213,1.37,Monday,August,2023
2023-08-04,29.6,29.6,29.2,29.44,101881.0,ATX,-0.16000000000000014,-0.541,Friday,August,2023
2023-08-03,29.4,29.6,29.3,29.44,135031.0,ATX,0.0400000000000027,0.136,Thursday,August,2023
2023-08-02,29.52,29.68,29.28,29.32,197189.0,ATX,-0.1999999999999993,-0.678,Wednesday,August,2023
2023-08-01,29.6,29.9,29.58,29.66,113551.0,ATX,0.05999999999999872,0.203,Tuesday,August,2023
2023-07-31,29.4,30.0,29.4,29.82,187176.0,ATX,0.4200000000000017,1.429,Monday,July,2023
2023-07-28,29.86,29.86,29.32,29.66,120217.0,ATX,-0.1999999999999993,-0.67,Friday,July,2023
