Símbolo,Nombre de la empresa,Último precio,Cambio,Cambio de %,Volumen
VOE.VI,Voestalpine AG,2748,-2,"-0,07%",85.59
MMK.VI,Mayr-Melnhof Karton AG,12480,-20,"-0,16%",5.504
TKA.VI,Telekom Austria AG,785,3,"+0,38%",67.719
LNZ.VI,Lenzing Aktiengesellschaft,3470,-15,"-0,43%",38.204
POST.VI,Österreichische Post AG,3265,15,"+0,46%",21.968
BG.VI,BAWAG Group AG,4870,24,"+0,50%",67.849
EVN.VI,EVN AG,2865,15,"+0,53%",52.069
VER.VI,VERBUND AG,8475,-50,"-0,59%",46.441
DOC.VI,DO & CO Aktiengesellschaft,12940,80,"+0,62%",3.713
ATS.VI,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft,2488,16,"+0,65%",56.962
EBS.VI,Erste Group Bank AG,3803,25,"+0,66%",334.24
RBI.VI,Raiffeisen Bank International AG,1874,17,"+0,92%",255.14
UQA.VI,UNIQA Insurance Group AG,750,8,"+1,08%",66.163
ANDR.VI,Andritz AG,5415,65,"+1,21%",48.16
SBO.VI,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft,4345,-55,"-1,25%",18.885
CAI.VI,CA Immobilien Anlagen AG,3165,-45,"-1,40%",294.285
VIG.VI,Vienna Insurance Group AG,2695,40,"+1,51%",69.882
WIE.VI,Wienerberger AG,2958,44,"+1,51%",261.756
IIA.VI,IMMOFINANZ AG,2095,-40,"-1,87%",606.83
OMV.VI,OMV Aktiengesellschaft,3887,-153,"-3,79%",577.951
