Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,37327.37,37692.92,37249.24,37683.01,362200000.0,DJI,355.6399999999994,0.953,Monday,January,2024
2024-01-05,37455.46,37623.62,37323.82,37466.11,299480000.0,DJI,10.650000000001455,0.028,Friday,January,2024
2024-01-04,37425.28,37716.41,37425.28,37440.34,380220000.0,DJI,15.059999999997672,0.04,Thursday,January,2024
2024-01-03,37629.23,37629.23,37401.85,37430.19,322010000.0,DJI,-199.04000000000087,-0.529,Wednesday,January,2024
2024-01-02,37566.22,37790.08,37495.91,37715.04,350280000.0,DJI,148.8199999999997,0.396,Tuesday,January,2024
2023-12-29,37701.63,37759.43,37538.8,37689.54,234570000.0,DJI,-12.089999999996508,-0.032,Friday,December,2023
2023-12-28,37661.52,37778.85,37650.98,37710.1,199550000.0,DJI,48.580000000001746,0.129,Thursday,December,2023
2023-12-27,37518.62,37683.7,37488.6,37656.52,245530000.0,DJI,137.89999999999418,0.368,Wednesday,December,2023
2023-12-26,37405.9,37617.99,37371.83,37545.33,212420000.0,DJI,139.4300000000003,0.373,Tuesday,December,2023
2023-12-22,37349.27,37534.52,37268.88,37385.97,252970000.0,DJI,36.700000000004366,0.098,Friday,December,2023
2023-12-21,37225.32,37418.76,37127.05,37404.35,253120000.0,DJI,179.02999999999884,0.481,Thursday,December,2023
2023-12-20,37520.13,37641.3,37073.04,37082.0,303450000.0,DJI,-438.1299999999974,-1.168,Wednesday,December,2023
2023-12-19,37311.82,37562.83,37311.82,37557.92,272740000.0,DJI,246.09999999999854,0.66,Tuesday,December,2023
2023-12-18,37330.14,37393.45,37284.85,37306.02,292120000.0,DJI,-24.12000000000262,-0.065,Monday,December,2023
2023-12-15,37194.5,37347.6,37092.02,37305.16,788160000.0,DJI,110.66000000000349,0.298,Friday,December,2023
2023-12-14,37115.63,37287.5,37051.52,37248.35,455820000.0,DJI,132.72000000000116,0.358,Thursday,December,2023
2023-12-13,36601.8,37094.85,36523.59,37090.24,354790000.0,DJI,488.43999999999505,1.334,Wednesday,December,2023
2023-12-12,36442.1,36596.11,36373.22,36577.94,292770000.0,DJI,135.84000000000378,0.373,Tuesday,December,2023
2023-12-11,36254.33,36416.18,36231.19,36404.93,342490000.0,DJI,150.59999999999854,0.415,Monday,December,2023
2023-12-08,36084.82,36296.2,36061.64,36247.87,295180000.0,DJI,163.0500000000029,0.452,Friday,December,2023
2023-12-07,36124.17,36164.17,36021.95,36117.38,287280000.0,DJI,-6.790000000000873,-0.019,Thursday,December,2023
2023-12-06,36183.73,36292.58,36024.25,36054.43,283240000.0,DJI,-129.3000000000029,-0.357,Wednesday,December,2023
2023-12-05,36135.65,36164.68,36010.85,36124.56,309250000.0,DJI,-11.090000000003783,-0.031,Tuesday,December,2023
2023-12-04,36089.38,36238.18,36029.69,36204.44,329450000.0,DJI,115.06000000000495,0.319,Monday,December,2023
2023-12-01,35914.45,36264.85,35914.45,36245.5,321840000.0,DJI,331.0500000000029,0.922,Friday,December,2023
2023-11-30,35596.57,35970.7,35592.22,35950.89,435540000.0,DJI,354.3199999999997,0.995,Thursday,November,2023
2023-11-29,35436.8,35579.13,35405.89,35430.42,299330000.0,DJI,-6.380000000004657,-0.018,Wednesday,November,2023
2023-11-28,35332.13,35518.67,35307.73,35416.98,256210000.0,DJI,84.85000000000582,0.24,Tuesday,November,2023
2023-11-27,35376.44,35410.37,35280.57,35333.47,258340000.0,DJI,-42.970000000001164,-0.121,Monday,November,2023
2023-11-24,35299.9,35399.44,35299.9,35390.15,117040000.0,DJI,90.25,0.256,Friday,November,2023
2023-11-22,35189.33,35315.2,35155.8,35273.03,237290000.0,DJI,83.69999999999709,0.238,Wednesday,November,2023
2023-11-21,35104.84,35118.04,35038.44,35088.29,271120000.0,DJI,-16.549999999995634,-0.047,Tuesday,November,2023
2023-11-20,34932.49,35227.48,34907.98,35151.04,331050000.0,DJI,218.5500000000029,0.626,Monday,November,2023
2023-11-17,34964.82,35028.22,34882.82,34947.28,334820000.0,DJI,-17.540000000000873,-0.05,Friday,November,2023
2023-11-16,34868.03,35022.46,34818.03,34945.47,435540000.0,DJI,77.44000000000233,0.222,Thursday,November,2023
2023-11-15,34906.72,35051.1,34868.48,34991.21,347790000.0,DJI,84.48999999999796,0.242,Wednesday,November,2023
2023-11-14,34581.2,34931.01,34581.2,34827.7,328050000.0,DJI,246.5,0.713,Tuesday,November,2023
2023-11-13,34259.25,34405.84,34205.81,34337.87,245090000.0,DJI,78.62000000000262,0.229,Monday,November,2023
2023-11-10,34020.82,34310.36,33905.62,34283.1,302460000.0,DJI,262.27999999999884,0.771,Friday,November,2023
2023-11-09,34163.71,34167.54,33859.77,33891.94,325400000.0,DJI,-271.7699999999968,-0.795,Thursday,November,2023
2023-11-08,34185.92,34252.75,33996.2,34112.27,280330000.0,DJI,-73.65000000000146,-0.215,Wednesday,November,2023
2023-11-07,34075.65,34206.98,34026.72,34152.6,281790000.0,DJI,76.94999999999709,0.226,Tuesday,November,2023
2023-11-06,34092.61,34167.26,33989.72,34095.86,265570000.0,DJI,3.25,0.01,Monday,November,2023
2023-11-03,33988.83,34163.63,33946.6,34061.32,311000000.0,DJI,72.48999999999796,0.213,Friday,November,2023
2023-11-02,33457.82,33852.96,33450.03,33839.08,304350000.0,DJI,381.26000000000204,1.14,Thursday,November,2023
2023-11-01,33081.87,33337.15,33010.85,33274.58,307570000.0,DJI,192.70999999999913,0.583,Wednesday,November,2023
2023-10-31,33029.11,33070.28,32787.12,33052.87,306950000.0,DJI,23.760000000002037,0.072,Tuesday,October,2023
2023-10-30,32537.54,33002.97,32537.54,32928.96,298640000.0,DJI,391.41999999999825,1.203,Monday,October,2023
2023-10-27,32782.4,32787.56,32327.2,32417.59,376970000.0,DJI,-364.8100000000013,-1.113,Friday,October,2023
2023-10-26,33017.17,33105.03,32743.99,32784.3,379880000.0,DJI,-232.86999999999534,-0.705,Thursday,October,2023
2023-10-25,33203.53,33267.91,32989.72,33035.93,355690000.0,DJI,-167.59999999999854,-0.505,Wednesday,October,2023
2023-10-24,33089.64,33272.19,32988.43,33141.38,359230000.0,DJI,51.73999999999796,0.156,Tuesday,October,2023
2023-10-23,32993.02,33234.85,32892.19,32936.41,342500000.0,DJI,-56.609999999993306,-0.172,Monday,October,2023
2023-10-20,33365.27,33425.77,33118.12,33127.28,325530000.0,DJI,-237.98999999999796,-0.713,Friday,October,2023
2023-10-19,33669.52,33852.39,33368.58,33414.17,304320000.0,DJI,-255.34999999999854,-0.758,Thursday,October,2023
2023-10-18,33960.25,33991.51,33598.64,33665.08,285410000.0,DJI,-295.16999999999825,-0.869,Wednesday,October,2023
