Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,60.38,61.0,60.27,60.93,844805.0,FCHI,0.5499999999999972,0.911,Monday,January,2024
2024-01-05,60.37,60.62,60.22,60.51,1099002.0,FCHI,0.14000000000000057,0.232,Friday,January,2024
2024-01-04,60.3,60.71,60.1,60.57,830862.0,FCHI,0.2700000000000031,0.448,Thursday,January,2024
2024-01-03,59.78,61.18,59.78,60.56,1663310.0,FCHI,0.7800000000000011,1.305,Wednesday,January,2024
2024-01-02,59.04,59.57,58.8,59.57,830710.0,FCHI,0.5300000000000011,0.898,Tuesday,January,2024
2023-12-29,58.62,58.79,58.5,58.68,494527.0,FCHI,0.060000000000002274,0.102,Friday,December,2023
2023-12-28,58.54,58.6,58.3,58.51,469056.0,FCHI,-0.030000000000001137,-0.051,Thursday,December,2023
2023-12-27,58.23,58.47,58.04,58.41,462551.0,FCHI,0.17999999999999972,0.309,Wednesday,December,2023
2023-12-22,58.31,58.56,58.14,58.32,616036.0,FCHI,0.00999999999999801,0.017,Friday,December,2023
2023-12-21,58.15,58.49,58.02,58.3,794121.0,FCHI,0.14999999999999858,0.258,Thursday,December,2023
2023-12-20,57.77,58.32,57.65,58.12,899676.0,FCHI,0.3499999999999943,0.606,Wednesday,December,2023
2023-12-19,58.32,58.44,57.85,57.88,1166963.0,FCHI,-0.4399999999999977,-0.754,Tuesday,December,2023
2023-12-18,57.83,58.27,57.79,58.27,745476.0,FCHI,0.44000000000000483,0.761,Monday,December,2023
2023-12-15,57.99,58.18,57.01,57.98,2655038.0,FCHI,-0.010000000000005116,-0.017,Friday,December,2023
2023-12-14,59.6,59.77,58.2,58.2,1878868.0,FCHI,-1.3999999999999986,-2.349,Thursday,December,2023
2023-12-13,59.6,59.65,59.15,59.31,1134387.0,FCHI,-0.28999999999999915,-0.487,Wednesday,December,2023
2023-12-12,59.48,59.74,59.38,59.55,903710.0,FCHI,0.07000000000000028,0.118,Tuesday,December,2023
2023-12-11,59.32,59.62,59.12,59.48,1097927.0,FCHI,0.1599999999999966,0.27,Monday,December,2023
2023-12-08,58.92,59.4,58.5,59.22,1013552.0,FCHI,0.29999999999999716,0.509,Friday,December,2023
2023-12-07,58.93,59.4,58.9,59.14,947260.0,FCHI,0.21000000000000085,0.356,Thursday,December,2023
2023-12-06,58.57,59.31,58.45,58.72,930877.0,FCHI,0.14999999999999858,0.256,Wednesday,December,2023
2023-12-05,58.95,59.07,58.36,58.62,1112736.0,FCHI,-0.3300000000000054,-0.56,Tuesday,December,2023
2023-12-04,58.55,59.01,58.45,58.79,947294.0,FCHI,0.240000000000002,0.41,Monday,December,2023
2023-12-01,59.27,59.44,58.38,58.59,1181404.0,FCHI,-0.6799999999999997,-1.147,Friday,December,2023
2023-11-30,59.15,59.17,58.7,58.97,1915212.0,FCHI,-0.17999999999999972,-0.304,Thursday,November,2023
2023-11-29,59.08,59.37,58.84,59.15,871000.0,FCHI,0.07000000000000028,0.118,Wednesday,November,2023
2023-11-28,58.87,59.05,58.58,59.05,985311.0,FCHI,0.17999999999999972,0.306,Tuesday,November,2023
2023-11-27,59.11,59.2,58.89,59.08,614349.0,FCHI,-0.030000000000001137,-0.051,Monday,November,2023
2023-11-24,58.63,59.17,58.51,59.12,861597.0,FCHI,0.4899999999999949,0.836,Friday,November,2023
2023-11-23,58.59,58.92,58.47,58.66,423112.0,FCHI,0.06999999999999318,0.119,Thursday,November,2023
2023-11-22,58.5,58.76,58.36,58.55,747462.0,FCHI,0.04999999999999716,0.085,Wednesday,November,2023
2023-11-21,57.19,58.19,57.19,58.19,956641.0,FCHI,1.0,1.749,Tuesday,November,2023
2023-11-20,57.55,57.98,57.42,57.43,760733.0,FCHI,-0.11999999999999744,-0.209,Monday,November,2023
2023-11-17,57.57,57.93,57.45,57.54,1272769.0,FCHI,-0.030000000000001137,-0.052,Friday,November,2023
2023-11-16,57.59,57.77,57.4,57.4,1099577.0,FCHI,-0.19000000000000483,-0.33,Thursday,November,2023
2023-11-15,58.07,58.32,57.31,57.53,872474.0,FCHI,-0.5399999999999991,-0.93,Wednesday,November,2023
2023-11-14,58.16,58.39,57.87,58.12,1248566.0,FCHI,-0.03999999999999915,-0.069,Tuesday,November,2023
2023-11-13,57.45,58.03,57.17,58.03,964714.0,FCHI,0.5799999999999983,1.01,Monday,November,2023
2023-11-10,57.39,57.68,57.13,57.37,1026619.0,FCHI,-0.020000000000003126,-0.035,Friday,November,2023
2023-11-09,56.86,57.57,56.71,57.38,783773.0,FCHI,0.5200000000000031,0.915,Thursday,November,2023
2023-11-08,56.68,57.08,56.63,56.91,682666.0,FCHI,0.22999999999999687,0.406,Wednesday,November,2023
2023-11-07,56.86,57.23,56.65,56.85,834046.0,FCHI,-0.00999999999999801,-0.018,Tuesday,November,2023
2023-11-06,57.18,57.2,56.67,56.84,1071340.0,FCHI,-0.3399999999999963,-0.595,Monday,November,2023
2023-11-03,57.31,57.65,57.05,57.05,922651.0,FCHI,-0.2600000000000051,-0.454,Friday,November,2023
2023-11-02,57.46,57.73,56.85,57.11,1348389.0,FCHI,-0.3500000000000014,-0.609,Thursday,November,2023
2023-11-01,57.02,57.57,56.69,57.17,1258731.0,FCHI,0.14999999999999858,0.263,Wednesday,November,2023
2023-10-31,55.75,56.43,55.75,56.15,1309623.0,FCHI,0.3999999999999986,0.717,Tuesday,October,2023
2023-10-30,55.5,55.71,54.78,55.7,1126282.0,FCHI,0.20000000000000284,0.36,Monday,October,2023
2023-10-27,56.04,56.31,55.03,55.17,1144623.0,FCHI,-0.8699999999999974,-1.552,Friday,October,2023
2023-10-26,55.21,57.03,55.21,56.2,1628657.0,FCHI,0.990000000000002,1.793,Thursday,October,2023
2023-10-25,54.27,54.94,54.23,54.87,1174809.0,FCHI,0.5999999999999943,1.106,Wednesday,October,2023
2023-10-24,54.04,54.38,53.66,54.26,1197566.0,FCHI,0.21999999999999886,0.407,Tuesday,October,2023
2023-10-23,54.08,54.15,53.65,53.9,806207.0,FCHI,-0.17999999999999972,-0.333,Monday,October,2023
2023-10-20,53.72,54.32,53.46,54.1,1203385.0,FCHI,0.38000000000000256,0.707,Friday,October,2023
2023-10-19,54.2,54.37,53.81,54.08,1046989.0,FCHI,-0.12000000000000455,-0.221,Thursday,October,2023
2023-10-18,54.51,54.89,54.31,54.58,1103704.0,FCHI,0.07000000000000028,0.128,Wednesday,October,2023
2023-10-17,54.07,54.64,53.97,54.44,1035128.0,FCHI,0.36999999999999744,0.684,Tuesday,October,2023
2023-10-16,53.91,54.46,53.69,54.13,1075735.0,FCHI,0.22000000000000597,0.408,Monday,October,2023
2023-10-13,54.0,54.28,53.7,54.0,1032481.0,FCHI,0.0,0.0,Friday,October,2023
2023-10-12,54.85,54.9,54.08,54.19,1014333.0,FCHI,-0.6600000000000037,-1.203,Thursday,October,2023
2023-10-11,53.94,54.92,53.82,54.65,1218712.0,FCHI,0.7100000000000009,1.316,Wednesday,October,2023
2023-10-10,53.23,54.4,53.15,54.12,1686784.0,FCHI,0.8900000000000006,1.672,Tuesday,October,2023
2023-10-09,51.25,52.89,51.17,52.71,1663872.0,FCHI,1.4600000000000009,2.849,Monday,October,2023
2023-10-06,51.85,51.85,50.59,51.31,1340193.0,FCHI,-0.5399999999999991,-1.041,Friday,October,2023
2023-10-05,51.92,52.23,51.54,51.91,776695.0,FCHI,-0.010000000000005116,-0.019,Thursday,October,2023
2023-10-04,51.74,52.36,51.48,51.61,938425.0,FCHI,-0.13000000000000256,-0.251,Wednesday,October,2023
2023-10-03,51.49,51.97,51.49,51.89,1174286.0,FCHI,0.3999999999999986,0.777,Tuesday,October,2023
2023-10-02,52.25,52.54,51.4,51.57,1014723.0,FCHI,-0.6799999999999997,-1.301,Monday,October,2023
2023-09-29,51.95,52.4,51.75,52.26,1367634.0,FCHI,0.30999999999999517,0.597,Friday,September,2023
2023-09-28,51.58,51.66,50.89,51.45,889878.0,FCHI,-0.12999999999999545,-0.252,Thursday,September,2023
2023-09-27,52.37,52.56,51.59,51.66,754680.0,FCHI,-0.7100000000000009,-1.356,Wednesday,September,2023
2023-09-26,52.09,52.68,52.06,52.5,778155.0,FCHI,0.4099999999999966,0.787,Tuesday,September,2023
2023-09-25,52.78,53.22,52.25,52.41,869926.0,FCHI,-0.37000000000000455,-0.701,Monday,September,2023
2023-09-22,53.17,53.36,52.72,53.02,746213.0,FCHI,-0.14999999999999858,-0.282,Friday,September,2023
2023-09-21,53.99,54.14,53.47,53.56,859813.0,FCHI,-0.4299999999999997,-0.796,Thursday,September,2023
2023-09-20,53.66,54.37,53.66,54.08,995048.0,FCHI,0.4200000000000017,0.783,Wednesday,September,2023
2023-09-19,53.63,53.95,53.35,53.56,927843.0,FCHI,-0.07000000000000028,-0.131,Tuesday,September,2023
2023-09-18,53.7,54.07,53.53,53.81,1220688.0,FCHI,0.10999999999999943,0.205,Monday,September,2023
2023-09-15,53.97,54.05,53.37,53.79,2753138.0,FCHI,-0.17999999999999972,-0.334,Friday,September,2023
2023-09-14,53.16,53.5,52.82,53.49,1711672.0,FCHI,0.3300000000000054,0.621,Thursday,September,2023
2023-09-13,53.49,53.6,52.91,53.2,973884.0,FCHI,-0.28999999999999915,-0.542,Wednesday,September,2023
2023-09-12,54.42,54.42,53.5,53.53,723622.0,FCHI,-0.8900000000000006,-1.635,Tuesday,September,2023
2023-09-11,53.77,54.21,53.68,54.2,1086044.0,FCHI,0.4299999999999997,0.8,Monday,September,2023
2023-09-08,53.34,53.58,52.98,53.57,729767.0,FCHI,0.22999999999999687,0.431,Friday,September,2023
2023-09-07,52.37,53.31,52.36,53.22,995334.0,FCHI,0.8500000000000014,1.623,Thursday,September,2023
2023-09-06,52.57,52.86,52.18,52.73,799791.0,FCHI,0.1599999999999966,0.304,Wednesday,September,2023
2023-09-05,53.18,53.18,52.59,52.79,776184.0,FCHI,-0.39000000000000057,-0.733,Tuesday,September,2023
