Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,16.65,16.73,16.5,16.72,900900.0,FCHI,0.07000000000000028,0.42,Monday,January,2024
2024-01-05,16.66,16.75,16.55,16.71,882091.0,FCHI,0.05000000000000071,0.3,Friday,January,2024
2024-01-04,16.65,16.79,16.5,16.79,1394890.0,FCHI,0.14000000000000057,0.841,Thursday,January,2024
2024-01-03,16.75,16.85,16.54,16.64,1043708.0,FCHI,-0.10999999999999943,-0.657,Wednesday,January,2024
2024-01-02,16.64,16.86,16.64,16.77,840081.0,FCHI,0.129999999999999,0.781,Tuesday,January,2024
2023-12-29,16.56,16.64,16.51,16.57,682443.0,FCHI,0.010000000000001563,0.06,Friday,December,2023
2023-12-28,16.59,16.65,16.55,16.57,991406.0,FCHI,-0.019999999999999574,-0.121,Thursday,December,2023
2023-12-27,16.57,16.66,16.49,16.62,724465.0,FCHI,0.05000000000000071,0.302,Wednesday,December,2023
2023-12-22,16.53,16.64,16.51,16.62,719610.0,FCHI,0.08999999999999986,0.544,Friday,December,2023
2023-12-21,16.64,16.65,16.48,16.56,807486.0,FCHI,-0.08000000000000185,-0.481,Thursday,December,2023
2023-12-20,16.64,16.74,16.57,16.7,1104063.0,FCHI,0.05999999999999872,0.361,Wednesday,December,2023
2023-12-19,16.26,16.54,16.18,16.54,1509918.0,FCHI,0.2799999999999976,1.722,Tuesday,December,2023
2023-12-18,16.22,16.28,16.12,16.23,1034638.0,FCHI,0.010000000000001563,0.062,Monday,December,2023
2023-12-15,16.34,16.48,16.21,16.28,4777676.0,FCHI,-0.05999999999999872,-0.367,Friday,December,2023
2023-12-14,16.31,16.5,16.17,16.31,2322528.0,FCHI,0.0,0.0,Thursday,December,2023
2023-12-13,16.92,16.92,16.1,16.12,3539407.0,FCHI,-0.8000000000000007,-4.728,Wednesday,December,2023
2023-12-12,17.33,17.36,17.03,17.03,1242101.0,FCHI,-0.29999999999999716,-1.731,Tuesday,December,2023
2023-12-11,17.22,17.33,17.1,17.3,989035.0,FCHI,0.08000000000000185,0.465,Monday,December,2023
2023-12-08,17.2,17.33,17.13,17.19,1261138.0,FCHI,-0.00999999999999801,-0.058,Friday,December,2023
2023-12-07,17.21,17.25,17.11,17.23,1006736.0,FCHI,0.019999999999999574,0.116,Thursday,December,2023
2023-12-06,17.34,17.38,17.11,17.15,1367341.0,FCHI,-0.19000000000000128,-1.096,Wednesday,December,2023
2023-12-05,17.24,17.41,17.18,17.32,1459689.0,FCHI,0.08000000000000185,0.464,Tuesday,December,2023
2023-12-04,17.36,17.39,17.14,17.22,1318150.0,FCHI,-0.14000000000000057,-0.806,Monday,December,2023
2023-12-01,17.48,17.5,17.28,17.3,994923.0,FCHI,-0.17999999999999972,-1.03,Friday,December,2023
2023-11-30,17.34,17.4,17.27,17.4,3084563.0,FCHI,0.05999999999999872,0.346,Thursday,November,2023
2023-11-29,17.41,17.51,17.34,17.35,1281015.0,FCHI,-0.05999999999999872,-0.345,Wednesday,November,2023
2023-11-28,17.35,17.4,17.18,17.4,1107303.0,FCHI,0.04999999999999716,0.288,Tuesday,November,2023
2023-11-27,17.35,17.44,17.34,17.41,887878.0,FCHI,0.05999999999999872,0.346,Monday,November,2023
