Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,184.7,186.75,182.2,186.75,198564.0,FCHI,2.0500000000000114,1.11,Monday,January,2024
2024-01-05,187.0,187.0,184.3,184.5,305138.0,FCHI,-2.5,-1.337,Friday,January,2024
2024-01-04,186.35,188.2,185.8,187.85,202049.0,FCHI,1.5,0.805,Thursday,January,2024
2024-01-03,188.4,189.1,185.15,186.5,330207.0,FCHI,-1.9000000000000057,-1.008,Wednesday,January,2024
2024-01-02,189.25,192.05,188.2,189.45,258315.0,FCHI,0.19999999999998863,0.106,Tuesday,January,2024
2023-12-29,189.8,190.6,188.75,188.75,177000.0,FCHI,-1.0500000000000114,-0.553,Friday,December,2023
2023-12-28,191.4,191.75,189.3,189.8,187014.0,FCHI,-1.5999999999999943,-0.836,Thursday,December,2023
2023-12-27,189.0,191.1,188.5,191.1,209616.0,FCHI,2.0999999999999943,1.111,Wednesday,December,2023
2023-12-22,188.4,189.4,187.6,188.45,243992.0,FCHI,0.04999999999998295,0.027,Friday,December,2023
2023-12-21,189.2,189.65,188.05,189.1,196407.0,FCHI,-0.09999999999999432,-0.053,Thursday,December,2023
2023-12-20,190.95,191.55,189.45,190.05,240188.0,FCHI,-0.8999999999999773,-0.471,Wednesday,December,2023
2023-12-19,192.7,193.35,189.2,191.0,410398.0,FCHI,-1.6999999999999886,-0.882,Tuesday,December,2023
2023-12-18,194.3,194.8,191.3,192.45,276705.0,FCHI,-1.8500000000000227,-0.952,Monday,December,2023
2023-12-15,193.55,195.9,192.85,195.9,651903.0,FCHI,2.3499999999999943,1.214,Friday,December,2023
2023-12-14,193.35,196.65,192.25,193.15,475162.0,FCHI,-0.19999999999998863,-0.103,Thursday,December,2023
2023-12-13,193.4,194.2,191.9,191.9,336189.0,FCHI,-1.5,-0.776,Wednesday,December,2023
2023-12-12,193.05,195.2,192.65,193.05,329546.0,FCHI,0.0,0.0,Tuesday,December,2023
2023-12-11,192.85,194.1,192.55,192.9,317133.0,FCHI,0.05000000000001137,0.026,Monday,December,2023
2023-12-08,190.25,192.95,190.25,192.15,261550.0,FCHI,1.9000000000000057,0.999,Friday,December,2023
2023-12-07,189.5,191.3,189.5,190.5,348210.0,FCHI,1.0,0.528,Thursday,December,2023
2023-12-06,189.95,191.45,189.2,190.35,291044.0,FCHI,0.4000000000000057,0.211,Wednesday,December,2023
2023-12-05,186.9,190.3,186.9,189.05,333345.0,FCHI,2.1500000000000057,1.15,Tuesday,December,2023
