Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,113.66,114.56,113.18,114.1,512458.0,FCHI,0.4399999999999977,0.387,Monday,January,2024
2024-01-05,113.6,114.06,112.92,113.88,667809.0,FCHI,0.28000000000000114,0.246,Friday,January,2024
2024-01-04,112.92,114.52,112.78,114.52,607094.0,FCHI,1.5999999999999943,1.417,Thursday,January,2024
2024-01-03,113.92,114.12,112.46,112.94,604824.0,FCHI,-0.980000000000004,-0.86,Wednesday,January,2024
2024-01-02,114.0,114.78,113.22,113.94,695374.0,FCHI,-0.060000000000002274,-0.053,Tuesday,January,2024
2023-12-29,113.74,114.08,113.48,113.7,443727.0,FCHI,-0.03999999999999204,-0.035,Friday,December,2023
2023-12-28,114.52,114.74,113.4,113.56,463017.0,FCHI,-0.9599999999999937,-0.838,Thursday,December,2023
2023-12-27,114.04,114.44,113.4,114.44,458313.0,FCHI,0.3999999999999915,0.351,Wednesday,December,2023
2023-12-22,113.94,114.66,113.7,114.38,567139.0,FCHI,0.4399999999999977,0.386,Friday,December,2023
2023-12-21,113.14,113.64,112.98,113.64,466288.0,FCHI,0.5,0.442,Thursday,December,2023
2023-12-20,113.5,113.7,112.56,113.62,759295.0,FCHI,0.12000000000000455,0.106,Wednesday,December,2023
2023-12-19,113.34,113.5,112.76,113.3,774336.0,FCHI,-0.04000000000000625,-0.035,Tuesday,December,2023
2023-12-18,115.0,115.0,112.52,112.96,855543.0,FCHI,-2.0400000000000063,-1.774,Monday,December,2023
2023-12-15,116.8,116.8,114.94,115.58,2389433.0,FCHI,-1.2199999999999989,-1.045,Friday,December,2023
2023-12-14,115.3,117.08,115.24,116.02,1072521.0,FCHI,0.7199999999999989,0.624,Thursday,December,2023
2023-12-13,115.1,115.58,114.56,114.78,874540.0,FCHI,-0.3199999999999932,-0.278,Wednesday,December,2023
2023-12-12,115.98,116.36,114.94,115.4,864246.0,FCHI,-0.5799999999999983,-0.5,Tuesday,December,2023
2023-12-11,115.84,116.74,115.74,116.1,858693.0,FCHI,0.2599999999999909,0.224,Monday,December,2023
2023-12-08,115.46,116.0,115.08,115.84,748425.0,FCHI,0.38000000000000966,0.329,Friday,December,2023
2023-12-07,115.32,116.02,115.2,115.68,620997.0,FCHI,0.36000000000001364,0.312,Thursday,December,2023
2023-12-06,115.08,116.02,114.82,115.68,770906.0,FCHI,0.6000000000000085,0.521,Wednesday,December,2023
2023-12-05,114.0,115.3,113.92,115.3,968370.0,FCHI,1.2999999999999972,1.14,Tuesday,December,2023
2023-12-04,113.04,113.74,113.04,113.38,514263.0,FCHI,0.3399999999999892,0.301,Monday,December,2023
