Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,34.95,35.51,34.84,35.51,611680.0,FCHI,0.5599999999999952,1.602,Monday,January,2024
2024-01-05,34.78,35.16,34.65,35.01,527847.0,FCHI,0.22999999999999687,0.661,Friday,January,2024
2024-01-04,34.44,34.92,34.43,34.92,565866.0,FCHI,0.480000000000004,1.394,Thursday,January,2024
2024-01-03,34.62,34.87,34.24,34.44,753753.0,FCHI,-0.17999999999999972,-0.52,Wednesday,January,2024
2024-01-02,34.3,34.71,34.3,34.66,642732.0,FCHI,0.35999999999999943,1.05,Tuesday,January,2024
2023-12-29,34.22,34.4,34.06,34.12,426569.0,FCHI,-0.10000000000000142,-0.292,Friday,December,2023
2023-12-28,34.35,34.4,34.02,34.22,541475.0,FCHI,-0.13000000000000256,-0.378,Thursday,December,2023
2023-12-27,34.31,34.38,34.04,34.32,402443.0,FCHI,0.00999999999999801,0.029,Wednesday,December,2023
2023-12-22,34.43,34.63,34.29,34.3,340158.0,FCHI,-0.13000000000000256,-0.378,Friday,December,2023
2023-12-21,34.33,34.39,34.13,34.39,434877.0,FCHI,0.060000000000002274,0.175,Thursday,December,2023
2023-12-20,34.28,34.42,34.21,34.37,632904.0,FCHI,0.0899999999999963,0.263,Wednesday,December,2023
2023-12-19,34.46,34.61,34.15,34.21,711901.0,FCHI,-0.25,-0.725,Tuesday,December,2023
2023-12-18,35.32,35.32,34.42,34.45,969115.0,FCHI,-0.8699999999999974,-2.463,Monday,December,2023
2023-12-15,35.72,35.83,35.21,35.5,2057925.0,FCHI,-0.21999999999999886,-0.616,Friday,December,2023
2023-12-14,35.9,36.25,35.56,35.69,1209609.0,FCHI,-0.21000000000000085,-0.585,Thursday,December,2023
2023-12-13,35.96,36.07,35.78,35.82,736122.0,FCHI,-0.14000000000000057,-0.389,Wednesday,December,2023
2023-12-12,36.23,36.35,35.97,35.97,591720.0,FCHI,-0.259999999999998,-0.718,Tuesday,December,2023
2023-12-11,35.99,36.22,35.9,36.19,771400.0,FCHI,0.19999999999999574,0.556,Monday,December,2023
2023-12-08,35.66,36.04,35.55,36.01,868495.0,FCHI,0.3500000000000014,0.981,Friday,December,2023
2023-12-07,35.5,35.78,35.47,35.78,780927.0,FCHI,0.28000000000000114,0.789,Thursday,December,2023
2023-12-06,35.11,35.61,35.09,35.52,939700.0,FCHI,0.4100000000000037,1.168,Wednesday,December,2023
2023-12-05,34.77,35.08,34.69,35.08,613937.0,FCHI,0.30999999999999517,0.892,Tuesday,December,2023
2023-12-04,35.0,35.12,34.81,34.81,565662.0,FCHI,-0.18999999999999773,-0.543,Monday,December,2023
2023-12-01,35.0,35.14,34.9,35.05,488327.0,FCHI,0.04999999999999716,0.143,Friday,December,2023
2023-11-30,35.1,35.29,34.91,34.91,1407378.0,FCHI,-0.19000000000000483,-0.541,Thursday,November,2023
2023-11-29,34.94,35.17,34.88,35.14,594965.0,FCHI,0.20000000000000284,0.572,Wednesday,November,2023
2023-11-28,34.87,34.96,34.7,34.94,397200.0,FCHI,0.07000000000000028,0.201,Tuesday,November,2023
2023-11-27,34.86,35.0,34.79,34.88,575199.0,FCHI,0.020000000000003126,0.057,Monday,November,2023
2023-11-24,34.66,34.93,34.66,34.93,442034.0,FCHI,0.2700000000000031,0.779,Friday,November,2023
2023-11-23,34.7,34.75,34.49,34.62,300473.0,FCHI,-0.0800000000000054,-0.231,Thursday,November,2023
2023-11-22,34.62,34.71,34.51,34.69,415154.0,FCHI,0.07000000000000028,0.202,Wednesday,November,2023
2023-11-21,34.66,34.72,34.38,34.55,601349.0,FCHI,-0.10999999999999943,-0.317,Tuesday,November,2023
2023-11-20,34.78,34.91,34.49,34.51,592566.0,FCHI,-0.2700000000000031,-0.776,Monday,November,2023
2023-11-17,34.67,34.91,34.67,34.83,715857.0,FCHI,0.1599999999999966,0.461,Friday,November,2023
2023-11-16,34.84,34.95,34.64,34.64,594725.0,FCHI,-0.20000000000000284,-0.574,Thursday,November,2023
2023-11-15,34.68,35.03,34.64,34.87,988791.0,FCHI,0.18999999999999773,0.548,Wednesday,November,2023
2023-11-14,34.48,34.74,34.35,34.65,1076494.0,FCHI,0.1700000000000017,0.493,Tuesday,November,2023
2023-11-13,33.96,34.43,33.94,34.32,1018305.0,FCHI,0.35999999999999943,1.06,Monday,November,2023
2023-11-10,33.83,33.99,33.79,33.97,492009.0,FCHI,0.14000000000000057,0.414,Friday,November,2023
2023-11-09,33.7,33.96,33.63,33.92,724294.0,FCHI,0.21999999999999886,0.653,Thursday,November,2023
2023-11-08,33.43,33.79,33.31,33.69,591557.0,FCHI,0.259999999999998,0.778,Wednesday,November,2023
2023-11-07,33.37,33.64,33.27,33.48,778051.0,FCHI,0.10999999999999943,0.33,Tuesday,November,2023
2023-11-06,33.62,33.65,33.38,33.43,543397.0,FCHI,-0.18999999999999773,-0.565,Monday,November,2023
