Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,24.36,24.7,24.36,24.68,1978734.0,FCHI,0.3200000000000003,1.314,Monday,January,2024
2024-01-05,24.18,24.61,24.08,24.45,1867177.0,FCHI,0.2699999999999996,1.117,Friday,January,2024
2024-01-04,23.91,24.36,23.89,24.35,3130382.0,FCHI,0.4400000000000013,1.84,Thursday,January,2024
2024-01-03,24.63,24.75,23.53,23.94,5038203.0,FCHI,-0.6899999999999977,-2.801,Wednesday,January,2024
2024-01-02,24.14,24.85,24.13,24.61,3722984.0,FCHI,0.46999999999999886,1.947,Tuesday,January,2024
2023-12-29,23.94,24.15,23.93,24.02,1839163.0,FCHI,0.0799999999999983,0.334,Friday,December,2023
2023-12-28,24.33,24.39,23.89,24.03,2955767.0,FCHI,-0.29999999999999716,-1.233,Thursday,December,2023
2023-12-27,24.18,24.38,24.08,24.31,2257173.0,FCHI,0.129999999999999,0.538,Wednesday,December,2023
2023-12-22,24.1,24.22,24.03,24.08,1606949.0,FCHI,-0.020000000000003126,-0.083,Friday,December,2023
2023-12-21,23.88,24.04,23.82,24.04,1357358.0,FCHI,0.16000000000000014,0.67,Thursday,December,2023
2023-12-20,24.01,24.27,23.87,24.05,1834800.0,FCHI,0.03999999999999915,0.167,Wednesday,December,2023
2023-12-19,24.11,24.22,23.92,23.97,2450981.0,FCHI,-0.14000000000000057,-0.581,Tuesday,December,2023
2023-12-18,24.19,24.42,24.06,24.19,2696209.0,FCHI,0.0,0.0,Monday,December,2023
2023-12-15,24.61,24.67,24.28,24.42,5149011.0,FCHI,-0.18999999999999773,-0.772,Friday,December,2023
2023-12-14,24.0,24.71,23.98,24.49,5839625.0,FCHI,0.48999999999999844,2.042,Thursday,December,2023
2023-12-13,23.71,24.01,23.66,23.66,2126510.0,FCHI,-0.05000000000000071,-0.211,Wednesday,December,2023
2023-12-12,23.83,23.89,23.64,23.71,1783865.0,FCHI,-0.11999999999999744,-0.504,Tuesday,December,2023
2023-12-11,23.96,24.09,23.82,23.82,2119075.0,FCHI,-0.14000000000000057,-0.584,Monday,December,2023
2023-12-08,23.69,24.05,23.65,24.04,4312410.0,FCHI,0.34999999999999787,1.477,Friday,December,2023
2023-12-07,23.48,23.76,23.3,23.69,3048473.0,FCHI,0.21000000000000085,0.894,Thursday,December,2023
2023-12-06,23.39,23.72,23.31,23.57,2566687.0,FCHI,0.17999999999999972,0.77,Wednesday,December,2023
2023-12-05,22.94,23.43,22.9,23.32,3228585.0,FCHI,0.379999999999999,1.656,Tuesday,December,2023
2023-12-04,22.83,23.1,22.83,23.08,1489655.0,FCHI,0.25,1.095,Monday,December,2023
2023-12-01,22.76,22.99,22.58,22.9,3371471.0,FCHI,0.13999999999999702,0.615,Friday,December,2023
2023-11-30,22.92,23.23,22.85,23.08,4110281.0,FCHI,0.1599999999999966,0.698,Thursday,November,2023
2023-11-29,22.48,22.84,22.48,22.74,2366379.0,FCHI,0.259999999999998,1.157,Wednesday,November,2023
2023-11-28,22.34,22.51,22.33,22.51,1437061.0,FCHI,0.1700000000000017,0.761,Tuesday,November,2023
2023-11-27,22.72,22.75,22.48,22.49,1700453.0,FCHI,-0.23000000000000043,-1.012,Monday,November,2023
2023-11-24,22.6,22.76,22.52,22.68,1279585.0,FCHI,0.0799999999999983,0.354,Friday,November,2023
2023-11-23,22.42,22.67,22.41,22.58,1672318.0,FCHI,0.1599999999999966,0.714,Thursday,November,2023
2023-11-22,22.41,22.51,22.35,22.42,1439439.0,FCHI,0.010000000000001563,0.045,Wednesday,November,2023
2023-11-21,22.5,22.58,22.32,22.41,2100205.0,FCHI,-0.08999999999999986,-0.4,Tuesday,November,2023
2023-11-20,22.69,22.83,22.6,22.61,1647038.0,FCHI,-0.08000000000000185,-0.353,Monday,November,2023
2023-11-17,22.37,22.74,22.37,22.6,3528144.0,FCHI,0.23000000000000043,1.028,Friday,November,2023
2023-11-16,22.19,22.42,22.17,22.28,2433004.0,FCHI,0.08999999999999986,0.406,Thursday,November,2023
2023-11-15,22.09,22.41,22.06,22.25,3150500.0,FCHI,0.16000000000000014,0.724,Wednesday,November,2023
2023-11-14,21.7,22.09,21.43,22.02,3528678.0,FCHI,0.3200000000000003,1.475,Tuesday,November,2023
2023-11-13,21.43,21.76,21.43,21.66,2756819.0,FCHI,0.23000000000000043,1.073,Monday,November,2023
2023-11-10,21.28,21.33,21.09,21.26,1448564.0,FCHI,-0.019999999999999574,-0.094,Friday,November,2023
2023-11-09,21.41,21.49,21.27,21.39,2048763.0,FCHI,-0.019999999999999574,-0.093,Thursday,November,2023
2023-11-08,21.3,21.48,21.17,21.42,2328732.0,FCHI,0.120000000000001,0.563,Wednesday,November,2023
2023-11-07,21.5,21.64,21.26,21.48,2176795.0,FCHI,-0.019999999999999574,-0.093,Tuesday,November,2023
2023-11-06,21.9,21.96,21.59,21.67,2717768.0,FCHI,-0.22999999999999687,-1.05,Monday,November,2023
2023-11-03,21.84,22.17,21.56,21.8,5096280.0,FCHI,-0.03999999999999915,-0.183,Friday,November,2023
2023-11-02,21.33,21.82,21.33,21.61,4452881.0,FCHI,0.28000000000000114,1.313,Thursday,November,2023
2023-11-01,21.25,21.4,21.16,21.22,2661693.0,FCHI,-0.030000000000001137,-0.141,Wednesday,November,2023
2023-10-31,20.87,21.33,20.87,21.15,3115669.0,FCHI,0.2799999999999976,1.342,Tuesday,October,2023
2023-10-30,20.71,20.89,20.5,20.81,2159030.0,FCHI,0.09999999999999787,0.483,Monday,October,2023
2023-10-27,20.89,21.02,20.73,20.73,2621602.0,FCHI,-0.16000000000000014,-0.766,Friday,October,2023
2023-10-26,20.84,20.84,20.23,20.74,3896682.0,FCHI,-0.10000000000000142,-0.48,Thursday,October,2023
2023-10-25,20.8,20.91,20.63,20.91,2558376.0,FCHI,0.10999999999999943,0.529,Wednesday,October,2023
2023-10-24,20.91,21.06,20.78,20.86,2899547.0,FCHI,-0.05000000000000071,-0.239,Tuesday,October,2023
2023-10-23,21.02,21.09,20.72,21.05,2145084.0,FCHI,0.030000000000001137,0.143,Monday,October,2023
2023-10-20,21.08,21.18,20.87,20.98,5249465.0,FCHI,-0.09999999999999787,-0.474,Friday,October,2023
2023-10-19,21.55,21.57,21.26,21.4,3246142.0,FCHI,-0.15000000000000213,-0.696,Thursday,October,2023
2023-10-18,21.81,21.84,21.59,21.63,2656533.0,FCHI,-0.17999999999999972,-0.825,Wednesday,October,2023
2023-10-17,21.83,21.94,21.55,21.8,2588400.0,FCHI,-0.029999999999997584,-0.137,Tuesday,October,2023
2023-10-16,21.95,22.08,21.69,21.95,2618741.0,FCHI,0.0,0.0,Monday,October,2023
2023-10-13,22.4,22.41,21.68,21.81,5726475.0,FCHI,-0.5899999999999999,-2.634,Friday,October,2023
2023-10-12,22.72,22.75,22.27,22.47,2228231.0,FCHI,-0.25,-1.1,Thursday,October,2023
2023-10-11,22.51,22.75,22.44,22.6,2075269.0,FCHI,0.08999999999999986,0.4,Wednesday,October,2023
