Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,377.25,385.45,374.1,385.45,129783.0,FCHI,8.199999999999989,2.174,Monday,January,2024
2024-01-05,376.9,379.95,371.35,378.4,148491.0,FCHI,1.5,0.398,Friday,January,2024
2024-01-04,381.15,382.65,377.55,379.45,176681.0,FCHI,-1.6999999999999886,-0.446,Thursday,January,2024
2024-01-03,391.6,394.15,378.1,381.15,285251.0,FCHI,-10.450000000000045,-2.669,Wednesday,January,2024
2024-01-02,400.1,401.3,389.0,393.05,145952.0,FCHI,-7.050000000000011,-1.762,Tuesday,January,2024
2023-12-29,399.5,402.55,398.35,399.0,90721.0,FCHI,-0.5,-0.125,Friday,December,2023
2023-12-28,403.1,405.55,397.3,398.25,91283.0,FCHI,-4.850000000000023,-1.203,Thursday,December,2023
2023-12-27,398.9,402.8,398.0,402.8,158407.0,FCHI,3.900000000000034,0.978,Wednesday,December,2023
2023-12-22,397.85,400.95,396.5,397.8,148141.0,FCHI,-0.05000000000001137,-0.013,Friday,December,2023
2023-12-21,404.5,405.7,398.85,401.65,175400.0,FCHI,-2.8500000000000227,-0.705,Thursday,December,2023
2023-12-20,407.0,409.2,403.1,406.45,146592.0,FCHI,-0.5500000000000114,-0.135,Wednesday,December,2023
2023-12-19,406.35,410.0,404.7,405.95,197972.0,FCHI,-0.4000000000000341,-0.098,Tuesday,December,2023
2023-12-18,412.05,413.6,406.95,407.35,226317.0,FCHI,-4.699999999999989,-1.141,Monday,December,2023
2023-12-15,428.55,428.6,415.0,417.85,504244.0,FCHI,-10.699999999999989,-2.497,Friday,December,2023
2023-12-14,424.0,430.05,422.6,427.05,347009.0,FCHI,3.0500000000000114,0.719,Thursday,December,2023
2023-12-13,406.4,413.25,405.3,409.0,200829.0,FCHI,2.6000000000000227,0.64,Wednesday,December,2023
2023-12-12,411.85,416.05,410.45,410.45,207643.0,FCHI,-1.400000000000034,-0.34,Tuesday,December,2023
2023-12-11,413.2,414.2,407.05,409.5,191296.0,FCHI,-3.6999999999999886,-0.895,Monday,December,2023
2023-12-08,403.4,418.75,403.4,413.8,361720.0,FCHI,10.400000000000034,2.578,Friday,December,2023
2023-12-07,400.15,403.55,396.6,403.4,139484.0,FCHI,3.25,0.812,Thursday,December,2023
2023-12-06,400.7,405.8,399.75,404.3,264290.0,FCHI,3.6000000000000227,0.898,Wednesday,December,2023
2023-12-05,398.25,403.4,397.1,398.6,181110.0,FCHI,0.35000000000002274,0.088,Tuesday,December,2023
2023-12-04,395.3,406.55,395.3,400.05,185901.0,FCHI,4.75,1.202,Monday,December,2023
2023-12-01,392.85,397.45,390.6,392.9,215906.0,FCHI,0.049999999999954525,0.013,Friday,December,2023
2023-11-30,391.25,394.95,386.5,393.7,285985.0,FCHI,2.4499999999999886,0.626,Thursday,November,2023
2023-11-29,390.95,399.2,389.05,391.0,201901.0,FCHI,0.05000000000001137,0.013,Wednesday,November,2023
2023-11-28,399.2,402.55,391.5,394.05,226177.0,FCHI,-5.149999999999977,-1.29,Tuesday,November,2023
2023-11-27,406.5,410.55,404.4,404.5,116555.0,FCHI,-2.0,-0.492,Monday,November,2023
2023-11-24,405.5,406.5,402.3,406.45,102756.0,FCHI,0.9499999999999886,0.234,Friday,November,2023
2023-11-23,402.65,406.3,401.5,405.95,84870.0,FCHI,3.3000000000000114,0.82,Thursday,November,2023
2023-11-22,399.4,404.5,399.4,403.8,126483.0,FCHI,4.400000000000034,1.102,Wednesday,November,2023
2023-11-21,401.4,403.35,397.25,399.45,163736.0,FCHI,-1.9499999999999886,-0.486,Tuesday,November,2023
2023-11-20,404.55,406.45,401.25,403.2,110897.0,FCHI,-1.3500000000000227,-0.334,Monday,November,2023
2023-11-17,400.95,407.85,399.4,404.3,204923.0,FCHI,3.3500000000000227,0.836,Friday,November,2023
2023-11-16,403.55,406.55,399.1,399.1,248944.0,FCHI,-4.449999999999989,-1.103,Thursday,November,2023
2023-11-15,410.85,421.05,409.5,410.15,225744.0,FCHI,-0.7000000000000455,-0.17,Wednesday,November,2023
2023-11-14,393.2,408.55,393.0,408.1,297494.0,FCHI,14.900000000000034,3.789,Tuesday,November,2023
2023-11-13,396.0,396.0,392.25,393.75,154714.0,FCHI,-2.25,-0.568,Monday,November,2023
2023-11-10,401.1,401.3,386.1,393.1,274674.0,FCHI,-8.0,-1.995,Friday,November,2023
2023-11-09,401.8,409.3,401.25,406.65,163001.0,FCHI,4.849999999999966,1.207,Thursday,November,2023
2023-11-08,397.9,406.3,397.45,403.25,162428.0,FCHI,5.350000000000023,1.345,Wednesday,November,2023
2023-11-07,397.15,401.65,396.0,400.05,144937.0,FCHI,2.900000000000034,0.73,Tuesday,November,2023
2023-11-06,408.3,409.0,396.0,398.7,184108.0,FCHI,-9.600000000000023,-2.351,Monday,November,2023
2023-11-03,403.45,412.95,400.1,407.25,260513.0,FCHI,3.8000000000000114,0.942,Friday,November,2023
2023-11-02,389.0,400.8,387.4,395.8,288817.0,FCHI,6.800000000000011,1.748,Thursday,November,2023
2023-11-01,382.1,382.8,376.7,382.0,204145.0,FCHI,-0.10000000000002274,-0.026,Wednesday,November,2023
2023-10-31,379.55,383.2,379.3,383.2,207052.0,FCHI,3.6499999999999773,0.962,Tuesday,October,2023
2023-10-30,385.55,385.8,380.55,383.0,155380.0,FCHI,-2.5500000000000114,-0.661,Monday,October,2023
2023-10-27,384.4,386.35,379.65,383.5,205080.0,FCHI,-0.8999999999999773,-0.234,Friday,October,2023
2023-10-26,388.1,391.05,382.0,384.4,240789.0,FCHI,-3.7000000000000455,-0.953,Thursday,October,2023
2023-10-25,391.0,398.5,385.1,393.3,513539.0,FCHI,2.3000000000000114,0.588,Wednesday,October,2023
2023-10-24,403.9,408.65,402.45,407.45,152940.0,FCHI,3.5500000000000114,0.879,Tuesday,October,2023
2023-10-23,402.8,404.75,396.8,403.5,144628.0,FCHI,0.6999999999999886,0.174,Monday,October,2023
2023-10-20,405.0,407.0,402.15,402.8,190632.0,FCHI,-2.1999999999999886,-0.543,Friday,October,2023
2023-10-19,405.4,415.85,404.4,410.65,137874.0,FCHI,5.25,1.295,Thursday,October,2023
2023-10-18,410.25,414.25,407.45,409.45,148752.0,FCHI,-0.8000000000000114,-0.195,Wednesday,October,2023
2023-10-17,407.95,410.5,401.3,409.5,157202.0,FCHI,1.5500000000000114,0.38,Tuesday,October,2023
2023-10-16,406.75,410.7,402.15,410.0,161185.0,FCHI,3.25,0.799,Monday,October,2023
2023-10-13,415.5,417.45,404.75,406.8,240863.0,FCHI,-8.699999999999989,-2.094,Friday,October,2023
2023-10-12,431.15,431.25,416.1,416.8,179301.0,FCHI,-14.349999999999966,-3.328,Thursday,October,2023
2023-10-11,418.65,430.55,417.75,427.95,236669.0,FCHI,9.300000000000011,2.221,Wednesday,October,2023
2023-10-10,424.35,435.2,424.35,434.1,242508.0,FCHI,9.75,2.298,Tuesday,October,2023
2023-10-09,421.85,422.85,417.55,419.65,152249.0,FCHI,-2.2000000000000455,-0.522,Monday,October,2023
2023-10-06,421.45,425.65,415.0,425.35,164730.0,FCHI,3.900000000000034,0.925,Friday,October,2023
2023-10-05,417.75,423.4,415.35,421.45,171552.0,FCHI,3.6999999999999886,0.886,Thursday,October,2023
2023-10-04,414.35,427.3,412.95,421.45,183122.0,FCHI,7.099999999999966,1.714,Wednesday,October,2023
2023-10-03,425.0,425.2,419.45,421.65,179216.0,FCHI,-3.3500000000000227,-0.788,Tuesday,October,2023
2023-10-02,433.0,437.6,425.45,429.3,209279.0,FCHI,-3.6999999999999886,-0.855,Monday,October,2023
2023-09-29,437.15,440.7,431.2,431.9,221195.0,FCHI,-5.25,-1.201,Friday,September,2023
2023-09-28,423.9,431.3,423.0,429.45,213835.0,FCHI,5.550000000000011,1.309,Thursday,September,2023
2023-09-27,432.6,437.75,426.45,427.25,245775.0,FCHI,-5.350000000000023,-1.237,Wednesday,September,2023
2023-09-26,432.95,432.95,427.2,429.95,223532.0,FCHI,-3.0,-0.693,Tuesday,September,2023
2023-09-25,451.0,454.6,437.5,439.55,362885.0,FCHI,-11.449999999999989,-2.539,Monday,September,2023
2023-09-22,449.95,472.7,448.35,460.45,247899.0,FCHI,10.5,2.334,Friday,September,2023
2023-09-21,452.65,458.25,451.55,453.6,184934.0,FCHI,0.9500000000000455,0.21,Thursday,September,2023
2023-09-20,450.2,457.9,449.25,457.6,166168.0,FCHI,7.400000000000034,1.644,Wednesday,September,2023
2023-09-19,457.2,458.95,453.8,456.85,118399.0,FCHI,-0.3499999999999659,-0.077,Tuesday,September,2023
2023-09-18,468.45,468.85,458.45,459.45,163254.0,FCHI,-9.0,-1.921,Monday,September,2023
2023-09-15,475.0,476.15,468.95,469.1,563417.0,FCHI,-5.899999999999977,-1.242,Friday,September,2023
2023-09-14,460.5,462.5,452.5,461.0,310324.0,FCHI,0.5,0.109,Thursday,September,2023
2023-09-13,462.05,465.0,461.05,461.85,120004.0,FCHI,-0.19999999999998863,-0.043,Wednesday,September,2023
2023-09-12,471.55,472.6,460.9,463.7,160682.0,FCHI,-7.850000000000023,-1.665,Tuesday,September,2023
2023-09-11,472.0,474.2,467.1,468.15,142584.0,FCHI,-3.8500000000000227,-0.816,Monday,September,2023
2023-09-08,465.0,469.7,459.0,469.7,172302.0,FCHI,4.699999999999989,1.011,Friday,September,2023
2023-09-07,466.3,473.45,460.2,462.85,155682.0,FCHI,-3.4499999999999886,-0.74,Thursday,September,2023
2023-09-06,476.15,477.05,466.85,468.7,171070.0,FCHI,-7.449999999999989,-1.565,Wednesday,September,2023
2023-09-05,486.05,486.85,477.65,479.8,150739.0,FCHI,-6.25,-1.286,Tuesday,September,2023
2023-09-04,493.6,498.4,489.85,490.55,90911.0,FCHI,-3.0500000000000114,-0.618,Monday,September,2023
2023-09-01,492.9,495.4,487.65,488.8,164033.0,FCHI,-4.099999999999966,-0.832,Friday,September,2023
2023-08-31,500.3,500.5,494.2,494.2,213338.0,FCHI,-6.100000000000023,-1.219,Thursday,August,2023
2023-08-30,501.0,502.2,492.8,498.3,92048.0,FCHI,-2.6999999999999886,-0.539,Wednesday,August,2023
2023-08-29,497.7,500.4,493.45,499.0,149647.0,FCHI,1.3000000000000114,0.261,Tuesday,August,2023
2023-08-28,491.95,496.7,488.65,494.4,111513.0,FCHI,2.4499999999999886,0.498,Monday,August,2023
2023-08-25,488.9,493.05,485.75,487.6,100517.0,FCHI,-1.2999999999999545,-0.266,Friday,August,2023
2023-08-24,504.3,507.6,488.9,490.0,119218.0,FCHI,-14.300000000000011,-2.836,Thursday,August,2023
2023-08-23,504.0,504.6,496.45,499.1,83913.0,FCHI,-4.899999999999977,-0.972,Wednesday,August,2023
2023-08-22,501.7,507.9,499.0,501.4,126660.0,FCHI,-0.30000000000001137,-0.06,Tuesday,August,2023
2023-08-21,492.4,502.5,491.85,498.5,155474.0,FCHI,6.100000000000023,1.239,Monday,August,2023
2023-08-18,495.6,495.8,487.75,492.6,125379.0,FCHI,-3.0,-0.605,Friday,August,2023
