Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,687.5,691.3,679.1,691.3,337785.0,FCHI,3.7999999999999545,0.553,Monday,January,2024
2024-01-05,690.7,694.1,680.6,688.9,346418.0,FCHI,-1.8000000000000682,-0.261,Friday,January,2024
2024-01-04,693.5,701.0,693.4,697.8,307568.0,FCHI,4.2999999999999545,0.62,Thursday,January,2024
2024-01-03,718.0,720.4,692.8,695.4,422816.0,FCHI,-22.600000000000023,-3.148,Wednesday,January,2024
2024-01-02,740.0,740.5,718.7,723.0,271775.0,FCHI,-17.0,-2.297,Tuesday,January,2024
2023-12-29,733.0,738.3,732.2,733.6,139158.0,FCHI,0.6000000000000227,0.082,Friday,December,2023
2023-12-28,736.9,739.7,728.6,731.0,162422.0,FCHI,-5.899999999999977,-0.801,Thursday,December,2023
2023-12-27,738.5,743.6,733.7,735.4,185900.0,FCHI,-3.1000000000000227,-0.42,Wednesday,December,2023
2023-12-22,735.3,742.2,733.4,737.7,290012.0,FCHI,2.400000000000091,0.326,Friday,December,2023
2023-12-21,741.0,744.3,735.5,743.4,246163.0,FCHI,2.3999999999999773,0.324,Thursday,December,2023
2023-12-20,747.4,752.0,740.6,746.9,272127.0,FCHI,-0.5,-0.067,Wednesday,December,2023
2023-12-19,741.3,746.6,731.4,745.5,311605.0,FCHI,4.2000000000000455,0.567,Tuesday,December,2023
2023-12-18,742.5,743.3,734.0,741.8,272780.0,FCHI,-0.7000000000000455,-0.094,Monday,December,2023
2023-12-15,749.8,755.3,745.6,748.4,822557.0,FCHI,-1.3999999999999773,-0.187,Friday,December,2023
2023-12-14,750.0,754.8,741.2,746.8,477648.0,FCHI,-3.2000000000000455,-0.427,Thursday,December,2023
2023-12-13,720.0,742.2,720.0,734.5,408010.0,FCHI,14.5,2.014,Wednesday,December,2023
2023-12-12,742.3,746.7,733.0,733.6,322591.0,FCHI,-8.699999999999932,-1.172,Tuesday,December,2023
2023-12-11,739.1,744.9,736.2,740.0,368183.0,FCHI,0.8999999999999773,0.122,Monday,December,2023
2023-12-08,716.4,745.5,716.4,739.1,572988.0,FCHI,22.700000000000045,3.169,Friday,December,2023
