Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,31.78,32.24,31.54,32.24,1026135.0,FCHI,0.46000000000000085,1.447,Monday,January,2024
2024-01-05,31.8,31.91,31.34,31.76,1054656.0,FCHI,-0.03999999999999915,-0.126,Friday,January,2024
2024-01-04,32.29,32.35,31.82,31.89,1404177.0,FCHI,-0.3999999999999986,-1.239,Thursday,January,2024
2024-01-03,32.45,32.62,31.94,32.19,1124890.0,FCHI,-0.2600000000000051,-0.801,Wednesday,January,2024
2024-01-02,32.47,32.83,32.27,32.61,875882.0,FCHI,0.14000000000000057,0.431,Tuesday,January,2024
2023-12-29,32.36,32.55,32.33,32.46,646611.0,FCHI,0.10000000000000142,0.309,Friday,December,2023
2023-12-28,32.34,32.41,32.22,32.36,793166.0,FCHI,0.01999999999999602,0.062,Thursday,December,2023
2023-12-27,32.26,32.65,32.26,32.35,588926.0,FCHI,0.09000000000000341,0.279,Wednesday,December,2023
2023-12-22,32.42,32.63,32.36,32.41,692574.0,FCHI,-0.010000000000005116,-0.031,Friday,December,2023
2023-12-21,32.2,32.52,32.1,32.52,1012161.0,FCHI,0.3200000000000003,0.994,Thursday,December,2023
2023-12-20,32.32,32.45,32.14,32.45,1323227.0,FCHI,0.13000000000000256,0.402,Wednesday,December,2023
2023-12-19,32.25,32.35,32.06,32.16,1073010.0,FCHI,-0.09000000000000341,-0.279,Tuesday,December,2023
2023-12-18,31.97,32.21,31.93,32.17,1162712.0,FCHI,0.20000000000000284,0.626,Monday,December,2023
2023-12-15,32.21,32.29,31.88,32.26,3219562.0,FCHI,0.04999999999999716,0.155,Friday,December,2023
2023-12-14,32.11,32.23,31.41,32.04,2221249.0,FCHI,-0.07000000000000028,-0.218,Thursday,December,2023
2023-12-13,31.88,32.08,31.67,31.72,1195137.0,FCHI,-0.16000000000000014,-0.502,Wednesday,December,2023
2023-12-12,32.25,32.31,31.84,31.88,1743659.0,FCHI,-0.370000000000001,-1.147,Tuesday,December,2023
2023-12-11,31.98,32.26,31.98,32.2,1191553.0,FCHI,0.22000000000000242,0.688,Monday,December,2023
2023-12-08,31.75,31.97,31.65,31.92,1185990.0,FCHI,0.1700000000000017,0.535,Friday,December,2023
2023-12-07,31.49,31.9,31.14,31.83,1397466.0,FCHI,0.33999999999999986,1.08,Thursday,December,2023
2023-12-06,31.5,31.86,31.3,31.6,1528829.0,FCHI,0.10000000000000142,0.317,Wednesday,December,2023
2023-12-05,30.9,31.5,30.88,31.4,1368686.0,FCHI,0.5,1.618,Tuesday,December,2023
2023-12-04,30.92,31.16,30.92,31.02,759997.0,FCHI,0.09999999999999787,0.323,Monday,December,2023
2023-12-01,30.88,31.07,30.77,31.05,895837.0,FCHI,0.1700000000000017,0.551,Friday,December,2023
2023-11-30,30.81,30.94,30.62,30.81,2620661.0,FCHI,0.0,0.0,Thursday,November,2023
2023-11-29,30.45,30.94,30.44,30.84,1519198.0,FCHI,0.39000000000000057,1.281,Wednesday,November,2023
2023-11-28,29.77,30.11,29.61,30.11,1245514.0,FCHI,0.33999999999999986,1.142,Tuesday,November,2023
2023-11-27,29.91,30.04,29.74,29.81,1323069.0,FCHI,-0.10000000000000142,-0.334,Monday,November,2023
2023-11-24,29.51,29.93,29.48,29.9,819637.0,FCHI,0.389999999999997,1.322,Friday,November,2023
2023-11-23,29.75,29.97,29.75,29.85,571479.0,FCHI,0.10000000000000142,0.336,Thursday,November,2023
2023-11-22,29.53,30.02,29.53,29.82,1169381.0,FCHI,0.28999999999999915,0.982,Wednesday,November,2023
2023-11-21,29.72,29.89,29.4,29.48,1099112.0,FCHI,-0.23999999999999844,-0.808,Tuesday,November,2023
2023-11-20,29.68,29.92,29.57,29.73,701463.0,FCHI,0.05000000000000071,0.168,Monday,November,2023
2023-11-17,29.21,29.78,29.21,29.65,1171560.0,FCHI,0.4399999999999977,1.506,Friday,November,2023
2023-11-16,29.53,29.67,29.25,29.25,908240.0,FCHI,-0.28000000000000114,-0.948,Thursday,November,2023
2023-11-15,29.39,29.65,29.31,29.57,1218601.0,FCHI,0.17999999999999972,0.612,Wednesday,November,2023
2023-11-14,28.88,29.47,28.81,29.39,1298231.0,FCHI,0.5100000000000016,1.766,Tuesday,November,2023
2023-11-13,28.5,28.81,28.46,28.69,735620.0,FCHI,0.19000000000000128,0.667,Monday,November,2023
2023-11-10,28.42,28.56,28.18,28.48,877955.0,FCHI,0.05999999999999872,0.211,Friday,November,2023
2023-11-09,28.44,28.69,28.3,28.57,1035172.0,FCHI,0.129999999999999,0.457,Thursday,November,2023
2023-11-08,27.79,28.41,27.62,28.34,814854.0,FCHI,0.5500000000000007,1.979,Wednesday,November,2023
2023-11-07,28.07,28.3,27.79,27.95,1115276.0,FCHI,-0.120000000000001,-0.428,Tuesday,November,2023
