Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,432.6,440.7,432.3,438.45,190182.0,FCHI,5.849999999999966,1.352,Monday,January,2024
2024-01-05,433.3,435.65,429.2,434.25,195961.0,FCHI,0.9499999999999886,0.219,Friday,January,2024
2024-01-04,436.5,438.55,435.45,437.35,277913.0,FCHI,0.8500000000000227,0.195,Thursday,January,2024
2024-01-03,443.9,446.45,436.65,438.8,280587.0,FCHI,-5.099999999999966,-1.149,Wednesday,January,2024
2024-01-02,453.05,454.05,440.0,443.8,239201.0,FCHI,-9.25,-2.042,Tuesday,January,2024
2023-12-29,451.05,453.5,450.05,450.65,137134.0,FCHI,-0.4000000000000341,-0.089,Friday,December,2023
2023-12-28,451.0,452.25,449.35,451.3,165203.0,FCHI,0.30000000000001137,0.067,Thursday,December,2023
2023-12-27,449.5,450.05,446.0,448.7,128642.0,FCHI,-0.8000000000000114,-0.178,Wednesday,December,2023
2023-12-22,445.7,449.5,444.85,447.55,172262.0,FCHI,1.8500000000000227,0.415,Friday,December,2023
2023-12-21,448.55,450.6,447.15,448.2,174470.0,FCHI,-0.35000000000002274,-0.078,Thursday,December,2023
2023-12-20,451.0,453.25,449.05,449.25,234275.0,FCHI,-1.75,-0.388,Wednesday,December,2023
2023-12-19,446.9,460.0,434.1,450.75,316837.0,FCHI,3.8500000000000227,0.861,Tuesday,December,2023
2023-12-18,444.95,447.45,441.8,447.45,277973.0,FCHI,2.5,0.562,Monday,December,2023
2023-12-15,443.85,447.75,438.6,446.55,629804.0,FCHI,2.6999999999999886,0.608,Friday,December,2023
2023-12-14,452.85,455.25,441.25,443.55,457386.0,FCHI,-9.300000000000011,-2.054,Thursday,December,2023
2023-12-13,446.05,449.95,445.4,445.45,290507.0,FCHI,-0.6000000000000227,-0.135,Wednesday,December,2023
2023-12-12,443.9,447.65,443.65,444.7,277227.0,FCHI,0.8000000000000114,0.18,Tuesday,December,2023
2023-12-11,441.3,444.55,440.4,443.85,289238.0,FCHI,2.5500000000000114,0.578,Monday,December,2023
2023-12-08,438.1,443.85,438.1,441.95,257093.0,FCHI,3.849999999999966,0.879,Friday,December,2023
2023-12-07,439.55,440.55,437.75,438.75,272546.0,FCHI,-0.8000000000000114,-0.182,Thursday,December,2023
2023-12-06,439.5,442.45,439.15,441.4,262066.0,FCHI,1.8999999999999773,0.432,Wednesday,December,2023
2023-12-05,438.15,440.2,437.55,439.75,247347.0,FCHI,1.6000000000000227,0.365,Tuesday,December,2023
2023-12-04,434.9,438.1,434.75,436.9,159599.0,FCHI,2.0,0.46,Monday,December,2023
2023-12-01,434.4,436.8,433.65,436.15,261151.0,FCHI,1.75,0.403,Friday,December,2023
2023-11-30,431.85,433.2,427.05,431.05,955323.0,FCHI,-0.8000000000000114,-0.185,Thursday,November,2023
2023-11-29,431.85,434.8,430.25,431.85,267351.0,FCHI,0.0,0.0,Wednesday,November,2023
2023-11-28,431.5,431.5,424.55,430.7,251664.0,FCHI,-0.8000000000000114,-0.185,Tuesday,November,2023
2023-11-27,431.3,435.0,430.9,432.95,213153.0,FCHI,1.6499999999999773,0.383,Monday,November,2023
2023-11-24,428.9,431.45,428.35,431.45,217147.0,FCHI,2.5500000000000114,0.595,Friday,November,2023
2023-11-23,429.85,431.75,428.5,429.25,136751.0,FCHI,-0.6000000000000227,-0.14,Thursday,November,2023
2023-11-22,425.0,431.2,424.3,429.65,245171.0,FCHI,4.649999999999977,1.094,Wednesday,November,2023
2023-11-21,420.75,425.65,420.75,425.65,200719.0,FCHI,4.899999999999977,1.165,Tuesday,November,2023
2023-11-20,422.75,425.5,421.2,421.75,269285.0,FCHI,-1.0,-0.237,Monday,November,2023
2023-11-17,422.55,424.85,421.45,423.95,397790.0,FCHI,1.3999999999999773,0.331,Friday,November,2023
2023-11-16,425.05,426.1,420.75,421.0,310737.0,FCHI,-4.050000000000011,-0.953,Thursday,November,2023
2023-11-15,425.0,429.15,423.9,423.9,291497.0,FCHI,-1.1000000000000227,-0.259,Wednesday,November,2023
2023-11-14,415.6,426.95,415.4,424.6,441537.0,FCHI,9.0,2.166,Tuesday,November,2023
2023-11-13,414.8,415.7,411.35,414.65,369666.0,FCHI,-0.1500000000000341,-0.036,Monday,November,2023
2023-11-10,416.6,416.95,411.95,414.25,328075.0,FCHI,-2.3500000000000227,-0.564,Friday,November,2023
2023-11-09,415.0,419.65,412.55,419.0,290734.0,FCHI,4.0,0.964,Thursday,November,2023
2023-11-08,406.0,418.1,405.3,415.45,528870.0,FCHI,9.449999999999989,2.328,Wednesday,November,2023
2023-11-07,400.85,405.6,399.85,405.45,222053.0,FCHI,4.599999999999966,1.148,Tuesday,November,2023
2023-11-06,404.1,405.05,400.85,403.15,213445.0,FCHI,-0.9500000000000455,-0.235,Monday,November,2023
2023-11-03,404.2,406.9,401.0,403.7,255656.0,FCHI,-0.5,-0.124,Friday,November,2023
2023-11-02,399.65,406.4,398.15,403.25,305671.0,FCHI,3.6000000000000227,0.901,Thursday,November,2023
2023-11-01,398.3,398.8,389.8,397.0,352867.0,FCHI,-1.3000000000000114,-0.326,Wednesday,November,2023
2023-10-31,393.0,399.65,392.45,396.15,330802.0,FCHI,3.1499999999999773,0.802,Tuesday,October,2023
