Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,102.6,103.6,101.35,103.6,143465.0,FCHI,1.0,0.975,Monday,January,2024
2024-01-05,102.15,103.3,99.94,102.95,285337.0,FCHI,0.7999999999999972,0.783,Friday,January,2024
2024-01-04,100.45,102.55,100.45,102.25,289752.0,FCHI,1.7999999999999972,1.792,Thursday,January,2024
2024-01-03,100.35,100.8,100.0,100.5,319011.0,FCHI,0.15000000000000568,0.149,Wednesday,January,2024
2024-01-02,100.1,101.1,100.0,100.0,149025.0,FCHI,-0.09999999999999432,-0.1,Tuesday,January,2024
2023-12-29,99.16,100.0,99.0,99.62,103057.0,FCHI,0.46000000000000796,0.464,Friday,December,2023
2023-12-28,98.9,100.05,98.9,99.52,195116.0,FCHI,0.6199999999999903,0.627,Thursday,December,2023
2023-12-27,98.38,98.84,97.76,98.8,94860.0,FCHI,0.4200000000000017,0.427,Wednesday,December,2023
2023-12-22,98.18,98.74,97.74,98.44,168383.0,FCHI,0.2599999999999909,0.265,Friday,December,2023
2023-12-21,97.28,98.0,96.64,98.0,194076.0,FCHI,0.7199999999999989,0.74,Thursday,December,2023
2023-12-20,95.66,97.58,94.86,97.58,267297.0,FCHI,1.9200000000000017,2.007,Wednesday,December,2023
2023-12-19,99.34,101.15,97.72,98.08,236079.0,FCHI,-1.2600000000000051,-1.268,Tuesday,December,2023
2023-12-18,98.74,99.22,98.22,98.78,106225.0,FCHI,0.04000000000000625,0.041,Monday,December,2023
2023-12-15,99.44,99.92,98.2,98.8,377614.0,FCHI,-0.6400000000000006,-0.644,Friday,December,2023
2023-12-14,100.1,101.3,98.0,99.36,268289.0,FCHI,-0.7399999999999949,-0.739,Thursday,December,2023
2023-12-13,100.55,101.05,99.56,99.78,158140.0,FCHI,-0.769999999999996,-0.766,Wednesday,December,2023
2023-12-12,100.25,100.9,99.98,100.4,123523.0,FCHI,0.15000000000000568,0.15,Tuesday,December,2023
2023-12-11,100.05,100.25,99.04,100.25,117087.0,FCHI,0.20000000000000284,0.2,Monday,December,2023
2023-12-08,99.88,101.8,98.78,100.05,267061.0,FCHI,0.1700000000000017,0.17,Friday,December,2023
2023-12-07,101.65,102.35,100.5,101.3,196584.0,FCHI,-0.3500000000000085,-0.344,Thursday,December,2023
2023-12-06,102.5,103.4,101.5,101.65,177128.0,FCHI,-0.8499999999999943,-0.829,Wednesday,December,2023
2023-12-05,99.8,102.5,99.6,102.3,223236.0,FCHI,2.5,2.505,Tuesday,December,2023
2023-12-04,98.84,100.65,98.76,100.15,155966.0,FCHI,1.3100000000000023,1.325,Monday,December,2023
2023-12-01,98.82,99.42,98.2,98.86,139846.0,FCHI,0.04000000000000625,0.04,Friday,December,2023
2023-11-30,99.38,99.38,98.18,98.4,372380.0,FCHI,-0.9799999999999898,-0.986,Thursday,November,2023
2023-11-29,100.9,100.9,99.34,99.34,136282.0,FCHI,-1.5600000000000023,-1.546,Wednesday,November,2023
2023-11-28,100.7,101.2,100.05,101.0,147778.0,FCHI,0.29999999999999716,0.298,Tuesday,November,2023
2023-11-27,101.75,102.25,100.5,100.7,106034.0,FCHI,-1.0499999999999972,-1.032,Monday,November,2023
2023-11-24,102.0,102.5,101.45,101.6,90694.0,FCHI,-0.4000000000000057,-0.392,Friday,November,2023
2023-11-23,101.35,103.1,101.35,102.4,98255.0,FCHI,1.0500000000000114,1.036,Thursday,November,2023
2023-11-22,101.2,102.05,101.1,101.6,113885.0,FCHI,0.3999999999999915,0.395,Wednesday,November,2023
2023-11-21,100.6,101.45,100.4,101.2,100855.0,FCHI,0.6000000000000085,0.596,Tuesday,November,2023
2023-11-20,101.1,101.25,99.98,100.85,123669.0,FCHI,-0.25,-0.247,Monday,November,2023
2023-11-17,101.9,101.9,100.05,101.35,211720.0,FCHI,-0.5500000000000114,-0.54,Friday,November,2023
2023-11-16,101.3,101.75,100.75,101.75,224675.0,FCHI,0.45000000000000284,0.444,Thursday,November,2023
2023-11-15,100.5,101.3,99.88,101.25,267421.0,FCHI,0.75,0.746,Wednesday,November,2023
2023-11-14,101.0,101.25,100.1,100.45,232429.0,FCHI,-0.5499999999999972,-0.545,Tuesday,November,2023
2023-11-13,100.15,101.65,99.92,100.95,212090.0,FCHI,0.7999999999999972,0.799,Monday,November,2023
2023-11-10,99.7,100.25,99.4,99.8,113435.0,FCHI,0.09999999999999432,0.1,Friday,November,2023
2023-11-09,98.82,100.05,98.82,99.8,127664.0,FCHI,0.980000000000004,0.992,Thursday,November,2023
2023-11-08,97.62,99.46,97.5,98.88,163748.0,FCHI,1.259999999999991,1.291,Wednesday,November,2023
2023-11-07,98.66,98.84,97.82,98.1,116321.0,FCHI,-0.5600000000000023,-0.568,Tuesday,November,2023
2023-11-06,98.88,99.4,98.3,99.2,112495.0,FCHI,0.3200000000000074,0.324,Monday,November,2023
2023-11-03,100.35,100.45,98.18,98.68,179184.0,FCHI,-1.6699999999999875,-1.664,Friday,November,2023
