Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,9.78,9.94,9.74,9.87,2047891.0,FCHI,0.08999999999999986,0.92,Monday,January,2024
2024-01-05,9.69,9.8,9.65,9.8,1955180.0,FCHI,0.11000000000000121,1.135,Friday,January,2024
2024-01-04,9.65,9.71,9.65,9.69,1374095.0,FCHI,0.03999999999999915,0.415,Thursday,January,2024
2024-01-03,9.68,9.79,9.63,9.67,1926060.0,FCHI,-0.009999999999999787,-0.103,Wednesday,January,2024
2024-01-02,9.7,9.79,9.69,9.69,1915154.0,FCHI,-0.009999999999999787,-0.103,Tuesday,January,2024
2023-12-29,9.65,9.72,9.65,9.68,763268.0,FCHI,0.02999999999999936,0.311,Friday,December,2023
2023-12-28,9.69,9.71,9.62,9.66,1178113.0,FCHI,-0.02999999999999936,-0.31,Thursday,December,2023
2023-12-27,9.63,9.67,9.61,9.67,942056.0,FCHI,0.03999999999999915,0.415,Wednesday,December,2023
2023-12-22,9.56,9.62,9.52,9.61,1280826.0,FCHI,0.049999999999998934,0.523,Friday,December,2023
2023-12-21,9.53,9.61,9.51,9.58,1331788.0,FCHI,0.05000000000000071,0.525,Thursday,December,2023
2023-12-20,9.65,9.69,9.51,9.6,1838517.0,FCHI,-0.05000000000000071,-0.518,Wednesday,December,2023
2023-12-19,9.55,9.62,9.55,9.6,1417582.0,FCHI,0.049999999999998934,0.524,Tuesday,December,2023
2023-12-18,9.55,9.65,9.36,9.57,2353887.0,FCHI,0.019999999999999574,0.209,Monday,December,2023
2023-12-15,9.77,9.83,9.6,9.6,13515023.0,FCHI,-0.16999999999999993,-1.74,Friday,December,2023
2023-12-14,9.99,10.06,9.57,9.85,12778250.0,FCHI,-0.14000000000000057,-1.401,Thursday,December,2023
2023-12-13,8.93,9.08,8.93,8.96,2462287.0,FCHI,0.030000000000001137,0.336,Wednesday,December,2023
2023-12-12,9.0,9.11,8.9,8.9,1657332.0,FCHI,-0.09999999999999964,-1.111,Tuesday,December,2023
2023-12-11,8.99,9.08,8.91,9.03,3438673.0,FCHI,0.03999999999999915,0.445,Monday,December,2023
2023-12-08,8.99,9.09,8.85,8.89,3610185.0,FCHI,-0.09999999999999964,-1.112,Friday,December,2023
2023-12-07,8.68,8.71,8.57,8.68,1431865.0,FCHI,0.0,0.0,Thursday,December,2023
2023-12-06,8.75,8.8,8.73,8.75,1127718.0,FCHI,0.0,0.0,Wednesday,December,2023
2023-12-05,8.72,8.76,8.59,8.75,1493105.0,FCHI,0.02999999999999936,0.344,Tuesday,December,2023
2023-12-04,8.71,8.85,8.71,8.76,1088297.0,FCHI,0.049999999999998934,0.574,Monday,December,2023
2023-12-01,8.7,8.74,8.62,8.71,1839119.0,FCHI,0.010000000000001563,0.115,Friday,December,2023
2023-11-30,8.76,8.79,8.68,8.69,3819752.0,FCHI,-0.07000000000000028,-0.799,Thursday,November,2023
2023-11-29,8.73,8.8,8.73,8.75,937374.0,FCHI,0.019999999999999574,0.229,Wednesday,November,2023
2023-11-28,8.76,8.78,8.71,8.74,729831.0,FCHI,-0.019999999999999574,-0.228,Tuesday,November,2023
2023-11-27,8.78,8.82,8.77,8.79,965561.0,FCHI,0.009999999999999787,0.114,Monday,November,2023
2023-11-24,8.72,8.82,8.71,8.82,1324098.0,FCHI,0.09999999999999964,1.147,Friday,November,2023
2023-11-23,8.73,8.76,8.7,8.71,606094.0,FCHI,-0.019999999999999574,-0.229,Thursday,November,2023
2023-11-22,8.66,8.82,8.66,8.71,1108563.0,FCHI,0.05000000000000071,0.577,Wednesday,November,2023
2023-11-21,8.72,8.82,8.64,8.66,1315651.0,FCHI,-0.0600000000000005,-0.688,Tuesday,November,2023
2023-11-20,8.77,8.81,8.7,8.76,989996.0,FCHI,-0.009999999999999787,-0.114,Monday,November,2023
2023-11-17,8.71,8.85,8.69,8.79,1071316.0,FCHI,0.0799999999999983,0.918,Friday,November,2023
2023-11-16,8.63,8.79,8.63,8.7,1130341.0,FCHI,0.06999999999999851,0.811,Thursday,November,2023
2023-11-15,8.72,8.77,8.65,8.66,1012237.0,FCHI,-0.0600000000000005,-0.688,Wednesday,November,2023
2023-11-14,8.57,8.73,8.56,8.7,1023084.0,FCHI,0.129999999999999,1.517,Tuesday,November,2023
2023-11-13,8.61,8.64,8.55,8.55,618507.0,FCHI,-0.05999999999999872,-0.697,Monday,November,2023
2023-11-10,8.69,8.71,8.55,8.58,1358223.0,FCHI,-0.10999999999999943,-1.266,Friday,November,2023
2023-11-09,8.67,8.75,8.65,8.72,837239.0,FCHI,0.05000000000000071,0.577,Thursday,November,2023
2023-11-08,8.52,8.71,8.47,8.68,2393488.0,FCHI,0.16000000000000014,1.878,Wednesday,November,2023
2023-11-07,8.51,8.61,8.46,8.57,812846.0,FCHI,0.0600000000000005,0.705,Tuesday,November,2023
2023-11-06,8.66,8.7,8.42,8.54,2545703.0,FCHI,-0.120000000000001,-1.386,Monday,November,2023
2023-11-03,8.63,8.67,8.59,8.66,1406029.0,FCHI,0.02999999999999936,0.348,Friday,November,2023
2023-11-02,8.5,8.63,8.5,8.59,1650286.0,FCHI,0.08999999999999986,1.059,Thursday,November,2023
2023-11-01,8.46,8.53,8.38,8.47,1109626.0,FCHI,0.009999999999999787,0.118,Wednesday,November,2023
2023-10-31,8.4,8.51,8.4,8.46,1274916.0,FCHI,0.0600000000000005,0.714,Tuesday,October,2023
2023-10-30,8.36,8.44,8.36,8.37,811455.0,FCHI,0.009999999999999787,0.12,Monday,October,2023
2023-10-27,8.34,8.44,8.19,8.35,1612564.0,FCHI,0.009999999999999787,0.12,Friday,October,2023
2023-10-26,8.36,8.51,8.34,8.45,1317337.0,FCHI,0.08999999999999986,1.077,Thursday,October,2023
2023-10-25,8.45,8.46,8.34,8.41,861824.0,FCHI,-0.03999999999999915,-0.473,Wednesday,October,2023
2023-10-24,8.42,8.5,8.41,8.45,1307905.0,FCHI,0.02999999999999936,0.356,Tuesday,October,2023
2023-10-23,8.51,8.53,8.34,8.41,1652657.0,FCHI,-0.09999999999999964,-1.175,Monday,October,2023
2023-10-20,8.21,8.56,8.21,8.49,3527259.0,FCHI,0.27999999999999936,3.41,Friday,October,2023
2023-10-19,8.4,8.44,8.26,8.26,2414922.0,FCHI,-0.14000000000000057,-1.667,Thursday,October,2023
2023-10-18,8.48,8.56,8.44,8.46,1327112.0,FCHI,-0.019999999999999574,-0.236,Wednesday,October,2023
2023-10-17,8.53,8.64,8.5,8.5,1705606.0,FCHI,-0.02999999999999936,-0.352,Tuesday,October,2023
2023-10-16,8.5,8.56,8.44,8.53,1196405.0,FCHI,0.02999999999999936,0.353,Monday,October,2023
2023-10-13,8.64,8.64,8.48,8.49,1263536.0,FCHI,-0.15000000000000036,-1.736,Friday,October,2023
2023-10-12,8.6,8.69,8.59,8.65,1866376.0,FCHI,0.05000000000000071,0.581,Thursday,October,2023
2023-10-11,8.49,8.62,8.49,8.56,1434138.0,FCHI,0.07000000000000028,0.824,Wednesday,October,2023
2023-10-10,8.42,8.56,8.41,8.5,1382184.0,FCHI,0.08000000000000007,0.95,Tuesday,October,2023
2023-10-09,8.3,8.41,8.21,8.34,2050911.0,FCHI,0.03999999999999915,0.482,Monday,October,2023
2023-10-06,8.35,8.36,8.24,8.32,1697697.0,FCHI,-0.02999999999999936,-0.359,Friday,October,2023
2023-10-05,8.46,8.5,8.33,8.33,1660443.0,FCHI,-0.13000000000000078,-1.537,Thursday,October,2023
2023-10-04,8.34,8.57,8.33,8.45,2841103.0,FCHI,0.10999999999999943,1.319,Wednesday,October,2023
2023-10-03,8.31,8.5,8.29,8.41,2642070.0,FCHI,0.09999999999999964,1.203,Tuesday,October,2023
2023-10-02,8.65,8.67,8.34,8.35,1961456.0,FCHI,-0.3000000000000007,-3.468,Monday,October,2023
2023-09-29,8.2,8.34,8.2,8.3,2477765.0,FCHI,0.10000000000000142,1.22,Friday,September,2023
2023-09-28,8.06,8.16,8.04,8.14,1686151.0,FCHI,0.08000000000000007,0.993,Thursday,September,2023
2023-09-27,8.15,8.21,8.07,8.08,1249768.0,FCHI,-0.07000000000000028,-0.859,Wednesday,September,2023
2023-09-26,8.25,8.3,8.17,8.17,2288832.0,FCHI,-0.08000000000000007,-0.97,Tuesday,September,2023
2023-09-25,8.41,8.5,8.28,8.29,1643361.0,FCHI,-0.120000000000001,-1.427,Monday,September,2023
2023-09-22,8.26,8.47,8.23,8.46,2839593.0,FCHI,0.20000000000000107,2.421,Friday,September,2023
2023-09-21,8.3,8.31,8.22,8.29,1586394.0,FCHI,-0.010000000000001563,-0.12,Thursday,September,2023
2023-09-20,8.27,8.36,8.25,8.33,1425893.0,FCHI,0.0600000000000005,0.726,Wednesday,September,2023
2023-09-19,8.09,8.26,8.08,8.26,1675699.0,FCHI,0.16999999999999993,2.101,Tuesday,September,2023
2023-09-18,8.2,8.3,8.1,8.11,1356072.0,FCHI,-0.08999999999999986,-1.098,Monday,September,2023
2023-09-15,8.3,8.31,8.21,8.22,8225717.0,FCHI,-0.08000000000000007,-0.964,Friday,September,2023
2023-09-14,8.17,8.29,8.16,8.28,2083087.0,FCHI,0.10999999999999943,1.346,Thursday,September,2023
2023-09-13,8.14,8.17,8.11,8.13,1401223.0,FCHI,-0.009999999999999787,-0.123,Wednesday,September,2023
2023-09-12,8.25,8.27,8.13,8.15,880632.0,FCHI,-0.09999999999999964,-1.212,Tuesday,September,2023
2023-09-11,8.2,8.27,8.17,8.25,669164.0,FCHI,0.05000000000000071,0.61,Monday,September,2023
2023-09-08,8.18,8.22,8.17,8.19,1079702.0,FCHI,0.009999999999999787,0.122,Friday,September,2023
2023-09-07,8.3,8.31,8.16,8.16,1552928.0,FCHI,-0.14000000000000057,-1.687,Thursday,September,2023
2023-09-06,8.36,8.38,8.3,8.34,1207856.0,FCHI,-0.019999999999999574,-0.239,Wednesday,September,2023
2023-09-05,8.37,8.46,8.35,8.38,1187488.0,FCHI,0.010000000000001563,0.119,Tuesday,September,2023
2023-09-04,8.46,8.52,8.41,8.41,1407645.0,FCHI,-0.05000000000000071,-0.591,Monday,September,2023
2023-09-01,8.42,8.47,8.38,8.46,1220097.0,FCHI,0.040000000000000924,0.475,Friday,September,2023
2023-08-31,8.33,8.43,8.32,8.41,4304897.0,FCHI,0.08000000000000007,0.96,Thursday,August,2023
2023-08-30,8.37,8.4,8.32,8.33,1205362.0,FCHI,-0.03999999999999915,-0.478,Wednesday,August,2023
2023-08-29,8.26,8.38,8.26,8.36,2053030.0,FCHI,0.09999999999999964,1.211,Tuesday,August,2023
2023-08-28,8.22,8.26,8.19,8.22,1062523.0,FCHI,0.0,0.0,Monday,August,2023
2023-08-25,8.15,8.22,8.14,8.18,1129262.0,FCHI,0.02999999999999936,0.368,Friday,August,2023
2023-08-24,8.22,8.26,8.18,8.18,1944535.0,FCHI,-0.040000000000000924,-0.487,Thursday,August,2023
2023-08-23,8.24,8.25,8.18,8.22,1384960.0,FCHI,-0.019999999999999574,-0.243,Wednesday,August,2023
2023-08-22,8.11,8.23,8.1,8.22,1824036.0,FCHI,0.11000000000000121,1.356,Tuesday,August,2023
2023-08-21,8.02,8.1,8.02,8.07,1103467.0,FCHI,0.05000000000000071,0.623,Monday,August,2023
2023-08-18,8.06,8.06,7.99,8.03,1214052.0,FCHI,-0.030000000000001137,-0.372,Friday,August,2023
2023-08-17,8.05,8.11,8.02,8.07,1200915.0,FCHI,0.019999999999999574,0.248,Thursday,August,2023
2023-08-16,8.06,8.09,8.03,8.06,1096971.0,FCHI,0.0,0.0,Wednesday,August,2023
2023-08-15,8.05,8.06,7.99,8.06,1174205.0,FCHI,0.009999999999999787,0.124,Tuesday,August,2023
2023-08-14,8.09,8.1,8.03,8.04,1008827.0,FCHI,-0.05000000000000071,-0.618,Monday,August,2023
2023-08-11,8.2,8.23,8.09,8.1,1311641.0,FCHI,-0.09999999999999964,-1.22,Friday,August,2023
2023-08-10,8.19,8.22,8.18,8.21,1225055.0,FCHI,0.02000000000000135,0.244,Thursday,August,2023
2023-08-09,8.25,8.28,8.17,8.17,1004155.0,FCHI,-0.08000000000000007,-0.97,Wednesday,August,2023
2023-08-08,8.16,8.2,8.1,8.18,1257243.0,FCHI,0.019999999999999574,0.245,Tuesday,August,2023
2023-08-04,8.24,8.29,8.17,8.26,1379483.0,FCHI,0.019999999999999574,0.243,Friday,August,2023
2023-08-03,8.06,8.24,8.03,8.24,2769631.0,FCHI,0.17999999999999972,2.233,Thursday,August,2023
2023-08-02,8.06,8.16,8.05,8.07,2135309.0,FCHI,0.009999999999999787,0.124,Wednesday,August,2023
2023-08-01,8.09,8.22,8.05,8.14,1966639.0,FCHI,0.05000000000000071,0.618,Tuesday,August,2023
2023-07-31,8.21,8.23,8.11,8.12,1923075.0,FCHI,-0.09000000000000163,-1.096,Monday,July,2023
2023-07-28,8.26,8.45,8.11,8.22,3460557.0,FCHI,-0.03999999999999915,-0.484,Friday,July,2023
2023-07-27,8.45,8.7,8.4,8.43,4236963.0,FCHI,-0.019999999999999574,-0.237,Thursday,July,2023
2023-07-26,8.34,8.42,8.33,8.35,1608834.0,FCHI,0.009999999999999787,0.12,Wednesday,July,2023
2023-07-25,8.39,8.45,8.34,8.37,1993649.0,FCHI,-0.02000000000000135,-0.238,Tuesday,July,2023
2023-07-24,8.34,8.44,8.34,8.37,1667946.0,FCHI,0.02999999999999936,0.36,Monday,July,2023
2023-07-21,8.41,8.54,8.36,8.37,2663531.0,FCHI,-0.040000000000000924,-0.476,Friday,July,2023
2023-07-20,8.38,8.51,8.32,8.37,2883798.0,FCHI,-0.010000000000001563,-0.119,Thursday,July,2023
2023-07-19,8.43,8.52,8.36,8.4,3374304.0,FCHI,-0.02999999999999936,-0.356,Wednesday,July,2023
2023-07-18,8.32,8.44,8.31,8.4,3422933.0,FCHI,0.08000000000000007,0.962,Tuesday,July,2023
2023-07-17,8.47,8.48,8.38,8.38,1384066.0,FCHI,-0.08999999999999986,-1.063,Monday,July,2023
2023-07-14,8.55,8.59,8.49,8.49,1301123.0,FCHI,-0.0600000000000005,-0.702,Friday,July,2023
2023-07-13,8.57,8.6,8.53,8.55,949797.0,FCHI,-0.019999999999999574,-0.233,Thursday,July,2023
2023-07-12,8.47,8.56,8.41,8.53,1524824.0,FCHI,0.05999999999999872,0.708,Wednesday,July,2023
2023-07-11,8.4,8.43,8.36,8.43,1209110.0,FCHI,0.02999999999999936,0.357,Tuesday,July,2023
2023-07-10,8.43,8.47,8.36,8.39,1092005.0,FCHI,-0.03999999999999915,-0.474,Monday,July,2023
2023-07-07,8.43,8.51,8.39,8.46,1170645.0,FCHI,0.030000000000001137,0.356,Friday,July,2023
2023-07-06,8.53,8.53,8.4,8.42,2015711.0,FCHI,-0.10999999999999943,-1.29,Thursday,July,2023
2023-07-05,8.6,8.65,8.55,8.59,2012192.0,FCHI,-0.009999999999999787,-0.116,Wednesday,July,2023
2023-07-04,8.54,8.68,8.54,8.63,1249620.0,FCHI,0.09000000000000163,1.054,Tuesday,July,2023
2023-07-03,8.43,8.55,8.43,8.53,1373085.0,FCHI,0.09999999999999964,1.186,Monday,July,2023
2023-06-30,8.41,8.49,8.41,8.41,1855572.0,FCHI,0.0,0.0,Friday,June,2023
2023-06-29,8.45,8.48,8.38,8.4,1062776.0,FCHI,-0.049999999999998934,-0.592,Thursday,June,2023
2023-06-28,8.36,8.45,8.33,8.45,1796519.0,FCHI,0.08999999999999986,1.077,Wednesday,June,2023
2023-06-27,8.32,8.36,8.22,8.31,1399535.0,FCHI,-0.009999999999999787,-0.12,Tuesday,June,2023
2023-06-26,8.22,8.27,8.17,8.25,1788287.0,FCHI,0.02999999999999936,0.365,Monday,June,2023
2023-06-23,8.25,8.3,8.23,8.27,1340583.0,FCHI,0.019999999999999574,0.242,Friday,June,2023
2023-06-22,8.28,8.31,8.23,8.27,1169094.0,FCHI,-0.009999999999999787,-0.121,Thursday,June,2023
2023-06-21,8.26,8.34,8.23,8.31,1355149.0,FCHI,0.05000000000000071,0.605,Wednesday,June,2023
2023-06-20,8.3,8.36,8.25,8.32,1299997.0,FCHI,0.019999999999999574,0.241,Tuesday,June,2023
2023-06-19,8.31,8.35,8.27,8.32,2163511.0,FCHI,0.009999999999999787,0.12,Monday,June,2023
2023-06-16,8.27,8.35,8.23,8.35,14503582.0,FCHI,0.08000000000000007,0.967,Friday,June,2023
2023-06-15,8.2,8.3,8.17,8.26,2471328.0,FCHI,0.0600000000000005,0.732,Thursday,June,2023
2023-06-14,8.14,8.3,8.11,8.24,3746220.0,FCHI,0.09999999999999964,1.229,Wednesday,June,2023
2023-06-13,8.1,8.21,8.09,8.14,3326393.0,FCHI,0.040000000000000924,0.494,Tuesday,June,2023
2023-06-12,8.2,8.2,8.0,8.0,3843929.0,FCHI,-0.1999999999999993,-2.439,Monday,June,2023
2023-06-09,8.2,8.29,8.12,8.14,4093184.0,FCHI,-0.05999999999999872,-0.732,Friday,June,2023
2023-06-08,8.32,8.39,8.29,8.34,1800273.0,FCHI,0.019999999999999574,0.24,Thursday,June,2023
2023-06-07,8.32,8.39,8.26,8.35,1925975.0,FCHI,0.02999999999999936,0.361,Wednesday,June,2023
2023-06-06,8.25,8.37,8.22,8.35,1852564.0,FCHI,0.09999999999999964,1.212,Tuesday,June,2023
2023-06-05,8.41,8.42,8.26,8.28,1726271.0,FCHI,-0.13000000000000078,-1.546,Monday,June,2023
2023-06-02,8.35,8.4,8.34,8.38,2519652.0,FCHI,0.030000000000001137,0.359,Friday,June,2023
2023-05-31,8.45,8.52,8.24,8.29,15208272.0,FCHI,-0.16000000000000014,-1.893,Wednesday,May,2023
2023-05-30,8.52,8.55,8.45,8.45,1772966.0,FCHI,-0.07000000000000028,-0.822,Tuesday,May,2023
2023-05-29,8.51,8.53,8.45,8.47,1033921.0,FCHI,-0.03999999999999915,-0.47,Monday,May,2023
2023-05-26,8.53,8.54,8.41,8.5,2468328.0,FCHI,-0.02999999999999936,-0.352,Friday,May,2023
2023-05-25,8.82,8.83,8.51,8.52,3008350.0,FCHI,-0.3000000000000007,-3.401,Thursday,May,2023
2023-05-24,8.99,9.04,8.77,8.8,5341180.0,FCHI,-0.1899999999999995,-2.113,Wednesday,May,2023
2023-05-23,9.1,9.15,8.52,9.1,11237474.0,FCHI,0.0,0.0,Tuesday,May,2023
2023-05-22,9.48,9.49,9.32,9.44,3018562.0,FCHI,-0.040000000000000924,-0.422,Monday,May,2023
2023-05-19,9.55,9.55,9.46,9.49,4657893.0,FCHI,-0.0600000000000005,-0.628,Friday,May,2023
2023-05-18,9.5,9.56,9.49,9.52,7648474.0,FCHI,0.019999999999999574,0.211,Thursday,May,2023
2023-05-17,9.48,9.61,9.45,9.48,6394290.0,FCHI,0.0,0.0,Wednesday,May,2023
2023-05-16,9.75,9.75,9.5,9.5,2908924.0,FCHI,-0.25,-2.564,Tuesday,May,2023
2023-05-15,9.76,9.83,9.72,9.74,1793820.0,FCHI,-0.019999999999999574,-0.205,Monday,May,2023
2023-05-12,9.82,9.83,9.69,9.72,1760591.0,FCHI,-0.09999999999999964,-1.018,Friday,May,2023
2023-05-11,9.76,9.83,9.68,9.76,1972657.0,FCHI,0.0,0.0,Thursday,May,2023
2023-05-10,9.84,9.84,9.72,9.73,1986912.0,FCHI,-0.10999999999999943,-1.118,Wednesday,May,2023
2023-05-09,9.82,9.9,9.75,9.83,2489278.0,FCHI,0.009999999999999787,0.102,Tuesday,May,2023
2023-05-08,9.8,9.82,9.73,9.77,1147060.0,FCHI,-0.030000000000001137,-0.306,Monday,May,2023
2023-05-05,9.79,9.86,9.76,9.82,2315782.0,FCHI,0.030000000000001137,0.306,Friday,May,2023
2023-05-04,9.65,9.76,9.51,9.73,3715901.0,FCHI,0.08000000000000007,0.829,Thursday,May,2023
2023-05-03,9.93,9.95,9.66,9.66,1948039.0,FCHI,-0.2699999999999996,-2.719,Wednesday,May,2023
2023-05-02,9.89,9.92,9.78,9.86,5654887.0,FCHI,-0.030000000000001137,-0.303,Tuesday,May,2023
2023-04-28,9.76,10.01,9.75,9.95,5220887.0,FCHI,0.1899999999999995,1.947,Friday,April,2023
2023-04-27,9.76,9.84,9.66,9.8,3485486.0,FCHI,0.040000000000000924,0.41,Thursday,April,2023
2023-04-26,9.6,9.82,9.58,9.77,3474233.0,FCHI,0.16999999999999993,1.771,Wednesday,April,2023
2023-04-25,9.57,9.61,9.45,9.61,2898065.0,FCHI,0.03999999999999915,0.418,Tuesday,April,2023
2023-04-24,9.9,9.9,9.7,9.82,3115327.0,FCHI,-0.08000000000000007,-0.808,Monday,April,2023
2023-04-21,9.96,10.02,9.9,9.94,3790123.0,FCHI,-0.02000000000000135,-0.201,Friday,April,2023
2023-04-20,9.88,9.98,9.85,9.96,3451227.0,FCHI,0.08000000000000007,0.81,Thursday,April,2023
