Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,14.26,14.59,14.18,14.55,1294191.0,FCHI,0.2900000000000009,2.034,Monday,January,2024
2024-01-05,14.17,14.48,14.0,14.38,648647.0,FCHI,0.21000000000000085,1.482,Friday,January,2024
2024-01-04,14.3,14.55,14.0,14.39,1010234.0,FCHI,0.08999999999999986,0.629,Thursday,January,2024
2024-01-03,15.5,15.52,14.47,14.51,1598450.0,FCHI,-0.9900000000000002,-6.387,Wednesday,January,2024
2024-01-02,15.73,15.96,15.41,15.55,886586.0,FCHI,-0.17999999999999972,-1.144,Tuesday,January,2024
2023-12-29,15.74,15.89,15.6,15.67,733711.0,FCHI,-0.07000000000000028,-0.445,Friday,December,2023
2023-12-28,15.98,16.08,15.61,15.76,584575.0,FCHI,-0.22000000000000064,-1.377,Thursday,December,2023
2023-12-27,15.51,16.0,15.47,15.94,833415.0,FCHI,0.4299999999999997,2.772,Wednesday,December,2023
2023-12-22,15.63,15.81,15.36,15.52,1431157.0,FCHI,-0.11000000000000121,-0.704,Friday,December,2023
2023-12-21,15.67,15.93,15.52,15.69,1013416.0,FCHI,0.019999999999999574,0.128,Thursday,December,2023
2023-12-20,16.54,16.71,15.68,15.84,1500538.0,FCHI,-0.6999999999999993,-4.232,Wednesday,December,2023
2023-12-19,15.4,16.52,15.32,16.47,2317491.0,FCHI,1.0699999999999985,6.948,Tuesday,December,2023
2023-12-18,15.28,15.62,15.0,15.44,1010641.0,FCHI,0.16000000000000014,1.047,Monday,December,2023
2023-12-15,15.48,15.81,15.39,15.48,4743625.0,FCHI,0.0,0.0,Friday,December,2023
2023-12-14,15.55,15.84,15.24,15.45,1922102.0,FCHI,-0.10000000000000142,-0.643,Thursday,December,2023
2023-12-13,15.41,15.57,14.98,15.08,1357253.0,FCHI,-0.33000000000000007,-2.141,Wednesday,December,2023
2023-12-12,15.75,16.03,15.48,15.55,1406319.0,FCHI,-0.1999999999999993,-1.27,Tuesday,December,2023
2023-12-11,15.51,15.93,15.27,15.79,1745448.0,FCHI,0.27999999999999936,1.805,Monday,December,2023
2023-12-08,15.46,15.99,15.36,15.55,2105538.0,FCHI,0.08999999999999986,0.582,Friday,December,2023
2023-12-07,15.36,15.92,15.0,15.75,2079400.0,FCHI,0.39000000000000057,2.539,Thursday,December,2023
2023-12-06,15.15,15.97,15.11,15.89,1836402.0,FCHI,0.7400000000000002,4.884,Wednesday,December,2023
2023-12-05,14.84,15.14,14.52,15.12,1630438.0,FCHI,0.27999999999999936,1.887,Tuesday,December,2023
2023-12-04,15.37,15.7,14.98,15.1,2004688.0,FCHI,-0.2699999999999996,-1.757,Monday,December,2023
2023-12-01,14.38,15.89,14.35,15.07,4535488.0,FCHI,0.6899999999999995,4.798,Friday,December,2023
2023-11-30,13.98,14.23,13.75,14.23,4392619.0,FCHI,0.25,1.788,Thursday,November,2023
2023-11-29,13.41,13.99,13.4,13.95,1523650.0,FCHI,0.5399999999999991,4.027,Wednesday,November,2023
2023-11-28,13.4,13.49,13.1,13.44,1146762.0,FCHI,0.03999999999999915,0.299,Tuesday,November,2023
2023-11-27,13.6,13.81,13.55,13.56,1352389.0,FCHI,-0.03999999999999915,-0.294,Monday,November,2023
2023-11-24,13.52,14.19,13.2,13.64,2707694.0,FCHI,0.120000000000001,0.888,Friday,November,2023
2023-11-23,13.68,13.75,13.44,13.55,1051069.0,FCHI,-0.129999999999999,-0.95,Thursday,November,2023
2023-11-22,13.52,13.76,13.43,13.68,1191759.0,FCHI,0.16000000000000014,1.183,Wednesday,November,2023
2023-11-21,13.81,13.96,13.47,13.58,1243608.0,FCHI,-0.23000000000000043,-1.665,Tuesday,November,2023
2023-11-20,13.48,13.94,13.2,13.82,1298720.0,FCHI,0.33999999999999986,2.522,Monday,November,2023
2023-11-17,13.77,14.03,13.64,13.74,1572672.0,FCHI,-0.02999999999999936,-0.218,Friday,November,2023
2023-11-16,14.09,14.36,13.77,13.78,1385889.0,FCHI,-0.3100000000000005,-2.2,Thursday,November,2023
2023-11-15,13.86,14.72,13.86,14.19,2757177.0,FCHI,0.33000000000000007,2.381,Wednesday,November,2023
2023-11-14,12.79,13.93,12.66,13.84,2950360.0,FCHI,1.0500000000000007,8.21,Tuesday,November,2023
2023-11-13,12.8,12.9,12.64,12.78,1667852.0,FCHI,-0.02000000000000135,-0.156,Monday,November,2023
2023-11-10,13.4,13.49,12.59,12.76,3167858.0,FCHI,-0.6400000000000006,-4.776,Friday,November,2023
2023-11-09,13.5,13.91,13.18,13.73,3205605.0,FCHI,0.23000000000000043,1.704,Thursday,November,2023
2023-11-08,12.81,13.28,12.56,13.0,2012548.0,FCHI,0.1899999999999995,1.483,Wednesday,November,2023
2023-11-07,12.89,13.15,12.5,12.93,1721571.0,FCHI,0.03999999999999915,0.31,Tuesday,November,2023
2023-11-06,13.82,13.9,13.1,13.1,2587579.0,FCHI,-0.7200000000000006,-5.21,Monday,November,2023
2023-11-03,13.18,14.05,13.07,13.69,3138402.0,FCHI,0.5099999999999998,3.869,Friday,November,2023
2023-11-02,12.51,13.26,12.29,12.92,3691468.0,FCHI,0.41000000000000014,3.277,Thursday,November,2023
2023-11-01,12.1,12.44,11.93,12.34,2773567.0,FCHI,0.2400000000000002,1.983,Wednesday,November,2023
2023-10-31,11.63,12.28,11.57,11.98,4197005.0,FCHI,0.34999999999999964,3.009,Tuesday,October,2023
2023-10-30,11.8,11.94,11.02,11.56,3821705.0,FCHI,-0.2400000000000002,-2.034,Monday,October,2023
2023-10-27,11.07,11.74,10.68,11.61,5474031.0,FCHI,0.5399999999999991,4.878,Friday,October,2023
2023-10-26,9.5,10.65,9.01,10.65,8705102.0,FCHI,1.1500000000000004,12.105,Thursday,October,2023
2023-10-25,15.0,15.0,9.31,9.42,16713546.0,FCHI,-5.58,-37.2,Wednesday,October,2023
2023-10-24,23.6,23.8,23.0,23.1,1044891.0,FCHI,-0.5,-2.119,Tuesday,October,2023
2023-10-23,23.22,24.3,22.03,23.63,1861431.0,FCHI,0.41000000000000014,1.766,Monday,October,2023
2023-10-20,23.76,24.25,23.56,24.19,827335.0,FCHI,0.4299999999999997,1.81,Friday,October,2023
2023-10-19,23.67,24.15,23.29,24.08,680796.0,FCHI,0.4099999999999966,1.732,Thursday,October,2023
2023-10-18,24.62,24.94,23.78,23.98,1728321.0,FCHI,-0.6400000000000006,-2.6,Wednesday,October,2023
2023-10-17,23.46,23.82,23.0,23.23,572792.0,FCHI,-0.23000000000000043,-0.98,Tuesday,October,2023
2023-10-16,22.95,23.85,22.94,23.54,1169456.0,FCHI,0.5899999999999999,2.571,Monday,October,2023
2023-10-13,23.77,23.84,22.74,22.92,882910.0,FCHI,-0.8499999999999979,-3.576,Friday,October,2023
2023-10-12,24.46,24.53,23.78,23.97,589060.0,FCHI,-0.490000000000002,-2.003,Thursday,October,2023
2023-10-11,24.16,24.54,24.04,24.24,623904.0,FCHI,0.0799999999999983,0.331,Wednesday,October,2023
2023-10-10,23.86,24.49,23.86,24.27,854070.0,FCHI,0.41000000000000014,1.718,Tuesday,October,2023
2023-10-09,24.65,24.76,23.81,23.81,858598.0,FCHI,-0.8399999999999999,-3.408,Monday,October,2023
2023-10-06,24.91,25.24,24.5,24.86,624314.0,FCHI,-0.05000000000000071,-0.201,Friday,October,2023
2023-10-05,24.85,25.29,24.75,24.88,489944.0,FCHI,0.029999999999997584,0.121,Thursday,October,2023
2023-10-04,24.25,25.1,24.2,24.84,807840.0,FCHI,0.5899999999999999,2.433,Wednesday,October,2023
2023-10-03,25.53,25.66,24.57,24.82,807383.0,FCHI,-0.7100000000000009,-2.781,Tuesday,October,2023
2023-10-02,26.54,26.64,25.77,25.8,658152.0,FCHI,-0.7399999999999984,-2.788,Monday,October,2023
2023-09-29,26.75,27.1,26.65,26.65,738290.0,FCHI,-0.10000000000000142,-0.374,Friday,September,2023
2023-09-28,26.8,27.18,26.21,26.38,690254.0,FCHI,-0.4200000000000017,-1.567,Thursday,September,2023
2023-09-27,26.88,27.45,26.66,27.03,698807.0,FCHI,0.15000000000000213,0.558,Wednesday,September,2023
2023-09-26,27.04,27.04,25.63,26.66,1154685.0,FCHI,-0.379999999999999,-1.405,Tuesday,September,2023
2023-09-25,27.58,27.7,27.17,27.29,731720.0,FCHI,-0.28999999999999915,-1.051,Monday,September,2023
2023-09-22,27.2,27.79,27.12,27.53,540287.0,FCHI,0.33000000000000185,1.213,Friday,September,2023
2023-09-21,27.69,27.75,27.24,27.5,628100.0,FCHI,-0.19000000000000128,-0.686,Thursday,September,2023
2023-09-20,27.67,28.22,27.65,28.1,485996.0,FCHI,0.4299999999999997,1.554,Wednesday,September,2023
2023-09-19,27.34,27.87,27.31,27.5,482585.0,FCHI,0.16000000000000014,0.585,Tuesday,September,2023
2023-09-18,28.07,28.09,27.22,27.38,536388.0,FCHI,-0.6900000000000013,-2.458,Monday,September,2023
2023-09-15,28.58,28.59,27.97,28.1,1690285.0,FCHI,-0.4799999999999969,-1.679,Friday,September,2023
2023-09-14,27.58,28.28,27.38,28.2,694851.0,FCHI,0.620000000000001,2.248,Thursday,September,2023
2023-09-13,27.49,27.59,27.17,27.58,537334.0,FCHI,0.08999999999999986,0.327,Wednesday,September,2023
2023-09-12,28.07,28.14,27.47,27.55,343286.0,FCHI,-0.5199999999999996,-1.853,Tuesday,September,2023
2023-09-11,28.35,28.68,28.03,28.03,549816.0,FCHI,-0.3200000000000003,-1.129,Monday,September,2023
2023-09-08,27.49,28.17,27.47,28.14,789034.0,FCHI,0.6500000000000021,2.364,Friday,September,2023
2023-09-07,27.81,27.86,27.06,27.24,957836.0,FCHI,-0.5700000000000003,-2.05,Thursday,September,2023
2023-09-06,28.48,28.6,28.13,28.22,517920.0,FCHI,-0.26000000000000156,-0.913,Wednesday,September,2023
2023-09-05,29.17,29.17,28.67,28.67,499918.0,FCHI,-0.5,-1.714,Tuesday,September,2023
2023-09-04,29.37,29.74,29.15,29.34,445430.0,FCHI,-0.030000000000001137,-0.102,Monday,September,2023
2023-09-01,30.08,30.08,29.41,29.42,648833.0,FCHI,-0.6599999999999966,-2.194,Friday,September,2023
2023-08-31,30.42,30.67,30.05,30.08,772283.0,FCHI,-0.3400000000000034,-1.118,Thursday,August,2023
2023-08-30,30.22,30.63,29.93,30.27,467420.0,FCHI,0.05000000000000071,0.165,Wednesday,August,2023
2023-08-29,30.47,30.6,29.79,30.11,557461.0,FCHI,-0.35999999999999943,-1.181,Tuesday,August,2023
2023-08-28,29.95,30.32,29.75,30.19,331246.0,FCHI,0.240000000000002,0.801,Monday,August,2023
2023-08-25,29.82,30.15,29.65,29.65,549685.0,FCHI,-0.1700000000000017,-0.57,Friday,August,2023
2023-08-24,30.73,30.89,29.93,29.93,431043.0,FCHI,-0.8000000000000007,-2.603,Thursday,August,2023
2023-08-23,30.09,30.57,30.05,30.4,454522.0,FCHI,0.3099999999999987,1.03,Wednesday,August,2023
2023-08-22,30.22,30.45,29.83,30.0,608763.0,FCHI,-0.21999999999999886,-0.728,Tuesday,August,2023
2023-08-21,30.25,30.42,29.9,30.03,426863.0,FCHI,-0.21999999999999886,-0.727,Monday,August,2023
2023-08-18,30.54,30.54,29.86,30.35,771581.0,FCHI,-0.18999999999999773,-0.622,Friday,August,2023
2023-08-17,31.27,31.76,30.08,30.76,1103665.0,FCHI,-0.509999999999998,-1.631,Thursday,August,2023
2023-08-16,31.61,32.03,31.41,31.88,473429.0,FCHI,0.2699999999999996,0.854,Wednesday,August,2023
2023-08-15,32.42,32.56,31.71,31.93,324013.0,FCHI,-0.490000000000002,-1.511,Tuesday,August,2023
2023-08-14,32.29,32.46,32.05,32.41,395614.0,FCHI,0.11999999999999744,0.372,Monday,August,2023
2023-08-11,32.81,33.4,32.28,32.32,513179.0,FCHI,-0.490000000000002,-1.493,Friday,August,2023
2023-08-10,32.97,33.54,32.96,33.17,509392.0,FCHI,0.20000000000000284,0.607,Thursday,August,2023
2023-08-09,33.01,33.27,32.8,32.8,312976.0,FCHI,-0.21000000000000085,-0.636,Wednesday,August,2023
2023-08-08,33.19,33.35,32.54,32.61,634989.0,FCHI,-0.5799999999999983,-1.748,Tuesday,August,2023
2023-08-04,33.67,33.94,33.35,33.8,317770.0,FCHI,0.12999999999999545,0.386,Friday,August,2023
2023-08-03,33.14,33.73,32.78,33.52,492993.0,FCHI,0.38000000000000256,1.147,Thursday,August,2023
2023-08-02,34.35,34.54,33.55,33.55,589208.0,FCHI,-0.8000000000000043,-2.329,Wednesday,August,2023
2023-08-01,35.65,36.01,34.84,34.85,654636.0,FCHI,-0.7999999999999972,-2.244,Tuesday,August,2023
2023-07-31,35.72,36.29,35.49,36.03,545950.0,FCHI,0.3100000000000023,0.868,Monday,July,2023
2023-07-28,36.28,36.41,35.41,35.85,597509.0,FCHI,-0.4299999999999997,-1.185,Friday,July,2023
2023-07-27,34.94,36.81,34.8,36.3,1265521.0,FCHI,1.3599999999999994,3.892,Thursday,July,2023
2023-07-26,36.0,36.84,34.49,34.61,1047011.0,FCHI,-1.3900000000000006,-3.861,Wednesday,July,2023
2023-07-25,34.58,34.63,34.19,34.5,503182.0,FCHI,-0.0799999999999983,-0.231,Tuesday,July,2023
2023-07-24,34.0,35.1,34.0,34.62,372218.0,FCHI,0.6199999999999974,1.824,Monday,July,2023
2023-07-21,34.1,34.25,33.65,34.06,850672.0,FCHI,-0.03999999999999915,-0.117,Friday,July,2023
2023-07-20,34.29,34.71,33.98,33.98,540209.0,FCHI,-0.3100000000000023,-0.904,Thursday,July,2023
2023-07-19,33.98,35.13,33.98,34.46,592921.0,FCHI,0.480000000000004,1.413,Wednesday,July,2023
2023-07-18,33.7,34.25,33.58,33.75,484251.0,FCHI,0.04999999999999716,0.148,Tuesday,July,2023
2023-07-17,34.22,34.22,33.7,33.7,363010.0,FCHI,-0.519999999999996,-1.52,Monday,July,2023
2023-07-14,34.3,34.8,34.2,34.22,272813.0,FCHI,-0.0799999999999983,-0.233,Friday,July,2023
2023-07-13,34.49,34.93,34.13,34.41,699879.0,FCHI,-0.0800000000000054,-0.232,Thursday,July,2023
2023-07-12,34.46,34.5,33.94,34.27,837227.0,FCHI,-0.18999999999999773,-0.551,Wednesday,July,2023
2023-07-11,34.04,34.32,33.69,34.32,470488.0,FCHI,0.28000000000000114,0.823,Tuesday,July,2023
2023-07-10,34.09,34.11,33.57,33.75,360681.0,FCHI,-0.3400000000000034,-0.997,Monday,July,2023
2023-07-07,33.74,34.27,33.64,34.18,455783.0,FCHI,0.4399999999999977,1.304,Friday,July,2023
2023-07-06,34.63,34.76,33.59,33.81,792113.0,FCHI,-0.8200000000000003,-2.368,Thursday,July,2023
2023-07-05,35.45,35.88,34.4,34.95,982247.0,FCHI,-0.5,-1.41,Wednesday,July,2023
2023-07-04,34.64,36.09,34.62,35.91,979909.0,FCHI,1.269999999999996,3.666,Tuesday,July,2023
2023-07-03,34.14,34.69,34.02,34.69,759683.0,FCHI,0.5499999999999972,1.611,Monday,July,2023
2023-06-30,33.66,33.81,33.38,33.5,973796.0,FCHI,-0.1599999999999966,-0.475,Friday,June,2023
2023-06-29,33.2,33.84,33.2,33.59,450711.0,FCHI,0.39000000000000057,1.175,Thursday,June,2023
2023-06-28,33.13,33.45,33.03,33.36,566689.0,FCHI,0.22999999999999687,0.694,Wednesday,June,2023
2023-06-27,32.35,33.26,32.21,32.99,1038239.0,FCHI,0.6400000000000006,1.978,Tuesday,June,2023
2023-06-26,31.91,32.3,31.34,32.28,616900.0,FCHI,0.370000000000001,1.16,Monday,June,2023
2023-06-23,32.25,32.38,31.77,31.81,580563.0,FCHI,-0.4400000000000013,-1.364,Friday,June,2023
2023-06-22,32.8,32.8,32.18,32.36,861422.0,FCHI,-0.4399999999999977,-1.341,Thursday,June,2023
2023-06-21,33.67,33.8,33.15,33.15,898959.0,FCHI,-0.5200000000000031,-1.544,Wednesday,June,2023
2023-06-20,33.76,33.99,33.35,33.88,641451.0,FCHI,0.12000000000000455,0.355,Tuesday,June,2023
2023-06-19,34.68,34.68,33.84,33.89,631987.0,FCHI,-0.7899999999999991,-2.278,Monday,June,2023
2023-06-16,35.17,35.36,34.48,34.8,1859539.0,FCHI,-0.37000000000000455,-1.052,Friday,June,2023
2023-06-15,35.6,35.66,34.87,35.06,806544.0,FCHI,-0.5399999999999991,-1.517,Thursday,June,2023
2023-06-14,35.79,36.04,35.62,35.7,775445.0,FCHI,-0.0899999999999963,-0.251,Wednesday,June,2023
2023-06-13,36.32,36.34,35.51,35.84,463670.0,FCHI,-0.4799999999999969,-1.322,Tuesday,June,2023
2023-06-12,36.01,36.38,35.65,35.94,488159.0,FCHI,-0.07000000000000028,-0.194,Monday,June,2023
2023-06-09,36.55,36.64,35.74,35.85,619660.0,FCHI,-0.6999999999999957,-1.915,Friday,June,2023
2023-06-08,36.84,36.87,36.48,36.56,475382.0,FCHI,-0.28000000000000114,-0.76,Thursday,June,2023
2023-06-07,37.19,37.38,36.74,37.11,345996.0,FCHI,-0.0799999999999983,-0.215,Wednesday,June,2023
2023-06-06,36.4,37.44,36.39,37.34,502185.0,FCHI,0.9400000000000048,2.582,Tuesday,June,2023
2023-06-05,36.68,37.3,36.29,36.51,466328.0,FCHI,-0.1700000000000017,-0.463,Monday,June,2023
2023-06-02,35.99,37.02,35.7,36.57,747788.0,FCHI,0.5799999999999983,1.612,Friday,June,2023
2023-05-31,36.49,36.84,36.07,36.35,1708085.0,FCHI,-0.14000000000000057,-0.384,Wednesday,May,2023
2023-05-30,37.61,37.79,36.85,36.85,623184.0,FCHI,-0.759999999999998,-2.021,Tuesday,May,2023
2023-05-29,38.92,38.93,37.58,37.61,285329.0,FCHI,-1.3100000000000023,-3.366,Monday,May,2023
2023-05-26,39.56,39.57,38.53,38.66,720139.0,FCHI,-0.9000000000000057,-2.275,Friday,May,2023
2023-05-25,39.48,39.51,38.88,39.37,220445.0,FCHI,-0.10999999999999943,-0.279,Thursday,May,2023
2023-05-24,40.29,40.31,38.99,39.21,570467.0,FCHI,-1.0799999999999983,-2.681,Wednesday,May,2023
2023-05-23,41.0,41.36,40.61,40.61,293812.0,FCHI,-0.39000000000000057,-0.951,Tuesday,May,2023
2023-05-22,40.38,41.07,40.23,41.07,500778.0,FCHI,0.6899999999999977,1.709,Monday,May,2023
2023-05-19,40.6,40.81,40.37,40.38,458243.0,FCHI,-0.21999999999999886,-0.542,Friday,May,2023
2023-05-18,40.65,40.75,40.35,40.57,307016.0,FCHI,-0.0799999999999983,-0.197,Thursday,May,2023
2023-05-17,39.61,40.4,39.56,40.4,431377.0,FCHI,0.7899999999999991,1.994,Wednesday,May,2023
2023-05-16,39.7,40.1,39.47,39.75,425865.0,FCHI,0.04999999999999716,0.126,Tuesday,May,2023
2023-05-15,39.65,39.83,39.46,39.83,404104.0,FCHI,0.17999999999999972,0.454,Monday,May,2023
2023-05-12,39.6,39.89,39.45,39.53,356720.0,FCHI,-0.07000000000000028,-0.177,Friday,May,2023
2023-05-11,39.49,39.84,39.25,39.45,342413.0,FCHI,-0.03999999999999915,-0.101,Thursday,May,2023
2023-05-10,39.97,39.98,39.38,39.43,342284.0,FCHI,-0.5399999999999991,-1.351,Wednesday,May,2023
2023-05-09,40.26,40.29,39.71,39.96,385336.0,FCHI,-0.29999999999999716,-0.745,Tuesday,May,2023
2023-05-08,39.5,40.1,39.29,40.08,412353.0,FCHI,0.5799999999999983,1.468,Monday,May,2023
2023-05-05,38.89,39.47,38.52,39.47,435834.0,FCHI,0.5799999999999983,1.491,Friday,May,2023
2023-05-04,38.57,38.84,38.11,38.68,523293.0,FCHI,0.10999999999999943,0.285,Thursday,May,2023
2023-05-03,38.91,39.08,38.54,38.87,427763.0,FCHI,-0.03999999999999915,-0.103,Wednesday,May,2023
2023-05-02,39.36,39.67,38.69,38.89,591833.0,FCHI,-0.46999999999999886,-1.194,Tuesday,May,2023
2023-04-28,39.45,39.46,38.48,39.38,593799.0,FCHI,-0.07000000000000028,-0.177,Friday,April,2023
2023-04-27,38.26,39.29,38.01,39.08,659776.0,FCHI,0.8200000000000003,2.143,Thursday,April,2023
2023-04-26,38.22,39.61,37.94,38.6,990278.0,FCHI,0.38000000000000256,0.994,Wednesday,April,2023
2023-04-25,38.4,38.4,37.8,38.19,572745.0,FCHI,-0.21000000000000085,-0.547,Tuesday,April,2023
2023-04-24,38.6,38.78,38.3,38.52,587922.0,FCHI,-0.0799999999999983,-0.207,Monday,April,2023
2023-04-21,38.2,38.73,38.12,38.7,517766.0,FCHI,0.5,1.309,Friday,April,2023
2023-04-20,39.5,39.62,38.23,38.43,687565.0,FCHI,-1.0700000000000003,-2.709,Thursday,April,2023
2023-04-19,42.5,42.9,39.56,39.56,1934041.0,FCHI,-2.9399999999999977,-6.918,Wednesday,April,2023
2023-04-18,39.11,39.55,38.56,39.2,608642.0,FCHI,0.09000000000000341,0.23,Tuesday,April,2023
2023-04-17,38.84,40.3,38.76,39.14,871716.0,FCHI,0.29999999999999716,0.772,Monday,April,2023
2023-04-14,37.49,38.32,37.37,38.3,723017.0,FCHI,0.8099999999999952,2.161,Friday,April,2023
2023-04-13,37.23,37.63,35.98,37.55,1595776.0,FCHI,0.3200000000000003,0.86,Thursday,April,2023
2023-04-12,37.6,38.06,36.83,37.1,1681277.0,FCHI,-0.5,-1.33,Wednesday,April,2023
2023-04-11,38.0,38.32,37.62,37.62,874616.0,FCHI,-0.38000000000000256,-1.0,Tuesday,April,2023
