Símbolo,Nombre de la empresa,Último precio,Cambio,Cambio de %,Volumen
CA.PA,Carrefour SA,1672.0,1.0,"+0,03%",900.900
ORA.PA,Orange S.A.,1069.0,-2.0,"-0,17%",2.456.273
DG.PA,Vinci SA,11410.0,22.0,"+0,19%",512.458
VIE.PA,Veolia Environnement SA,2891.0,6.0,"+0,21%",882.019
BNP.PA,BNP Paribas SA,6314.0,14.0,"+0,22%",1.129.620
LR.PA,Legrand SA,9104.0,-26.0,"-0,28%",471.248
HO.PA,Thales S.A.,13710.0,40.0,"+0,29%",144.264
AI.PA,L'Air Liquide S.A.,17124.0,56.0,"+0,33%",381.703
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",69130.0,240.0,"+0,35%",337.785
ENGI.PA,Engie SA,1641.0,7.0,"+0,43%",2.504.601
SGO.PA,Compagnie de Saint-Gobain S.A.,6417.0,40.0,"+0,63%",891.118
SW.PA,Sodexo S.A.,10360.0,65.0,"+0,63%",143.465
SU.PA,Schneider Electric S.E.,17422.0,112.0,"+0,65%",512.289
ACA.PA,Crédit Agricole S.A.,1334.0,9.0,"+0,68%",3.531.930
BN.PA,Danone S.A.,6093.0,42.0,"+0,69%",844.805
SAN.PA,Sanofi,9413.0,65.0,"+0,70%",910.391
VIV.PA,Vivendi SE,987.0,7.0,"+0,71%",2.047.891
GLE.PA,Société Générale Société anonyme,2468.0,23.0,"+0,94%",1.978.734
OR.PA,L'Oréal S.A.,43845.0,420.0,"+0,97%",190.182
AC.PA,Accor SA,3462.0,35.0,"+1,02%",431.042
WLN.PA,Worldline SA,1455.0,17.0,"+1,18%",1.294.191
CAP.PA,Capgemini SE,18675.0,225.0,"+1,22%",198.564
EN.PA,Bouygues SA,3551.0,50.0,"+1,43%",611.680
ML.PA,Compagnie Générale des Établissements Michelin Société en commandite par actions,3224.0,48.0,"+1,51%",1.026.135
RI.PA,Pernod Ricard SA,14925.0,225.0,"+1,53%",409.498
KER.PA,Kering SA,38545.0,705.0,"+1,86%",129.783
AIR.PA,Airbus SE,14320.0,350.0,"+2,51%",747.456
ATO.PA,Atos SE,605.0,-25.0,"-3,97%",1.191.778
UG.PA,UG.PA,,,,
FP.PA,FP.PA,,,,
