Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,10140.5,10209.0,10079.3,10209.0,110110400.0,IBEX,68.5,0.676,Monday,January,2024
2024-01-05,10130.3,10192.0,10061.2,10164.5,145036200.0,IBEX,34.20000000000073,0.338,Friday,January,2024
2024-01-04,10067.5,10190.8,10067.5,10182.4,110894200.0,IBEX,114.89999999999964,1.141,Thursday,January,2024
2024-01-03,10183.8,10209.8,10038.1,10053.4,136612300.0,IBEX,-130.39999999999964,-1.28,Wednesday,January,2024
2024-01-02,10161.1,10287.9,10122.4,10182.1,137052900.0,IBEX,21.0,0.207,Tuesday,January,2024
2023-12-29,10090.9,10143.6,10090.9,10102.1,101943700.0,IBEX,11.200000000000728,0.111,Friday,December,2023
2023-12-28,10126.3,10136.3,10074.6,10086.2,95148800.0,IBEX,-40.099999999998545,-0.396,Thursday,December,2023
2023-12-27,10091.8,10146.8,10077.9,10121.8,130947500.0,IBEX,30.0,0.297,Wednesday,December,2023
2023-12-22,10094.1,10143.1,10081.0,10111.9,91972000.0,IBEX,17.799999999999272,0.176,Friday,December,2023
2023-12-21,10065.4,10108.5,10063.3,10104.3,84138300.0,IBEX,38.899999999999636,0.386,Thursday,December,2023
2023-12-20,10148.1,10158.2,10037.5,10101.0,146798700.0,IBEX,-47.100000000000364,-0.464,Wednesday,December,2023
2023-12-19,10055.2,10123.1,10023.8,10106.7,115239700.0,IBEX,51.5,0.512,Tuesday,December,2023
2023-12-18,10063.5,10125.8,10039.3,10054.9,134020100.0,IBEX,-8.600000000000364,-0.085,Monday,December,2023
2023-12-15,10192.3,10200.8,10050.7,10095.6,330245400.0,IBEX,-96.69999999999891,-0.949,Friday,December,2023
2023-12-14,10225.9,10257.8,10124.1,10171.7,255848900.0,IBEX,-54.19999999999891,-0.53,Thursday,December,2023
2023-12-13,10112.6,10158.7,10077.0,10096.1,142958200.0,IBEX,-16.5,-0.163,Wednesday,December,2023
2023-12-12,10184.8,10198.4,10111.4,10118.7,145123700.0,IBEX,-66.09999999999854,-0.649,Tuesday,December,2023
2023-12-11,10216.5,10226.6,10178.2,10198.0,140388800.0,IBEX,-18.5,-0.181,Monday,December,2023
2023-12-08,10153.5,10229.2,10139.4,10223.4,139106200.0,IBEX,69.89999999999964,0.688,Friday,December,2023
2023-12-07,10226.0,10246.7,10113.9,10146.0,210704200.0,IBEX,-80.0,-0.782,Thursday,December,2023
2023-12-06,10263.4,10301.3,10229.7,10258.1,134294600.0,IBEX,-5.299999999999272,-0.052,Wednesday,December,2023
2023-12-05,10174.8,10262.9,10166.1,10238.4,137169800.0,IBEX,63.600000000000364,0.625,Tuesday,December,2023
2023-12-04,10135.8,10201.7,10135.8,10178.3,105497200.0,IBEX,42.5,0.419,Monday,December,2023
2023-12-01,10085.9,10140.8,10080.9,10140.8,117751200.0,IBEX,54.899999999999636,0.544,Friday,December,2023
2023-11-30,10079.3,10103.8,10053.8,10058.2,252839300.0,IBEX,-21.099999999998545,-0.209,Thursday,November,2023
2023-11-29,10018.4,10097.9,10018.4,10062.6,129372500.0,IBEX,44.20000000000073,0.441,Wednesday,November,2023
2023-11-28,9925.2,10014.3,9919.5,10003.4,118647800.0,IBEX,78.19999999999891,0.788,Tuesday,November,2023
2023-11-27,9927.3,9983.9,9925.8,9936.1,112098900.0,IBEX,8.800000000001091,0.089,Monday,November,2023
2023-11-24,9906.4,9957.3,9901.9,9939.0,93309200.0,IBEX,32.600000000000364,0.329,Friday,November,2023
2023-11-23,9891.0,9921.1,9873.9,9905.5,111600100.0,IBEX,14.5,0.147,Thursday,November,2023
2023-11-22,9852.5,9897.2,9847.1,9887.4,125070100.0,IBEX,34.899999999999636,0.354,Wednesday,November,2023
2023-11-21,9832.5,9858.4,9801.7,9827.5,141826400.0,IBEX,-5.0,-0.051,Tuesday,November,2023
2023-11-20,9761.2,9857.0,9759.7,9839.0,144062800.0,IBEX,77.79999999999927,0.797,Monday,November,2023
2023-11-17,9697.2,9774.7,9693.6,9761.4,249654700.0,IBEX,64.19999999999891,0.662,Friday,November,2023
2023-11-16,9652.5,9710.4,9652.5,9667.4,132367600.0,IBEX,14.899999999999636,0.154,Thursday,November,2023
2023-11-15,9636.1,9684.9,9604.0,9640.7,161156100.0,IBEX,4.600000000000364,0.048,Wednesday,November,2023
2023-11-14,9488.0,9636.6,9471.8,9623.3,171920600.0,IBEX,135.29999999999927,1.426,Tuesday,November,2023
2023-11-13,9409.6,9463.3,9401.0,9461.7,142296700.0,IBEX,52.100000000000364,0.554,Monday,November,2023
2023-11-10,9367.4,9415.2,9329.3,9371.7,122578700.0,IBEX,4.300000000001091,0.046,Friday,November,2023
2023-11-09,9295.7,9420.2,9291.2,9405.2,133336100.0,IBEX,109.5,1.178,Thursday,November,2023
