Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,39.59,40.03,39.33,39.98,307282.0,IBEX,0.38999999999999346,0.985,Monday,January,2024
2024-01-05,39.6,39.82,39.41,39.7,278904.0,IBEX,0.10000000000000142,0.253,Friday,January,2024
2024-01-04,39.38,39.95,39.38,39.94,380962.0,IBEX,0.5599999999999952,1.422,Thursday,January,2024
2024-01-03,40.21,40.31,39.23,39.41,690817.0,IBEX,-0.8000000000000043,-1.99,Wednesday,January,2024
2024-01-02,40.28,40.84,40.2,40.35,287538.0,IBEX,0.07000000000000028,0.174,Tuesday,January,2024
2023-12-29,40.0,40.74,40.0,40.16,351070.0,IBEX,0.1599999999999966,0.4,Friday,December,2023
2023-12-28,40.05,40.27,40.03,40.11,284102.0,IBEX,0.060000000000002274,0.15,Thursday,December,2023
2023-12-27,39.8,40.16,39.6,40.16,337256.0,IBEX,0.35999999999999943,0.905,Wednesday,December,2023
2023-12-22,39.79,39.95,39.66,39.87,218706.0,IBEX,0.0799999999999983,0.201,Friday,December,2023
2023-12-21,39.35,39.77,39.35,39.77,432327.0,IBEX,0.4200000000000017,1.067,Thursday,December,2023
2023-12-20,39.47,39.66,39.09,39.48,356284.0,IBEX,0.00999999999999801,0.025,Wednesday,December,2023
2023-12-19,39.3,39.51,39.22,39.35,493012.0,IBEX,0.05000000000000426,0.127,Tuesday,December,2023
2023-12-18,39.41,39.54,39.03,39.3,699875.0,IBEX,-0.10999999999999943,-0.279,Monday,December,2023
2023-12-15,39.58,39.78,38.81,39.78,3242258.0,IBEX,0.20000000000000284,0.505,Friday,December,2023
2023-12-14,39.29,39.79,39.11,39.58,808737.0,IBEX,0.28999999999999915,0.738,Thursday,December,2023
2023-12-13,38.08,39.16,38.08,39.07,1014082.0,IBEX,0.990000000000002,2.6,Wednesday,December,2023
2023-12-12,37.5,38.16,37.5,37.98,592428.0,IBEX,0.4799999999999969,1.28,Tuesday,December,2023
2023-12-11,37.47,37.81,37.35,37.46,334751.0,IBEX,-0.00999999999999801,-0.027,Monday,December,2023
2023-12-08,37.1,37.51,36.93,37.45,268812.0,IBEX,0.3500000000000014,0.943,Friday,December,2023
2023-12-07,36.92,37.29,36.8,37.06,397249.0,IBEX,0.14000000000000057,0.379,Thursday,December,2023
2023-12-06,37.35,37.45,37.07,37.07,297759.0,IBEX,-0.28000000000000114,-0.75,Wednesday,December,2023
2023-12-05,37.0,37.2,36.72,37.17,480083.0,IBEX,0.1700000000000017,0.459,Tuesday,December,2023
2023-12-04,36.92,37.2,36.55,36.93,275480.0,IBEX,0.00999999999999801,0.027,Monday,December,2023
2023-12-01,36.78,37.1,36.78,37.05,303661.0,IBEX,0.269999999999996,0.734,Friday,December,2023
2023-11-30,36.8,36.86,36.53,36.65,1679347.0,IBEX,-0.14999999999999858,-0.408,Thursday,November,2023
2023-11-29,36.3,36.83,36.3,36.76,354635.0,IBEX,0.46000000000000085,1.267,Wednesday,November,2023
2023-11-28,36.15,36.59,36.04,36.37,521788.0,IBEX,0.21999999999999886,0.609,Tuesday,November,2023
2023-11-27,36.23,36.41,36.07,36.41,467810.0,IBEX,0.17999999999999972,0.497,Monday,November,2023
2023-11-24,35.96,36.29,35.89,36.23,315416.0,IBEX,0.269999999999996,0.751,Friday,November,2023
2023-11-23,36.1,36.1,35.73,36.0,550485.0,IBEX,-0.10000000000000142,-0.277,Thursday,November,2023
2023-11-22,36.23,36.23,35.81,36.06,489992.0,IBEX,-0.1699999999999946,-0.469,Wednesday,November,2023
2023-11-21,35.91,36.21,35.7,36.18,788216.0,IBEX,0.2700000000000031,0.752,Tuesday,November,2023
2023-11-20,35.73,36.1,35.7,35.96,440495.0,IBEX,0.23000000000000398,0.644,Monday,November,2023
2023-11-17,35.6,35.95,35.56,35.89,925684.0,IBEX,0.28999999999999915,0.815,Friday,November,2023
2023-11-16,35.08,35.59,35.0,35.56,555335.0,IBEX,0.480000000000004,1.368,Thursday,November,2023
2023-11-15,34.56,35.22,34.37,35.19,479006.0,IBEX,0.6299999999999955,1.823,Wednesday,November,2023
2023-11-14,34.0,34.58,32.8,34.43,555334.0,IBEX,0.4299999999999997,1.265,Tuesday,November,2023
2023-11-13,33.89,33.93,33.33,33.78,263851.0,IBEX,-0.10999999999999943,-0.325,Monday,November,2023
2023-11-10,33.22,33.47,33.16,33.26,231269.0,IBEX,0.03999999999999915,0.12,Friday,November,2023
2023-11-09,33.25,33.44,33.1,33.32,273073.0,IBEX,0.07000000000000028,0.211,Thursday,November,2023
2023-11-08,33.09,33.3,32.93,33.26,759181.0,IBEX,0.1699999999999946,0.514,Wednesday,November,2023
2023-11-07,33.3,33.47,33.1,33.18,320903.0,IBEX,-0.11999999999999744,-0.36,Tuesday,November,2023
2023-11-06,33.89,33.89,33.39,33.5,269999.0,IBEX,-0.39000000000000057,-1.151,Monday,November,2023
2023-11-03,34.35,34.4,33.84,33.89,255130.0,IBEX,-0.46000000000000085,-1.339,Friday,November,2023
2023-11-02,34.28,34.47,34.08,34.19,385448.0,IBEX,-0.09000000000000341,-0.263,Thursday,November,2023
2023-11-01,34.05,34.23,33.77,33.99,277544.0,IBEX,-0.05999999999999517,-0.176,Wednesday,November,2023
2023-10-31,33.78,34.21,33.64,34.17,1035211.0,IBEX,0.39000000000000057,1.155,Tuesday,October,2023
2023-10-30,33.43,33.8,33.36,33.74,379805.0,IBEX,0.3100000000000023,0.927,Monday,October,2023
2023-10-27,32.91,33.7,32.7,33.42,677222.0,IBEX,0.5100000000000051,1.55,Friday,October,2023
2023-10-26,32.18,32.94,32.17,32.75,427855.0,IBEX,0.5700000000000003,1.771,Thursday,October,2023
2023-10-25,32.6,32.77,32.43,32.51,380467.0,IBEX,-0.09000000000000341,-0.276,Wednesday,October,2023
2023-10-24,32.27,32.66,32.22,32.62,385383.0,IBEX,0.3499999999999943,1.085,Tuesday,October,2023
2023-10-23,32.21,32.46,32.12,32.41,374135.0,IBEX,0.19999999999999574,0.621,Monday,October,2023
2023-10-20,32.33,32.51,31.87,32.25,818994.0,IBEX,-0.0799999999999983,-0.247,Friday,October,2023
2023-10-19,32.57,32.62,32.22,32.51,364830.0,IBEX,-0.060000000000002274,-0.184,Thursday,October,2023
2023-10-18,33.03,33.21,32.6,32.75,342709.0,IBEX,-0.28000000000000114,-0.848,Wednesday,October,2023
2023-10-17,33.1,33.18,32.94,33.11,261902.0,IBEX,0.00999999999999801,0.03,Tuesday,October,2023
2023-10-16,33.42,33.44,33.07,33.13,286932.0,IBEX,-0.28999999999999915,-0.868,Monday,October,2023
2023-10-13,33.65,34.08,33.17,33.2,349056.0,IBEX,-0.44999999999999574,-1.337,Friday,October,2023
2023-10-12,33.61,33.7,33.39,33.62,309154.0,IBEX,0.00999999999999801,0.03,Thursday,October,2023
2023-10-11,33.31,33.59,32.69,33.53,503575.0,IBEX,0.21999999999999886,0.66,Wednesday,October,2023
2023-10-10,33.28,33.63,33.19,33.44,416660.0,IBEX,0.1599999999999966,0.481,Tuesday,October,2023
2023-10-09,32.74,33.06,32.58,32.89,350640.0,IBEX,0.14999999999999858,0.458,Monday,October,2023
2023-10-06,32.18,33.06,32.1,32.92,452496.0,IBEX,0.740000000000002,2.3,Friday,October,2023
2023-10-05,33.5,33.5,32.03,32.03,712924.0,IBEX,-1.4699999999999989,-4.388,Thursday,October,2023
2023-10-04,33.36,33.63,33.06,33.36,360491.0,IBEX,0.0,0.0,Wednesday,October,2023
2023-10-03,33.5,33.93,33.27,33.45,423906.0,IBEX,-0.04999999999999716,-0.149,Tuesday,October,2023
2023-10-02,34.13,34.28,33.65,33.72,491792.0,IBEX,-0.4100000000000037,-1.201,Monday,October,2023
2023-09-29,33.96,34.31,33.79,34.07,507097.0,IBEX,0.10999999999999943,0.324,Friday,September,2023
2023-09-28,33.9,33.97,33.57,33.94,465314.0,IBEX,0.03999999999999915,0.118,Thursday,September,2023
2023-09-27,33.94,34.18,33.69,33.8,438216.0,IBEX,-0.14000000000000057,-0.412,Wednesday,September,2023
2023-09-26,33.73,34.2,33.71,33.88,447521.0,IBEX,0.15000000000000568,0.445,Tuesday,September,2023
2023-09-25,34.0,34.19,33.6,33.83,1143243.0,IBEX,-0.1700000000000017,-0.5,Monday,September,2023
2023-09-22,33.93,34.24,33.77,34.06,358930.0,IBEX,0.13000000000000256,0.383,Friday,September,2023
2023-09-21,34.3,34.31,33.45,34.16,459182.0,IBEX,-0.14000000000000057,-0.408,Thursday,September,2023
2023-09-20,34.19,34.49,34.18,34.36,304607.0,IBEX,0.1700000000000017,0.497,Wednesday,September,2023
2023-09-19,33.6,34.25,33.49,34.25,365344.0,IBEX,0.6499999999999986,1.935,Tuesday,September,2023
2023-09-18,33.37,33.62,33.21,33.62,376745.0,IBEX,0.25,0.749,Monday,September,2023
2023-09-15,33.0,33.43,32.99,33.41,1404697.0,IBEX,0.4099999999999966,1.242,Friday,September,2023
2023-09-14,32.6,32.96,32.56,32.94,393295.0,IBEX,0.3399999999999963,1.043,Thursday,September,2023
2023-09-13,32.82,32.82,32.41,32.66,356744.0,IBEX,-0.1600000000000037,-0.488,Wednesday,September,2023
2023-09-12,32.95,33.0,32.56,32.86,363847.0,IBEX,-0.09000000000000341,-0.273,Tuesday,September,2023
2023-09-11,32.57,32.94,32.57,32.94,226393.0,IBEX,0.36999999999999744,1.136,Monday,September,2023
2023-09-08,32.6,32.65,32.3,32.48,176929.0,IBEX,-0.12000000000000455,-0.368,Friday,September,2023
2023-09-07,32.09,32.63,32.09,32.39,259874.0,IBEX,0.29999999999999716,0.935,Thursday,September,2023
