Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,10.34,10.39,10.27,10.37,437336.0,IBEX,0.02999999999999936,0.29,Monday,January,2024
2024-01-05,10.4,10.4,10.19,10.32,845639.0,IBEX,-0.08000000000000007,-0.769,Friday,January,2024
2024-01-04,10.45,10.56,10.4,10.44,675829.0,IBEX,-0.009999999999999787,-0.096,Thursday,January,2024
2024-01-03,10.57,10.6,10.41,10.45,580298.0,IBEX,-0.120000000000001,-1.135,Wednesday,January,2024
2024-01-02,10.68,10.77,10.53,10.59,541537.0,IBEX,-0.08999999999999986,-0.843,Tuesday,January,2024
2023-12-29,10.74,10.81,10.62,10.65,425757.0,IBEX,-0.08999999999999986,-0.838,Friday,December,2023
2023-12-28,10.72,10.76,10.68,10.72,483042.0,IBEX,0.0,0.0,Thursday,December,2023
2023-12-27,10.63,10.7,10.59,10.7,693506.0,IBEX,0.06999999999999851,0.659,Wednesday,December,2023
2023-12-22,10.65,10.68,10.56,10.61,478022.0,IBEX,-0.040000000000000924,-0.376,Friday,December,2023
2023-12-21,10.56,10.64,10.56,10.64,351260.0,IBEX,0.08000000000000007,0.758,Thursday,December,2023
2023-12-20,10.66,10.69,10.52,10.63,538988.0,IBEX,-0.02999999999999936,-0.281,Wednesday,December,2023
2023-12-19,10.5,10.65,10.48,10.65,793309.0,IBEX,0.15000000000000036,1.429,Tuesday,December,2023
2023-12-18,10.39,10.57,10.39,10.52,749492.0,IBEX,0.129999999999999,1.251,Monday,December,2023
2023-12-15,10.35,10.47,10.35,10.43,1699236.0,IBEX,0.08000000000000007,0.773,Friday,December,2023
2023-12-14,10.2,10.39,10.13,10.28,1255002.0,IBEX,0.08000000000000007,0.784,Thursday,December,2023
2023-12-13,10.03,10.1,9.98,10.03,813727.0,IBEX,0.0,0.0,Wednesday,December,2023
2023-12-12,10.21,10.27,10.02,10.03,517050.0,IBEX,-0.1800000000000015,-1.763,Tuesday,December,2023
2023-12-11,10.22,10.23,10.13,10.2,401868.0,IBEX,-0.02000000000000135,-0.196,Monday,December,2023
2023-12-08,10.19,10.28,10.12,10.25,497914.0,IBEX,0.0600000000000005,0.589,Friday,December,2023
2023-12-07,10.15,10.23,10.14,10.19,616929.0,IBEX,0.03999999999999915,0.394,Thursday,December,2023
2023-12-06,10.18,10.26,10.18,10.19,493865.0,IBEX,0.009999999999999787,0.098,Wednesday,December,2023
2023-12-05,10.04,10.18,9.95,10.17,654079.0,IBEX,0.13000000000000078,1.295,Tuesday,December,2023
2023-12-04,10.15,10.21,10.03,10.04,760223.0,IBEX,-0.11000000000000121,-1.084,Monday,December,2023
2023-12-01,10.15,10.28,10.14,10.22,815297.0,IBEX,0.07000000000000028,0.69,Friday,December,2023
2023-11-30,10.3,10.3,10.0,10.07,1241125.0,IBEX,-0.23000000000000043,-2.233,Thursday,November,2023
2023-11-29,10.28,10.4,10.19,10.22,951696.0,IBEX,-0.05999999999999872,-0.584,Wednesday,November,2023
2023-11-28,10.24,10.32,10.16,10.3,935194.0,IBEX,0.0600000000000005,0.586,Tuesday,November,2023
2023-11-27,10.14,10.24,10.14,10.24,779045.0,IBEX,0.09999999999999964,0.986,Monday,November,2023
2023-11-24,10.1,10.22,10.1,10.15,527058.0,IBEX,0.05000000000000071,0.495,Friday,November,2023
2023-11-23,10.11,10.18,10.1,10.16,383338.0,IBEX,0.05000000000000071,0.495,Thursday,November,2023
2023-11-22,10.06,10.21,9.97,10.08,874870.0,IBEX,0.019999999999999574,0.199,Wednesday,November,2023
2023-11-21,10.1,10.23,10.07,10.1,824437.0,IBEX,0.0,0.0,Tuesday,November,2023
2023-11-20,10.09,10.15,9.98,10.14,1061259.0,IBEX,0.05000000000000071,0.496,Monday,November,2023
2023-11-17,9.97,10.09,9.97,10.05,1102925.0,IBEX,0.08000000000000007,0.802,Friday,November,2023
2023-11-16,9.97,10.1,9.95,9.97,1055294.0,IBEX,0.0,0.0,Thursday,November,2023
2023-11-15,9.85,10.0,9.85,9.98,1521476.0,IBEX,0.13000000000000078,1.32,Wednesday,November,2023
2023-11-14,9.68,9.87,9.65,9.85,1054907.0,IBEX,0.16999999999999993,1.756,Tuesday,November,2023
2023-11-13,9.65,9.67,9.59,9.62,422942.0,IBEX,-0.030000000000001137,-0.311,Monday,November,2023
2023-11-10,9.66,9.75,9.59,9.62,561342.0,IBEX,-0.040000000000000924,-0.414,Friday,November,2023
2023-11-09,9.69,9.84,9.61,9.76,662453.0,IBEX,0.07000000000000028,0.722,Thursday,November,2023
2023-11-08,9.65,9.76,9.61,9.67,681105.0,IBEX,0.019999999999999574,0.207,Wednesday,November,2023
2023-11-07,9.74,9.74,9.57,9.65,616842.0,IBEX,-0.08999999999999986,-0.924,Tuesday,November,2023
2023-11-06,9.72,9.78,9.65,9.75,1087281.0,IBEX,0.02999999999999936,0.309,Monday,November,2023
2023-11-03,9.34,9.7,9.13,9.66,2451326.0,IBEX,0.3200000000000003,3.426,Friday,November,2023
2023-11-02,9.23,9.41,9.23,9.35,1296365.0,IBEX,0.11999999999999922,1.3,Thursday,November,2023
2023-11-01,9.19,9.24,9.15,9.19,358453.0,IBEX,0.0,0.0,Wednesday,November,2023
2023-10-31,9.06,9.23,9.05,9.2,658790.0,IBEX,0.1399999999999988,1.545,Tuesday,October,2023
2023-10-30,9.07,9.11,9.03,9.07,459771.0,IBEX,0.0,0.0,Monday,October,2023
2023-10-27,9.09,9.13,9.03,9.08,388841.0,IBEX,-0.009999999999999787,-0.11,Friday,October,2023
2023-10-26,8.91,9.04,8.85,9.03,540364.0,IBEX,0.11999999999999922,1.347,Thursday,October,2023
2023-10-25,8.86,8.94,8.84,8.92,413103.0,IBEX,0.0600000000000005,0.677,Wednesday,October,2023
2023-10-24,8.77,8.82,8.67,8.81,592433.0,IBEX,0.040000000000000924,0.456,Tuesday,October,2023
2023-10-23,8.8,8.84,8.73,8.75,780349.0,IBEX,-0.05000000000000071,-0.568,Monday,October,2023
2023-10-20,8.92,8.94,8.8,8.82,814159.0,IBEX,-0.09999999999999964,-1.121,Friday,October,2023
2023-10-19,8.95,9.02,8.94,9.01,451355.0,IBEX,0.0600000000000005,0.67,Thursday,October,2023
2023-10-18,9.16,9.16,8.95,9.0,741462.0,IBEX,-0.16000000000000014,-1.747,Wednesday,October,2023
2023-10-17,9.14,9.17,9.01,9.17,437401.0,IBEX,0.02999999999999936,0.328,Tuesday,October,2023
2023-10-16,9.1,9.24,9.1,9.2,587798.0,IBEX,0.09999999999999964,1.099,Monday,October,2023
2023-10-13,9.13,9.24,9.11,9.14,544999.0,IBEX,0.009999999999999787,0.11,Friday,October,2023
2023-10-12,9.19,9.25,9.14,9.15,600169.0,IBEX,-0.03999999999999915,-0.435,Thursday,October,2023
2023-10-11,9.01,9.24,9.0,9.13,612114.0,IBEX,0.120000000000001,1.332,Wednesday,October,2023
