Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,160.9,161.75,159.15,161.75,76493.0,IBEX,0.8499999999999943,0.528,Monday,January,2024
2024-01-05,160.7,161.65,159.4,161.2,121539.0,IBEX,0.5,0.311,Friday,January,2024
2024-01-04,159.5,162.05,159.5,162.05,97272.0,IBEX,2.5500000000000114,1.599,Thursday,January,2024
2024-01-03,163.1,164.1,159.35,159.8,101996.0,IBEX,-3.299999999999983,-2.023,Wednesday,January,2024
2024-01-02,164.1,166.7,163.8,164.2,69542.0,IBEX,0.09999999999999432,0.061,Tuesday,January,2024
2023-12-29,164.7,165.45,163.95,164.1,72872.0,IBEX,-0.5999999999999943,-0.364,Friday,December,2023
2023-12-28,164.95,165.6,164.2,164.35,53153.0,IBEX,-0.5999999999999943,-0.364,Thursday,December,2023
2023-12-27,164.5,165.0,163.6,164.5,52964.0,IBEX,0.0,0.0,Wednesday,December,2023
2023-12-22,163.5,164.6,163.4,164.4,41346.0,IBEX,0.9000000000000057,0.55,Friday,December,2023
2023-12-21,162.8,164.15,162.35,164.15,60036.0,IBEX,1.3499999999999943,0.829,Thursday,December,2023
2023-12-20,164.4,164.65,161.2,163.35,92604.0,IBEX,-1.0500000000000114,-0.639,Wednesday,December,2023
2023-12-19,163.45,164.35,162.3,164.3,109710.0,IBEX,0.8500000000000227,0.52,Tuesday,December,2023
2023-12-18,162.75,164.2,162.45,163.25,91403.0,IBEX,0.5,0.307,Monday,December,2023
2023-12-15,165.15,165.75,162.1,164.05,441785.0,IBEX,-1.0999999999999943,-0.666,Friday,December,2023
2023-12-14,163.5,166.5,162.35,165.6,174085.0,IBEX,2.0999999999999943,1.284,Thursday,December,2023
2023-12-13,161.4,162.95,161.25,161.9,99400.0,IBEX,0.5,0.31,Wednesday,December,2023
2023-12-12,162.5,162.65,160.9,161.15,159599.0,IBEX,-1.3499999999999943,-0.831,Tuesday,December,2023
2023-12-11,163.2,163.45,161.25,161.8,111486.0,IBEX,-1.3999999999999773,-0.858,Monday,December,2023
2023-12-08,162.0,164.45,161.7,163.5,97601.0,IBEX,1.5,0.926,Friday,December,2023
2023-12-07,162.65,163.3,161.05,162.4,144021.0,IBEX,-0.25,-0.154,Thursday,December,2023
2023-12-06,162.0,164.4,161.45,163.5,98447.0,IBEX,1.5,0.926,Wednesday,December,2023
2023-12-05,160.05,161.95,159.4,161.8,140561.0,IBEX,1.75,1.093,Tuesday,December,2023
2023-12-04,159.85,161.2,159.6,159.9,103665.0,IBEX,0.05000000000001137,0.031,Monday,December,2023
2023-12-01,158.05,159.9,158.0,159.9,100204.0,IBEX,1.8499999999999943,1.171,Friday,December,2023
2023-11-30,157.45,158.95,157.05,157.95,309892.0,IBEX,0.5,0.318,Thursday,November,2023
2023-11-29,156.45,158.25,156.45,156.5,103966.0,IBEX,0.05000000000001137,0.032,Wednesday,November,2023
2023-11-28,156.1,157.0,154.8,156.4,178597.0,IBEX,0.30000000000001137,0.192,Tuesday,November,2023
2023-11-27,156.5,157.8,156.05,156.3,120369.0,IBEX,-0.19999999999998863,-0.128,Monday,November,2023
2023-11-24,155.8,157.5,155.35,156.6,92332.0,IBEX,0.799999999999983,0.513,Friday,November,2023
2023-11-23,156.0,156.35,155.45,155.9,83605.0,IBEX,-0.09999999999999432,-0.064,Thursday,November,2023
2023-11-22,154.6,155.95,153.4,155.8,176138.0,IBEX,1.200000000000017,0.776,Wednesday,November,2023
2023-11-21,153.4,154.75,153.35,154.2,132141.0,IBEX,0.799999999999983,0.522,Tuesday,November,2023
2023-11-20,153.0,154.25,152.75,153.3,95255.0,IBEX,0.30000000000001137,0.196,Monday,November,2023
2023-11-17,152.0,153.65,151.8,153.05,279779.0,IBEX,1.0500000000000114,0.691,Friday,November,2023
2023-11-16,150.5,152.25,150.3,151.6,83782.0,IBEX,1.0999999999999943,0.731,Thursday,November,2023
2023-11-15,149.7,151.25,149.35,150.9,124952.0,IBEX,1.200000000000017,0.802,Wednesday,November,2023
2023-11-14,148.3,150.35,147.7,149.8,100960.0,IBEX,1.5,1.011,Tuesday,November,2023
2023-11-13,148.4,148.4,147.05,147.95,108923.0,IBEX,-0.45000000000001705,-0.303,Monday,November,2023
2023-11-10,147.35,148.4,146.1,147.3,85984.0,IBEX,-0.04999999999998295,-0.034,Friday,November,2023
2023-11-09,147.9,149.0,147.45,148.2,102830.0,IBEX,0.29999999999998295,0.203,Thursday,November,2023
2023-11-08,147.0,149.4,144.4,148.2,157015.0,IBEX,1.1999999999999886,0.816,Wednesday,November,2023
2023-11-07,145.15,147.5,144.55,147.5,111143.0,IBEX,2.3499999999999943,1.619,Tuesday,November,2023
2023-11-06,146.0,147.2,145.35,146.0,109286.0,IBEX,0.0,0.0,Monday,November,2023
