Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,63.0,63.76,62.82,63.64,463833.0,IBEX,0.6400000000000006,1.016,Monday,January,2024
2024-01-05,63.7,63.74,62.64,63.64,462703.0,IBEX,-0.060000000000002274,-0.094,Friday,January,2024
2024-01-04,63.6,64.38,63.26,64.0,475402.0,IBEX,0.3999999999999986,0.629,Thursday,January,2024
2024-01-03,64.38,64.8,63.54,63.86,525138.0,IBEX,-0.519999999999996,-0.808,Wednesday,January,2024
2024-01-02,64.96,65.68,64.2,64.56,346164.0,IBEX,-0.3999999999999915,-0.616,Tuesday,January,2024
2023-12-29,64.9,65.3,64.8,64.88,245832.0,IBEX,-0.020000000000010232,-0.031,Friday,December,2023
2023-12-28,65.16,65.44,64.66,64.76,309847.0,IBEX,-0.3999999999999915,-0.614,Thursday,December,2023
2023-12-27,65.1,65.22,64.76,64.98,364102.0,IBEX,-0.11999999999999034,-0.184,Wednesday,December,2023
2023-12-22,64.7,65.2,64.6,64.98,266728.0,IBEX,0.28000000000000114,0.433,Friday,December,2023
2023-12-21,64.76,65.0,64.68,64.94,358663.0,IBEX,0.1799999999999926,0.278,Thursday,December,2023
2023-12-20,65.78,66.22,64.92,65.3,452631.0,IBEX,-0.480000000000004,-0.73,Wednesday,December,2023
2023-12-19,65.28,65.92,65.06,65.74,463514.0,IBEX,0.45999999999999375,0.705,Tuesday,December,2023
2023-12-18,64.96,65.76,64.74,65.36,1345656.0,IBEX,0.4000000000000057,0.616,Monday,December,2023
2023-12-15,65.18,65.5,64.34,65.3,1842040.0,IBEX,0.11999999999999034,0.184,Friday,December,2023
2023-12-14,65.62,66.06,64.86,65.02,551920.0,IBEX,-0.6000000000000085,-0.914,Thursday,December,2023
2023-12-13,65.7,66.02,64.66,64.8,1281273.0,IBEX,-0.9000000000000057,-1.37,Wednesday,December,2023
2023-12-12,65.34,65.88,65.04,65.6,463845.0,IBEX,0.2599999999999909,0.398,Tuesday,December,2023
2023-12-11,65.68,65.92,65.2,65.34,845550.0,IBEX,-0.3400000000000034,-0.518,Monday,December,2023
2023-12-08,64.38,65.72,64.38,65.56,472784.0,IBEX,1.1800000000000068,1.833,Friday,December,2023
2023-12-07,64.2,64.76,63.78,64.3,601556.0,IBEX,0.09999999999999432,0.156,Thursday,December,2023
2023-12-06,64.6,65.0,64.46,64.76,653823.0,IBEX,0.1600000000000108,0.248,Wednesday,December,2023
2023-12-05,64.12,64.94,64.1,64.42,613375.0,IBEX,0.29999999999999716,0.468,Tuesday,December,2023
2023-12-04,63.96,64.58,63.96,64.2,308763.0,IBEX,0.240000000000002,0.375,Monday,December,2023
2023-12-01,62.88,64.02,62.78,63.98,489299.0,IBEX,1.0999999999999943,1.749,Friday,December,2023
2023-11-30,63.82,64.0,62.78,62.82,1265733.0,IBEX,-1.0,-1.567,Thursday,November,2023
2023-11-29,63.42,64.06,63.42,63.82,385967.0,IBEX,0.3999999999999986,0.631,Wednesday,November,2023
2023-11-28,62.92,63.52,62.86,63.38,607034.0,IBEX,0.46000000000000085,0.731,Tuesday,November,2023
2023-11-27,62.88,63.56,62.88,62.98,510953.0,IBEX,0.09999999999999432,0.159,Monday,November,2023
2023-11-24,62.8,63.14,62.58,62.86,340672.0,IBEX,0.060000000000002274,0.096,Friday,November,2023
2023-11-23,63.56,63.56,62.48,62.76,920255.0,IBEX,-0.8000000000000043,-1.259,Thursday,November,2023
2023-11-22,63.08,63.8,63.08,63.6,513429.0,IBEX,0.5200000000000031,0.824,Wednesday,November,2023
2023-11-21,63.0,63.72,63.0,63.1,494196.0,IBEX,0.10000000000000142,0.159,Tuesday,November,2023
2023-11-20,62.58,63.1,62.46,62.94,325855.0,IBEX,0.35999999999999943,0.575,Monday,November,2023
2023-11-17,61.76,62.76,61.7,62.58,1253053.0,IBEX,0.8200000000000003,1.328,Friday,November,2023
2023-11-16,61.66,62.0,61.44,61.54,490853.0,IBEX,-0.11999999999999744,-0.195,Thursday,November,2023
