Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,126.65,127.05,124.25,125.8,74459.0,IBEX,-0.8500000000000085,-0.671,Monday,January,2024
2024-01-05,127.2,127.55,124.2,126.75,101065.0,IBEX,-0.45000000000000284,-0.354,Friday,January,2024
2024-01-04,127.6,128.95,126.85,128.05,79714.0,IBEX,0.45000000000001705,0.353,Thursday,January,2024
2024-01-03,131.5,131.7,127.1,127.2,138231.0,IBEX,-4.299999999999997,-3.27,Wednesday,January,2024
2024-01-02,134.45,135.15,130.85,131.7,114985.0,IBEX,-2.75,-2.045,Tuesday,January,2024
2023-12-29,133.35,134.05,133.0,133.3,46519.0,IBEX,-0.04999999999998295,-0.037,Friday,December,2023
2023-12-28,133.5,134.25,132.75,133.1,47255.0,IBEX,-0.4000000000000057,-0.3,Thursday,December,2023
2023-12-27,132.5,133.7,132.3,133.6,55298.0,IBEX,1.0999999999999943,0.83,Wednesday,December,2023
2023-12-22,132.65,133.0,130.65,131.65,48164.0,IBEX,-1.0,-0.754,Friday,December,2023
2023-12-21,131.1,133.2,128.75,133.0,72021.0,IBEX,1.9000000000000057,1.449,Thursday,December,2023
2023-12-20,133.55,133.85,131.9,132.0,76881.0,IBEX,-1.5500000000000114,-1.161,Wednesday,December,2023
2023-12-19,132.45,134.2,132.2,133.0,127308.0,IBEX,0.5500000000000114,0.415,Tuesday,December,2023
2023-12-18,134.1,134.5,132.05,132.25,161482.0,IBEX,-1.8499999999999943,-1.38,Monday,December,2023
2023-12-15,136.35,136.7,133.9,135.15,223814.0,IBEX,-1.1999999999999886,-0.88,Friday,December,2023
2023-12-14,133.0,138.35,132.7,135.65,180383.0,IBEX,2.6500000000000057,1.992,Thursday,December,2023
2023-12-13,130.4,131.75,130.15,130.55,86542.0,IBEX,0.15000000000000568,0.115,Wednesday,December,2023
2023-12-12,132.4,132.9,129.95,129.95,89584.0,IBEX,-2.450000000000017,-1.85,Tuesday,December,2023
2023-12-11,135.0,135.15,132.2,132.5,82071.0,IBEX,-2.5,-1.852,Monday,December,2023
2023-12-08,133.8,136.15,133.65,135.85,81292.0,IBEX,2.049999999999983,1.532,Friday,December,2023
2023-12-07,133.7,134.75,133.2,133.4,70962.0,IBEX,-0.29999999999998295,-0.224,Thursday,December,2023
2023-12-06,133.6,135.0,132.65,134.7,72172.0,IBEX,1.0999999999999943,0.823,Wednesday,December,2023
2023-12-05,132.4,133.45,130.95,133.45,75022.0,IBEX,1.049999999999983,0.793,Tuesday,December,2023
2023-12-04,131.35,133.25,130.7,132.15,92808.0,IBEX,0.8000000000000114,0.609,Monday,December,2023
2023-12-01,129.6,130.05,128.3,129.85,45482.0,IBEX,0.25,0.193,Friday,December,2023
2023-11-30,129.2,130.3,128.4,129.5,278619.0,IBEX,0.30000000000001137,0.232,Thursday,November,2023
2023-11-29,127.35,130.05,127.3,128.8,76733.0,IBEX,1.450000000000017,1.139,Wednesday,November,2023
2023-11-28,126.4,127.7,125.1,127.15,110132.0,IBEX,0.75,0.593,Tuesday,November,2023
2023-11-27,123.55,126.7,123.55,126.3,80451.0,IBEX,2.75,2.226,Monday,November,2023
2023-11-24,125.25,125.75,123.2,123.85,98378.0,IBEX,-1.4000000000000057,-1.118,Friday,November,2023
2023-11-23,124.1,125.55,124.1,125.55,50812.0,IBEX,1.4500000000000028,1.168,Thursday,November,2023
2023-11-22,124.75,127.0,124.0,124.0,126071.0,IBEX,-0.75,-0.601,Wednesday,November,2023
2023-11-21,129.0,129.45,123.35,124.35,179613.0,IBEX,-4.650000000000006,-3.605,Tuesday,November,2023
2023-11-20,129.45,131.05,128.6,129.95,87506.0,IBEX,0.5,0.386,Monday,November,2023
2023-11-17,133.2,133.2,127.85,129.1,190155.0,IBEX,-4.099999999999994,-3.078,Friday,November,2023
2023-11-16,131.3,133.05,131.3,132.05,84782.0,IBEX,0.75,0.571,Thursday,November,2023
2023-11-15,131.9,133.25,130.4,131.6,89632.0,IBEX,-0.30000000000001137,-0.227,Wednesday,November,2023
2023-11-14,126.6,131.85,126.1,131.4,103118.0,IBEX,4.800000000000011,3.791,Tuesday,November,2023
2023-11-13,127.75,127.85,125.75,126.1,48602.0,IBEX,-1.6500000000000057,-1.292,Monday,November,2023
2023-11-10,127.3,127.55,125.7,127.2,64341.0,IBEX,-0.09999999999999432,-0.079,Friday,November,2023
2023-11-09,126.15,128.8,124.9,128.5,74364.0,IBEX,2.3499999999999943,1.863,Thursday,November,2023
2023-11-08,125.25,127.05,125.0,125.85,61829.0,IBEX,0.5999999999999943,0.479,Wednesday,November,2023
2023-11-07,126.2,126.7,125.55,125.85,86027.0,IBEX,-0.3500000000000085,-0.277,Tuesday,November,2023
2023-11-06,127.5,128.6,126.35,127.4,100534.0,IBEX,-0.09999999999999432,-0.078,Monday,November,2023
2023-11-03,124.3,129.3,123.75,127.2,127274.0,IBEX,2.9000000000000057,2.333,Friday,November,2023
2023-11-02,120.0,125.25,120.0,123.8,113334.0,IBEX,3.799999999999997,3.167,Thursday,November,2023
2023-11-01,119.15,119.15,115.85,118.25,65955.0,IBEX,-0.9000000000000057,-0.755,Wednesday,November,2023
2023-10-31,117.5,119.25,116.7,119.0,124854.0,IBEX,1.5,1.277,Tuesday,October,2023
2023-10-30,114.75,117.2,114.75,116.15,66452.0,IBEX,1.4000000000000057,1.22,Monday,October,2023
2023-10-27,115.75,117.75,113.9,114.5,65416.0,IBEX,-1.25,-1.08,Friday,October,2023
2023-10-26,115.25,116.45,114.45,115.9,105869.0,IBEX,0.6500000000000057,0.564,Thursday,October,2023
