Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,26.08,26.24,25.56,25.72,475019.0,IBEX,-0.35999999999999943,-1.38,Monday,January,2024
2024-01-05,25.9,26.26,25.44,26.18,275537.0,IBEX,0.28000000000000114,1.081,Friday,January,2024
2024-01-04,26.38,26.58,25.7,25.96,684175.0,IBEX,-0.41999999999999815,-1.592,Thursday,January,2024
2024-01-03,27.2,27.22,26.2,26.28,424511.0,IBEX,-0.9199999999999982,-3.382,Wednesday,January,2024
2024-01-02,27.96,28.12,27.02,27.18,301079.0,IBEX,-0.7800000000000011,-2.79,Tuesday,January,2024
2023-12-29,28.26,28.5,27.96,28.08,116311.0,IBEX,-0.18000000000000327,-0.637,Friday,December,2023
2023-12-28,28.44,28.5,28.12,28.24,139335.0,IBEX,-0.20000000000000284,-0.703,Thursday,December,2023
2023-12-27,28.02,28.42,27.92,28.34,140247.0,IBEX,0.3200000000000003,1.142,Wednesday,December,2023
2023-12-22,28.04,28.08,27.44,27.74,186248.0,IBEX,-0.3000000000000007,-1.07,Friday,December,2023
2023-12-21,27.7,28.26,27.52,27.88,496880.0,IBEX,0.17999999999999972,0.65,Thursday,December,2023
2023-12-20,27.96,28.32,27.84,27.98,305708.0,IBEX,0.019999999999999574,0.072,Wednesday,December,2023
2023-12-19,27.9,28.18,27.52,27.88,337181.0,IBEX,-0.019999999999999574,-0.072,Tuesday,December,2023
2023-12-18,28.32,28.52,27.78,27.86,350158.0,IBEX,-0.46000000000000085,-1.624,Monday,December,2023
2023-12-15,28.1,28.9,28.0,28.68,1079655.0,IBEX,0.5799999999999983,2.064,Friday,December,2023
2023-12-14,27.44,28.36,27.34,28.0,491183.0,IBEX,0.5599999999999987,2.041,Thursday,December,2023
2023-12-13,26.2,26.58,26.02,26.02,248305.0,IBEX,-0.17999999999999972,-0.687,Wednesday,December,2023
2023-12-12,27.0,27.04,26.16,26.16,319598.0,IBEX,-0.8399999999999999,-3.111,Tuesday,December,2023
2023-12-11,28.04,28.1,26.82,26.88,305485.0,IBEX,-1.1600000000000001,-4.137,Monday,December,2023
2023-12-08,28.04,28.78,28.04,28.22,243641.0,IBEX,0.17999999999999972,0.642,Friday,December,2023
2023-12-07,27.58,28.3,27.58,28.12,286916.0,IBEX,0.5400000000000027,1.958,Thursday,December,2023
2023-12-06,27.4,27.8,27.22,27.8,241873.0,IBEX,0.40000000000000213,1.46,Wednesday,December,2023
2023-12-05,27.72,27.78,27.2,27.38,529830.0,IBEX,-0.33999999999999986,-1.227,Tuesday,December,2023
2023-12-04,27.54,28.0,27.54,27.84,340665.0,IBEX,0.3000000000000007,1.089,Monday,December,2023
2023-12-01,27.26,27.36,26.94,27.26,162843.0,IBEX,0.0,0.0,Friday,December,2023
2023-11-30,26.94,27.24,26.8,27.24,1408851.0,IBEX,0.29999999999999716,1.114,Thursday,November,2023
2023-11-29,26.22,27.1,26.22,26.74,369077.0,IBEX,0.5199999999999996,1.983,Wednesday,November,2023
2023-11-28,26.06,26.38,26.06,26.14,294970.0,IBEX,0.08000000000000185,0.307,Tuesday,November,2023
