Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,8.5,8.63,8.45,8.6,6901166.0,IBEX,0.09999999999999964,1.176,Monday,January,2024
2024-01-05,8.44,8.55,8.37,8.51,7361240.0,IBEX,0.07000000000000028,0.829,Friday,January,2024
2024-01-04,8.35,8.47,8.34,8.46,6040776.0,IBEX,0.11000000000000121,1.317,Thursday,January,2024
2024-01-03,8.46,8.5,8.3,8.32,7949923.0,IBEX,-0.14000000000000057,-1.655,Wednesday,January,2024
2024-01-02,8.28,8.48,8.27,8.43,12884145.0,IBEX,0.15000000000000036,1.812,Tuesday,January,2024
2023-12-29,8.19,8.27,8.18,8.23,4492141.0,IBEX,0.040000000000000924,0.488,Friday,December,2023
2023-12-28,8.25,8.26,8.16,8.19,4264480.0,IBEX,-0.0600000000000005,-0.727,Thursday,December,2023
2023-12-27,8.25,8.28,8.2,8.24,5985913.0,IBEX,-0.009999999999999787,-0.121,Wednesday,December,2023
2023-12-22,8.23,8.28,8.19,8.24,5924362.0,IBEX,0.009999999999999787,0.122,Friday,December,2023
2023-12-21,8.17,8.24,8.16,8.23,4612825.0,IBEX,0.0600000000000005,0.734,Thursday,December,2023
2023-12-20,8.29,8.29,8.13,8.17,12584968.0,IBEX,-0.11999999999999922,-1.448,Wednesday,December,2023
2023-12-19,8.23,8.29,8.17,8.26,8938893.0,IBEX,0.02999999999999936,0.365,Tuesday,December,2023
2023-12-18,8.27,8.31,8.23,8.25,11061121.0,IBEX,-0.019999999999999574,-0.242,Monday,December,2023
2023-12-15,8.39,8.42,8.23,8.28,30142739.0,IBEX,-0.11000000000000121,-1.311,Friday,December,2023
2023-12-14,8.49,8.51,8.29,8.37,14778259.0,IBEX,-0.120000000000001,-1.413,Thursday,December,2023
2023-12-13,8.4,8.46,8.32,8.43,15789056.0,IBEX,0.02999999999999936,0.357,Wednesday,December,2023
2023-12-12,8.5,8.52,8.38,8.42,9197199.0,IBEX,-0.08000000000000007,-0.941,Tuesday,December,2023
2023-12-11,8.51,8.55,8.48,8.49,13259905.0,IBEX,-0.019999999999999574,-0.235,Monday,December,2023
2023-12-08,8.48,8.52,8.41,8.51,7540619.0,IBEX,0.02999999999999936,0.354,Friday,December,2023
2023-12-07,8.58,8.63,8.36,8.46,10036983.0,IBEX,-0.11999999999999922,-1.399,Thursday,December,2023
2023-12-06,8.66,8.68,8.59,8.61,7144553.0,IBEX,-0.05000000000000071,-0.577,Wednesday,December,2023
2023-12-05,8.66,8.72,8.58,8.63,8085917.0,IBEX,-0.02999999999999936,-0.346,Tuesday,December,2023
2023-12-04,8.62,8.69,8.55,8.66,6390576.0,IBEX,0.040000000000000924,0.464,Monday,December,2023
2023-12-01,8.57,8.61,8.53,8.56,8048948.0,IBEX,-0.009999999999999787,-0.117,Friday,December,2023
2023-11-30,8.7,8.73,8.48,8.51,22894079.0,IBEX,-0.1899999999999995,-2.184,Thursday,November,2023
2023-11-29,8.58,8.71,8.58,8.7,11677427.0,IBEX,0.11999999999999922,1.399,Wednesday,November,2023
2023-11-28,8.4,8.59,8.39,8.59,12851618.0,IBEX,0.1899999999999995,2.262,Tuesday,November,2023
2023-11-27,8.39,8.43,8.37,8.4,11357967.0,IBEX,0.009999999999999787,0.119,Monday,November,2023
2023-11-24,8.44,8.51,8.39,8.39,11540843.0,IBEX,-0.049999999999998934,-0.592,Friday,November,2023
