Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,401.3,407.8,400.5,405.8,9251727.0,IBEX,4.5,1.121,Monday,January,2024
2024-01-05,395.0,404.3,392.3,401.1,13308750.0,IBEX,6.100000000000023,1.544,Friday,January,2024
2024-01-04,388.6,395.6,385.0,395.5,8388949.0,IBEX,6.899999999999977,1.776,Thursday,January,2024
2024-01-03,384.0,389.3,383.7,388.0,13166851.0,IBEX,4.0,1.042,Wednesday,January,2024
2024-01-02,375.0,383.5,374.0,382.6,10344874.0,IBEX,7.600000000000023,2.027,Tuesday,January,2024
2023-12-29,371.0,373.4,371.0,372.6,6451135.0,IBEX,1.6000000000000227,0.431,Friday,December,2023
2023-12-28,373.0,373.5,370.2,371.1,7619068.0,IBEX,-1.8999999999999773,-0.509,Thursday,December,2023
2023-12-27,371.1,374.7,370.4,373.2,9483392.0,IBEX,2.099999999999966,0.566,Wednesday,December,2023
2023-12-22,374.4,375.6,370.8,372.3,7422863.0,IBEX,-2.099999999999966,-0.561,Friday,December,2023
2023-12-21,370.7,375.4,370.4,373.7,6715403.0,IBEX,3.0,0.809,Thursday,December,2023
2023-12-20,374.0,374.1,369.7,371.9,9268154.0,IBEX,-2.1000000000000227,-0.561,Wednesday,December,2023
2023-12-19,374.1,377.4,370.6,373.0,7911276.0,IBEX,-1.1000000000000227,-0.294,Tuesday,December,2023
2023-12-18,372.2,378.8,372.0,374.6,13835779.0,IBEX,2.400000000000034,0.645,Monday,December,2023
2023-12-15,379.7,381.5,366.6,371.6,26651358.0,IBEX,-8.099999999999966,-2.133,Friday,December,2023
2023-12-14,388.0,389.5,374.3,378.2,23672148.0,IBEX,-9.800000000000011,-2.526,Thursday,December,2023
2023-12-13,386.8,390.1,385.4,387.9,12325301.0,IBEX,1.099999999999966,0.284,Wednesday,December,2023
2023-12-12,391.9,392.4,384.9,386.6,10911164.0,IBEX,-5.2999999999999545,-1.352,Tuesday,December,2023
2023-12-11,392.5,394.1,388.0,390.9,17680026.0,IBEX,-1.6000000000000227,-0.408,Monday,December,2023
2023-12-08,393.8,394.9,383.6,391.3,15606040.0,IBEX,-2.5,-0.635,Friday,December,2023
2023-12-07,409.0,409.3,390.6,393.9,19076476.0,IBEX,-15.100000000000023,-3.692,Thursday,December,2023
2023-12-06,418.0,419.4,409.5,409.6,9003301.0,IBEX,-8.399999999999977,-2.01,Wednesday,December,2023
2023-12-05,416.6,419.6,415.5,416.5,9552367.0,IBEX,-0.10000000000002274,-0.024,Tuesday,December,2023
2023-12-04,411.8,416.9,409.5,416.1,8901313.0,IBEX,4.300000000000011,1.044,Monday,December,2023
2023-12-01,414.9,416.9,411.2,411.2,9297897.0,IBEX,-3.6999999999999886,-0.892,Friday,December,2023
2023-11-30,420.0,422.3,411.3,413.1,22160194.0,IBEX,-6.899999999999977,-1.643,Thursday,November,2023
2023-11-29,419.0,423.0,417.3,419.7,10347093.0,IBEX,0.6999999999999886,0.167,Wednesday,November,2023
2023-11-28,415.5,419.9,415.4,419.0,10594803.0,IBEX,3.5,0.842,Tuesday,November,2023
2023-11-27,415.3,418.6,415.2,415.5,21327680.0,IBEX,0.19999999999998863,0.048,Monday,November,2023
2023-11-24,414.8,418.0,414.8,415.3,5794386.0,IBEX,0.5,0.121,Friday,November,2023
2023-11-23,412.6,416.0,412.0,415.4,14364420.0,IBEX,2.7999999999999545,0.679,Thursday,November,2023
2023-11-22,410.4,414.6,410.4,413.1,13279087.0,IBEX,2.7000000000000455,0.658,Wednesday,November,2023
2023-11-21,409.1,411.1,406.7,410.4,7338791.0,IBEX,1.2999999999999545,0.318,Tuesday,November,2023
2023-11-20,404.9,413.0,404.9,410.2,12930091.0,IBEX,5.300000000000011,1.309,Monday,November,2023
2023-11-17,404.0,407.3,400.4,404.9,22325815.0,IBEX,0.8999999999999773,0.223,Friday,November,2023
2023-11-16,401.7,408.5,401.7,403.8,12911681.0,IBEX,2.1000000000000227,0.523,Thursday,November,2023
2023-11-15,397.5,401.2,394.9,401.1,14927249.0,IBEX,3.6000000000000227,0.906,Wednesday,November,2023
2023-11-14,393.0,398.1,391.1,395.2,15194105.0,IBEX,2.1999999999999886,0.56,Tuesday,November,2023
2023-11-13,386.5,393.4,386.5,392.7,10460954.0,IBEX,6.199999999999989,1.604,Monday,November,2023
2023-11-10,385.7,390.1,383.9,385.6,10462369.0,IBEX,-0.0999999999999659,-0.026,Friday,November,2023
2023-11-09,380.9,386.6,379.7,386.6,11902540.0,IBEX,5.7000000000000455,1.496,Thursday,November,2023
2023-11-08,375.2,381.5,373.5,379.3,11085209.0,IBEX,4.100000000000023,1.093,Wednesday,November,2023
2023-11-07,380.4,383.2,375.5,376.5,9308606.0,IBEX,-3.8999999999999773,-1.025,Tuesday,November,2023
2023-11-06,379.6,383.8,377.9,381.8,11181419.0,IBEX,2.1999999999999886,0.58,Monday,November,2023
2023-11-03,380.0,383.8,378.6,378.6,13535763.0,IBEX,-1.3999999999999773,-0.368,Friday,November,2023
2023-11-02,379.6,382.8,374.3,378.4,14329230.0,IBEX,-1.2000000000000455,-0.316,Thursday,November,2023
2023-11-01,383.8,385.8,379.4,379.5,11693831.0,IBEX,-4.300000000000011,-1.12,Wednesday,November,2023
