Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,6.22,6.24,6.09,6.18,1180088.0,IBEX,-0.040000000000000036,-0.643,Monday,January,2024
2024-01-05,6.36,6.42,6.28,6.34,778591.0,IBEX,-0.020000000000000462,-0.314,Friday,January,2024
2024-01-04,6.45,6.48,6.41,6.45,697975.0,IBEX,0.0,0.0,Thursday,January,2024
2024-01-03,6.53,6.55,6.36,6.38,937571.0,IBEX,-0.15000000000000036,-2.297,Wednesday,January,2024
2024-01-02,6.51,6.61,6.5,6.51,1014965.0,IBEX,0.0,0.0,Tuesday,January,2024
2023-12-29,6.61,6.64,6.53,6.55,678842.0,IBEX,-0.0600000000000005,-0.908,Friday,December,2023
2023-12-28,6.65,6.65,6.57,6.61,653681.0,IBEX,-0.040000000000000036,-0.602,Thursday,December,2023
2023-12-27,6.56,6.63,6.55,6.61,602748.0,IBEX,0.05000000000000071,0.762,Wednesday,December,2023
2023-12-22,6.52,6.56,6.51,6.56,573029.0,IBEX,0.040000000000000036,0.613,Friday,December,2023
2023-12-21,6.51,6.57,6.51,6.53,553143.0,IBEX,0.020000000000000462,0.307,Thursday,December,2023
2023-12-20,6.48,6.63,6.43,6.61,803546.0,IBEX,0.1299999999999999,2.006,Wednesday,December,2023
2023-12-19,6.48,6.58,6.48,6.52,1022267.0,IBEX,0.03999999999999915,0.617,Tuesday,December,2023
2023-12-18,6.54,6.55,6.46,6.49,992823.0,IBEX,-0.04999999999999982,-0.765,Monday,December,2023
2023-12-15,6.66,6.7,6.55,6.55,3779280.0,IBEX,-0.11000000000000032,-1.652,Friday,December,2023
2023-12-14,6.47,6.7,6.47,6.66,1475213.0,IBEX,0.1900000000000004,2.937,Thursday,December,2023
2023-12-13,6.22,6.34,6.22,6.3,781591.0,IBEX,0.08000000000000007,1.286,Wednesday,December,2023
2023-12-12,6.35,6.38,6.21,6.23,1239891.0,IBEX,-0.11999999999999922,-1.89,Tuesday,December,2023
