Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,19.22,19.33,19.11,19.23,1813777.0,IBEX,0.010000000000001563,0.052,Monday,January,2024
2024-01-05,19.01,19.17,18.9,19.15,811594.0,IBEX,0.13999999999999702,0.736,Friday,January,2024
2024-01-04,18.9,19.16,18.89,19.1,1453160.0,IBEX,0.20000000000000284,1.058,Thursday,January,2024
2024-01-03,18.53,18.68,18.52,18.62,874857.0,IBEX,0.08999999999999986,0.486,Wednesday,January,2024
2024-01-02,18.6,18.76,18.45,18.53,926273.0,IBEX,-0.07000000000000028,-0.376,Tuesday,January,2024
2023-12-29,18.53,18.63,18.45,18.46,634492.0,IBEX,-0.07000000000000028,-0.378,Friday,December,2023
2023-12-28,18.74,18.89,18.46,18.5,4194350.0,IBEX,-0.23999999999999844,-1.281,Thursday,December,2023
2023-12-27,19.45,19.5,19.24,19.25,1369404.0,IBEX,-0.1999999999999993,-1.028,Wednesday,December,2023
2023-12-22,19.3,19.42,19.28,19.35,684330.0,IBEX,0.05000000000000071,0.259,Friday,December,2023
2023-12-21,19.35,19.43,19.29,19.3,614183.0,IBEX,-0.05000000000000071,-0.258,Thursday,December,2023
2023-12-20,19.5,19.55,19.34,19.36,914988.0,IBEX,-0.14000000000000057,-0.718,Wednesday,December,2023
2023-12-19,19.4,19.51,19.36,19.44,4158031.0,IBEX,0.0400000000000027,0.206,Tuesday,December,2023
2023-12-18,19.46,19.55,19.36,19.36,1662580.0,IBEX,-0.10000000000000142,-0.514,Monday,December,2023
2023-12-15,19.51,19.66,19.44,19.52,2804864.0,IBEX,0.00999999999999801,0.051,Friday,December,2023
2023-12-14,19.78,19.95,19.5,19.5,1761698.0,IBEX,-0.28000000000000114,-1.416,Thursday,December,2023
2023-12-13,19.64,19.67,19.47,19.58,2957727.0,IBEX,-0.060000000000002274,-0.305,Wednesday,December,2023
2023-12-12,19.48,19.77,19.43,19.62,1262956.0,IBEX,0.14000000000000057,0.719,Tuesday,December,2023
2023-12-11,19.61,19.72,19.53,19.6,1415880.0,IBEX,-0.00999999999999801,-0.051,Monday,December,2023
2023-12-08,19.65,19.8,19.57,19.74,880383.0,IBEX,0.08999999999999986,0.458,Friday,December,2023
2023-12-07,19.56,19.76,19.5,19.67,1215009.0,IBEX,0.11000000000000298,0.562,Thursday,December,2023
2023-12-06,19.48,19.73,19.44,19.56,1622463.0,IBEX,0.0799999999999983,0.411,Wednesday,December,2023
2023-12-05,19.31,19.48,19.25,19.43,1033671.0,IBEX,0.120000000000001,0.621,Tuesday,December,2023
2023-12-04,19.28,19.53,19.26,19.42,670956.0,IBEX,0.14000000000000057,0.726,Monday,December,2023
2023-12-01,19.27,19.34,19.19,19.3,894774.0,IBEX,0.030000000000001137,0.156,Friday,December,2023
2023-11-30,19.13,19.36,19.09,19.18,1906732.0,IBEX,0.05000000000000071,0.261,Thursday,November,2023
2023-11-29,19.13,19.18,19.07,19.1,1016806.0,IBEX,-0.029999999999997584,-0.157,Wednesday,November,2023
2023-11-28,19.04,19.19,18.98,19.1,1282643.0,IBEX,0.060000000000002274,0.315,Tuesday,November,2023
2023-11-27,18.83,19.11,18.8,19.01,1257147.0,IBEX,0.18000000000000327,0.956,Monday,November,2023
2023-11-24,18.7,18.86,18.58,18.83,1024832.0,IBEX,0.129999999999999,0.695,Friday,November,2023
2023-11-23,18.93,18.99,18.65,18.85,2065027.0,IBEX,-0.0799999999999983,-0.423,Thursday,November,2023
2023-11-22,19.23,19.36,19.17,19.32,1289685.0,IBEX,0.08999999999999986,0.468,Wednesday,November,2023
2023-11-21,19.44,19.53,19.0,19.17,1427100.0,IBEX,-0.2699999999999996,-1.389,Tuesday,November,2023
2023-11-20,19.15,19.46,19.0,19.42,1778867.0,IBEX,0.2700000000000031,1.41,Monday,November,2023
2023-11-17,19.21,19.63,19.17,19.59,2709787.0,IBEX,0.379999999999999,1.978,Friday,November,2023
2023-11-16,19.0,19.21,18.97,19.13,1243261.0,IBEX,0.129999999999999,0.684,Thursday,November,2023
2023-11-15,18.97,19.13,18.85,18.97,929946.0,IBEX,0.0,0.0,Wednesday,November,2023
2023-11-14,18.83,19.02,18.75,18.94,1000269.0,IBEX,0.11000000000000298,0.584,Tuesday,November,2023
2023-11-13,18.63,18.81,18.58,18.79,621452.0,IBEX,0.16000000000000014,0.859,Monday,November,2023
2023-11-10,18.68,18.77,18.49,18.62,1023976.0,IBEX,-0.05999999999999872,-0.321,Friday,November,2023
2023-11-09,18.52,18.81,18.45,18.81,1130240.0,IBEX,0.28999999999999915,1.566,Thursday,November,2023
2023-11-08,18.32,18.61,18.32,18.44,3116055.0,IBEX,0.120000000000001,0.655,Wednesday,November,2023
2023-11-07,18.35,18.49,18.33,18.41,569457.0,IBEX,0.05999999999999872,0.327,Tuesday,November,2023
2023-11-06,18.52,18.66,18.31,18.44,891074.0,IBEX,-0.0799999999999983,-0.432,Monday,November,2023
2023-11-03,18.55,18.8,18.5,18.58,1040367.0,IBEX,0.029999999999997584,0.162,Friday,November,2023
2023-11-02,18.3,18.6,18.29,18.55,1056776.0,IBEX,0.25,1.366,Thursday,November,2023
2023-11-01,17.78,18.22,17.54,18.22,1296264.0,IBEX,0.4399999999999977,2.475,Wednesday,November,2023
2023-10-31,17.83,18.26,17.69,17.76,1534439.0,IBEX,-0.06999999999999673,-0.393,Tuesday,October,2023
2023-10-30,18.05,18.28,17.97,17.99,1171976.0,IBEX,-0.060000000000002274,-0.332,Monday,October,2023
2023-10-27,17.9,17.95,17.74,17.9,1114905.0,IBEX,0.0,0.0,Friday,October,2023
2023-10-26,17.9,18.13,17.73,17.87,1121719.0,IBEX,-0.029999999999997584,-0.168,Thursday,October,2023
2023-10-25,18.09,18.14,17.76,17.94,1180939.0,IBEX,-0.14999999999999858,-0.829,Wednesday,October,2023
