Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,15.7,15.72,15.49,15.63,613968.0,IBEX,-0.06999999999999851,-0.446,Monday,January,2024
2024-01-05,15.74,15.83,15.59,15.73,608174.0,IBEX,-0.009999999999999787,-0.064,Friday,January,2024
2024-01-04,15.64,15.83,15.64,15.8,772255.0,IBEX,0.16000000000000014,1.023,Thursday,January,2024
2024-01-03,15.43,15.64,15.42,15.57,912044.0,IBEX,0.14000000000000057,0.907,Wednesday,January,2024
2024-01-02,15.37,15.54,15.26,15.42,1405910.0,IBEX,0.05000000000000071,0.325,Tuesday,January,2024
2023-12-29,15.31,15.36,15.23,15.27,954195.0,IBEX,-0.040000000000000924,-0.261,Friday,December,2023
2023-12-28,15.44,15.51,15.3,15.3,1610896.0,IBEX,-0.1399999999999988,-0.907,Thursday,December,2023
2023-12-27,15.51,15.57,15.41,15.43,1051473.0,IBEX,-0.08000000000000007,-0.516,Wednesday,December,2023
2023-12-22,15.5,15.59,15.45,15.57,859676.0,IBEX,0.07000000000000028,0.452,Friday,December,2023
2023-12-21,15.62,15.66,15.48,15.5,1062563.0,IBEX,-0.11999999999999922,-0.768,Thursday,December,2023
2023-12-20,16.06,16.06,15.65,15.67,1543711.0,IBEX,-0.3899999999999988,-2.428,Wednesday,December,2023
2023-12-19,16.75,16.81,16.64,16.67,1276913.0,IBEX,-0.0799999999999983,-0.478,Tuesday,December,2023
2023-12-18,16.73,16.88,16.61,16.75,1700419.0,IBEX,0.019999999999999574,0.12,Monday,December,2023
2023-12-15,16.92,16.93,16.68,16.73,2821280.0,IBEX,-0.19000000000000128,-1.123,Friday,December,2023
2023-12-14,17.0,17.02,16.78,16.92,2005003.0,IBEX,-0.0799999999999983,-0.471,Thursday,December,2023
2023-12-13,16.8,16.93,16.73,16.85,1828645.0,IBEX,0.05000000000000071,0.298,Wednesday,December,2023
2023-12-12,16.77,16.94,16.75,16.75,950816.0,IBEX,-0.019999999999999574,-0.119,Tuesday,December,2023
2023-12-11,16.89,16.9,16.67,16.76,738565.0,IBEX,-0.129999999999999,-0.77,Monday,December,2023
2023-12-08,16.91,16.91,16.75,16.86,718506.0,IBEX,-0.05000000000000071,-0.296,Friday,December,2023
2023-12-07,17.02,17.07,16.86,16.88,811338.0,IBEX,-0.14000000000000057,-0.823,Thursday,December,2023
2023-12-06,17.23,17.24,16.92,16.99,1072042.0,IBEX,-0.240000000000002,-1.393,Wednesday,December,2023
2023-12-05,17.1,17.23,17.08,17.18,835711.0,IBEX,0.0799999999999983,0.468,Tuesday,December,2023
2023-12-04,16.97,17.09,16.94,17.09,821262.0,IBEX,0.120000000000001,0.707,Monday,December,2023
2023-12-01,16.84,17.0,16.72,17.0,939667.0,IBEX,0.16000000000000014,0.95,Friday,December,2023
2023-11-30,16.77,16.94,16.73,16.8,2030853.0,IBEX,0.030000000000001137,0.179,Thursday,November,2023
