Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,18.58,18.67,18.17,18.56,212245.0,IBEX,-0.019999999999999574,-0.108,Monday,January,2024
2024-01-05,18.74,18.83,18.38,18.67,208581.0,IBEX,-0.06999999999999673,-0.374,Friday,January,2024
2024-01-04,18.96,19.29,18.95,18.98,211303.0,IBEX,0.019999999999999574,0.105,Thursday,January,2024
2024-01-03,19.08,19.31,18.66,18.72,241778.0,IBEX,-0.35999999999999943,-1.887,Wednesday,January,2024
2024-01-02,18.97,19.54,18.97,19.3,292446.0,IBEX,0.33000000000000185,1.74,Tuesday,January,2024
2023-12-29,18.95,19.08,18.8,18.85,182234.0,IBEX,-0.09999999999999787,-0.528,Friday,December,2023
2023-12-28,19.6,19.65,18.94,18.99,231968.0,IBEX,-0.610000000000003,-3.112,Thursday,December,2023
2023-12-27,19.5,19.65,19.43,19.56,212844.0,IBEX,0.05999999999999872,0.308,Wednesday,December,2023
2023-12-22,19.0,19.43,18.98,19.41,252931.0,IBEX,0.41000000000000014,2.158,Friday,December,2023
2023-12-21,18.84,19.09,18.8,19.0,275541.0,IBEX,0.16000000000000014,0.849,Thursday,December,2023
2023-12-20,19.07,19.23,18.92,18.99,291941.0,IBEX,-0.08000000000000185,-0.42,Wednesday,December,2023
2023-12-19,18.82,19.15,18.81,19.12,270041.0,IBEX,0.3000000000000007,1.594,Tuesday,December,2023
2023-12-18,19.01,19.27,18.83,18.85,325604.0,IBEX,-0.16000000000000014,-0.842,Monday,December,2023
2023-12-15,19.3,19.57,19.08,19.08,1314798.0,IBEX,-0.22000000000000242,-1.14,Friday,December,2023
2023-12-14,18.4,19.28,18.4,19.2,1116964.0,IBEX,0.8000000000000007,4.348,Thursday,December,2023
2023-12-13,17.93,18.13,17.81,17.81,492166.0,IBEX,-0.120000000000001,-0.669,Wednesday,December,2023
2023-12-12,17.79,18.4,17.6,17.88,373241.0,IBEX,0.08999999999999986,0.506,Tuesday,December,2023
2023-12-11,18.43,18.5,18.35,18.35,167782.0,IBEX,-0.0799999999999983,-0.434,Monday,December,2023
2023-12-08,18.4,18.59,18.31,18.43,168681.0,IBEX,0.030000000000001137,0.163,Friday,December,2023
2023-12-07,18.22,18.36,18.01,18.33,253431.0,IBEX,0.10999999999999943,0.604,Thursday,December,2023
2023-12-06,18.15,18.56,18.09,18.36,334511.0,IBEX,0.21000000000000085,1.157,Wednesday,December,2023
2023-12-05,18.35,18.36,18.14,18.19,326499.0,IBEX,-0.16000000000000014,-0.872,Tuesday,December,2023
2023-12-04,18.62,18.79,18.2,18.3,292190.0,IBEX,-0.3200000000000003,-1.719,Monday,December,2023
2023-12-01,18.6,18.83,18.34,18.78,240165.0,IBEX,0.17999999999999972,0.968,Friday,December,2023
2023-11-30,19.17,19.18,18.79,18.95,918478.0,IBEX,-0.22000000000000242,-1.148,Thursday,November,2023
2023-11-29,19.19,19.48,19.06,19.06,428634.0,IBEX,-0.13000000000000256,-0.677,Wednesday,November,2023
2023-11-28,19.14,19.16,18.91,19.15,205939.0,IBEX,0.00999999999999801,0.052,Tuesday,November,2023
2023-11-27,19.01,19.29,19.01,19.18,451337.0,IBEX,0.16999999999999815,0.894,Monday,November,2023
2023-11-24,18.86,19.15,18.86,19.08,156544.0,IBEX,0.21999999999999886,1.166,Friday,November,2023
2023-11-23,19.15,19.15,18.89,19.02,153988.0,IBEX,-0.129999999999999,-0.679,Thursday,November,2023
2023-11-22,18.94,19.13,18.91,19.12,194181.0,IBEX,0.17999999999999972,0.95,Wednesday,November,2023
2023-11-21,19.02,19.13,18.77,18.79,241507.0,IBEX,-0.23000000000000043,-1.209,Tuesday,November,2023
2023-11-20,18.98,19.02,18.8,18.95,317593.0,IBEX,-0.030000000000001137,-0.158,Monday,November,2023
2023-11-17,18.91,19.13,18.9,18.93,569388.0,IBEX,0.019999999999999574,0.106,Friday,November,2023
2023-11-16,18.89,19.07,18.76,18.79,429179.0,IBEX,-0.10000000000000142,-0.529,Thursday,November,2023
2023-11-15,18.4,18.96,18.39,18.85,465707.0,IBEX,0.45000000000000284,2.446,Wednesday,November,2023
2023-11-14,17.54,18.34,17.38,18.3,341460.0,IBEX,0.7600000000000016,4.333,Tuesday,November,2023
2023-11-13,17.56,17.62,17.3,17.42,218457.0,IBEX,-0.13999999999999702,-0.797,Monday,November,2023
2023-11-10,17.76,17.78,17.41,17.45,204511.0,IBEX,-0.3100000000000023,-1.745,Friday,November,2023
2023-11-09,17.33,17.9,17.33,17.82,350021.0,IBEX,0.490000000000002,2.827,Thursday,November,2023
2023-11-08,17.5,17.68,17.38,17.52,289829.0,IBEX,0.019999999999999574,0.114,Wednesday,November,2023
2023-11-07,17.34,17.62,17.34,17.54,211650.0,IBEX,0.1999999999999993,1.153,Tuesday,November,2023
2023-11-06,17.76,17.86,17.48,17.48,335744.0,IBEX,-0.28000000000000114,-1.577,Monday,November,2023
2023-11-03,17.26,17.72,17.21,17.65,294100.0,IBEX,0.389999999999997,2.26,Friday,November,2023
2023-11-02,16.94,17.21,16.88,17.11,422309.0,IBEX,0.16999999999999815,1.004,Thursday,November,2023
2023-11-01,16.7,16.76,16.59,16.71,187857.0,IBEX,0.010000000000001563,0.06,Wednesday,November,2023
2023-10-31,16.62,16.97,16.37,16.62,329287.0,IBEX,0.0,0.0,Tuesday,October,2023
2023-10-30,16.45,16.79,16.45,16.55,407302.0,IBEX,0.10000000000000142,0.608,Monday,October,2023
2023-10-27,16.8,16.91,16.11,16.43,530796.0,IBEX,-0.370000000000001,-2.202,Friday,October,2023
2023-10-26,15.9,17.4,15.32,16.83,869308.0,IBEX,0.9299999999999979,5.849,Thursday,October,2023
2023-10-25,16.42,16.42,16.02,16.12,515717.0,IBEX,-0.3000000000000007,-1.827,Wednesday,October,2023
2023-10-24,16.46,16.54,16.22,16.41,343423.0,IBEX,-0.05000000000000071,-0.304,Tuesday,October,2023
2023-10-23,16.59,16.64,16.33,16.46,449664.0,IBEX,-0.129999999999999,-0.784,Monday,October,2023
2023-10-20,16.77,16.82,16.47,16.55,397556.0,IBEX,-0.21999999999999886,-1.312,Friday,October,2023
2023-10-19,16.8,17.12,16.55,16.86,416543.0,IBEX,0.05999999999999872,0.357,Thursday,October,2023
2023-10-18,17.3,17.36,16.91,16.91,341937.0,IBEX,-0.39000000000000057,-2.254,Wednesday,October,2023
2023-10-17,17.43,17.53,17.13,17.36,279802.0,IBEX,-0.07000000000000028,-0.402,Tuesday,October,2023
2023-10-16,17.43,17.49,17.2,17.44,218833.0,IBEX,0.010000000000001563,0.057,Monday,October,2023
2023-10-13,18.0,18.01,17.43,17.43,359264.0,IBEX,-0.5700000000000003,-3.167,Friday,October,2023
2023-10-12,18.1,18.12,17.81,17.99,260040.0,IBEX,-0.11000000000000298,-0.608,Thursday,October,2023
2023-10-11,17.53,17.84,17.48,17.76,255634.0,IBEX,0.23000000000000043,1.312,Wednesday,October,2023
2023-10-10,17.2,17.77,17.13,17.67,523672.0,IBEX,0.4700000000000024,2.733,Tuesday,October,2023
2023-10-09,17.66,17.78,17.58,17.73,229983.0,IBEX,0.07000000000000028,0.396,Monday,October,2023
2023-10-06,17.67,17.75,17.44,17.64,409278.0,IBEX,-0.030000000000001137,-0.17,Friday,October,2023
2023-10-05,18.01,18.11,17.91,17.96,275085.0,IBEX,-0.05000000000000071,-0.278,Thursday,October,2023
2023-10-04,18.18,18.19,17.77,17.9,493431.0,IBEX,-0.28000000000000114,-1.54,Wednesday,October,2023
2023-10-03,18.69,18.78,18.33,18.35,340106.0,IBEX,-0.33999999999999986,-1.819,Tuesday,October,2023
2023-10-02,19.39,19.44,18.69,18.71,309152.0,IBEX,-0.6799999999999997,-3.507,Monday,October,2023
2023-09-29,18.99,19.59,18.96,19.37,434894.0,IBEX,0.38000000000000256,2.001,Friday,September,2023
2023-09-28,18.86,18.95,18.61,18.9,216194.0,IBEX,0.03999999999999915,0.212,Thursday,September,2023
2023-09-27,18.74,18.8,18.56,18.77,244698.0,IBEX,0.030000000000001137,0.16,Wednesday,September,2023
2023-09-26,18.71,18.93,18.62,18.66,287937.0,IBEX,-0.05000000000000071,-0.267,Tuesday,September,2023
2023-09-25,19.12,19.28,18.87,19.01,232860.0,IBEX,-0.10999999999999943,-0.575,Monday,September,2023
2023-09-22,18.75,18.99,18.66,18.98,1012998.0,IBEX,0.23000000000000043,1.227,Friday,September,2023
