Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,33.25,33.69,33.15,33.69,808914.0,IBEX,0.4399999999999977,1.323,Monday,January,2024
2024-01-05,33.73,33.73,33.17,33.33,1126262.0,IBEX,-0.3999999999999986,-1.186,Friday,January,2024
2024-01-04,33.38,33.89,33.38,33.86,1012460.0,IBEX,0.4799999999999969,1.438,Thursday,January,2024
2024-01-03,34.07,34.14,33.28,33.4,1085264.0,IBEX,-0.6700000000000017,-1.967,Wednesday,January,2024
2024-01-02,33.5,34.42,33.48,34.18,1365475.0,IBEX,0.6799999999999997,2.03,Tuesday,January,2024
2023-12-29,32.8,33.2,32.8,33.02,620309.0,IBEX,0.22000000000000597,0.671,Friday,December,2023
2023-12-28,32.74,32.89,32.68,32.83,341149.0,IBEX,0.0899999999999963,0.275,Thursday,December,2023
2023-12-27,32.47,32.76,32.45,32.71,386001.0,IBEX,0.240000000000002,0.739,Wednesday,December,2023
2023-12-22,32.55,32.71,32.5,32.63,392190.0,IBEX,0.0800000000000054,0.246,Friday,December,2023
2023-12-21,32.47,32.63,32.43,32.58,432992.0,IBEX,0.10999999999999943,0.339,Thursday,December,2023
2023-12-20,32.59,32.65,32.11,32.61,522969.0,IBEX,0.01999999999999602,0.061,Wednesday,December,2023
2023-12-19,32.31,32.52,32.19,32.5,962379.0,IBEX,0.18999999999999773,0.588,Tuesday,December,2023
2023-12-18,32.7,32.72,32.21,32.26,798667.0,IBEX,-0.44000000000000483,-1.346,Monday,December,2023
2023-12-15,32.68,32.98,32.44,32.84,2665921.0,IBEX,0.1600000000000037,0.49,Friday,December,2023
2023-12-14,32.85,33.0,32.47,32.69,793902.0,IBEX,-0.1600000000000037,-0.487,Thursday,December,2023
2023-12-13,32.4,32.74,32.29,32.61,1011326.0,IBEX,0.21000000000000085,0.648,Wednesday,December,2023
2023-12-12,32.5,32.58,32.32,32.39,598900.0,IBEX,-0.10999999999999943,-0.338,Tuesday,December,2023
