Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,176.0,177.0,173.65,176.85,5598800.0,IBEX,0.8499999999999943,0.483,Monday,January,2024
2024-01-05,176.95,177.75,173.9,176.75,7989034.0,IBEX,-0.19999999999998863,-0.113,Friday,January,2024
2024-01-04,173.6,177.55,173.2,177.55,6925782.0,IBEX,3.950000000000017,2.275,Thursday,January,2024
2024-01-03,179.3,179.8,174.2,174.2,10603424.0,IBEX,-5.100000000000023,-2.844,Wednesday,January,2024
2024-01-02,178.0,182.55,178.0,179.15,6209331.0,IBEX,1.1500000000000057,0.646,Tuesday,January,2024
2023-12-29,179.9,180.5,177.7,178.1,8101788.0,IBEX,-1.8000000000000114,-1.001,Friday,December,2023
2023-12-28,181.75,182.3,179.45,180.1,6627743.0,IBEX,-1.6500000000000057,-0.908,Thursday,December,2023
2023-12-27,181.65,182.5,180.75,181.45,8274864.0,IBEX,-0.20000000000001705,-0.11,Wednesday,December,2023
2023-12-22,182.5,183.65,181.35,181.95,3839595.0,IBEX,-0.5500000000000114,-0.301,Friday,December,2023
2023-12-21,183.0,184.5,182.7,183.35,3693330.0,IBEX,0.3499999999999943,0.191,Thursday,December,2023
2023-12-20,184.0,185.4,182.65,184.8,4966261.0,IBEX,0.8000000000000114,0.435,Wednesday,December,2023
2023-12-19,181.7,184.1,180.6,183.8,10752800.0,IBEX,2.1000000000000227,1.156,Tuesday,December,2023
2023-12-18,184.0,184.5,181.7,182.1,7172779.0,IBEX,-1.9000000000000057,-1.033,Monday,December,2023
2023-12-15,186.85,187.2,183.3,185.45,12420485.0,IBEX,-1.4000000000000057,-0.749,Friday,December,2023
2023-12-14,183.0,187.8,182.95,185.65,14745121.0,IBEX,2.6500000000000057,1.448,Thursday,December,2023
2023-12-13,184.75,185.1,181.05,181.05,6553183.0,IBEX,-3.6999999999999886,-2.003,Wednesday,December,2023
2023-12-12,182.0,184.8,181.2,184.8,7706408.0,IBEX,2.8000000000000114,1.538,Tuesday,December,2023
2023-12-11,183.75,184.3,181.55,182.0,9587981.0,IBEX,-1.75,-0.952,Monday,December,2023
2023-12-08,184.4,186.2,183.95,184.9,7649514.0,IBEX,0.5,0.271,Friday,December,2023
2023-12-07,184.95,185.0,181.85,184.35,14301314.0,IBEX,-0.5999999999999943,-0.324,Thursday,December,2023
2023-12-06,181.8,188.7,181.75,188.55,16327637.0,IBEX,6.75,3.713,Wednesday,December,2023
2023-12-05,184.0,184.7,180.5,182.05,8570080.0,IBEX,-1.9499999999999886,-1.06,Tuesday,December,2023
2023-12-04,182.9,185.3,182.8,184.2,8549104.0,IBEX,1.299999999999983,0.711,Monday,December,2023
2023-12-01,178.6,182.7,178.6,182.7,13856791.0,IBEX,4.099999999999994,2.296,Friday,December,2023
2023-11-30,178.6,179.15,175.8,177.6,9278789.0,IBEX,-1.0,-0.56,Thursday,November,2023
2023-11-29,176.0,178.5,176.0,177.75,6440407.0,IBEX,1.75,0.994,Wednesday,November,2023
2023-11-28,174.0,176.25,173.55,175.75,7402106.0,IBEX,1.75,1.006,Tuesday,November,2023
2023-11-27,177.0,178.5,174.85,174.85,8706739.0,IBEX,-2.1500000000000057,-1.215,Monday,November,2023
2023-11-24,177.15,177.9,175.7,176.9,6669389.0,IBEX,-0.25,-0.141,Friday,November,2023
2023-11-23,182.6,183.0,176.2,176.75,19267208.0,IBEX,-5.849999999999994,-3.204,Thursday,November,2023
2023-11-22,178.25,183.6,177.6,182.4,13775781.0,IBEX,4.150000000000006,2.328,Wednesday,November,2023
2023-11-21,187.7,189.25,178.4,178.4,23627721.0,IBEX,-9.299999999999983,-4.955,Tuesday,November,2023
2023-11-20,185.65,187.95,185.4,186.55,10594743.0,IBEX,0.9000000000000057,0.485,Monday,November,2023
2023-11-17,184.4,186.1,183.35,185.45,18390990.0,IBEX,1.049999999999983,0.569,Friday,November,2023
2023-11-16,183.95,185.1,180.15,182.6,10641370.0,IBEX,-1.3499999999999943,-0.734,Thursday,November,2023
2023-11-15,177.2,184.2,177.2,184.1,21291060.0,IBEX,6.900000000000006,3.894,Wednesday,November,2023
2023-11-14,175.0,177.2,173.55,176.25,9359111.0,IBEX,1.25,0.714,Tuesday,November,2023
2023-11-13,174.7,175.4,172.65,174.6,9383422.0,IBEX,-0.09999999999999432,-0.057,Monday,November,2023
2023-11-10,175.85,175.85,172.9,173.3,9476384.0,IBEX,-2.549999999999983,-1.45,Friday,November,2023
2023-11-09,174.4,177.35,174.25,176.75,7329262.0,IBEX,2.3499999999999943,1.347,Thursday,November,2023
2023-11-08,171.0,175.75,169.8,175.5,5754935.0,IBEX,4.5,2.632,Wednesday,November,2023
2023-11-07,172.0,174.2,171.3,172.1,5012443.0,IBEX,0.09999999999999432,0.058,Tuesday,November,2023
2023-11-06,174.55,176.75,172.15,172.5,8712449.0,IBEX,-2.0500000000000114,-1.174,Monday,November,2023
2023-11-03,170.25,174.4,169.7,172.95,14167026.0,IBEX,2.6999999999999886,1.586,Friday,November,2023
2023-11-02,168.05,171.55,167.9,169.1,14348429.0,IBEX,1.049999999999983,0.625,Thursday,November,2023
2023-11-01,166.0,167.5,164.5,166.55,5613691.0,IBEX,0.5500000000000114,0.331,Wednesday,November,2023
2023-10-31,165.25,166.85,164.2,165.25,6580609.0,IBEX,0.0,0.0,Tuesday,October,2023
2023-10-30,163.8,166.4,162.4,164.5,7729198.0,IBEX,0.6999999999999886,0.427,Monday,October,2023
2023-10-27,167.0,170.1,158.15,162.4,23716016.0,IBEX,-4.599999999999994,-2.754,Friday,October,2023
2023-10-26,159.15,165.0,158.4,164.55,10320099.0,IBEX,5.400000000000006,3.393,Thursday,October,2023
2023-10-25,163.0,163.1,158.1,160.9,8010822.0,IBEX,-2.0999999999999943,-1.288,Wednesday,October,2023
2023-10-24,164.0,165.2,161.1,162.95,7052065.0,IBEX,-1.0500000000000114,-0.64,Tuesday,October,2023
2023-10-23,158.65,162.7,158.3,162.7,10629990.0,IBEX,4.049999999999983,2.553,Monday,October,2023
2023-10-20,161.0,161.0,157.7,158.65,18337918.0,IBEX,-2.3499999999999943,-1.46,Friday,October,2023
2023-10-19,162.0,163.8,160.7,163.0,11252446.0,IBEX,1.0,0.617,Thursday,October,2023
2023-10-18,167.6,167.6,162.5,163.45,14771567.0,IBEX,-4.150000000000006,-2.476,Wednesday,October,2023
2023-10-17,167.65,169.9,167.4,168.6,6165089.0,IBEX,0.9499999999999886,0.567,Tuesday,October,2023
2023-10-16,167.0,168.7,164.25,167.65,9372000.0,IBEX,0.6500000000000057,0.389,Monday,October,2023
2023-10-13,170.2,172.15,167.1,167.1,12516153.0,IBEX,-3.0999999999999943,-1.821,Friday,October,2023
