Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,25.0,25.18,24.88,25.18,112162.0,IBEX,0.17999999999999972,0.72,Monday,January,2024
2024-01-05,25.0,25.04,24.78,25.0,143456.0,IBEX,0.0,0.0,Friday,January,2024
2024-01-04,24.86,25.12,24.86,25.12,124603.0,IBEX,0.26000000000000156,1.046,Thursday,January,2024
2024-01-03,24.82,25.1,24.76,24.8,219554.0,IBEX,-0.019999999999999574,-0.081,Wednesday,January,2024
2024-01-02,24.5,25.02,24.5,24.86,195225.0,IBEX,0.35999999999999943,1.469,Tuesday,January,2024
2023-12-29,24.22,24.58,24.22,24.48,175194.0,IBEX,0.26000000000000156,1.073,Friday,December,2023
2023-12-28,24.2,24.3,24.18,24.22,136567.0,IBEX,0.019999999999999574,0.083,Thursday,December,2023
2023-12-27,24.12,24.28,24.02,24.2,192257.0,IBEX,0.0799999999999983,0.332,Wednesday,December,2023
2023-12-22,24.1,24.24,23.92,24.06,144985.0,IBEX,-0.0400000000000027,-0.166,Friday,December,2023
2023-12-21,24.0,24.28,24.0,24.14,127622.0,IBEX,0.14000000000000057,0.583,Thursday,December,2023
2023-12-20,24.18,24.24,24.0,24.04,163941.0,IBEX,-0.14000000000000057,-0.579,Wednesday,December,2023
2023-12-19,24.0,24.16,23.96,24.16,179296.0,IBEX,0.16000000000000014,0.667,Tuesday,December,2023
2023-12-18,23.98,24.18,23.98,24.02,360044.0,IBEX,0.03999999999999915,0.167,Monday,December,2023
2023-12-15,24.16,24.32,23.98,24.0,703072.0,IBEX,-0.16000000000000014,-0.662,Friday,December,2023
2023-12-14,24.48,24.72,24.18,24.18,287718.0,IBEX,-0.3000000000000007,-1.225,Thursday,December,2023
2023-12-13,23.68,23.98,23.66,23.9,204445.0,IBEX,0.21999999999999886,0.929,Wednesday,December,2023
2023-12-12,23.92,23.94,23.58,23.62,151178.0,IBEX,-0.3000000000000007,-1.254,Tuesday,December,2023
2023-12-11,24.14,24.16,23.82,23.86,109820.0,IBEX,-0.28000000000000114,-1.16,Monday,December,2023
2023-12-08,24.0,24.2,23.88,24.1,129766.0,IBEX,0.10000000000000142,0.417,Friday,December,2023
2023-12-07,24.06,24.12,23.9,24.0,117790.0,IBEX,-0.05999999999999872,-0.249,Thursday,December,2023
2023-12-06,24.18,24.28,24.02,24.12,117493.0,IBEX,-0.05999999999999872,-0.248,Wednesday,December,2023
2023-12-05,24.04,24.18,23.94,24.16,154767.0,IBEX,0.120000000000001,0.499,Tuesday,December,2023
2023-12-04,24.06,24.26,23.88,23.88,138078.0,IBEX,-0.17999999999999972,-0.748,Monday,December,2023
