Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,200.2,203.0,200.2,202.8,2879638.0,IBEX,2.6000000000000227,1.299,Monday,January,2024
2024-01-05,197.9,200.8,196.0,200.2,2533179.0,IBEX,2.299999999999983,1.162,Friday,January,2024
2024-01-04,195.6,197.8,195.0,197.7,1533417.0,IBEX,2.0999999999999943,1.074,Thursday,January,2024
2024-01-03,198.0,198.7,194.8,195.3,1582702.0,IBEX,-2.6999999999999886,-1.364,Wednesday,January,2024
2024-01-02,195.0,198.1,195.0,197.1,1576588.0,IBEX,2.0999999999999943,1.077,Tuesday,January,2024
2023-12-29,194.3,195.1,193.7,194.3,1760025.0,IBEX,0.0,0.0,Friday,December,2023
2023-12-28,195.2,195.6,194.0,194.5,1364082.0,IBEX,-0.6999999999999886,-0.359,Thursday,December,2023
2023-12-27,194.6,195.6,193.5,195.2,2332841.0,IBEX,0.5999999999999943,0.308,Wednesday,December,2023
2023-12-22,194.9,195.6,194.6,195.3,1368781.0,IBEX,0.4000000000000057,0.205,Friday,December,2023
2023-12-21,195.1,195.5,194.1,194.7,1587091.0,IBEX,-0.4000000000000057,-0.205,Thursday,December,2023
2023-12-20,196.0,196.5,194.7,196.0,1770962.0,IBEX,0.0,0.0,Wednesday,December,2023
2023-12-19,195.0,196.1,194.4,195.7,1992405.0,IBEX,0.6999999999999886,0.359,Tuesday,December,2023
2023-12-18,196.0,196.1,194.6,195.0,1864300.0,IBEX,-1.0,-0.51,Monday,December,2023
2023-12-15,196.4,197.1,195.4,196.1,3793872.0,IBEX,-0.30000000000001137,-0.153,Friday,December,2023
2023-12-14,198.0,198.0,194.2,196.1,3516033.0,IBEX,-1.9000000000000057,-0.96,Thursday,December,2023
2023-12-13,198.6,199.1,197.4,198.1,1797483.0,IBEX,-0.5,-0.252,Wednesday,December,2023
2023-12-12,201.4,201.4,197.7,198.5,2233873.0,IBEX,-2.9000000000000057,-1.44,Tuesday,December,2023
2023-12-11,201.6,201.6,200.0,200.8,4430552.0,IBEX,-0.799999999999983,-0.397,Monday,December,2023
2023-12-08,200.0,202.0,199.3,201.8,1501572.0,IBEX,1.8000000000000114,0.9,Friday,December,2023
2023-12-07,200.8,201.2,199.1,200.8,2447296.0,IBEX,0.0,0.0,Thursday,December,2023
2023-12-06,201.8,202.6,201.0,201.6,1895971.0,IBEX,-0.20000000000001705,-0.099,Wednesday,December,2023
