Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,5.86,5.95,5.8,5.95,381576.0,IBEX,0.08999999999999986,1.536,Monday,January,2024
2024-01-05,5.87,5.9,5.76,5.89,438535.0,IBEX,0.019999999999999574,0.341,Friday,January,2024
2024-01-04,5.78,5.89,5.76,5.88,329645.0,IBEX,0.09999999999999964,1.73,Thursday,January,2024
2024-01-03,5.91,5.94,5.8,5.8,473477.0,IBEX,-0.11000000000000032,-1.861,Wednesday,January,2024
2024-01-02,5.97,6.05,5.91,5.93,571937.0,IBEX,-0.040000000000000036,-0.67,Tuesday,January,2024
2023-12-29,5.98,5.99,5.93,5.96,396580.0,IBEX,-0.020000000000000462,-0.334,Friday,December,2023
2023-12-28,6.05,6.09,5.97,5.97,342186.0,IBEX,-0.08000000000000007,-1.322,Thursday,December,2023
2023-12-27,6.07,6.08,6.03,6.05,508683.0,IBEX,-0.020000000000000462,-0.329,Wednesday,December,2023
2023-12-22,6.12,6.14,6.06,6.09,615376.0,IBEX,-0.03000000000000025,-0.49,Friday,December,2023
2023-12-21,6.11,6.14,6.09,6.14,269008.0,IBEX,0.02999999999999936,0.491,Thursday,December,2023
2023-12-20,6.18,6.23,6.13,6.18,321333.0,IBEX,0.0,0.0,Wednesday,December,2023
2023-12-19,6.15,6.24,6.14,6.18,792340.0,IBEX,0.02999999999999936,0.488,Tuesday,December,2023
2023-12-18,6.26,6.27,6.09,6.15,627439.0,IBEX,-0.10999999999999943,-1.757,Monday,December,2023
2023-12-15,6.3,6.37,6.28,6.35,1162662.0,IBEX,0.04999999999999982,0.794,Friday,December,2023
2023-12-14,6.14,6.3,6.09,6.29,978302.0,IBEX,0.15000000000000036,2.443,Thursday,December,2023
2023-12-13,6.26,6.26,6.03,6.05,764242.0,IBEX,-0.20999999999999996,-3.355,Wednesday,December,2023
2023-12-12,6.2,6.28,6.2,6.26,665776.0,IBEX,0.05999999999999961,0.968,Tuesday,December,2023
2023-12-11,6.14,6.22,6.14,6.22,610424.0,IBEX,0.08000000000000007,1.303,Monday,December,2023
2023-12-08,6.03,6.15,6.01,6.15,599935.0,IBEX,0.1200000000000001,1.99,Friday,December,2023
2023-12-07,5.91,6.04,5.8,6.04,589291.0,IBEX,0.1299999999999999,2.2,Thursday,December,2023
2023-12-06,5.87,6.01,5.86,5.99,576103.0,IBEX,0.1200000000000001,2.044,Wednesday,December,2023
2023-12-05,5.82,5.87,5.8,5.86,483622.0,IBEX,0.040000000000000036,0.687,Tuesday,December,2023
2023-12-04,5.76,5.82,5.74,5.8,599160.0,IBEX,0.040000000000000036,0.694,Monday,December,2023
2023-12-01,5.63,5.76,5.63,5.74,483447.0,IBEX,0.11000000000000032,1.954,Friday,December,2023
2023-11-30,5.66,5.7,5.61,5.61,543971.0,IBEX,-0.04999999999999982,-0.883,Thursday,November,2023
2023-11-29,5.64,5.7,5.63,5.64,434401.0,IBEX,0.0,0.0,Wednesday,November,2023
2023-11-28,5.66,5.69,5.6,5.64,452425.0,IBEX,-0.020000000000000462,-0.353,Tuesday,November,2023
2023-11-27,5.68,5.73,5.66,5.66,312203.0,IBEX,-0.019999999999999574,-0.352,Monday,November,2023
2023-11-24,5.72,5.72,5.68,5.7,195254.0,IBEX,-0.019999999999999574,-0.35,Friday,November,2023
2023-11-23,5.8,5.8,5.69,5.72,377340.0,IBEX,-0.08000000000000007,-1.379,Thursday,November,2023
2023-11-22,5.7,5.8,5.7,5.8,493786.0,IBEX,0.09999999999999964,1.754,Wednesday,November,2023
2023-11-21,5.79,5.79,5.68,5.68,531159.0,IBEX,-0.11000000000000032,-1.9,Tuesday,November,2023
2023-11-20,5.68,5.78,5.63,5.74,780890.0,IBEX,0.0600000000000005,1.056,Monday,November,2023
2023-11-17,5.6,5.66,5.6,5.64,724858.0,IBEX,0.040000000000000036,0.714,Friday,November,2023
2023-11-16,5.63,5.65,5.55,5.57,658707.0,IBEX,-0.05999999999999961,-1.066,Thursday,November,2023
2023-11-15,5.45,5.64,5.43,5.63,1103108.0,IBEX,0.17999999999999972,3.303,Wednesday,November,2023
2023-11-14,5.34,5.47,5.34,5.46,1282071.0,IBEX,0.1200000000000001,2.247,Tuesday,November,2023
2023-11-13,5.38,5.41,5.33,5.35,577248.0,IBEX,-0.03000000000000025,-0.558,Monday,November,2023
2023-11-10,5.3,5.34,5.26,5.32,460655.0,IBEX,0.020000000000000462,0.377,Friday,November,2023
2023-11-09,5.31,5.39,5.28,5.35,517139.0,IBEX,0.040000000000000036,0.753,Thursday,November,2023
2023-11-08,5.28,5.36,5.27,5.31,565264.0,IBEX,0.02999999999999936,0.568,Wednesday,November,2023
2023-11-07,5.3,5.32,5.22,5.27,534007.0,IBEX,-0.03000000000000025,-0.566,Tuesday,November,2023
2023-11-06,5.34,5.37,5.3,5.3,528659.0,IBEX,-0.040000000000000036,-0.749,Monday,November,2023
2023-11-03,5.47,5.48,5.24,5.34,1544247.0,IBEX,-0.1299999999999999,-2.377,Friday,November,2023
2023-11-02,5.37,5.45,5.28,5.36,751212.0,IBEX,-0.009999999999999787,-0.186,Thursday,November,2023
2023-11-01,5.26,5.26,5.21,5.22,571771.0,IBEX,-0.040000000000000036,-0.76,Wednesday,November,2023
2023-10-31,5.28,5.35,5.21,5.24,527761.0,IBEX,-0.040000000000000036,-0.758,Tuesday,October,2023
2023-10-30,5.18,5.3,5.18,5.26,469744.0,IBEX,0.08000000000000007,1.544,Monday,October,2023
2023-10-27,5.2,5.24,5.14,5.17,551056.0,IBEX,-0.03000000000000025,-0.577,Friday,October,2023
2023-10-26,5.19,5.22,5.16,5.19,598495.0,IBEX,0.0,0.0,Thursday,October,2023
2023-10-25,5.15,5.26,5.13,5.26,908120.0,IBEX,0.10999999999999943,2.136,Wednesday,October,2023
2023-10-24,5.2,5.26,5.18,5.2,979238.0,IBEX,0.0,0.0,Tuesday,October,2023
2023-10-23,5.13,5.18,5.07,5.15,759191.0,IBEX,0.020000000000000462,0.39,Monday,October,2023
2023-10-20,5.23,5.28,5.14,5.15,1007019.0,IBEX,-0.08000000000000007,-1.53,Friday,October,2023
2023-10-19,5.34,5.36,5.26,5.28,626404.0,IBEX,-0.05999999999999961,-1.124,Thursday,October,2023
2023-10-18,5.53,5.53,5.37,5.38,491768.0,IBEX,-0.15000000000000036,-2.712,Wednesday,October,2023
2023-10-17,5.43,5.55,5.41,5.49,681933.0,IBEX,0.0600000000000005,1.105,Tuesday,October,2023
2023-10-16,5.39,5.46,5.33,5.43,618444.0,IBEX,0.040000000000000036,0.742,Monday,October,2023
2023-10-13,5.45,5.52,5.38,5.39,493201.0,IBEX,-0.0600000000000005,-1.101,Friday,October,2023
2023-10-12,5.61,5.61,5.49,5.49,556174.0,IBEX,-0.1200000000000001,-2.139,Thursday,October,2023
2023-10-11,5.6,5.66,5.57,5.58,558406.0,IBEX,-0.019999999999999574,-0.357,Wednesday,October,2023
2023-10-10,5.51,5.62,5.51,5.61,558489.0,IBEX,0.10000000000000053,1.815,Tuesday,October,2023
2023-10-09,5.5,5.52,5.4,5.43,585355.0,IBEX,-0.07000000000000028,-1.273,Monday,October,2023
2023-10-06,5.54,5.6,5.51,5.59,539635.0,IBEX,0.04999999999999982,0.903,Friday,October,2023
2023-10-05,5.55,5.59,5.51,5.52,673039.0,IBEX,-0.03000000000000025,-0.541,Thursday,October,2023
2023-10-04,5.49,5.53,5.41,5.49,733660.0,IBEX,0.0,0.0,Wednesday,October,2023
2023-10-03,5.74,5.74,5.51,5.52,858248.0,IBEX,-0.22000000000000064,-3.833,Tuesday,October,2023
2023-10-02,5.79,5.83,5.72,5.76,605346.0,IBEX,-0.03000000000000025,-0.518,Monday,October,2023
2023-09-29,5.8,5.88,5.76,5.76,558662.0,IBEX,-0.040000000000000036,-0.69,Friday,September,2023
2023-09-28,5.77,5.8,5.61,5.78,665370.0,IBEX,0.010000000000000675,0.173,Thursday,September,2023
2023-09-27,5.76,5.8,5.72,5.74,396296.0,IBEX,-0.019999999999999574,-0.347,Wednesday,September,2023
2023-09-26,5.74,5.79,5.7,5.74,445281.0,IBEX,0.0,0.0,Tuesday,September,2023
2023-09-25,5.93,5.93,5.74,5.78,708346.0,IBEX,-0.14999999999999947,-2.53,Monday,September,2023
2023-09-22,6.02,6.03,5.93,5.94,457757.0,IBEX,-0.07999999999999918,-1.329,Friday,September,2023
2023-09-21,6.05,6.07,5.97,5.99,610849.0,IBEX,-0.05999999999999961,-0.992,Thursday,September,2023
2023-09-20,6.06,6.2,6.06,6.14,410501.0,IBEX,0.08000000000000007,1.32,Wednesday,September,2023
2023-09-19,6.07,6.14,6.07,6.07,258413.0,IBEX,0.0,0.0,Tuesday,September,2023
2023-09-18,6.23,6.23,6.09,6.11,359743.0,IBEX,-0.1200000000000001,-1.926,Monday,September,2023
2023-09-15,6.29,6.32,6.22,6.24,464210.0,IBEX,-0.04999999999999982,-0.795,Friday,September,2023
2023-09-14,6.21,6.25,6.14,6.25,495011.0,IBEX,0.040000000000000036,0.644,Thursday,September,2023
2023-09-13,6.13,6.22,6.12,6.2,596621.0,IBEX,0.07000000000000028,1.142,Wednesday,September,2023
2023-09-12,6.11,6.17,6.09,6.13,513579.0,IBEX,0.019999999999999574,0.327,Tuesday,September,2023
2023-09-11,6.03,6.11,6.03,6.05,381028.0,IBEX,0.019999999999999574,0.332,Monday,September,2023
2023-09-08,5.91,6.02,5.91,6.01,417532.0,IBEX,0.09999999999999964,1.692,Friday,September,2023
2023-09-07,5.91,6.0,5.9,5.92,379845.0,IBEX,0.009999999999999787,0.169,Thursday,September,2023
2023-09-06,5.98,6.0,5.91,5.91,408252.0,IBEX,-0.07000000000000028,-1.171,Wednesday,September,2023
2023-09-05,5.98,6.06,5.97,5.99,377891.0,IBEX,0.009999999999999787,0.167,Tuesday,September,2023
2023-09-04,6.05,6.08,6.0,6.0,352014.0,IBEX,-0.04999999999999982,-0.826,Monday,September,2023
2023-09-01,6.07,6.14,6.03,6.04,390116.0,IBEX,-0.03000000000000025,-0.494,Friday,September,2023
2023-08-31,6.05,6.15,6.01,6.03,543533.0,IBEX,-0.019999999999999574,-0.331,Thursday,August,2023
2023-08-30,6.14,6.2,6.11,6.11,331884.0,IBEX,-0.02999999999999936,-0.489,Wednesday,August,2023
2023-08-29,6.07,6.16,6.01,6.14,453999.0,IBEX,0.0699999999999994,1.153,Tuesday,August,2023
2023-08-28,5.94,6.0,5.94,6.0,64107.0,IBEX,0.05999999999999961,1.01,Monday,August,2023
2023-08-25,6.03,6.04,5.91,5.93,643655.0,IBEX,-0.10000000000000053,-1.658,Friday,August,2023
2023-08-24,6.14,6.18,6.03,6.03,364713.0,IBEX,-0.10999999999999943,-1.792,Thursday,August,2023
2023-08-23,6.05,6.1,6.03,6.1,385022.0,IBEX,0.04999999999999982,0.826,Wednesday,August,2023
2023-08-22,6.1,6.14,6.07,6.08,381976.0,IBEX,-0.019999999999999574,-0.328,Tuesday,August,2023
2023-08-21,6.11,6.18,6.08,6.09,276729.0,IBEX,-0.020000000000000462,-0.327,Monday,August,2023
2023-08-18,6.1,6.16,6.04,6.09,459846.0,IBEX,-0.009999999999999787,-0.164,Friday,August,2023
2023-08-17,6.2,6.24,6.12,6.12,309742.0,IBEX,-0.08000000000000007,-1.29,Thursday,August,2023
2023-08-16,6.24,6.28,6.2,6.22,252894.0,IBEX,-0.020000000000000462,-0.321,Wednesday,August,2023
2023-08-15,6.28,6.34,6.23,6.26,329552.0,IBEX,-0.020000000000000462,-0.318,Tuesday,August,2023
2023-08-14,6.3,6.34,6.27,6.28,372906.0,IBEX,-0.019999999999999574,-0.317,Monday,August,2023
2023-08-11,6.39,6.41,6.34,6.34,325411.0,IBEX,-0.04999999999999982,-0.782,Friday,August,2023
2023-08-10,6.41,6.47,6.39,6.39,461545.0,IBEX,-0.020000000000000462,-0.312,Thursday,August,2023
2023-08-09,6.44,6.47,6.36,6.38,414232.0,IBEX,-0.0600000000000005,-0.932,Wednesday,August,2023
2023-08-08,6.36,6.43,6.32,6.39,505090.0,IBEX,0.02999999999999936,0.472,Tuesday,August,2023
2023-08-07,6.36,6.39,6.28,6.36,312569.0,IBEX,0.0,0.0,Monday,August,2023
2023-08-04,6.32,6.36,6.24,6.34,388529.0,IBEX,0.019999999999999574,0.316,Friday,August,2023
2023-08-03,6.36,6.38,6.18,6.25,701853.0,IBEX,-0.11000000000000032,-1.73,Thursday,August,2023
2023-08-02,6.57,6.58,6.3,6.38,1729583.0,IBEX,-0.1900000000000004,-2.892,Wednesday,August,2023
2023-08-01,6.7,6.89,6.68,6.68,1419415.0,IBEX,-0.020000000000000462,-0.299,Tuesday,August,2023
2023-07-31,6.54,6.76,6.53,6.68,1307354.0,IBEX,0.13999999999999968,2.141,Monday,July,2023
2023-07-28,6.44,6.54,6.4,6.53,559864.0,IBEX,0.08999999999999986,1.398,Friday,July,2023
2023-07-27,6.4,6.48,6.34,6.47,411912.0,IBEX,0.0699999999999994,1.094,Thursday,July,2023
2023-07-26,6.31,6.36,6.28,6.35,286020.0,IBEX,0.040000000000000036,0.634,Wednesday,July,2023
2023-07-25,6.32,6.39,6.32,6.33,288890.0,IBEX,0.009999999999999787,0.158,Tuesday,July,2023
2023-07-24,6.32,6.37,6.3,6.36,426844.0,IBEX,0.040000000000000036,0.633,Monday,July,2023
2023-07-21,6.47,6.49,6.38,6.43,491112.0,IBEX,-0.040000000000000036,-0.618,Friday,July,2023
2023-07-20,6.46,6.46,6.4,6.44,393088.0,IBEX,-0.019999999999999574,-0.31,Thursday,July,2023
2023-07-19,6.45,6.55,6.44,6.46,330424.0,IBEX,0.009999999999999787,0.155,Wednesday,July,2023
2023-07-18,6.49,6.53,6.45,6.47,314073.0,IBEX,-0.020000000000000462,-0.308,Tuesday,July,2023
2023-07-17,6.53,6.59,6.49,6.52,342264.0,IBEX,-0.010000000000000675,-0.153,Monday,July,2023
2023-07-14,6.47,6.55,6.43,6.54,448218.0,IBEX,0.07000000000000028,1.082,Friday,July,2023
2023-07-13,6.57,6.58,6.47,6.52,593484.0,IBEX,-0.05000000000000071,-0.761,Thursday,July,2023
2023-07-12,6.57,6.6,6.47,6.58,705184.0,IBEX,0.009999999999999787,0.152,Wednesday,July,2023
2023-07-11,6.43,6.59,6.42,6.58,956146.0,IBEX,0.15000000000000036,2.333,Tuesday,July,2023
2023-07-10,6.18,6.45,6.12,6.43,761350.0,IBEX,0.25,4.045,Monday,July,2023
2023-07-07,6.04,6.16,6.03,6.16,620339.0,IBEX,0.1200000000000001,1.987,Friday,July,2023
2023-07-06,6.21,6.25,6.01,6.02,595419.0,IBEX,-0.1900000000000004,-3.06,Thursday,July,2023
2023-07-05,6.3,6.33,6.22,6.26,531279.0,IBEX,-0.040000000000000036,-0.635,Wednesday,July,2023
2023-07-04,6.38,6.41,6.34,6.38,319025.0,IBEX,0.0,0.0,Tuesday,July,2023
2023-07-03,6.39,6.39,6.3,6.36,410246.0,IBEX,-0.02999999999999936,-0.469,Monday,July,2023
2023-06-30,6.35,6.39,6.3,6.35,499815.0,IBEX,0.0,0.0,Friday,June,2023
2023-06-29,6.35,6.4,6.29,6.32,561367.0,IBEX,-0.02999999999999936,-0.472,Thursday,June,2023
2023-06-28,6.32,6.36,6.26,6.34,633182.0,IBEX,0.019999999999999574,0.316,Wednesday,June,2023
2023-06-27,6.26,6.3,6.22,6.3,436324.0,IBEX,0.040000000000000036,0.639,Tuesday,June,2023
2023-06-26,6.2,6.28,6.16,6.23,376052.0,IBEX,0.03000000000000025,0.484,Monday,June,2023
2023-06-23,6.29,6.41,6.16,6.22,761068.0,IBEX,-0.07000000000000028,-1.113,Friday,June,2023
2023-06-22,6.11,6.41,6.06,6.35,990315.0,IBEX,0.23999999999999932,3.928,Thursday,June,2023
2023-06-21,6.3,6.3,6.14,6.16,726003.0,IBEX,-0.13999999999999968,-2.222,Wednesday,June,2023
2023-06-20,6.34,6.37,6.3,6.32,371123.0,IBEX,-0.019999999999999574,-0.315,Tuesday,June,2023
2023-06-19,6.4,6.41,6.35,6.35,635023.0,IBEX,-0.05000000000000071,-0.781,Monday,June,2023
2023-06-16,6.48,6.51,6.34,6.41,866706.0,IBEX,-0.07000000000000028,-1.08,Friday,June,2023
2023-06-15,6.42,6.49,6.42,6.48,609174.0,IBEX,0.0600000000000005,0.935,Thursday,June,2023
2023-06-14,6.39,6.47,6.34,6.43,548415.0,IBEX,0.040000000000000036,0.626,Wednesday,June,2023
2023-06-13,6.48,6.48,6.34,6.38,743127.0,IBEX,-0.10000000000000053,-1.543,Tuesday,June,2023
2023-06-12,6.36,6.46,6.36,6.43,830096.0,IBEX,0.0699999999999994,1.101,Monday,June,2023
2023-06-09,6.24,6.36,6.22,6.34,687338.0,IBEX,0.09999999999999964,1.603,Friday,June,2023
2023-06-08,6.14,6.24,6.13,6.23,545038.0,IBEX,0.09000000000000075,1.466,Thursday,June,2023
2023-06-07,6.2,6.22,6.14,6.18,557771.0,IBEX,-0.020000000000000462,-0.323,Wednesday,June,2023
2023-06-06,6.11,6.22,6.07,6.2,531744.0,IBEX,0.08999999999999986,1.473,Tuesday,June,2023
2023-06-05,6.21,6.24,6.11,6.14,681689.0,IBEX,-0.07000000000000028,-1.127,Monday,June,2023
2023-06-02,6.15,6.19,6.09,6.18,862421.0,IBEX,0.02999999999999936,0.488,Friday,June,2023
2023-06-01,6.01,6.14,5.98,6.08,1035094.0,IBEX,0.07000000000000028,1.165,Thursday,June,2023
2023-05-31,5.85,6.07,5.85,5.93,1158078.0,IBEX,0.08000000000000007,1.368,Wednesday,May,2023
2023-05-30,5.84,5.99,5.8,5.93,689652.0,IBEX,0.08999999999999986,1.541,Tuesday,May,2023
2023-05-29,5.95,5.96,5.82,5.83,431064.0,IBEX,-0.1200000000000001,-2.017,Monday,May,2023
2023-05-26,5.86,5.92,5.81,5.91,591337.0,IBEX,0.04999999999999982,0.853,Friday,May,2023
