Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,9.52,9.64,9.42,9.6,511390.0,IBEX,0.08000000000000007,0.84,Monday,January,2024
2024-01-05,9.81,9.85,9.65,9.72,735326.0,IBEX,-0.08999999999999986,-0.917,Friday,January,2024
2024-01-04,9.9,9.95,9.81,9.88,424159.0,IBEX,-0.019999999999999574,-0.202,Thursday,January,2024
2024-01-03,9.98,10.03,9.82,9.85,725681.0,IBEX,-0.13000000000000078,-1.303,Wednesday,January,2024
2024-01-02,10.0,10.14,9.98,9.98,605770.0,IBEX,-0.019999999999999574,-0.2,Tuesday,January,2024
2023-12-29,10.12,10.16,10.05,10.06,304127.0,IBEX,-0.05999999999999872,-0.593,Friday,December,2023
2023-12-28,10.09,10.15,10.05,10.1,413002.0,IBEX,0.009999999999999787,0.099,Thursday,December,2023
2023-12-27,10.02,10.13,10.02,10.12,395933.0,IBEX,0.09999999999999964,0.998,Wednesday,December,2023
2023-12-22,9.93,10.09,9.93,10.06,287114.0,IBEX,0.13000000000000078,1.309,Friday,December,2023
2023-12-21,9.99,10.07,9.99,10.02,299370.0,IBEX,0.02999999999999936,0.3,Thursday,December,2023
2023-12-20,9.99,10.13,9.91,10.09,722697.0,IBEX,0.09999999999999964,1.001,Wednesday,December,2023
2023-12-19,9.88,10.01,9.88,9.98,753265.0,IBEX,0.09999999999999964,1.012,Tuesday,December,2023
2023-12-18,9.85,9.94,9.78,9.86,853231.0,IBEX,0.009999999999999787,0.102,Monday,December,2023
2023-12-15,10.05,10.18,9.84,9.89,3208910.0,IBEX,-0.16000000000000014,-1.592,Friday,December,2023
2023-12-14,9.77,10.07,9.76,10.04,1464147.0,IBEX,0.2699999999999996,2.764,Thursday,December,2023
2023-12-13,9.42,9.52,9.41,9.48,521977.0,IBEX,0.0600000000000005,0.637,Wednesday,December,2023
2023-12-12,9.71,9.73,9.39,9.43,912623.0,IBEX,-0.28000000000000114,-2.884,Tuesday,December,2023
2023-12-11,9.64,9.76,9.63,9.7,882161.0,IBEX,0.05999999999999872,0.622,Monday,December,2023
2023-12-08,9.65,9.7,9.52,9.62,620967.0,IBEX,-0.030000000000001137,-0.311,Friday,December,2023
2023-12-07,9.66,9.7,9.6,9.65,926816.0,IBEX,-0.009999999999999787,-0.104,Thursday,December,2023
2023-12-06,9.73,9.76,9.64,9.74,718417.0,IBEX,0.009999999999999787,0.103,Wednesday,December,2023
2023-12-05,9.38,9.73,9.37,9.7,1206534.0,IBEX,0.3199999999999985,3.412,Tuesday,December,2023
2023-12-04,9.37,9.44,9.33,9.38,643390.0,IBEX,0.010000000000001563,0.107,Monday,December,2023
2023-12-01,9.28,9.37,9.23,9.37,634080.0,IBEX,0.08999999999999986,0.97,Friday,December,2023
2023-11-30,9.29,9.31,9.19,9.26,1622008.0,IBEX,-0.02999999999999936,-0.323,Thursday,November,2023
2023-11-29,9.16,9.34,9.15,9.26,1610260.0,IBEX,0.09999999999999964,1.092,Wednesday,November,2023
2023-11-28,9.14,9.18,8.97,9.15,1661178.0,IBEX,0.009999999999999787,0.109,Tuesday,November,2023
2023-11-27,8.61,8.8,8.59,8.8,966662.0,IBEX,0.19000000000000128,2.207,Monday,November,2023
2023-11-24,8.69,8.7,8.57,8.61,432622.0,IBEX,-0.08000000000000007,-0.921,Friday,November,2023
2023-11-23,8.93,8.93,8.79,8.82,578640.0,IBEX,-0.10999999999999943,-1.232,Thursday,November,2023
2023-11-22,8.75,8.93,8.74,8.87,740480.0,IBEX,0.11999999999999922,1.371,Wednesday,November,2023
2023-11-21,9.0,9.02,8.67,8.67,944963.0,IBEX,-0.33000000000000007,-3.667,Tuesday,November,2023
2023-11-20,8.91,8.99,8.9,8.98,654811.0,IBEX,0.07000000000000028,0.786,Monday,November,2023
2023-11-17,8.78,8.99,8.78,8.96,2060168.0,IBEX,0.1800000000000015,2.05,Friday,November,2023
2023-11-16,8.75,8.81,8.69,8.69,516721.0,IBEX,-0.0600000000000005,-0.686,Thursday,November,2023
2023-11-15,8.84,8.93,8.73,8.75,773052.0,IBEX,-0.08999999999999986,-1.018,Wednesday,November,2023
2023-11-14,8.41,8.88,8.39,8.81,1687841.0,IBEX,0.40000000000000036,4.756,Tuesday,November,2023
2023-11-13,8.43,8.45,8.34,8.35,573907.0,IBEX,-0.08000000000000007,-0.949,Monday,November,2023
2023-11-10,8.44,8.44,8.27,8.38,985408.0,IBEX,-0.05999999999999872,-0.711,Friday,November,2023
2023-11-09,8.36,8.54,8.34,8.51,390931.0,IBEX,0.15000000000000036,1.794,Thursday,November,2023
2023-11-08,8.44,8.53,8.39,8.42,893287.0,IBEX,-0.019999999999999574,-0.237,Wednesday,November,2023
2023-11-07,8.25,8.47,8.24,8.45,945328.0,IBEX,0.1999999999999993,2.424,Tuesday,November,2023
