Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,25.3,25.47,25.09,25.41,71663.0,IBEX,0.10999999999999943,0.435,Monday,January,2024
2024-01-05,25.33,25.51,25.02,25.41,153215.0,IBEX,0.08000000000000185,0.316,Friday,January,2024
2024-01-04,25.36,25.69,25.36,25.51,195655.0,IBEX,0.15000000000000213,0.591,Thursday,January,2024
2024-01-03,25.69,25.75,25.05,25.37,269375.0,IBEX,-0.3200000000000003,-1.246,Wednesday,January,2024
2024-01-02,25.81,26.11,25.58,25.81,468337.0,IBEX,0.0,0.0,Tuesday,January,2024
2023-12-29,25.88,25.99,25.62,25.67,168227.0,IBEX,-0.2099999999999973,-0.811,Friday,December,2023
2023-12-28,26.03,26.12,25.82,25.88,187739.0,IBEX,-0.15000000000000213,-0.576,Thursday,December,2023
2023-12-27,26.08,26.15,25.92,25.94,182159.0,IBEX,-0.13999999999999702,-0.537,Wednesday,December,2023
2023-12-22,26.0,26.15,25.83,26.09,170203.0,IBEX,0.08999999999999986,0.346,Friday,December,2023
2023-12-21,26.1,26.17,25.78,25.95,201482.0,IBEX,-0.15000000000000213,-0.575,Thursday,December,2023
2023-12-20,26.33,26.41,26.1,26.2,234775.0,IBEX,-0.129999999999999,-0.494,Wednesday,December,2023
2023-12-19,26.05,26.33,25.94,26.19,368994.0,IBEX,0.14000000000000057,0.537,Tuesday,December,2023
2023-12-18,24.75,26.33,24.75,26.29,883393.0,IBEX,1.5399999999999991,6.222,Monday,December,2023
2023-12-15,24.84,25.1,24.76,24.98,522927.0,IBEX,0.14000000000000057,0.564,Friday,December,2023
2023-12-14,24.45,24.99,24.45,24.69,465905.0,IBEX,0.240000000000002,0.982,Thursday,December,2023
2023-12-13,23.96,24.22,23.8,24.01,219220.0,IBEX,0.05000000000000071,0.209,Wednesday,December,2023
2023-12-12,24.05,24.7,23.88,23.97,323514.0,IBEX,-0.08000000000000185,-0.333,Tuesday,December,2023
2023-12-11,23.55,23.99,23.49,23.94,192326.0,IBEX,0.39000000000000057,1.656,Monday,December,2023
2023-12-08,23.66,23.97,23.6,23.73,172531.0,IBEX,0.07000000000000028,0.296,Friday,December,2023
2023-12-07,23.4,23.67,23.25,23.58,149700.0,IBEX,0.17999999999999972,0.769,Thursday,December,2023
2023-12-06,23.68,23.86,23.58,23.58,191792.0,IBEX,-0.10000000000000142,-0.422,Wednesday,December,2023
