Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,26.94,27.08,26.8,27.04,202302.0,IBEX,0.09999999999999787,0.371,Monday,January,2024
2024-01-05,26.96,27.12,26.82,27.06,276531.0,IBEX,0.09999999999999787,0.371,Friday,January,2024
2024-01-04,26.8,27.1,26.8,27.1,601158.0,IBEX,0.3000000000000007,1.119,Thursday,January,2024
2024-01-03,26.92,27.1,26.64,26.76,490915.0,IBEX,-0.16000000000000014,-0.594,Wednesday,January,2024
2024-01-02,27.0,27.18,26.86,27.02,354143.0,IBEX,0.019999999999999574,0.074,Tuesday,January,2024
2023-12-29,26.98,27.04,26.88,27.0,217750.0,IBEX,0.019999999999999574,0.074,Friday,December,2023
2023-12-28,27.0,27.02,26.84,26.9,177787.0,IBEX,-0.10000000000000142,-0.37,Thursday,December,2023
2023-12-27,27.12,27.14,26.88,27.0,165165.0,IBEX,-0.120000000000001,-0.442,Wednesday,December,2023
2023-12-22,27.0,27.16,26.98,27.08,119772.0,IBEX,0.0799999999999983,0.296,Friday,December,2023
2023-12-21,26.96,27.1,26.94,27.0,197134.0,IBEX,0.03999999999999915,0.148,Thursday,December,2023
2023-12-20,27.06,27.12,26.94,27.08,275197.0,IBEX,0.019999999999999574,0.074,Wednesday,December,2023
2023-12-19,27.26,27.28,26.94,27.0,332232.0,IBEX,-0.26000000000000156,-0.954,Tuesday,December,2023
2023-12-18,27.62,27.62,27.18,27.22,293669.0,IBEX,-0.40000000000000213,-1.448,Monday,December,2023
2023-12-15,28.06,28.14,27.52,27.76,933363.0,IBEX,-0.29999999999999716,-1.069,Friday,December,2023
2023-12-14,28.26,28.44,27.9,28.08,342200.0,IBEX,-0.18000000000000327,-0.637,Thursday,December,2023
2023-12-13,27.8,28.02,27.72,28.0,250245.0,IBEX,0.1999999999999993,0.719,Wednesday,December,2023
2023-12-12,27.86,28.1,27.78,27.8,295312.0,IBEX,-0.05999999999999872,-0.215,Tuesday,December,2023
2023-12-11,28.04,28.1,27.52,27.86,219098.0,IBEX,-0.17999999999999972,-0.642,Monday,December,2023
2023-12-08,27.78,28.12,27.78,28.12,251522.0,IBEX,0.33999999999999986,1.224,Friday,December,2023
2023-12-07,27.9,28.04,27.78,27.9,175910.0,IBEX,0.0,0.0,Thursday,December,2023
2023-12-06,27.76,28.16,27.76,28.02,379284.0,IBEX,0.259999999999998,0.937,Wednesday,December,2023
2023-12-05,27.68,27.84,27.58,27.74,219607.0,IBEX,0.05999999999999872,0.217,Tuesday,December,2023
2023-12-04,27.42,27.74,27.42,27.68,151542.0,IBEX,0.259999999999998,0.948,Monday,December,2023
2023-12-01,27.54,27.54,27.28,27.48,233397.0,IBEX,-0.05999999999999872,-0.218,Friday,December,2023
2023-11-30,27.22,27.68,27.2,27.42,1370519.0,IBEX,0.20000000000000284,0.735,Thursday,November,2023
