Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,14.94,15.02,14.85,14.94,582844.0,IBEX,0.0,0.0,Monday,January,2024
2024-01-05,14.94,15.05,14.76,14.88,810559.0,IBEX,-0.05999999999999872,-0.402,Friday,January,2024
2024-01-04,14.69,15.02,14.69,15.02,1269528.0,IBEX,0.33000000000000007,2.246,Thursday,January,2024
2024-01-03,14.7,14.86,14.66,14.7,1109504.0,IBEX,0.0,0.0,Wednesday,January,2024
2024-01-02,15.0,15.02,14.8,14.92,1305733.0,IBEX,-0.08000000000000007,-0.533,Tuesday,January,2024
2023-12-29,14.91,14.94,14.88,14.91,608276.0,IBEX,0.0,0.0,Friday,December,2023
2023-12-28,14.95,15.0,14.91,14.91,476348.0,IBEX,-0.03999999999999915,-0.268,Thursday,December,2023
2023-12-27,14.96,15.05,14.91,14.94,1434091.0,IBEX,-0.02000000000000135,-0.134,Wednesday,December,2023
2023-12-22,14.91,15.03,14.91,14.99,504831.0,IBEX,0.08000000000000007,0.537,Friday,December,2023
2023-12-21,14.9,14.98,14.89,14.94,526975.0,IBEX,0.03999999999999915,0.268,Thursday,December,2023
2023-12-20,15.04,15.1,14.9,14.94,947066.0,IBEX,-0.09999999999999964,-0.665,Wednesday,December,2023
2023-12-19,15.19,15.27,15.01,15.02,2114153.0,IBEX,-0.16999999999999993,-1.119,Tuesday,December,2023
2023-12-18,15.27,15.41,15.18,15.19,1167452.0,IBEX,-0.08000000000000007,-0.524,Monday,December,2023
2023-12-15,15.32,15.4,15.26,15.31,2589437.0,IBEX,-0.009999999999999787,-0.065,Friday,December,2023
2023-12-14,15.49,15.55,15.35,15.36,1418397.0,IBEX,-0.13000000000000078,-0.839,Thursday,December,2023
2023-12-13,15.27,15.36,15.23,15.31,2156010.0,IBEX,0.040000000000000924,0.262,Wednesday,December,2023
2023-12-12,15.33,15.39,15.27,15.27,992227.0,IBEX,-0.0600000000000005,-0.391,Tuesday,December,2023
