Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,370.0,373.2,367.8,373.2,6599839.0,IBEX,3.1999999999999886,0.865,Monday,January,2024
2024-01-05,368.9,370.3,366.2,369.4,7652701.0,IBEX,0.5,0.136,Friday,January,2024
2024-01-04,365.0,370.1,365.0,369.8,20064639.0,IBEX,4.800000000000011,1.315,Thursday,January,2024
2024-01-03,363.2,369.0,363.2,364.1,9249503.0,IBEX,0.9000000000000341,0.248,Wednesday,January,2024
2024-01-02,355.3,363.3,354.1,362.8,9384486.0,IBEX,7.5,2.111,Tuesday,January,2024
2023-12-29,353.8,354.6,352.5,353.4,10371336.0,IBEX,-0.4000000000000341,-0.113,Friday,December,2023
2023-12-28,356.0,357.0,353.0,354.0,11914342.0,IBEX,-2.0,-0.562,Thursday,December,2023
2023-12-27,357.0,359.0,355.5,357.1,18684872.0,IBEX,0.10000000000002274,0.028,Wednesday,December,2023
2023-12-22,362.0,365.0,357.1,358.4,12002044.0,IBEX,-3.6000000000000227,-0.994,Friday,December,2023
2023-12-21,365.4,368.5,361.5,362.3,10422066.0,IBEX,-3.099999999999966,-0.848,Thursday,December,2023
2023-12-20,382.0,382.0,364.6,367.9,34212914.0,IBEX,-14.100000000000023,-3.691,Wednesday,December,2023
2023-12-19,359.4,360.6,355.6,356.5,51880807.0,IBEX,-2.8999999999999773,-0.807,Tuesday,December,2023
2023-12-18,361.3,363.6,358.1,359.2,28447731.0,IBEX,-2.1000000000000227,-0.581,Monday,December,2023
2023-12-15,368.2,369.0,361.9,362.5,75699934.0,IBEX,-5.699999999999989,-1.548,Friday,December,2023
2023-12-14,369.6,374.4,368.0,368.2,56461447.0,IBEX,-1.400000000000034,-0.379,Thursday,December,2023
2023-12-13,378.9,378.9,365.2,367.1,24620215.0,IBEX,-11.799999999999955,-3.114,Wednesday,December,2023
2023-12-12,386.7,387.0,378.4,380.0,35050767.0,IBEX,-6.699999999999989,-1.733,Tuesday,December,2023
2023-12-11,402.5,404.0,399.8,401.7,35702191.0,IBEX,-0.8000000000000114,-0.199,Monday,December,2023
2023-12-08,402.0,402.7,400.1,400.3,10904185.0,IBEX,-1.6999999999999886,-0.423,Friday,December,2023
2023-12-07,404.6,406.1,400.5,402.2,57048390.0,IBEX,-2.400000000000034,-0.593,Thursday,December,2023
2023-12-06,405.0,407.5,403.3,404.6,30983456.0,IBEX,-0.39999999999997726,-0.099,Wednesday,December,2023
2023-12-05,401.6,404.7,400.4,403.3,78063249.0,IBEX,1.6999999999999886,0.423,Tuesday,December,2023
2023-12-04,401.1,402.0,399.1,401.6,19221014.0,IBEX,0.5,0.125,Monday,December,2023
2023-12-01,396.0,401.6,396.0,400.6,17956777.0,IBEX,4.600000000000023,1.162,Friday,December,2023
2023-11-30,389.5,395.4,388.7,395.4,46712857.0,IBEX,5.899999999999977,1.515,Thursday,November,2023
2023-11-29,386.4,390.0,384.7,388.8,10394322.0,IBEX,2.400000000000034,0.621,Wednesday,November,2023
2023-11-28,383.5,386.0,381.6,386.0,10487611.0,IBEX,2.5,0.652,Tuesday,November,2023
2023-11-27,383.4,385.9,382.3,384.0,9296511.0,IBEX,0.6000000000000227,0.156,Monday,November,2023
2023-11-24,384.0,384.2,380.7,382.9,7427236.0,IBEX,-1.1000000000000227,-0.286,Friday,November,2023
2023-11-23,382.3,385.1,381.0,383.8,9360900.0,IBEX,1.5,0.392,Thursday,November,2023
2023-11-22,379.6,383.9,378.7,382.4,9342740.0,IBEX,2.7999999999999545,0.738,Wednesday,November,2023
2023-11-21,382.0,382.0,376.7,378.2,8522179.0,IBEX,-3.8000000000000114,-0.995,Tuesday,November,2023
2023-11-20,375.3,380.2,375.3,379.9,9110071.0,IBEX,4.599999999999966,1.226,Monday,November,2023
2023-11-17,373.5,376.6,372.6,375.3,20537664.0,IBEX,1.8000000000000114,0.482,Friday,November,2023
2023-11-16,371.8,374.3,371.5,372.0,8472877.0,IBEX,0.19999999999998863,0.054,Thursday,November,2023
2023-11-15,374.0,376.2,370.5,371.1,10222362.0,IBEX,-2.8999999999999773,-0.775,Wednesday,November,2023
2023-11-14,375.0,376.4,372.7,373.7,7887766.0,IBEX,-1.3000000000000114,-0.347,Tuesday,November,2023
2023-11-13,374.1,375.8,372.5,375.0,9210234.0,IBEX,0.8999999999999773,0.241,Monday,November,2023
2023-11-10,369.0,374.1,368.3,370.6,7531303.0,IBEX,1.6000000000000227,0.434,Friday,November,2023
2023-11-09,370.4,372.8,365.5,369.1,10834424.0,IBEX,-1.2999999999999545,-0.351,Thursday,November,2023
2023-11-08,368.2,383.0,362.3,368.8,21858006.0,IBEX,0.6000000000000227,0.163,Wednesday,November,2023
