Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,92.55,93.95,92.3,93.75,6043142.0,IBEX,1.2000000000000028,1.297,Monday,January,2024
2024-01-05,92.05,92.55,91.05,92.35,8425454.0,IBEX,0.29999999999999716,0.326,Friday,January,2024
2024-01-04,90.0,92.15,90.0,92.05,6153224.0,IBEX,2.049999999999997,2.278,Thursday,January,2024
2024-01-03,92.0,92.55,90.3,90.4,5482839.0,IBEX,-1.5999999999999943,-1.739,Wednesday,January,2024
2024-01-02,90.0,91.95,90.0,91.45,15794031.0,IBEX,1.4500000000000028,1.611,Tuesday,January,2024
2023-12-29,89.0,89.5,88.85,89.0,5089830.0,IBEX,0.0,0.0,Friday,December,2023
2023-12-28,90.7,90.7,88.7,89.15,7226033.0,IBEX,-1.5499999999999972,-1.709,Thursday,December,2023
2023-12-27,89.45,90.6,89.1,90.45,6205449.0,IBEX,1.0,1.118,Wednesday,December,2023
2023-12-22,90.2,90.55,89.3,89.5,4724890.0,IBEX,-0.7000000000000028,-0.776,Friday,December,2023
2023-12-21,89.65,90.25,89.1,90.0,6863226.0,IBEX,0.3499999999999943,0.39,Thursday,December,2023
2023-12-20,91.0,91.2,89.6,89.9,9441143.0,IBEX,-1.0999999999999943,-1.209,Wednesday,December,2023
2023-12-19,90.2,90.8,90.0,90.75,12622465.0,IBEX,0.5499999999999972,0.61,Tuesday,December,2023
2023-12-18,91.85,92.1,90.55,90.75,9358059.0,IBEX,-1.0999999999999943,-1.198,Monday,December,2023
2023-12-15,93.0,93.25,91.6,91.85,21304849.0,IBEX,-1.1500000000000057,-1.237,Friday,December,2023
2023-12-14,94.65,94.65,92.25,92.8,8787549.0,IBEX,-1.8500000000000085,-1.955,Thursday,December,2023
2023-12-13,93.9,94.55,93.4,93.5,12480034.0,IBEX,-0.4000000000000057,-0.426,Wednesday,December,2023
2023-12-12,96.35,96.55,94.0,94.0,12546195.0,IBEX,-2.3499999999999943,-2.439,Tuesday,December,2023
2023-12-11,97.0,97.6,95.85,96.35,12978312.0,IBEX,-0.6500000000000057,-0.67,Monday,December,2023
2023-12-08,98.35,98.35,96.85,98.05,6863235.0,IBEX,-0.29999999999999716,-0.305,Friday,December,2023
