Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,58.47,59.5,58.39,59.38,1033238.0,N100,0.9100000000000037,1.556,Monday,January,2024
2024-01-05,58.26,58.91,58.16,58.86,1236000.0,N100,0.6000000000000014,1.03,Friday,January,2024
2024-01-04,58.36,58.92,58.3,58.81,1009526.0,N100,0.45000000000000284,0.771,Thursday,January,2024
2024-01-03,58.64,59.34,58.24,58.37,1247000.0,N100,-0.2700000000000031,-0.46,Wednesday,January,2024
2024-01-02,58.72,58.95,58.17,58.77,1049145.0,N100,0.05000000000000426,0.085,Tuesday,January,2024
2023-12-29,58.33,58.65,58.29,58.42,626355.0,N100,0.09000000000000341,0.154,Friday,December,2023
2023-12-28,58.4,58.58,58.27,58.37,669909.0,N100,-0.030000000000001137,-0.051,Thursday,December,2023
2023-12-27,58.2,58.52,58.1,58.31,736083.0,N100,0.10999999999999943,0.189,Wednesday,December,2023
2023-12-22,57.49,58.49,57.48,58.39,888309.0,N100,0.8999999999999986,1.565,Friday,December,2023
2023-12-21,57.63,57.87,57.3,57.6,968078.0,N100,-0.030000000000001137,-0.052,Thursday,December,2023
2023-12-20,57.89,58.39,57.87,58.08,1082081.0,N100,0.18999999999999773,0.328,Wednesday,December,2023
2023-12-19,57.47,57.86,57.41,57.76,1012781.0,N100,0.28999999999999915,0.505,Tuesday,December,2023
2023-12-18,57.16,57.38,56.9,57.38,959018.0,N100,0.22000000000000597,0.385,Monday,December,2023
2023-12-15,57.45,57.62,57.16,57.53,2869166.0,N100,0.0799999999999983,0.139,Friday,December,2023
2023-12-14,58.51,58.61,56.93,57.52,1607177.0,N100,-0.9899999999999949,-1.692,Thursday,December,2023
2023-12-13,58.14,58.37,57.36,57.42,1742838.0,N100,-0.7199999999999989,-1.238,Wednesday,December,2023
2023-12-12,58.52,59.35,58.5,58.66,1417749.0,N100,0.13999999999999346,0.239,Tuesday,December,2023
2023-12-11,58.57,58.66,58.29,58.56,1099132.0,N100,-0.00999999999999801,-0.017,Monday,December,2023
2023-12-08,58.19,58.78,57.96,58.71,952915.0,N100,0.5200000000000031,0.894,Friday,December,2023
2023-12-07,58.14,58.54,58.09,58.23,880267.0,N100,0.0899999999999963,0.155,Thursday,December,2023
2023-12-06,58.51,58.83,58.28,58.34,1073434.0,N100,-0.1699999999999946,-0.291,Wednesday,December,2023
2023-12-05,58.42,58.63,58.12,58.43,1268667.0,N100,0.00999999999999801,0.017,Tuesday,December,2023
2023-12-04,57.46,58.55,57.44,58.36,917408.0,N100,0.8999999999999986,1.566,Monday,December,2023
2023-12-01,57.92,58.28,57.82,58.25,1148161.0,N100,0.3299999999999983,0.57,Friday,December,2023
2023-11-30,57.06,57.71,56.94,57.61,1764450.0,N100,0.5499999999999972,0.964,Thursday,November,2023
2023-11-29,57.13,57.55,57.0,57.18,803229.0,N100,0.04999999999999716,0.088,Wednesday,November,2023
2023-11-28,56.77,57.27,56.39,57.27,1350879.0,N100,0.5,0.881,Tuesday,November,2023
2023-11-27,57.61,57.7,57.2,57.2,1694849.0,N100,-0.4099999999999966,-0.712,Monday,November,2023
2023-11-24,57.25,57.83,57.25,57.72,995414.0,N100,0.46999999999999886,0.821,Friday,November,2023
2023-11-23,57.49,57.7,57.35,57.53,1235995.0,N100,0.03999999999999915,0.07,Thursday,November,2023
2023-11-22,56.9,57.65,56.89,57.63,1265376.0,N100,0.730000000000004,1.283,Wednesday,November,2023
2023-11-21,56.28,56.89,56.23,56.82,1209619.0,N100,0.5399999999999991,0.959,Tuesday,November,2023
2023-11-20,56.23,56.61,56.21,56.42,1046672.0,N100,0.19000000000000483,0.338,Monday,November,2023
2023-11-17,56.47,56.94,56.09,56.23,1386973.0,N100,-0.240000000000002,-0.425,Friday,November,2023
2023-11-16,56.31,56.77,56.1,56.44,1275000.0,N100,0.12999999999999545,0.231,Thursday,November,2023
2023-11-15,56.53,56.93,56.19,56.49,1480016.0,N100,-0.03999999999999915,-0.071,Wednesday,November,2023
2023-11-14,56.0,56.76,55.68,56.2,1837183.0,N100,0.20000000000000284,0.357,Tuesday,November,2023
2023-11-13,55.44,56.01,55.29,55.92,1054286.0,N100,0.480000000000004,0.866,Monday,November,2023
2023-11-10,55.88,56.02,54.68,55.41,1533915.0,N100,-0.47000000000000597,-0.841,Friday,November,2023
2023-11-09,55.83,56.54,55.69,56.28,1253301.0,N100,0.45000000000000284,0.806,Thursday,November,2023
2023-11-08,55.12,56.1,55.09,55.66,1177286.0,N100,0.5399999999999991,0.98,Wednesday,November,2023
2023-11-07,54.69,55.36,54.66,55.36,929920.0,N100,0.6700000000000017,1.225,Tuesday,November,2023
2023-11-06,54.86,55.07,54.7,54.84,1056134.0,N100,-0.01999999999999602,-0.036,Monday,November,2023
2023-11-03,54.52,55.33,54.37,55.11,1177780.0,N100,0.5899999999999963,1.082,Friday,November,2023
2023-11-02,53.87,54.71,53.73,54.39,1520354.0,N100,0.5200000000000031,0.965,Thursday,November,2023
2023-11-01,53.56,53.86,53.14,53.38,1095025.0,N100,-0.17999999999999972,-0.336,Wednesday,November,2023
2023-10-31,51.5,53.76,51.36,53.63,2507383.0,N100,2.1300000000000026,4.136,Tuesday,October,2023
2023-10-30,50.75,51.17,50.58,50.85,1310512.0,N100,0.10000000000000142,0.197,Monday,October,2023
2023-10-27,50.74,51.16,50.25,50.4,1174571.0,N100,-0.3400000000000034,-0.67,Friday,October,2023
2023-10-26,50.62,51.09,50.51,50.72,997403.0,N100,0.10000000000000142,0.198,Thursday,October,2023
2023-10-25,50.56,51.21,50.52,51.1,1189749.0,N100,0.5399999999999991,1.068,Wednesday,October,2023
2023-10-24,49.78,50.34,49.43,50.19,770065.0,N100,0.4099999999999966,0.824,Tuesday,October,2023
2023-10-23,49.69,49.96,49.35,49.81,909327.0,N100,0.12000000000000455,0.241,Monday,October,2023
2023-10-20,50.04,50.37,49.79,49.88,1521019.0,N100,-0.1599999999999966,-0.32,Friday,October,2023
2023-10-19,50.54,50.8,50.21,50.55,1006729.0,N100,0.00999999999999801,0.02,Thursday,October,2023
2023-10-18,50.97,51.36,50.49,50.67,1216553.0,N100,-0.29999999999999716,-0.589,Wednesday,October,2023
2023-10-17,50.98,51.5,50.86,51.1,1107664.0,N100,0.12000000000000455,0.235,Tuesday,October,2023
2023-10-16,51.13,51.5,50.91,51.32,1144380.0,N100,0.18999999999999773,0.372,Monday,October,2023
2023-10-13,50.71,51.17,50.48,50.84,1371657.0,N100,0.13000000000000256,0.256,Friday,October,2023
2023-10-12,51.66,51.95,51.08,51.08,1624283.0,N100,-0.5799999999999983,-1.123,Thursday,October,2023
2023-10-11,50.34,51.62,50.24,51.33,1424532.0,N100,0.9899999999999949,1.967,Wednesday,October,2023
2023-10-10,49.85,50.8,49.77,50.63,1217980.0,N100,0.7800000000000011,1.565,Tuesday,October,2023
2023-10-09,49.44,49.78,49.3,49.49,910572.0,N100,0.05000000000000426,0.101,Monday,October,2023
2023-10-06,50.0,50.3,49.17,49.44,3051078.0,N100,-0.5600000000000023,-1.12,Friday,October,2023
2023-10-05,50.47,51.47,50.45,51.04,1133786.0,N100,0.5700000000000003,1.129,Thursday,October,2023
2023-10-04,50.53,50.83,50.02,50.14,1044410.0,N100,-0.39000000000000057,-0.772,Wednesday,October,2023
2023-10-03,50.64,51.1,50.39,50.59,1217613.0,N100,-0.04999999999999716,-0.099,Tuesday,October,2023
2023-10-02,52.55,52.74,50.91,51.05,1333827.0,N100,-1.5,-2.854,Monday,October,2023
2023-09-29,51.8,52.72,51.73,52.51,1862156.0,N100,0.7100000000000009,1.371,Friday,September,2023
2023-09-28,50.84,51.12,50.3,50.8,946149.0,N100,-0.04000000000000625,-0.079,Thursday,September,2023
2023-09-27,51.34,51.64,50.82,50.87,860111.0,N100,-0.47000000000000597,-0.915,Wednesday,September,2023
2023-09-26,51.8,51.86,51.31,51.31,1397850.0,N100,-0.4899999999999949,-0.946,Tuesday,September,2023
2023-09-25,53.18,53.44,52.14,52.22,909972.0,N100,-0.9600000000000009,-1.805,Monday,September,2023
2023-09-22,52.86,53.53,52.76,53.13,916919.0,N100,0.2700000000000031,0.511,Friday,September,2023
2023-09-21,53.46,54.03,53.23,53.32,1466707.0,N100,-0.14000000000000057,-0.262,Thursday,September,2023
2023-09-20,53.77,53.88,53.18,53.41,1216285.0,N100,-0.36000000000000654,-0.67,Wednesday,September,2023
2023-09-19,53.76,54.12,53.57,53.79,778252.0,N100,0.030000000000001137,0.056,Tuesday,September,2023
2023-09-18,53.19,53.63,52.92,53.63,948267.0,N100,0.44000000000000483,0.827,Monday,September,2023
2023-09-15,53.66,53.96,53.29,53.33,2944707.0,N100,-0.3299999999999983,-0.615,Friday,September,2023
2023-09-14,52.2,53.07,51.97,52.97,1411959.0,N100,0.769999999999996,1.475,Thursday,September,2023
2023-09-13,52.1,52.36,51.55,52.2,1152841.0,N100,0.10000000000000142,0.192,Wednesday,September,2023
2023-09-12,52.99,52.99,52.41,52.45,1003457.0,N100,-0.5399999999999991,-1.019,Tuesday,September,2023
2023-09-11,52.9,52.98,52.36,52.84,1110566.0,N100,-0.05999999999999517,-0.113,Monday,September,2023
2023-09-08,52.68,52.68,51.71,52.42,816011.0,N100,-0.259999999999998,-0.494,Friday,September,2023
2023-09-07,51.81,52.67,51.55,52.48,939411.0,N100,0.6699999999999946,1.293,Thursday,September,2023
2023-09-06,51.82,52.74,51.64,52.46,1159370.0,N100,0.6400000000000006,1.235,Wednesday,September,2023
2023-09-05,51.23,52.07,51.04,51.85,992683.0,N100,0.6200000000000045,1.21,Tuesday,September,2023
2023-09-04,52.0,52.18,51.32,51.37,602565.0,N100,-0.6300000000000026,-1.212,Monday,September,2023
2023-09-01,52.44,52.54,51.96,51.96,1012976.0,N100,-0.4799999999999969,-0.915,Friday,September,2023
2023-08-31,52.97,53.04,52.5,52.5,1777804.0,N100,-0.46999999999999886,-0.887,Thursday,August,2023
2023-08-30,53.1,53.36,52.54,53.02,1026427.0,N100,-0.0799999999999983,-0.151,Wednesday,August,2023
2023-08-29,52.91,53.53,52.79,52.82,1141909.0,N100,-0.0899999999999963,-0.17,Tuesday,August,2023
2023-08-28,52.56,53.04,52.39,52.82,976559.0,N100,0.259999999999998,0.495,Monday,August,2023
2023-08-25,52.03,52.73,51.95,52.25,825401.0,N100,0.21999999999999886,0.423,Friday,August,2023
2023-08-24,52.71,52.93,52.16,52.19,862416.0,N100,-0.5200000000000031,-0.987,Thursday,August,2023
2023-08-23,51.86,52.44,51.73,52.13,997517.0,N100,0.2700000000000031,0.521,Wednesday,August,2023
2023-08-22,51.66,52.21,51.52,51.63,980608.0,N100,-0.02999999999999403,-0.058,Tuesday,August,2023
2023-08-21,51.12,52.27,51.07,51.37,1006897.0,N100,0.25,0.489,Monday,August,2023
2023-08-18,50.74,51.25,50.68,51.11,1034890.0,N100,0.36999999999999744,0.729,Friday,August,2023
2023-08-17,50.71,51.08,50.56,51.0,1111276.0,N100,0.28999999999999915,0.572,Thursday,August,2023
2023-08-16,50.8,50.99,50.64,50.73,894409.0,N100,-0.07000000000000028,-0.138,Wednesday,August,2023
2023-08-15,51.43,51.46,50.63,50.89,1043047.0,N100,-0.5399999999999991,-1.05,Tuesday,August,2023
2023-08-14,51.35,51.57,51.16,51.48,796987.0,N100,0.12999999999999545,0.253,Monday,August,2023
2023-08-11,51.74,51.74,51.03,51.16,978995.0,N100,-0.5800000000000054,-1.121,Friday,August,2023
2023-08-10,51.62,51.95,51.33,51.93,1485790.0,N100,0.3100000000000023,0.601,Thursday,August,2023
2023-08-09,51.67,51.93,51.29,51.29,835558.0,N100,-0.38000000000000256,-0.735,Wednesday,August,2023
2023-08-08,51.03,51.78,50.92,51.3,947857.0,N100,0.269999999999996,0.529,Tuesday,August,2023
2023-08-07,51.5,51.63,50.96,51.31,815653.0,N100,-0.18999999999999773,-0.369,Monday,August,2023
2023-08-04,52.28,52.45,51.02,51.75,1582588.0,N100,-0.5300000000000011,-1.014,Friday,August,2023
2023-08-03,53.38,53.66,51.64,51.72,2544814.0,N100,-1.6600000000000037,-3.11,Thursday,August,2023
2023-08-02,51.1,51.25,50.54,51.06,1809180.0,N100,-0.03999999999999915,-0.078,Wednesday,August,2023
2023-08-01,51.92,52.18,51.52,51.52,1255984.0,N100,-0.3999999999999986,-0.77,Tuesday,August,2023
2023-07-31,52.64,53.18,52.05,52.05,1560745.0,N100,-0.5900000000000034,-1.121,Monday,July,2023
2023-07-28,53.02,53.61,52.99,53.52,983274.0,N100,0.5,0.943,Friday,July,2023
2023-07-27,53.02,53.76,52.95,53.47,1223685.0,N100,0.44999999999999574,0.849,Thursday,July,2023
2023-07-26,53.12,53.18,52.23,52.84,1016493.0,N100,-0.27999999999999403,-0.527,Wednesday,July,2023
2023-07-25,52.76,53.17,52.75,52.92,729313.0,N100,0.1600000000000037,0.303,Tuesday,July,2023
2023-07-24,52.62,52.97,52.3,52.7,658736.0,N100,0.0800000000000054,0.152,Monday,July,2023
2023-07-21,52.57,52.88,52.39,52.7,1019393.0,N100,0.13000000000000256,0.247,Friday,July,2023
2023-07-20,52.15,52.8,52.15,52.62,1309310.0,N100,0.46999999999999886,0.901,Thursday,July,2023
2023-07-19,51.59,52.15,51.34,52.0,1228208.0,N100,0.4099999999999966,0.795,Wednesday,July,2023
2023-07-18,51.21,51.59,51.08,51.48,698586.0,N100,0.269999999999996,0.527,Tuesday,July,2023
2023-07-17,51.72,52.0,51.27,51.29,668219.0,N100,-0.4299999999999997,-0.831,Monday,July,2023
2023-07-14,51.78,52.29,51.7,51.75,873209.0,N100,-0.030000000000001137,-0.058,Friday,July,2023
2023-07-13,51.58,52.31,51.58,51.79,903290.0,N100,0.21000000000000085,0.407,Thursday,July,2023
2023-07-12,51.0,51.78,50.88,51.59,1457291.0,N100,0.5900000000000034,1.157,Wednesday,July,2023
2023-07-11,50.8,51.3,50.66,50.92,1136341.0,N100,0.12000000000000455,0.236,Tuesday,July,2023
2023-07-10,50.5,51.13,50.38,50.68,947449.0,N100,0.17999999999999972,0.356,Monday,July,2023
2023-07-07,50.55,51.09,50.55,50.63,1259182.0,N100,0.0800000000000054,0.158,Friday,July,2023
2023-07-06,51.7,51.77,50.77,50.87,1667448.0,N100,-0.8300000000000054,-1.605,Thursday,July,2023
2023-07-05,52.16,52.57,51.91,52.29,1114474.0,N100,0.13000000000000256,0.249,Wednesday,July,2023
2023-07-04,52.42,52.68,52.17,52.17,538604.0,N100,-0.25,-0.477,Tuesday,July,2023
2023-07-03,51.91,52.76,51.85,52.48,857170.0,N100,0.5700000000000003,1.098,Monday,July,2023
2023-06-30,51.32,52.17,51.28,51.83,1434006.0,N100,0.509999999999998,0.994,Friday,June,2023
2023-06-29,51.23,51.36,50.86,51.07,1061433.0,N100,-0.1599999999999966,-0.312,Thursday,June,2023
2023-06-28,51.54,51.72,51.26,51.36,984739.0,N100,-0.17999999999999972,-0.349,Wednesday,June,2023
2023-06-27,51.66,51.88,50.94,51.52,1671929.0,N100,-0.13999999999999346,-0.271,Tuesday,June,2023
2023-06-26,52.37,52.4,51.67,51.76,952706.0,N100,-0.6099999999999994,-1.165,Monday,June,2023
2023-06-23,52.53,52.94,52.39,52.4,1094317.0,N100,-0.13000000000000256,-0.247,Friday,June,2023
2023-06-22,51.51,52.84,51.51,52.61,1180722.0,N100,1.1000000000000014,2.136,Thursday,June,2023
2023-06-21,51.89,51.95,51.5,51.68,1110087.0,N100,-0.21000000000000085,-0.405,Wednesday,June,2023
2023-06-20,52.11,52.73,51.97,52.0,1243476.0,N100,-0.10999999999999943,-0.211,Tuesday,June,2023
2023-06-19,52.96,53.21,52.25,52.34,1087819.0,N100,-0.6199999999999974,-1.171,Monday,June,2023
2023-06-16,53.47,53.93,53.34,53.46,3894345.0,N100,-0.00999999999999801,-0.019,Friday,June,2023
2023-06-15,52.08,53.19,51.92,53.08,2012685.0,N100,1.0,1.92,Thursday,June,2023
2023-06-14,51.68,52.52,51.48,52.32,1790240.0,N100,0.6400000000000006,1.238,Wednesday,June,2023
2023-06-13,51.3,51.52,50.79,51.46,1422777.0,N100,0.1600000000000037,0.312,Tuesday,June,2023
2023-06-12,51.46,51.59,50.89,51.05,1280975.0,N100,-0.4100000000000037,-0.797,Monday,June,2023
2023-06-09,51.23,51.36,51.01,51.17,982690.0,N100,-0.05999999999999517,-0.117,Friday,June,2023
2023-06-08,51.3,51.42,50.61,50.86,1226723.0,N100,-0.4399999999999977,-0.858,Thursday,June,2023
2023-06-07,51.0,51.76,50.9,51.66,1504360.0,N100,0.6599999999999966,1.294,Wednesday,June,2023
2023-06-06,50.63,51.4,50.5,51.15,1708805.0,N100,0.519999999999996,1.027,Tuesday,June,2023
2023-06-05,51.06,51.28,50.57,50.91,1496243.0,N100,-0.15000000000000568,-0.294,Monday,June,2023
2023-06-02,50.43,51.02,50.07,50.91,1593946.0,N100,0.4799999999999969,0.952,Friday,June,2023
2023-06-01,50.48,50.55,49.88,50.32,1632448.0,N100,-0.1599999999999966,-0.317,Thursday,June,2023
2023-05-31,50.35,50.6,49.47,49.91,4908363.0,N100,-0.44000000000000483,-0.874,Wednesday,May,2023
2023-05-30,53.01,53.11,51.24,51.28,2316170.0,N100,-1.7299999999999969,-3.264,Tuesday,May,2023
2023-05-29,53.4,53.45,52.75,52.95,481904.0,N100,-0.44999999999999574,-0.843,Monday,May,2023
2023-05-26,52.9,53.33,52.51,53.17,1094499.0,N100,0.2700000000000031,0.51,Friday,May,2023
2023-05-25,53.36,53.44,52.49,53.01,1497202.0,N100,-0.3500000000000014,-0.656,Thursday,May,2023
2023-05-24,54.45,54.45,53.15,53.44,1602860.0,N100,-1.0100000000000051,-1.855,Wednesday,May,2023
2023-05-23,54.34,54.86,54.33,54.51,1254665.0,N100,0.1699999999999946,0.313,Tuesday,May,2023
2023-05-22,54.99,55.46,54.5,54.5,1052982.0,N100,-0.490000000000002,-0.891,Monday,May,2023
2023-05-19,54.74,55.27,54.55,54.85,1386383.0,N100,0.10999999999999943,0.201,Friday,May,2023
2023-05-18,54.6,55.46,54.5,54.76,1432426.0,N100,0.1599999999999966,0.293,Thursday,May,2023
2023-05-17,54.9,55.17,54.28,54.36,1856784.0,N100,-0.5399999999999991,-0.984,Wednesday,May,2023
2023-05-16,55.97,56.05,55.44,55.56,1433781.0,N100,-0.4099999999999966,-0.733,Tuesday,May,2023
2023-05-15,56.37,56.75,56.19,56.28,1045275.0,N100,-0.0899999999999963,-0.16,Monday,May,2023
2023-05-12,56.49,56.98,55.96,56.28,1098770.0,N100,-0.21000000000000085,-0.372,Friday,May,2023
2023-05-11,56.35,56.95,56.07,56.51,1382655.0,N100,0.1599999999999966,0.284,Thursday,May,2023
2023-05-10,57.54,57.9,56.3,56.45,1919624.0,N100,-1.0899999999999963,-1.894,Wednesday,May,2023
2023-05-09,58.83,58.83,58.0,58.2,1551696.0,N100,-0.6299999999999955,-1.071,Tuesday,May,2023
2023-05-08,58.58,59.05,58.49,58.78,936830.0,N100,0.20000000000000284,0.341,Monday,May,2023
2023-05-05,59.28,59.53,57.7,58.72,1844959.0,N100,-0.5600000000000023,-0.945,Friday,May,2023
2023-05-04,58.12,59.95,57.36,59.48,1826704.0,N100,1.3599999999999994,2.34,Thursday,May,2023
2023-05-03,57.78,58.37,57.58,58.03,2116015.0,N100,0.25,0.433,Wednesday,May,2023
2023-05-02,58.66,59.23,58.14,58.3,2146819.0,N100,-0.35999999999999943,-0.614,Tuesday,May,2023
2023-04-28,59.8,59.89,58.13,59.1,1988812.0,N100,-0.6999999999999957,-1.171,Friday,April,2023
2023-04-27,60.05,60.05,59.48,59.69,1218667.0,N100,-0.35999999999999943,-0.6,Thursday,April,2023
2023-04-26,60.04,60.74,59.89,60.21,1730419.0,N100,0.1700000000000017,0.283,Wednesday,April,2023
2023-04-25,59.35,60.13,59.06,60.08,1466113.0,N100,0.7299999999999969,1.23,Tuesday,April,2023
2023-04-24,59.86,60.19,59.54,59.82,1416566.0,N100,-0.03999999999999915,-0.067,Monday,April,2023
2023-04-21,59.7,59.92,59.39,59.67,1626727.0,N100,-0.030000000000001137,-0.05,Friday,April,2023
2023-04-20,59.74,60.08,59.52,59.86,1060260.0,N100,0.11999999999999744,0.201,Thursday,April,2023
2023-04-19,58.76,60.26,58.76,60.2,1756058.0,N100,1.4400000000000048,2.451,Wednesday,April,2023
2023-04-18,59.48,59.55,58.65,58.79,1306431.0,N100,-0.6899999999999977,-1.16,Tuesday,April,2023
2023-04-17,58.96,59.79,58.86,59.42,1396772.0,N100,0.46000000000000085,0.78,Monday,April,2023
2023-04-14,58.49,59.22,58.36,58.74,1868954.0,N100,0.25,0.427,Friday,April,2023
2023-04-13,57.85,58.55,57.72,58.14,1882368.0,N100,0.28999999999999915,0.501,Thursday,April,2023
2023-04-12,59.76,59.79,57.88,58.64,2534466.0,N100,-1.1199999999999974,-1.874,Wednesday,April,2023
2023-04-11,60.0,60.61,59.69,60.61,2103642.0,N100,0.6099999999999994,1.017,Tuesday,April,2023
2023-04-06,61.33,61.33,60.88,61.08,1632744.0,N100,-0.25,-0.408,Thursday,April,2023
2023-04-05,59.5,61.29,57.8,61.22,1898200.0,N100,1.7199999999999989,2.891,Wednesday,April,2023
2023-04-04,61.24,61.47,60.86,60.99,1348431.0,N100,-0.25,-0.408,Tuesday,April,2023
2023-04-03,61.2,61.55,60.69,61.16,1029438.0,N100,-0.04000000000000625,-0.065,Monday,April,2023
2023-03-31,60.36,62.01,60.36,61.33,2062140.0,N100,0.9699999999999989,1.607,Friday,March,2023
2023-03-30,60.19,60.97,59.94,60.65,1640648.0,N100,0.46000000000000085,0.764,Thursday,March,2023
2023-03-29,58.84,60.12,58.81,60.12,3072096.0,N100,1.279999999999994,2.175,Wednesday,March,2023
2023-03-28,58.22,58.59,57.88,58.46,1441238.0,N100,0.240000000000002,0.412,Tuesday,March,2023
2023-03-27,57.78,58.27,57.67,58.14,1022852.0,N100,0.35999999999999943,0.623,Monday,March,2023
2023-03-24,56.88,57.5,56.41,57.47,1496637.0,N100,0.5899999999999963,1.037,Friday,March,2023
2023-03-23,57.22,57.42,56.74,57.25,1197845.0,N100,0.030000000000001137,0.052,Thursday,March,2023
2023-03-22,56.98,57.97,56.75,57.59,1310888.0,N100,0.6100000000000065,1.071,Wednesday,March,2023
2023-03-21,56.08,57.31,56.08,57.03,1310963.0,N100,0.9500000000000028,1.694,Tuesday,March,2023
2023-03-20,56.18,56.45,55.06,56.41,1697535.0,N100,0.22999999999999687,0.409,Monday,March,2023
2023-03-17,57.16,57.34,55.85,56.29,3550808.0,N100,-0.8699999999999974,-1.522,Friday,March,2023
2023-03-16,56.45,57.21,56.04,57.04,2123612.0,N100,0.5899999999999963,1.045,Thursday,March,2023
2023-03-15,56.48,57.0,55.2,55.77,2268291.0,N100,-0.7099999999999937,-1.257,Wednesday,March,2023
2023-03-14,55.69,56.88,55.63,56.75,1497179.0,N100,1.0600000000000023,1.903,Tuesday,March,2023
2023-03-13,57.05,57.2,55.24,55.69,1969186.0,N100,-1.3599999999999994,-2.384,Monday,March,2023
2023-03-10,57.06,58.04,56.82,57.42,2087442.0,N100,0.35999999999999943,0.631,Friday,March,2023
2023-03-09,56.99,58.16,56.94,57.63,1338044.0,N100,0.6400000000000006,1.123,Thursday,March,2023
