Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,443.0,445.7,439.15,445.05,92044.0,N100,2.0500000000000114,0.463,Monday,January,2024
2024-01-05,434.0,442.3,432.15,441.1,97314.0,N100,7.100000000000023,1.636,Friday,January,2024
2024-01-04,441.9,441.9,425.45,436.3,131020.0,N100,-5.599999999999966,-1.267,Thursday,January,2024
2024-01-03,448.8,454.8,433.15,440.75,171791.0,N100,-8.050000000000011,-1.794,Wednesday,January,2024
2024-01-02,469.0,472.4,452.7,457.5,120488.0,N100,-11.5,-2.452,Tuesday,January,2024
2023-12-29,472.75,475.15,469.2,469.95,98955.0,N100,-2.8000000000000114,-0.592,Friday,December,2023
2023-12-28,475.75,480.1,474.65,476.7,60685.0,N100,0.9499999999999886,0.2,Thursday,December,2023
2023-12-27,476.4,482.2,474.1,476.35,71561.0,N100,-0.049999999999954525,-0.01,Wednesday,December,2023
2023-12-22,470.0,474.8,466.55,473.75,72528.0,N100,3.75,0.798,Friday,December,2023
2023-12-21,469.0,473.4,460.0,473.4,88631.0,N100,4.399999999999977,0.938,Thursday,December,2023
2023-12-20,477.95,478.1,469.1,473.0,100428.0,N100,-4.949999999999989,-1.036,Wednesday,December,2023
2023-12-19,480.35,484.35,478.3,479.7,74046.0,N100,-0.6500000000000341,-0.135,Tuesday,December,2023
2023-12-18,488.9,493.8,478.35,480.0,106227.0,N100,-8.899999999999977,-1.82,Monday,December,2023
2023-12-15,483.8,491.6,482.85,491.6,227706.0,N100,7.800000000000011,1.612,Friday,December,2023
2023-12-14,486.8,492.65,481.0,481.15,161681.0,N100,-5.650000000000034,-1.161,Thursday,December,2023
2023-12-13,469.0,484.15,468.35,477.85,191726.0,N100,8.850000000000023,1.887,Wednesday,December,2023
2023-12-12,465.0,469.5,461.75,464.8,107023.0,N100,-0.19999999999998863,-0.043,Tuesday,December,2023
2023-12-11,459.5,467.85,458.4,462.35,100012.0,N100,2.8500000000000227,0.62,Monday,December,2023
