Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,650.0,656.2,644.2,653.4,367262.0,N100,3.3999999999999773,0.523,Monday,January,2024
2024-01-05,639.9,646.0,635.0,644.2,410860.0,N100,4.300000000000068,0.672,Friday,January,2024
2024-01-04,648.1,650.6,635.1,646.4,503762.0,N100,-1.7000000000000455,-0.262,Thursday,January,2024
2024-01-03,647.9,658.1,640.4,645.4,518819.0,N100,-2.5,-0.386,Wednesday,January,2024
2024-01-02,682.8,683.1,658.8,664.3,525651.0,N100,-18.5,-2.709,Tuesday,January,2024
2023-12-29,685.0,689.6,680.7,681.7,309269.0,N100,-3.2999999999999545,-0.482,Friday,December,2023
2023-12-28,688.0,688.9,684.3,685.9,285259.0,N100,-2.1000000000000227,-0.305,Thursday,December,2023
2023-12-27,686.9,689.9,682.5,684.9,286536.0,N100,-2.0,-0.291,Wednesday,December,2023
2023-12-22,680.0,684.9,675.5,683.6,336136.0,N100,3.6000000000000227,0.529,Friday,December,2023
2023-12-21,670.6,682.6,668.2,682.6,469636.0,N100,12.0,1.789,Thursday,December,2023
2023-12-20,678.2,679.4,672.4,679.4,452913.0,N100,1.1999999999999318,0.177,Wednesday,December,2023
2023-12-19,680.9,686.6,674.7,676.8,566461.0,N100,-4.100000000000023,-0.602,Tuesday,December,2023
2023-12-18,689.6,693.5,674.6,676.6,502027.0,N100,-13.0,-1.885,Monday,December,2023
2023-12-15,689.3,696.7,687.2,694.7,1167716.0,N100,5.400000000000091,0.783,Friday,December,2023
2023-12-14,680.0,690.3,677.9,682.2,846486.0,N100,2.2000000000000455,0.324,Thursday,December,2023
2023-12-13,670.0,674.9,667.5,669.1,506124.0,N100,-0.8999999999999773,-0.134,Wednesday,December,2023
2023-12-12,661.3,667.9,660.4,663.4,508644.0,N100,2.1000000000000227,0.318,Tuesday,December,2023
2023-12-11,649.0,662.9,647.6,659.2,606273.0,N100,10.200000000000045,1.572,Monday,December,2023
2023-12-08,647.8,652.8,645.2,649.6,499127.0,N100,1.8000000000000682,0.278,Friday,December,2023
2023-12-07,643.1,648.0,642.3,646.6,383876.0,N100,3.5,0.544,Thursday,December,2023
2023-12-06,645.3,651.3,642.7,649.0,486686.0,N100,3.7000000000000455,0.573,Wednesday,December,2023
2023-12-05,630.6,645.3,628.4,643.3,502726.0,N100,12.699999999999932,2.014,Tuesday,December,2023
2023-12-04,637.0,638.9,628.1,630.6,420353.0,N100,-6.399999999999977,-1.005,Monday,December,2023
2023-12-01,626.6,640.4,626.5,637.5,626510.0,N100,10.899999999999977,1.74,Friday,December,2023
2023-11-30,619.2,627.5,617.7,623.0,837686.0,N100,3.7999999999999545,0.614,Thursday,November,2023
2023-11-29,617.4,631.6,615.2,629.2,429042.0,N100,11.800000000000068,1.911,Wednesday,November,2023
2023-11-28,627.8,629.9,617.1,619.7,439705.0,N100,-8.099999999999909,-1.29,Tuesday,November,2023
2023-11-27,632.0,635.2,626.6,628.6,415192.0,N100,-3.3999999999999773,-0.538,Monday,November,2023
2023-11-24,628.1,633.4,628.1,632.3,352307.0,N100,4.199999999999932,0.669,Friday,November,2023
2023-11-23,630.5,632.0,624.3,629.8,309203.0,N100,-0.7000000000000455,-0.111,Thursday,November,2023
2023-11-22,622.5,637.4,619.5,633.3,464199.0,N100,10.799999999999955,1.735,Wednesday,November,2023
2023-11-21,635.0,636.5,624.3,625.7,470788.0,N100,-9.299999999999955,-1.465,Tuesday,November,2023
2023-11-20,624.1,630.4,622.6,629.7,390260.0,N100,5.600000000000023,0.897,Monday,November,2023
2023-11-17,619.1,629.5,618.1,628.7,806307.0,N100,9.600000000000023,1.551,Friday,November,2023
2023-11-16,625.1,629.3,620.1,625.5,554636.0,N100,0.39999999999997726,0.064,Thursday,November,2023
2023-11-15,625.9,632.7,623.3,627.8,690093.0,N100,1.8999999999999773,0.304,Wednesday,November,2023
2023-11-14,614.0,626.5,611.8,621.3,794139.0,N100,7.2999999999999545,1.189,Tuesday,November,2023
2023-11-13,614.7,619.6,607.4,612.5,524322.0,N100,-2.2000000000000455,-0.358,Monday,November,2023
2023-11-10,599.5,608.0,597.3,608.0,505316.0,N100,8.5,1.418,Friday,November,2023
2023-11-09,595.1,605.8,592.3,603.5,564152.0,N100,8.399999999999977,1.412,Thursday,November,2023
2023-11-08,596.8,601.3,592.6,600.0,383482.0,N100,3.2000000000000455,0.536,Wednesday,November,2023
2023-11-07,595.0,600.4,591.6,599.1,341351.0,N100,4.100000000000023,0.689,Tuesday,November,2023
2023-11-06,600.0,601.6,589.4,591.7,417768.0,N100,-8.299999999999955,-1.383,Monday,November,2023
2023-11-03,595.1,601.3,589.9,597.7,528271.0,N100,2.6000000000000227,0.437,Friday,November,2023
2023-11-02,584.0,602.2,580.6,594.7,813473.0,N100,10.700000000000045,1.832,Thursday,November,2023
2023-11-01,566.8,574.2,559.3,571.3,445529.0,N100,4.5,0.794,Wednesday,November,2023
2023-10-31,554.9,569.5,551.2,565.3,667099.0,N100,10.399999999999977,1.874,Tuesday,October,2023
2023-10-30,565.7,567.9,551.0,552.0,452202.0,N100,-13.700000000000045,-2.422,Monday,October,2023
2023-10-27,565.9,565.9,556.6,560.2,511354.0,N100,-5.699999999999932,-1.007,Friday,October,2023
2023-10-26,554.0,567.5,550.2,560.6,529331.0,N100,6.600000000000023,1.191,Thursday,October,2023
2023-10-25,561.2,568.2,551.0,560.7,454917.0,N100,-0.5,-0.089,Wednesday,October,2023
2023-10-24,555.0,565.6,550.6,562.6,629052.0,N100,7.600000000000023,1.369,Tuesday,October,2023
2023-10-23,549.3,554.3,540.8,552.6,443374.0,N100,3.300000000000068,0.601,Monday,October,2023
2023-10-20,555.0,561.9,546.2,547.1,746611.0,N100,-7.899999999999977,-1.423,Friday,October,2023
2023-10-19,557.5,578.9,557.2,562.5,781442.0,N100,5.0,0.897,Thursday,October,2023
2023-10-18,545.0,574.6,544.1,553.2,1135072.0,N100,8.200000000000045,1.505,Wednesday,October,2023
2023-10-17,569.4,575.0,556.3,572.9,593991.0,N100,3.5,0.615,Tuesday,October,2023
2023-10-16,573.6,575.6,563.8,569.6,515174.0,N100,-4.0,-0.697,Monday,October,2023
2023-10-13,582.2,591.8,572.0,573.6,632479.0,N100,-8.600000000000023,-1.477,Friday,October,2023
2023-10-12,575.0,591.3,572.9,588.7,721349.0,N100,13.700000000000045,2.383,Thursday,October,2023
2023-10-11,572.1,574.2,565.1,567.1,590606.0,N100,-5.0,-0.874,Wednesday,October,2023
2023-10-10,561.0,572.1,559.7,572.1,620070.0,N100,11.100000000000023,1.979,Tuesday,October,2023
2023-10-09,561.7,563.4,552.3,555.1,451824.0,N100,-6.600000000000023,-1.175,Monday,October,2023
2023-10-06,550.3,563.6,548.6,561.2,561190.0,N100,10.900000000000091,1.981,Friday,October,2023
2023-10-05,560.0,562.9,543.0,548.4,479265.0,N100,-11.600000000000023,-2.071,Thursday,October,2023
2023-10-04,541.6,559.4,538.6,557.5,577291.0,N100,15.899999999999977,2.936,Wednesday,October,2023
2023-10-03,553.0,556.4,545.4,547.1,438929.0,N100,-5.899999999999977,-1.067,Tuesday,October,2023
2023-10-02,560.0,562.6,551.1,556.4,528210.0,N100,-3.6000000000000227,-0.643,Monday,October,2023
2023-09-29,555.7,568.5,554.8,559.1,739218.0,N100,3.3999999999999773,0.612,Friday,September,2023
