Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,54.64,55.04,54.34,55.04,254507.0,N100,0.3999999999999986,0.732,Monday,January,2024
2024-01-05,54.2,54.68,54.0,54.68,297741.0,N100,0.4799999999999969,0.886,Friday,January,2024
2024-01-04,53.5,54.56,53.5,54.46,334546.0,N100,0.9600000000000009,1.794,Thursday,January,2024
2024-01-03,54.2,54.32,53.28,53.46,352551.0,N100,-0.740000000000002,-1.365,Wednesday,January,2024
2024-01-02,54.32,54.58,53.96,54.3,384019.0,N100,-0.020000000000003126,-0.037,Tuesday,January,2024
2023-12-29,53.98,54.24,53.98,54.14,189316.0,N100,0.1600000000000037,0.296,Friday,December,2023
2023-12-28,54.36,54.6,53.98,54.06,295520.0,N100,-0.29999999999999716,-0.552,Thursday,December,2023
2023-12-27,54.6,54.74,54.3,54.44,204742.0,N100,-0.1600000000000037,-0.293,Wednesday,December,2023
2023-12-22,54.8,54.88,54.2,54.5,262107.0,N100,-0.29999999999999716,-0.547,Friday,December,2023
2023-12-21,54.8,54.92,54.6,54.88,252930.0,N100,0.0800000000000054,0.146,Thursday,December,2023
2023-12-20,54.3,55.24,54.14,55.06,380573.0,N100,0.7600000000000051,1.4,Wednesday,December,2023
2023-12-19,53.8,54.2,53.78,54.2,332688.0,N100,0.4000000000000057,0.743,Tuesday,December,2023
2023-12-18,53.78,53.82,53.46,53.8,326466.0,N100,0.01999999999999602,0.037,Monday,December,2023
2023-12-15,54.02,54.16,53.06,53.9,940990.0,N100,-0.12000000000000455,-0.222,Friday,December,2023
2023-12-14,53.76,54.78,53.76,53.84,544258.0,N100,0.0800000000000054,0.149,Thursday,December,2023
2023-12-13,53.2,53.62,53.12,53.22,395455.0,N100,0.01999999999999602,0.038,Wednesday,December,2023
2023-12-12,53.52,53.6,53.06,53.12,379097.0,N100,-0.4000000000000057,-0.747,Tuesday,December,2023
2023-12-11,53.22,53.64,52.9,53.46,440494.0,N100,0.240000000000002,0.451,Monday,December,2023
2023-12-08,52.6,53.2,52.56,53.2,309067.0,N100,0.6000000000000014,1.141,Friday,December,2023
2023-12-07,51.78,52.9,51.6,52.66,543812.0,N100,0.8799999999999955,1.699,Thursday,December,2023
2023-12-06,51.5,52.42,51.42,52.02,503419.0,N100,0.5200000000000031,1.01,Wednesday,December,2023
2023-12-05,51.14,51.44,51.0,51.38,338239.0,N100,0.240000000000002,0.469,Tuesday,December,2023
2023-12-04,50.84,51.52,50.84,51.34,390911.0,N100,0.5,0.983,Monday,December,2023
2023-12-01,50.3,50.92,50.28,50.9,508194.0,N100,0.6000000000000014,1.193,Friday,December,2023
2023-11-30,50.02,50.36,49.7,50.0,765461.0,N100,-0.020000000000003126,-0.04,Thursday,November,2023
2023-11-29,49.75,50.42,49.75,50.02,289200.0,N100,0.2700000000000031,0.543,Wednesday,November,2023
2023-11-28,50.44,50.44,49.72,49.83,322239.0,N100,-0.6099999999999994,-1.209,Tuesday,November,2023
2023-11-27,50.44,50.86,50.42,50.44,316593.0,N100,0.0,0.0,Monday,November,2023
2023-11-24,50.34,50.62,50.02,50.48,405020.0,N100,0.13999999999999346,0.278,Friday,November,2023
2023-11-23,50.34,50.64,50.1,50.44,254275.0,N100,0.09999999999999432,0.199,Thursday,November,2023
2023-11-22,50.18,50.58,50.14,50.42,358430.0,N100,0.240000000000002,0.478,Wednesday,November,2023
2023-11-21,50.4,50.66,50.0,50.06,335648.0,N100,-0.3399999999999963,-0.675,Tuesday,November,2023
2023-11-20,50.12,50.56,49.94,50.52,486884.0,N100,0.4000000000000057,0.798,Monday,November,2023
2023-11-17,49.71,50.36,49.63,50.02,518564.0,N100,0.3100000000000023,0.624,Friday,November,2023
2023-11-16,50.74,50.86,49.49,49.65,606770.0,N100,-1.0900000000000034,-2.148,Thursday,November,2023
2023-11-15,50.34,51.28,50.3,50.72,610796.0,N100,0.37999999999999545,0.755,Wednesday,November,2023
2023-11-14,49.91,50.38,49.69,50.1,417717.0,N100,0.19000000000000483,0.381,Tuesday,November,2023
2023-11-13,49.71,49.95,49.17,49.7,416260.0,N100,-0.00999999999999801,-0.02,Monday,November,2023
