Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,451.8,454.0,449.8,454.0,3452033.0,N100,2.1999999999999886,0.487,Monday,January,2024
2024-01-05,449.4,454.0,444.9,454.0,6409679.0,N100,4.600000000000023,1.024,Friday,January,2024
2024-01-04,443.6,450.6,443.6,449.6,3949172.0,N100,6.0,1.353,Thursday,January,2024
2024-01-03,449.0,449.7,440.4,443.3,5782269.0,N100,-5.699999999999989,-1.269,Wednesday,January,2024
2024-01-02,457.5,458.3,448.7,449.3,4218992.0,N100,-8.199999999999989,-1.792,Tuesday,January,2024
2023-12-29,456.0,458.5,454.7,455.5,2334384.0,N100,-0.5,-0.11,Friday,December,2023
2023-12-28,456.0,456.0,453.5,454.6,2551728.0,N100,-1.3999999999999773,-0.307,Thursday,December,2023
2023-12-27,453.5,457.6,452.4,455.5,2508786.0,N100,2.0,0.441,Wednesday,December,2023
2023-12-22,448.9,454.8,448.9,454.8,2812171.0,N100,5.900000000000034,1.314,Friday,December,2023
2023-12-21,448.0,450.3,444.6,449.6,5102462.0,N100,1.6000000000000227,0.357,Thursday,December,2023
2023-12-20,454.7,455.1,448.9,449.7,4784154.0,N100,-5.0,-1.1,Wednesday,December,2023
2023-12-19,450.6,457.3,450.0,454.7,5828792.0,N100,4.099999999999966,0.91,Tuesday,December,2023
2023-12-18,455.8,457.7,449.5,449.6,5265834.0,N100,-6.199999999999989,-1.36,Monday,December,2023
2023-12-15,457.0,460.1,454.6,458.4,12982763.0,N100,1.3999999999999773,0.306,Friday,December,2023
2023-12-14,453.3,464.2,453.1,459.4,11785840.0,N100,6.099999999999966,1.346,Thursday,December,2023
2023-12-13,442.7,446.3,441.4,445.1,5151380.0,N100,2.400000000000034,0.542,Wednesday,December,2023
2023-12-12,446.0,447.8,439.8,441.6,6297382.0,N100,-4.399999999999977,-0.987,Tuesday,December,2023
2023-12-11,450.8,450.8,444.3,445.1,5619136.0,N100,-5.699999999999989,-1.264,Monday,December,2023
2023-12-08,450.0,452.5,447.7,451.4,6192363.0,N100,1.3999999999999773,0.311,Friday,December,2023
2023-12-07,451.1,455.7,448.4,450.4,5154647.0,N100,-0.7000000000000455,-0.155,Thursday,December,2023
2023-12-06,443.8,450.8,443.6,450.5,5764941.0,N100,6.699999999999989,1.51,Wednesday,December,2023
2023-12-05,440.4,446.2,436.7,443.1,7382745.0,N100,2.7000000000000455,0.613,Tuesday,December,2023
2023-12-04,439.8,444.4,438.8,443.5,5409691.0,N100,3.6999999999999886,0.841,Monday,December,2023
2023-12-01,438.7,440.4,437.4,439.9,3710433.0,N100,1.1999999999999886,0.274,Friday,December,2023
2023-11-30,438.5,441.3,436.1,438.7,11562734.0,N100,0.19999999999998863,0.046,Thursday,November,2023
2023-11-29,435.5,443.9,435.2,440.4,9281704.0,N100,4.899999999999977,1.125,Wednesday,November,2023
2023-11-28,430.0,439.1,429.3,437.0,9181989.0,N100,7.0,1.628,Tuesday,November,2023
2023-11-27,424.3,431.7,424.1,430.4,4811628.0,N100,6.099999999999966,1.438,Monday,November,2023
2023-11-24,425.9,427.2,423.7,424.5,4156816.0,N100,-1.3999999999999773,-0.329,Friday,November,2023
2023-11-23,426.9,427.5,423.9,426.8,3331641.0,N100,-0.0999999999999659,-0.023,Thursday,November,2023
2023-11-22,423.5,427.1,422.4,427.0,4183122.0,N100,3.5,0.826,Wednesday,November,2023
2023-11-21,432.0,434.0,423.2,423.7,7354174.0,N100,-8.300000000000011,-1.921,Tuesday,November,2023
2023-11-20,427.9,432.7,427.6,432.3,5853621.0,N100,4.400000000000034,1.028,Monday,November,2023
2023-11-17,427.7,431.2,426.7,427.9,5476676.0,N100,0.19999999999998863,0.047,Friday,November,2023
2023-11-16,421.9,428.2,421.8,427.0,5959430.0,N100,5.100000000000023,1.209,Thursday,November,2023
2023-11-15,428.0,432.1,421.5,422.9,6111479.0,N100,-5.100000000000023,-1.192,Wednesday,November,2023
2023-11-14,418.1,428.7,413.5,427.5,8662549.0,N100,9.399999999999977,2.248,Tuesday,November,2023
2023-11-13,415.7,418.8,412.8,416.2,6179359.0,N100,0.5,0.12,Monday,November,2023
2023-11-10,415.0,416.5,410.7,415.3,4012006.0,N100,0.30000000000001137,0.072,Friday,November,2023
2023-11-09,415.0,418.9,413.7,416.9,6815758.0,N100,1.8999999999999773,0.458,Thursday,November,2023
2023-11-08,414.7,417.0,409.2,414.5,8817881.0,N100,-0.19999999999998863,-0.048,Wednesday,November,2023
2023-11-07,424.4,428.3,409.1,417.0,11684049.0,N100,-7.399999999999977,-1.744,Tuesday,November,2023
2023-11-06,423.4,428.2,421.4,423.8,7338410.0,N100,0.4000000000000341,0.094,Monday,November,2023
2023-11-03,415.0,425.2,412.5,421.7,13706416.0,N100,6.699999999999989,1.614,Friday,November,2023
2023-11-02,401.9,412.4,401.2,409.2,10173171.0,N100,7.300000000000011,1.816,Thursday,November,2023
2023-11-01,395.0,399.8,389.6,399.3,8544080.0,N100,4.300000000000011,1.089,Wednesday,November,2023
2023-10-31,388.3,398.7,385.9,397.0,11784795.0,N100,8.699999999999989,2.241,Tuesday,October,2023
2023-10-30,386.0,388.4,383.9,386.6,5814864.0,N100,0.6000000000000227,0.155,Monday,October,2023
2023-10-27,384.0,385.8,379.0,385.2,7279064.0,N100,1.1999999999999886,0.312,Friday,October,2023
2023-10-26,379.8,383.6,375.5,383.6,6297869.0,N100,3.8000000000000114,1.001,Thursday,October,2023
2023-10-25,381.3,384.1,375.3,380.2,7456566.0,N100,-1.1000000000000227,-0.288,Wednesday,October,2023
2023-10-24,375.7,383.3,375.4,380.1,5085624.0,N100,4.400000000000034,1.171,Tuesday,October,2023
2023-10-23,373.8,376.0,367.6,375.0,4720607.0,N100,1.1999999999999886,0.321,Monday,October,2023
2023-10-20,372.6,374.6,368.6,373.5,11970980.0,N100,0.8999999999999773,0.242,Friday,October,2023
2023-10-19,374.0,378.7,372.0,375.5,6052200.0,N100,1.5,0.401,Thursday,October,2023
2023-10-18,376.4,381.4,374.7,375.4,4135111.0,N100,-1.0,-0.266,Wednesday,October,2023
2023-10-17,377.2,383.0,373.8,377.2,6262509.0,N100,0.0,0.0,Tuesday,October,2023
2023-10-16,370.6,376.8,369.4,375.9,4755106.0,N100,5.2999999999999545,1.43,Monday,October,2023
2023-10-13,372.8,379.0,369.8,371.6,8322149.0,N100,-1.1999999999999886,-0.322,Friday,October,2023
2023-10-12,385.9,387.5,375.0,375.0,10200047.0,N100,-10.899999999999977,-2.825,Thursday,October,2023
2023-10-11,378.5,389.3,378.0,382.9,8134506.0,N100,4.399999999999977,1.162,Wednesday,October,2023
2023-10-10,369.4,379.2,368.9,378.5,8509504.0,N100,9.100000000000023,2.463,Tuesday,October,2023
2023-10-09,363.8,369.6,362.8,366.5,5887107.0,N100,2.6999999999999886,0.742,Monday,October,2023
2023-10-06,366.6,366.6,351.5,363.6,7303100.0,N100,-3.0,-0.818,Friday,October,2023
