Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,57.34,57.62,56.52,57.42,194401.0,N100,0.0799999999999983,0.14,Monday,January,2024
2024-01-05,57.58,57.78,56.88,57.46,216033.0,N100,-0.11999999999999744,-0.208,Friday,January,2024
2024-01-04,57.62,58.16,57.4,57.9,232325.0,N100,0.28000000000000114,0.486,Thursday,January,2024
2024-01-03,59.2,59.32,57.64,57.86,408597.0,N100,-1.3400000000000034,-2.264,Wednesday,January,2024
2024-01-02,59.06,60.12,59.04,59.7,313492.0,N100,0.6400000000000006,1.084,Tuesday,January,2024
2023-12-29,59.04,59.6,58.98,58.98,180716.0,N100,-0.060000000000002274,-0.102,Friday,December,2023
2023-12-28,58.9,59.28,58.9,59.16,162484.0,N100,0.259999999999998,0.441,Thursday,December,2023
2023-12-27,59.0,59.62,58.72,58.92,207570.0,N100,-0.0799999999999983,-0.136,Wednesday,December,2023
2023-12-22,58.8,59.22,58.5,59.06,208588.0,N100,0.2600000000000051,0.442,Friday,December,2023
2023-12-21,58.74,58.92,58.18,58.92,199870.0,N100,0.17999999999999972,0.306,Thursday,December,2023
2023-12-20,58.6,59.66,58.6,59.24,391773.0,N100,0.6400000000000006,1.092,Wednesday,December,2023
2023-12-19,57.0,58.64,57.0,58.6,462589.0,N100,1.6000000000000014,2.807,Tuesday,December,2023
2023-12-18,57.12,57.48,56.66,57.08,328073.0,N100,-0.03999999999999915,-0.07,Monday,December,2023
2023-12-15,57.8,58.16,57.42,58.0,794732.0,N100,0.20000000000000284,0.346,Friday,December,2023
2023-12-14,55.68,57.76,55.68,57.7,590917.0,N100,2.020000000000003,3.628,Thursday,December,2023
2023-12-13,54.36,54.9,54.18,54.4,253595.0,N100,0.03999999999999915,0.074,Wednesday,December,2023
2023-12-12,54.94,55.1,54.38,54.46,286999.0,N100,-0.4799999999999969,-0.874,Tuesday,December,2023
2023-12-11,54.84,55.0,54.18,54.72,230808.0,N100,-0.12000000000000455,-0.219,Monday,December,2023
2023-12-08,55.02,55.98,54.68,55.0,310442.0,N100,-0.020000000000003126,-0.036,Friday,December,2023
2023-12-07,54.64,55.52,54.12,55.16,343966.0,N100,0.519999999999996,0.952,Thursday,December,2023
2023-12-06,54.58,55.02,54.3,54.7,336775.0,N100,0.12000000000000455,0.22,Wednesday,December,2023
2023-12-05,54.08,54.94,53.82,54.44,320804.0,N100,0.35999999999999943,0.666,Tuesday,December,2023
2023-12-04,53.84,54.58,53.64,54.46,332033.0,N100,0.6199999999999974,1.152,Monday,December,2023
2023-12-01,53.48,53.86,52.66,53.84,330643.0,N100,0.36000000000000654,0.673,Friday,December,2023
