Fecha,Apertura,Max,Min,Cierre,Volumen,Indice,Cambio,Cambio%,weekday,month,year
2024-01-08,70.6,71.08,70.2,71.08,101146.0,N100,0.480000000000004,0.68,Monday,January,2024
2024-01-05,70.56,70.9,69.96,70.76,96046.0,N100,0.20000000000000284,0.283,Friday,January,2024
2024-01-04,70.12,71.0,70.12,71.0,108674.0,N100,0.8799999999999955,1.255,Thursday,January,2024
2024-01-03,71.24,71.4,70.04,70.24,105991.0,N100,-1.0,-1.404,Wednesday,January,2024
2024-01-02,71.32,71.66,70.82,71.24,101487.0,N100,-0.0799999999999983,-0.112,Tuesday,January,2024
2023-12-29,71.08,71.3,70.96,71.22,92435.0,N100,0.14000000000000057,0.197,Friday,December,2023
2023-12-28,71.82,71.82,70.94,71.1,99023.0,N100,-0.7199999999999989,-1.003,Thursday,December,2023
2023-12-27,71.58,71.9,71.4,71.62,92884.0,N100,0.04000000000000625,0.056,Wednesday,December,2023
2023-12-22,71.14,71.8,71.14,71.68,73240.0,N100,0.5400000000000063,0.759,Friday,December,2023
2023-12-21,71.54,71.82,71.02,71.4,82463.0,N100,-0.14000000000000057,-0.196,Thursday,December,2023
2023-12-20,71.86,72.14,71.46,72.0,161005.0,N100,0.14000000000000057,0.195,Wednesday,December,2023
2023-12-19,71.82,72.12,71.58,71.8,134082.0,N100,-0.01999999999999602,-0.028,Tuesday,December,2023
2023-12-18,72.4,72.46,71.7,71.82,110860.0,N100,-0.5800000000000125,-0.801,Monday,December,2023
2023-12-15,73.34,73.52,72.4,72.7,769269.0,N100,-0.6400000000000006,-0.873,Friday,December,2023
2023-12-14,73.0,73.3,72.58,73.16,279277.0,N100,0.1599999999999966,0.219,Thursday,December,2023
2023-12-13,72.96,73.14,72.16,72.16,168455.0,N100,-0.7999999999999972,-1.096,Wednesday,December,2023
2023-12-12,73.4,73.54,72.98,73.06,123725.0,N100,-0.3400000000000034,-0.463,Tuesday,December,2023
2023-12-11,73.58,73.8,72.82,73.4,123791.0,N100,-0.1799999999999926,-0.245,Monday,December,2023
2023-12-08,73.02,73.92,72.92,73.56,158969.0,N100,0.5400000000000063,0.74,Friday,December,2023
2023-12-07,72.68,73.14,72.58,73.0,171087.0,N100,0.3199999999999932,0.44,Thursday,December,2023
2023-12-06,72.2,73.14,72.2,73.0,182816.0,N100,0.7999999999999972,1.108,Wednesday,December,2023
2023-12-05,71.34,72.54,71.3,72.2,252965.0,N100,0.8599999999999994,1.205,Tuesday,December,2023
2023-12-04,73.0,73.16,71.7,71.7,212567.0,N100,-1.2999999999999972,-1.781,Monday,December,2023
2023-12-01,72.9,73.48,72.72,73.18,251689.0,N100,0.28000000000000114,0.384,Friday,December,2023
2023-11-30,72.36,72.7,71.74,72.7,925074.0,N100,0.3400000000000034,0.47,Thursday,November,2023
2023-11-29,72.16,72.72,72.06,72.3,187686.0,N100,0.14000000000000057,0.194,Wednesday,November,2023
